gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493616269|ref|WP_006568509.1|	MULTISPECIES: 30S ribosomal protein S13 [Clostridiales] 
gi|493616270|ref|WP_006568510.1|	MULTISPECIES: 30S ribosomal protein S11 [Clostridiales] 
gi|493616271|ref|WP_006568511.1|	MULTISPECIES: 30S ribosomal protein S4 [Anaerostipes] 
gi|493616272|ref|WP_006568512.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Anaerostipes] 
gi|493616273|ref|WP_006568513.1|	MULTISPECIES: 50S ribosomal protein L17 [Anaerostipes] 
gi|493616274|ref|WP_006568514.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616275|ref|WP_006568515.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616276|ref|WP_006568516.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616277|ref|WP_006568517.1|	cobalt ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493616278|ref|WP_006568518.1|	MULTISPECIES: ABC transporter [Anaerostipes] 
gi|493616279|ref|WP_006568519.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616280|ref|WP_006568520.1|	tRNA pseudouridine synthase A [Anaerostipes caccae] 
gi|493616281|ref|WP_006568521.1|	MULTISPECIES: ribonucleoside-triphosphate reductase activating protein [Anaerostipes] 
gi|493616283|ref|WP_006568522.1|	ribonucleoside triphosphate reductase [Anaerostipes caccae] 
gi|493616284|ref|WP_006568523.1|	MULTISPECIES: 50S ribosomal protein L13 [Clostridiales] 
gi|493616285|ref|WP_006568524.1|	MULTISPECIES: 30S ribosomal protein S9 [Clostridiales] 
gi|493616286|ref|WP_006568525.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616287|ref|WP_006568526.1|	uracil-DNA glycosylase [Anaerostipes caccae] 
gi|493616288|ref|WP_006568527.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493616289|ref|WP_006568528.1|	MULTISPECIES: PTS sugar transporter subunit IIA [Anaerostipes] 
gi|493616290|ref|WP_006568529.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493616291|ref|WP_006568530.1|	phosphotransferase [Anaerostipes caccae] 
gi|493616292|ref|WP_006568531.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616293|ref|WP_006568532.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616294|ref|WP_006568533.1|	MULTISPECIES: DNA mismatch repair protein MutS [Anaerostipes] 
gi|493616295|ref|WP_006568534.1|	MULTISPECIES: maltose O-acetyltransferase [Anaerostipes] 
gi|493616296|ref|WP_006568535.1|	MULTISPECIES: methyltransferase [Anaerostipes] 
gi|493616297|ref|WP_006568536.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616298|ref|WP_006568537.1|	glycosyl transferase family 1 [Anaerostipes caccae] 
gi|493616299|ref|WP_006568538.1|	permease [Anaerostipes caccae] 
gi|493616300|ref|WP_006568539.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616301|ref|WP_006568540.1|	ArsR family transcriptional regulator [Anaerostipes caccae] 
gi|493616302|ref|WP_006568541.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616303|ref|WP_006568542.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616304|ref|WP_006568543.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493616305|ref|WP_006568544.1|	membrane protein [Anaerostipes caccae] 
gi|493616306|ref|WP_006568545.1|	thiol-disulfide isomerase [Anaerostipes caccae] 
gi|493616307|ref|WP_006568546.1|	MULTISPECIES: thioredoxin reductase [Anaerostipes] 
gi|493616308|ref|WP_006568547.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616309|ref|WP_006568548.1|	preprotein translocase subunit SecA [Anaerostipes caccae] 
gi|493616310|ref|WP_006568549.1|	MULTISPECIES: peptide chain release factor 2 [Anaerostipes] 
gi|493616311|ref|WP_006568550.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616312|ref|WP_006568551.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616313|ref|WP_006568552.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493616314|ref|WP_006568553.1|	homoserine dehydrogenase [Anaerostipes caccae] 
gi|493616315|ref|WP_006568554.1|	phosphoglycerate mutase [Anaerostipes caccae] 
gi|493616316|ref|WP_006568555.1|	aspartate kinase [Anaerostipes caccae] 
gi|493616317|ref|WP_006568556.1|	cytidine deaminase [Anaerostipes caccae] 
gi|493616318|ref|WP_006568557.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616319|ref|WP_006568558.1|	3-oxoacyl-ACP reductase [Anaerostipes caccae] 
gi|493616320|ref|WP_006568559.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616321|ref|WP_006568560.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616322|ref|WP_006568561.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616323|ref|WP_006568562.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616324|ref|WP_006568563.1|	MULTISPECIES: cell division protein FtsE [Anaerostipes] 
gi|493616325|ref|WP_006568564.1|	MULTISPECIES: cell division protein FtsX [Anaerostipes] 
gi|493616326|ref|WP_006568565.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616327|ref|WP_006568566.1|	LysR family transcriptional regulator [Anaerostipes caccae] 
gi|493616328|ref|WP_006568567.1|	MULTISPECIES: enoyl-CoA hydratase [Anaerostipes] 
gi|493616329|ref|WP_006568568.1|	CoA transferase [Anaerostipes caccae] 
gi|493616330|ref|WP_006568569.1|	MULTISPECIES: citrate transporter [Anaerostipes] 
gi|493616331|ref|WP_006568570.1|	peptidase [Anaerostipes caccae] 
gi|493616332|ref|WP_006568571.1|	MULTISPECIES: N-terminal cleavage protein [Anaerostipes] 
gi|493616333|ref|WP_006568572.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616334|ref|WP_006568573.1|	GntR family transcriptional regulator [Anaerostipes caccae] 
gi|493616335|ref|WP_006568574.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493616336|ref|WP_006568575.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616337|ref|WP_006568576.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616338|ref|WP_006568577.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616339|ref|WP_006568578.1|	excinuclease ABC subunit B [Anaerostipes caccae] 
gi|493616340|ref|WP_006568579.1|	MULTISPECIES: excinuclease ABC subunit A [Anaerostipes] 
gi|493616341|ref|WP_006568580.1|	MULTISPECIES: stage V sporulation protein T [Anaerostipes] 
gi|493616342|ref|WP_006568581.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616343|ref|WP_006568582.1|	ATP-binding protein [Anaerostipes caccae] 
gi|493616344|ref|WP_006568583.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Anaerostipes] 
gi|493616345|ref|WP_006568584.1|	alanine acetyltransferase [Anaerostipes caccae] 
gi|493616346|ref|WP_006568585.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493616348|ref|WP_006568586.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616349|ref|WP_006568587.1|	metallo-beta-lactamase [Anaerostipes caccae] 
gi|493616350|ref|WP_006568588.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616351|ref|WP_006568589.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Anaerostipes caccae] 
gi|493616352|ref|WP_006568590.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493616353|ref|WP_006568591.1|	DNA-binding protein [Anaerostipes caccae] 
gi|493616354|ref|WP_006568592.1|	haloacid dehalogenase [Anaerostipes caccae] 
gi|493616355|ref|WP_006568593.1|	ABC transporter [Anaerostipes caccae] 
gi|493616356|ref|WP_006568594.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Anaerostipes] 
gi|493616357|ref|WP_006568595.1|	cation diffusion facilitator family transporter [Anaerostipes caccae] 
gi|493616358|ref|WP_006568596.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616359|ref|WP_006568597.1|	beta-lactamase [Anaerostipes caccae] 
gi|493616360|ref|WP_006568598.1|	4Fe-4S ferredoxin [Anaerostipes caccae] 
gi|493616361|ref|WP_006568599.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616362|ref|WP_006568600.1|	alcohol dehydrogenase [Anaerostipes caccae] 
gi|493616363|ref|WP_006568601.1|	amidohydrolase [Anaerostipes caccae] 
gi|493616364|ref|WP_006568602.1|	NADH oxidase [Anaerostipes caccae] 
gi|493616365|ref|WP_006568603.1|	iron hydrogenase [Anaerostipes caccae] 
gi|493616366|ref|WP_006568604.1|	UDP-diphosphatase [Anaerostipes caccae] 
gi|493616367|ref|WP_006568605.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616368|ref|WP_006568606.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616369|ref|WP_006568607.1|	aldose 1-epimerase [Anaerostipes caccae] 
gi|493616370|ref|WP_006568608.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616372|ref|WP_006568609.1|	PTS sorbitol transporter subunit IIA [Anaerostipes caccae] 
gi|493616373|ref|WP_006568610.1|	protein-N(pi)-phosphohistidine--sugar phosphotransferase [Anaerostipes caccae] 
gi|493616374|ref|WP_006568611.1|	PTS sorbitol transporter [Anaerostipes caccae] 
gi|493616375|ref|WP_006568612.1|	PTS sorbitol transporter [Anaerostipes caccae] 
gi|493616376|ref|WP_006568613.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616377|ref|WP_006568614.1|	glucosamine-6-phosphate isomerase [Anaerostipes caccae] 
gi|493616378|ref|WP_006568615.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616379|ref|WP_006568616.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616380|ref|WP_006568617.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616381|ref|WP_006568618.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493616382|ref|WP_006568619.1|	glycine/betaine ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493616383|ref|WP_006568620.1|	glycine/betaine ABC transporter substrate-binding protein [Anaerostipes caccae] 
gi|493616384|ref|WP_006568621.1|	(4Fe-4S)-binding protein [Anaerostipes caccae] 
gi|493616385|ref|WP_006568622.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616386|ref|WP_006568623.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616387|ref|WP_006568624.1|	heat-shock protein Hsp90 [Anaerostipes caccae] 
gi|493616388|ref|WP_006568625.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616389|ref|WP_006568626.1|	SAM-dependent methyltransferase [Anaerostipes caccae] 
gi|493616390|ref|WP_006568627.1|	glycerate kinase [Anaerostipes caccae] 
gi|493616391|ref|WP_006568628.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493616392|ref|WP_006568629.1|	adenine deaminase [Anaerostipes caccae] 
gi|493616393|ref|WP_006568630.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616394|ref|WP_006568631.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616395|ref|WP_006568632.1|	LysR family transcriptional regulator [Anaerostipes caccae] 
gi|493616396|ref|WP_006568633.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616397|ref|WP_006568634.1|	DEAD/DEAH box helicase [Anaerostipes caccae] 
gi|493616398|ref|WP_006568635.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616399|ref|WP_006568636.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616400|ref|WP_006568637.1|	alpha/beta hydrolase [Anaerostipes caccae] 
gi|493616401|ref|WP_006568638.1|	DNA methyltransferase [Anaerostipes caccae] 
gi|493616402|ref|WP_006568639.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616403|ref|WP_006568640.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616404|ref|WP_006568641.1|	ATPase AAA [Anaerostipes caccae] 
gi|493616405|ref|WP_006568642.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616406|ref|WP_006568643.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616407|ref|WP_006568644.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616408|ref|WP_006568645.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616409|ref|WP_006568646.1|	toxin Fic [Anaerostipes caccae] 
gi|493616410|ref|WP_006568647.1|	toxin Fic [Anaerostipes caccae] 
gi|493616411|ref|WP_006568648.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616412|ref|WP_006568649.1|	RNA methyltransferase [Anaerostipes caccae] 
gi|493616413|ref|WP_006568650.1|	MULTISPECIES: phosphodiesterase [Clostridiales] 
gi|493616414|ref|WP_006568651.1|	MULTISPECIES: nucleoside-triphosphate diphosphatase [Anaerostipes] 
gi|493616415|ref|WP_006568652.1|	RNA methyltransferase [Anaerostipes caccae] 
gi|493616416|ref|WP_006568653.1|	rhodanese [Anaerostipes caccae] 
gi|493616417|ref|WP_006568654.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616418|ref|WP_006568655.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Anaerostipes caccae] 
gi|493616419|ref|WP_006568656.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616420|ref|WP_006568657.1|	Rrf2 family transcriptional regulator [Anaerostipes caccae] 
gi|493616421|ref|WP_006568658.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616422|ref|WP_006568659.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616423|ref|WP_006568660.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616424|ref|WP_006568661.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616425|ref|WP_006568662.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616426|ref|WP_006568663.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616427|ref|WP_006568664.1|	ammonium transporter [Anaerostipes caccae] 
gi|493616428|ref|WP_006568665.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616429|ref|WP_006568666.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616430|ref|WP_006568667.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616431|ref|WP_006568668.1|	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [Anaerostipes caccae] 
gi|493616432|ref|WP_006568669.1|	MULTISPECIES: transporter [Anaerostipes] 
gi|493616433|ref|WP_006568670.1|	nitroreductase [Anaerostipes caccae] 
gi|493616434|ref|WP_006568671.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616435|ref|WP_006568672.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493616436|ref|WP_006568673.1|	helicase [Anaerostipes caccae] 
gi|493616437|ref|WP_006568674.1|	MULTISPECIES: RNA polymerase subunit sigma-54 [Anaerostipes] 
gi|493616438|ref|WP_006568675.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616439|ref|WP_006568676.1|	MULTISPECIES: para-aminobenzoate synthase [Anaerostipes] 
gi|493616440|ref|WP_006568677.1|	MULTISPECIES: anthranilate synthase subunit II [Anaerostipes] 
gi|493616441|ref|WP_006568678.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616442|ref|WP_006568679.1|	MULTISPECIES: alpha/beta hydrolase [Anaerostipes] 
gi|493616443|ref|WP_006568680.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616444|ref|WP_006568681.1|	MULTISPECIES: PTS mannose transporter subunit IID [Anaerostipes] 
gi|493616445|ref|WP_006568682.1|	PTS sorbose transporter subunit IIB [Anaerostipes caccae] 
gi|493616446|ref|WP_006568683.1|	PTS fructose transporter subunit IIA [Anaerostipes caccae] 
gi|493616447|ref|WP_006568684.1|	MULTISPECIES: transaldolase [Anaerostipes] 
gi|493616448|ref|WP_006568685.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616449|ref|WP_006568686.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616451|ref|WP_006568687.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616452|ref|WP_006568688.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616453|ref|WP_006568689.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616454|ref|WP_006568690.1|	MULTISPECIES: aldo/keto reductase [Anaerostipes] 
gi|493616455|ref|WP_006568691.1|	MULTISPECIES: mannitol dehydrogenase [Anaerostipes] 
gi|493616456|ref|WP_006568692.1|	PTS mannose transporter subunit IID [Anaerostipes caccae] 
gi|493616457|ref|WP_006568693.1|	MULTISPECIES: PTS sorbose transporter subunit IIC [Anaerostipes] 
gi|493616458|ref|WP_006568694.1|	MULTISPECIES: PTS mannose transporter subunit IIA [Anaerostipes] 
gi|493616459|ref|WP_006568695.1|	MULTISPECIES: alcohol dehydrogenase [Anaerostipes] 
gi|493616460|ref|WP_006568696.1|	MULTISPECIES: xylose isomerase [Anaerostipes] 
gi|493616461|ref|WP_006568697.1|	fructose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493616462|ref|WP_006568698.1|	ArsR family transcriptional regulator [Anaerostipes caccae] 
gi|493616463|ref|WP_006568699.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Anaerostipes] 
gi|493616464|ref|WP_006568700.1|	RNA polymerase subunit sigma-54 [Anaerostipes caccae] 
gi|493616465|ref|WP_006568701.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616466|ref|WP_006568702.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616467|ref|WP_006568703.1|	diguanylate phosphodiesterase [Anaerostipes caccae] 
gi|493616468|ref|WP_006568704.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616469|ref|WP_006568705.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616470|ref|WP_006568706.1|	diacylglycerol kinase [Anaerostipes caccae] 
gi|493616471|ref|WP_006568707.1|	MULTISPECIES: MarR family transcripitonal regulator [Anaerostipes] 
gi|493616472|ref|WP_006568708.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616473|ref|WP_006568709.1|	D-alanyl-D-alanine carboxypeptidase [Anaerostipes caccae] 
gi|493616474|ref|WP_006568710.1|	MULTISPECIES: transglutaminase [Anaerostipes] 
gi|493616475|ref|WP_006568711.1|	MULTISPECIES: haloacid dehalogenase [Anaerostipes] 
gi|493616476|ref|WP_006568712.1|	MULTISPECIES: uracil-DNA glycosylase [Anaerostipes] 
gi|493616477|ref|WP_006568713.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616478|ref|WP_006568714.1|	chloride channel protein [Anaerostipes caccae] 
gi|493616479|ref|WP_006568715.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616480|ref|WP_006568716.1|	MULTISPECIES: toxin HicA [Anaerostipes] 
gi|493616481|ref|WP_006568717.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616482|ref|WP_006568718.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616483|ref|WP_006568719.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616484|ref|WP_006568720.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616485|ref|WP_006568721.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616486|ref|WP_006568722.1|	MULTISPECIES: haloacid dehalogenase [Anaerostipes] 
gi|493616487|ref|WP_006568723.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616488|ref|WP_006568724.1|	MULTISPECIES: alcohol dehydrogenase [Anaerostipes] 
gi|493616489|ref|WP_006568725.1|	MULTISPECIES: fructose-bisphosphate aldolase [Anaerostipes] 
gi|493616490|ref|WP_006568726.1|	PTS fructose transporter subunit IID [Anaerostipes caccae] 
gi|493616491|ref|WP_006568727.1|	MULTISPECIES: PTS sorbose transporter subunit IIC [Anaerostipes] 
gi|493616492|ref|WP_006568728.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493616493|ref|WP_006568729.1|	MULTISPECIES: NADH-dependent butanol dehydrogenase [Anaerostipes] 
gi|493616494|ref|WP_006568730.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Anaerostipes] 
gi|493616495|ref|WP_006568731.1|	MULTISPECIES: PTS sorbose transporter subunit IIB [Anaerostipes] 
gi|493616496|ref|WP_006568732.1|	MULTISPECIES: PTS mannose transporter subunit IIAB [Anaerostipes] 
gi|493616497|ref|WP_006568733.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616498|ref|WP_006568734.1|	MULTISPECIES: DNA-binding protein [Anaerostipes] 
gi|493616500|ref|WP_006568735.1|	MULTISPECIES: enoyl-CoA hydratase [Anaerostipes] 
gi|493616501|ref|WP_006568736.1|	acetoacetate:butyrate CoA transferase [Anaerostipes caccae] 
gi|493616502|ref|WP_006568737.1|	MULTISPECIES: succinyl-CoA:3-ketoacid-CoA transferase [Anaerostipes] 
gi|493616503|ref|WP_006568738.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616504|ref|WP_006568739.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616505|ref|WP_006568740.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616506|ref|WP_006568741.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616507|ref|WP_006568742.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616508|ref|WP_006568743.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616509|ref|WP_006568744.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616510|ref|WP_006568745.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616511|ref|WP_006568746.1|	5-dehydro-2-deoxygluconokinase [Anaerostipes caccae] 
gi|493616512|ref|WP_006568747.1|	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase [Anaerostipes caccae] 
gi|493616513|ref|WP_006568748.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616514|ref|WP_006568749.1|	alcohol dehydrogenase [Anaerostipes caccae] 
gi|493616516|ref|WP_006568750.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616517|ref|WP_006568751.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616518|ref|WP_006568752.1|	MULTISPECIES: tautomerase [Anaerostipes] 
gi|493616519|ref|WP_006568753.1|	electron transporter [Anaerostipes caccae] 
gi|493616520|ref|WP_006568754.1|	electron transporter [Anaerostipes caccae] 
gi|493616521|ref|WP_006568755.1|	propionate permease [Anaerostipes caccae] 
gi|493616522|ref|WP_006568756.1|	CoA transferase [Anaerostipes caccae] 
gi|493616523|ref|WP_006568757.1|	3-hydroxybutyryl-CoA dehydratase [Anaerostipes caccae] 
gi|493616524|ref|WP_006568758.1|	acyl-CoA dehydrogenase [Anaerostipes caccae] 
gi|493616525|ref|WP_006568759.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616526|ref|WP_006568760.1|	MULTISPECIES: MarR family transcriptional regulator [Anaerostipes] 
gi|493616527|ref|WP_006568761.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616528|ref|WP_006568762.1|	aminopeptidase [Anaerostipes caccae] 
gi|493616529|ref|WP_006568763.1|	membrane protein [Anaerostipes caccae] 
gi|493616530|ref|WP_006568764.1|	MULTISPECIES: ABC transporter [Anaerostipes] 
gi|493616531|ref|WP_006568765.1|	iron ABC transporter permease [Anaerostipes caccae] 
gi|493616532|ref|WP_006568766.1|	ABC transporter substrate-binding protein [Anaerostipes caccae] 
gi|493616533|ref|WP_006568767.1|	2-aminoethylphosphonate:pyruvate aminotransferase [Anaerostipes caccae] 
gi|493616534|ref|WP_006568768.1|	phosphonoacetaldehyde hydrolase [Anaerostipes caccae] 
gi|493616535|ref|WP_006568769.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616536|ref|WP_006568770.1|	phosphohydrolase [Anaerostipes caccae] 
gi|493616537|ref|WP_006568771.1|	prephenate dehydrogenase [Anaerostipes caccae] 
gi|493616538|ref|WP_006568772.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Anaerostipes caccae] 
gi|493616539|ref|WP_006568773.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616540|ref|WP_006568774.1|	ATP-dependent Clp protease proteolytic subunit [Anaerostipes caccae] 
gi|493616541|ref|WP_006568775.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493616542|ref|WP_006568776.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493616543|ref|WP_006568777.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616545|ref|WP_006568778.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493616546|ref|WP_006568779.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Anaerostipes] 
gi|493616547|ref|WP_006568780.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616548|ref|WP_006568781.1|	aldolase [Anaerostipes caccae] 
gi|493616549|ref|WP_006568782.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493616550|ref|WP_006568783.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616551|ref|WP_006568784.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616552|ref|WP_006568785.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493616553|ref|WP_006568786.1|	PadR family transcriptional regulator [Anaerostipes caccae] 
gi|493616554|ref|WP_006568787.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616555|ref|WP_006568788.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616556|ref|WP_006568789.1|	MULTISPECIES: phage-shock protein [Clostridiales] 
gi|493616557|ref|WP_006568790.1|	proline:sodium symporter [Anaerostipes caccae] 
gi|493616558|ref|WP_006568791.1|	ferritin [Anaerostipes caccae] 
gi|493616559|ref|WP_006568792.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616560|ref|WP_006568793.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493616561|ref|WP_006568794.1|	MULTISPECIES: CotJC [Anaerostipes] 
gi|493616562|ref|WP_006568795.1|	DNA-binding protein [Anaerostipes caccae] 
gi|493616563|ref|WP_006568796.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493616564|ref|WP_006568797.1|	iron transporter FeoB [Anaerostipes caccae] 
gi|493616565|ref|WP_006568798.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616566|ref|WP_006568799.1|	MULTISPECIES: potassium transporter TrkA [Anaerostipes] 
gi|493616567|ref|WP_006568800.1|	MULTISPECIES: Trk system potassium transporter TrkH [Anaerostipes] 
gi|493616568|ref|WP_006568801.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616569|ref|WP_006568802.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616570|ref|WP_006568803.1|	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Anaerostipes] 
gi|493616571|ref|WP_006568804.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616572|ref|WP_006568805.1|	3-isopropylmalate dehydratase small subunit [Anaerostipes caccae] 
gi|493616573|ref|WP_006568806.1|	3-isopropylmalate dehydratase large subunit [Anaerostipes caccae] 
gi|493616575|ref|WP_006568807.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616576|ref|WP_006568808.1|	chromate transporter [Anaerostipes caccae] 
gi|493616577|ref|WP_006568809.1|	hypothetical protein [Anaerostipes caccae] 
gi|493616578|ref|WP_006568810.1|	LysR family transcriptional regulator [Anaerostipes caccae] 
gi|493616579|ref|WP_006568811.1|	MULTISPECIES: cation diffusion facilitator family transporter [Anaerostipes] 
gi|493616580|ref|WP_006568812.1|	multidrug transporter MatE [Anaerostipes caccae] 
