WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_007287709.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287710.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287712.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287713.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287714.1	cupin [Intestinibacter bartlettii] 
WP_007287717.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287719.1	oxidoreductase [Intestinibacter bartlettii] 
WP_007287720.1	PTS fructose transporter subunit IIC [Intestinibacter bartlettii] 
WP_007287721.1	1-phosphofructokinase [Intestinibacter bartlettii] 
WP_007287723.1	DNA topoisomerase III [Intestinibacter bartlettii] 
WP_007287724.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287727.1	MULTISPECIES: transporter [Clostridiales] 
WP_007287729.1	MULTISPECIES: glutamate 5-kinase [Clostridiales] 
WP_007287730.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287731.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287732.1	sodium:alanine symporter [Intestinibacter bartlettii] 
WP_007287733.1	two-component sensor histidine kinase [Intestinibacter bartlettii] 
WP_007287734.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_007287735.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287736.1	MULTISPECIES: thiol reductase thioredoxin [Clostridiales] 
WP_007287739.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287741.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287742.1	membrane protein [Intestinibacter bartlettii] 
WP_007287744.1	transglycosylase [Intestinibacter bartlettii] 
WP_007287745.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287746.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287747.1	secondary thiamine-phosphate synthase enzyme [Intestinibacter bartlettii] 
WP_007287748.1	triose-phosphate isomerase [Intestinibacter bartlettii] 
WP_007287749.1	fructose-bisphosphate aldolase [Intestinibacter bartlettii] 
WP_007287750.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287751.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287752.1	HNH endonuclease [Intestinibacter bartlettii] 
WP_007287753.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007287754.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287755.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287757.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287758.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287759.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287760.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287761.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287762.1	MULTISPECIES: sodium transporter [Clostridiales] 
WP_007287765.1	MULTISPECIES: glutathione peroxidase [Clostridiales] 
WP_007287766.1	MULTISPECIES: thioredoxin reductase [Clostridiales] 
WP_007287767.1	MULTISPECIES: glutathione peroxidase [Clostridiales] 
WP_007287768.1	MarR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287769.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287770.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287772.1	MULTISPECIES: DNA polymerase III subunit epsilon [Clostridiales] 
WP_007287773.1	MULTISPECIES: aldehyde dehydrogenase [Clostridiales] 
WP_007287774.1	exonuclease [Intestinibacter bartlettii] 
WP_007287775.1	tRNA 2-thiocytidine biosynthesis protein TtcA [Intestinibacter bartlettii] 
WP_007287776.1	MULTISPECIES: spore coat associated protein CotJA [Clostridiales] 
WP_007287777.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287778.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287779.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287780.1	MULTISPECIES: transposase [Clostridiales] 
WP_007287781.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287783.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287785.1	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase yncF [Clostridiales] 
WP_007287786.1	DNA topoisomerase III [Intestinibacter bartlettii] 
WP_007287787.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007287788.1	MULTISPECIES: CoA activase [Clostridiales] 
WP_007287789.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287790.1	3-hydroxyacyl-ACP dehydratase [Intestinibacter bartlettii] 
WP_007287791.1	MULTISPECIES: cysteine desulfurase [Clostridiales] 
WP_007287792.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287793.1	MULTISPECIES: pyruvate phosphate dikinase [Clostridiales] 
WP_007287795.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287796.1	MULTISPECIES: glycine--tRNA ligase subunit beta [Clostridiales] 
WP_007287797.1	MULTISPECIES: glycine--tRNA ligase subunit alpha [Clostridiales] 
WP_007287798.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287799.1	DNA repair protein RecO [Intestinibacter bartlettii] 
WP_007287803.1	MULTISPECIES: GTPase Era [Clostridiales] 
WP_007287804.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287805.1	16S rRNA maturation RNase YbeY [Intestinibacter bartlettii] 
WP_007287806.1	phosphate starvation protein PhoH [Intestinibacter bartlettii] 
WP_007287807.1	stage IV sporulation protein [Intestinibacter bartlettii] 
WP_007287808.1	MULTISPECIES: sporulation protein [Clostridiales] 
WP_007287809.1	MULTISPECIES: histidine kinase [Clostridiales] 
WP_007287811.1	histidine triad nucleotide-binding protein [Intestinibacter bartlettii] 
WP_007287812.1	MULTISPECIES: tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB [Clostridiales] 
WP_007287813.1	MULTISPECIES: 16S rRNA methyltransferase [Clostridiales] 
WP_007287814.1	ribosomal protein L11 methyltransferase [Intestinibacter bartlettii] 
WP_007287817.1	molecular chaperone DnaK [Intestinibacter bartlettii] 
WP_007287818.1	MULTISPECIES: nucleotide exchange factor GrpE [Clostridiales] 
WP_007287820.1	coproporphyrinogen III oxidase [Intestinibacter bartlettii] 
WP_007287824.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287827.1	elongation factor 4 [Intestinibacter bartlettii] 
WP_007287829.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287830.1	GPR endopeptidase [Intestinibacter bartlettii] 
WP_007287831.1	30S ribosomal protein S20 [Intestinibacter bartlettii] 
WP_007287832.1	DNA polymerase III subunit delta [Intestinibacter bartlettii] 
WP_007287834.1	aminotransferase [Intestinibacter bartlettii] 
WP_007287835.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287836.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287837.1	MBL fold hydrolase [Intestinibacter bartlettii] 
WP_007287838.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287839.1	MULTISPECIES: tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA [Clostridiales] 
WP_007287840.1	MULTISPECIES: rhodanese-like domain-containing protein [Clostridiales] 
WP_007287843.1	thiamine biosynthesis lipoprotein ApbE [Intestinibacter bartlettii] 
WP_007287844.1	ABC transporter [Intestinibacter bartlettii] 
WP_007287846.1	iron ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007287847.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287849.1	argininosuccinate lyase [Intestinibacter bartlettii] 
WP_007287850.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287851.1	MULTISPECIES: reactive intermediate/imine deaminase [Clostridiales] 
WP_007287852.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287853.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287855.1	MULTISPECIES: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase [Clostridiales] 
WP_007287856.1	6-phosphogluconate dehydratase [Intestinibacter bartlettii] 
WP_007287857.1	TetR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287858.1	isoleucine--tRNA ligase [Intestinibacter bartlettii] 
WP_007287859.1	DivIVA domain-containing protein [Intestinibacter bartlettii] 
WP_007287861.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287867.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287868.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287869.1	serine--tRNA ligase [Intestinibacter bartlettii] 
WP_007287870.1	stage IV sporulation protein A [Intestinibacter bartlettii] 
WP_007287872.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007287874.1	radical SAM protein [Intestinibacter bartlettii] 
WP_007287875.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287876.1	spore envelope protein [Intestinibacter bartlettii] 
WP_007287877.1	membrane protein [Intestinibacter bartlettii] 
WP_007287878.1	MULTISPECIES: two-component sensor histidine kinase [Clostridiales] 
WP_007287879.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_007287880.1	toxin [Intestinibacter bartlettii] 
WP_007287881.1	MULTISPECIES: transcriptional regulator NrdR [Clostridiales] 
WP_007287882.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287883.1	MULTISPECIES: sporulation sigma factor SigG [Clostridiales] 
WP_007287884.1	MULTISPECIES: sporulation sigma factor SigE [Clostridiales] 
WP_007287885.1	peptidase [Intestinibacter bartlettii] 
WP_007287886.1	MULTISPECIES: cell division protein FtsZ [Clostridiales] 
WP_007287887.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287888.1	MULTISPECIES: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [Clostridiales] 
WP_007287890.1	MULTISPECIES: UDP-N-acetylmuramoylalanine--D-glutamate ligase [Clostridiales] 
WP_007287891.1	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Clostridiales] 
WP_007287893.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287895.1	ABC transporter [Intestinibacter bartlettii] 
WP_007287896.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287897.1	TrpB-like pyridoxal-phosphate dependent enzyme [Intestinibacter bartlettii] 
WP_007287898.1	peptidase M20 [Intestinibacter bartlettii] 
WP_007287899.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287900.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007287901.1	O-acetylhomoserine aminocarboxypropyltransferase [Intestinibacter bartlettii] 
WP_007287902.1	16S rRNA (cytosine(1402)-N(4))-methyltransferase [Intestinibacter bartlettii] 
WP_007287903.1	prolipoprotein diacylglyceryl transferase [Intestinibacter bartlettii] 
WP_007287904.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287905.1	zinc protease [Intestinibacter bartlettii] 
WP_007287906.1	peptidase M16 [Intestinibacter bartlettii] 
WP_007287907.1	GTP-binding protein YchF [Intestinibacter bartlettii] 
WP_007287908.1	GNAT family acetyltransferase [Intestinibacter bartlettii] 
WP_007287909.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287910.1	MULTISPECIES: aspartate racemase [Clostridiales] 
WP_007287911.1	carboxylate--amine ligase [Intestinibacter bartlettii] 
WP_007287912.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287913.1	Na/Pi cotransporter [Intestinibacter bartlettii] 
WP_007287916.1	peptidase M24 [Intestinibacter bartlettii] 
WP_007287917.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287918.1	ferrous iron transporter B [Intestinibacter bartlettii] 
WP_007287919.1	iron transporter FeoA [Intestinibacter bartlettii] 
WP_007287920.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287921.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287922.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287923.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287924.1	hydrolase [Intestinibacter bartlettii] 
WP_007287925.1	MULTISPECIES: pyruvate:ferredoxin (flavodoxin) oxidoreductase [Clostridiales] 
WP_007287926.1	MULTISPECIES: propanediol utilization phosphotransacylase [Clostridiales] 
WP_007287927.1	MULTISPECIES: 3-phosphoshikimate 1-carboxyvinyltransferase [Clostridiales] 
WP_007287928.1	3-dehydroquinate synthase [Intestinibacter bartlettii] 
WP_007287930.1	flavodoxin [Intestinibacter bartlettii] 
WP_007287931.1	sporulation protein [Intestinibacter bartlettii] 
WP_007287932.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287933.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287936.1	FAD-dependent oxidoreductase [Intestinibacter bartlettii] 
WP_007287937.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007287938.1	MULTISPECIES: hypoxanthine phosphoribosyltransferase [Clostridiales] 
WP_007287939.1	aminotransferase [Intestinibacter bartlettii] 
WP_007287940.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287941.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287942.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287943.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287944.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287947.1	sodium:proton antiporter [Intestinibacter bartlettii] 
WP_007287948.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287949.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287950.1	MULTISPECIES: butyrate kinase [Clostridiales] 
WP_007287951.1	MULTISPECIES: indolepyruvate oxidoreductase [Clostridiales] 
WP_007287952.1	indolepyruvate ferredoxin oxidoreductase subunit alpha [Intestinibacter bartlettii] 
WP_007287954.1	hypothetical protein [Intestinibacter bartlettii] 
WP_015517518.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_018590391.1	MULTISPECIES: 50S ribosomal protein L36 [Clostridiales] 
WP_022070601.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022070616.1	MULTISPECIES: 30S ribosomal protein S9 [Clostridiales] 
WP_022070621.1	MULTISPECIES: 50S ribosomal protein L16 [Clostridiales] 
WP_022070640.1	MULTISPECIES: sucrose-6-phosphate hydrolase [Clostridiales] 
WP_022070647.1	MULTISPECIES: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB [Clostridiales] 
WP_022070687.1	MULTISPECIES: DNA gyrase subunit A [Clostridiales] 
WP_022070693.1	DNA repair protein RadA [Intestinibacter bartlettii] 
WP_022070726.1	MULTISPECIES: lysM domain protein [Clostridiales] 
WP_022070789.1	MULTISPECIES: aminoacyl-tRNA hydrolase [Clostridiales] 
WP_022070825.1	MULTISPECIES: ribokinase [Clostridiales] 
WP_022070835.1	ribosomal subunit interface protein [Intestinibacter bartlettii] 
WP_022070846.1	MULTISPECIES: ferredoxin [Clostridiales] 
WP_022070880.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022070887.1	ABC transporter permease [Intestinibacter bartlettii] 
WP_022070931.1	permease [Intestinibacter bartlettii] 
WP_022070932.1	amidophosphoribosyltransferase [Intestinibacter bartlettii] 
WP_022070959.1	MULTISPECIES: Rrf2 family transcriptional regulator [Clostridiales] 
WP_022071004.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_022071006.1	MULTISPECIES: ser/Thr phosphatase [Clostridiales] 
WP_022071014.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071071.1	chromosome partitioning protein ParA [Intestinibacter bartlettii] 
WP_022071219.1	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Clostridiales] 
WP_022071253.1	MULTISPECIES: LysR family transcriptional regulator [Clostridiales] 
WP_022071304.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071309.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071393.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071398.1	MULTISPECIES: threonine ammonia-lyase [Clostridiales] 
WP_022071538.1	MULTISPECIES: FeS assembly ATPase SufC [Clostridiales] 
WP_022071631.1	MULTISPECIES: cyclic nucleotide-binding domain protein [Clostridiales] 
WP_022071641.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071666.1	protein FdhD homolog [Intestinibacter bartlettii] 
WP_022071694.1	SH3 domain protein [Intestinibacter bartlettii] 
WP_022071726.1	nucleotidyltransferase [Intestinibacter bartlettii] 
WP_022071748.1	MULTISPECIES: antioxidant AhpC/TSA family [Clostridiales] 
WP_022071749.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022071753.1	MULTISPECIES: sporulation membrane protein YtaF [Clostridiales] 
WP_022071799.1	MULTISPECIES: preprotein translocase subunit SecG [Clostridiales] 
WP_022071805.1	MULTISPECIES: sugar-binding domain protein [Clostridiales] 
WP_022071826.1	MULTISPECIES: short-chain dehydrogenase/reductase [Clostridiales] 
WP_022071836.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022071852.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022071854.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022071880.1	MULTISPECIES: DNA-binding protein WhiA [Clostridiales] 
WP_022071890.1	molybdenum cofactor biosynthesis protein [Intestinibacter bartlettii] 
WP_022071963.1	MULTISPECIES: multidrug SMR transporter [Clostridiales] 
WP_022071996.1	MULTISPECIES: alkylphosphonate utilization operon protein PhnA [Clostridiales] 
WP_022072071.1	hypothetical protein [Intestinibacter bartlettii] 
WP_022072089.1	MULTISPECIES: small acid-soluble spore protein beta [Clostridiales] 
WP_022072120.1	ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_022072121.1	stage V sporulation protein D [Intestinibacter bartlettii] 
WP_022072132.1	MULTISPECIES: ribosome biogenesis GTPase Der [Clostridiales] 
WP_022072170.1	MULTISPECIES: heat-inducible transcription repressor HrcA [Clostridiales] 
WP_022072176.1	MULTISPECIES: yqeY-like protein [Clostridiales] 
WP_022072228.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022072252.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022072288.1	MULTISPECIES: iron-only hydrogenase system regulator [Clostridiales] 
WP_022072291.1	AI-2E family transporter [Intestinibacter bartlettii] 
WP_022072426.1	MULTISPECIES: xanthine phosphoribosyltransferase [Clostridiales] 
WP_022072457.1	MULTISPECIES: 30S ribosomal protein S15 [Clostridiales] 
WP_022072467.1	SMC-Scp complex subunit ScpB [Intestinibacter bartlettii] 
WP_022072484.1	MULTISPECIES: KH domain-containing protein [Clostridiales] 
WP_022072486.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022072519.1	MULTISPECIES: ribosomal RNA large subunit methyltransferase J [Clostridiales] 
WP_022072526.1	stage III sporulation protein AD [Intestinibacter bartlettii] 
WP_022072527.1	MULTISPECIES: stage III sporulation protein AC [Clostridiales] 
WP_022072528.1	MULTISPECIES: stage III sporulation protein AB [Clostridiales] 
WP_022072545.1	MULTISPECIES: transcriptional regulator partial [Clostridiales] 
WP_022072551.1	MULTISPECIES: mutator mutT protein [Clostridiales] 
WP_022072557.1	MULTISPECIES: neutral zinc metallopeptidase [Clostridiales] 
WP_022072559.1	MULTISPECIES: peptide deformylase [Clostridiales] 
WP_022072585.1	MULTISPECIES: GTPase CgtA [Clostridiales] 
WP_022072586.1	50S ribosomal protein L27 [Intestinibacter bartlettii] 
WP_022072609.1	MULTISPECIES: ATP-dependent Clp protease proteolytic subunit [Clostridiales] 
WP_022072624.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_022072647.1	MULTISPECIES: acyl carrier protein [Clostridiales] 
WP_022072678.1	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
WP_022072698.1	transcription antiterminator LicT [Intestinibacter bartlettii] 
WP_024037227.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_024037325.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_024037335.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_024037349.1	methionyl-tRNA formyltransferase [Intestinibacter bartlettii] 
WP_024037431.1	hypothetical protein [Intestinibacter bartlettii] 
WP_024037551.1	MULTISPECIES: Bacitracin export ATP-binding protein BceA [Clostridiales] 
WP_024037878.1	RNA degradosome polyphosphate kinase [Intestinibacter bartlettii] 
WP_024038157.1	MULTISPECIES: epoxyqueuosine reductase [Clostridiales] 
WP_024038265.1	cysteine desulfurase NifS [Intestinibacter bartlettii] 
WP_024038288.1	hypothetical protein [Intestinibacter bartlettii] 
WP_024038304.1	hypothetical protein [Intestinibacter bartlettii] 
WP_024038413.1	MULTISPECIES: exodeoxyribonuclease VII large subunit [Clostridiales] 
WP_024038565.1	proline--tRNA ligase [Intestinibacter bartlettii] 
WP_034724668.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_034724765.1	glucitol operon activator [Intestinibacter bartlettii] 
WP_034724826.1	MULTISPECIES: gamma carbonic anhydrase family protein [Clostridiales] 
WP_034724875.1	MULTISPECIES: spore cortex-lytic protein [Clostridiales] 
WP_034725067.1	RNA pseudouridine synthase [Intestinibacter bartlettii] 
WP_034725111.1	hypothetical protein [Intestinibacter bartlettii] 
WP_034725425.1	MULTISPECIES: cell division protein FtsW [Clostridiales] 
WP_034725459.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_034725495.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_034725605.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_034725758.1	MULTISPECIES: YihA family ribosome biogenesis GTP-binding protein [Clostridiales] 
WP_034726049.1	MULTISPECIES: iron transporter FeoA [Clostridiales] 
WP_034726132.1	polysaccharide deacetylase [Intestinibacter bartlettii] 
WP_034726249.1	transporter [Intestinibacter bartlettii] 
WP_034726280.1	cyclic pyranopterin monophosphate synthase accessory protein [Intestinibacter bartlettii] 
WP_034726283.1	MULTISPECIES: iron hydrogenase [Clostridiales] 
WP_034726345.1	MULTISPECIES: spermidine/putrescine ABC transporter permease [Clostridiales] 
WP_034726430.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_034726456.1	ribosomal-protein-alanine N-acetyltransferase RimI [Intestinibacter bartlettii] 
WP_034726458.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE [Intestinibacter bartlettii] 
WP_034726523.1	stage III sporulation protein AE [Intestinibacter bartlettii] 
WP_034726565.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_034726666.1	mechanosensitive ion channel protein MscS [Intestinibacter bartlettii] 
WP_036465824.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905048.1	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase MnmE [Intestinibacter bartlettii] 
WP_039905052.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_039905059.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_039905063.1	peptidase M1 [Intestinibacter bartlettii] 
WP_039905068.1	amidohydrolase [Intestinibacter bartlettii] 
WP_039905081.1	MULTISPECIES: cysteine--tRNA ligase [Clostridiales] 
WP_039905086.1	single-stranded DNA-binding protein [Intestinibacter bartlettii] 
WP_039905088.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905122.1	inosine monophosphate cyclohydrolase [Intestinibacter bartlettii] 
WP_039905125.1	fructokinase [Intestinibacter bartlettii] 
WP_039905140.1	transcriptional antiterminator [Intestinibacter bartlettii] 
WP_039905143.1	PTS sorbitol transporter subunit IIB [Intestinibacter bartlettii] 
WP_039905158.1	1-deoxy-D-xylulose-5-phosphate synthase [Intestinibacter bartlettii] 
WP_039905162.1	zinc metalloprotease [Intestinibacter bartlettii] 
WP_039905164.1	bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor [Intestinibacter bartlettii] 
WP_039905167.1	homocysteine methyltransferase [Intestinibacter bartlettii] 
WP_039905189.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905191.1	MULTISPECIES: excinuclease ABC subunit B [Clostridiales] 
WP_039905194.1	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
WP_039905200.1	cyclic pyranopterin phosphate synthase MoaA [Intestinibacter bartlettii] 
WP_039905210.1	23S rRNA (uracil-5-)-methyltransferase RumA [Intestinibacter bartlettii] 
WP_039905214.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905218.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905221.1	dehydrogenase [Intestinibacter bartlettii] 
WP_039905225.1	beta-hexosaminidase [Intestinibacter bartlettii] 
WP_039905229.1	2-dehydro-3-deoxygluconokinase [Intestinibacter bartlettii] 
WP_039905231.1	PTS beta-glucoside transporter subunit EIIBCA [Intestinibacter bartlettii] 
WP_039905236.1	gamma-glutamyltransferase [Intestinibacter bartlettii] 
WP_039905252.1	5-amino-6-(5-phosphoribosylamino)uracil reductase [Intestinibacter bartlettii] 
WP_039905256.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905262.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905269.1	aspartate--ammonia ligase [Intestinibacter bartlettii] 
WP_039905279.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_039905296.1	MULTISPECIES: conjugal transfer protein TraX [Clostridiales] 
WP_039905303.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905336.1	DNA polymerase III subunit gamma/tau [Intestinibacter bartlettii] 
WP_039905343.1	4Fe-4S ferredoxin [Intestinibacter bartlettii] 
WP_039905346.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_039905348.1	anaerobic ribonucleoside-triphosphate reductase [Intestinibacter bartlettii] 
WP_039905354.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_039905363.1	glucokinase [Intestinibacter bartlettii] 
WP_039905371.1	dihydroorotate dehydrogenase electron transfer subunit [Intestinibacter bartlettii] 
WP_039905374.1	PadR family transcriptional regulator [Intestinibacter bartlettii] 
WP_039905377.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905379.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905381.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905384.1	nitrate reductase [Intestinibacter bartlettii] 
WP_039905386.1	carbon-monoxide dehydrogenase catalytic subunit [Intestinibacter bartlettii] 
WP_039905389.1	thiamine ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_039905393.1	amidohydrolase [Intestinibacter bartlettii] 
WP_039905395.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905399.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905402.1	MULTISPECIES: ribose operon repressor [Clostridiales] 
WP_039905406.1	hypothetical protein [Intestinibacter bartlettii] 
WP_039905423.1	MULTISPECIES: [FeFe] hydrogenase H-cluster radical SAM maturase HydE [Clostridiales] 
WP_039905426.1	methionine gamma-lyase [Intestinibacter bartlettii] 
WP_039905451.1	HNH endonuclease [Intestinibacter bartlettii] 
WP_039905452.1	nitrate reductase [Intestinibacter bartlettii] 
WP_039905476.1	phosphatase [Intestinibacter bartlettii] 
WP_039905479.1	imidazolonepropionase [Intestinibacter bartlettii] 
WP_039905481.1	alginate regulatory protein [Intestinibacter bartlettii] 
WP_039905487.1	iron ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_039905489.1	RNA pseudouridine synthase [Intestinibacter bartlettii] 
WP_039905491.1	phosphodiesterase [Intestinibacter bartlettii] 
WP_039905495.1	peptidase M19 [Intestinibacter bartlettii] 
WP_039905497.1	peptide ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_039905500.1	MULTISPECIES: nickel transporter permease NikB [Clostridiales] 
WP_039905506.1	ferrichrome ABC transporter permease [Intestinibacter bartlettii] 
WP_039905509.1	PLP-dependent lyase/thiolase [Intestinibacter bartlettii] 
