gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491809027|ref|WP_005611775.1|	metal dependent hydrolase [Ruminococcus lactaris] 
gi|491809029|ref|WP_005611777.1|	ribonuclease H [Ruminococcus lactaris] 
gi|491809031|ref|WP_005611779.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809035|ref|WP_005611783.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809033|ref|WP_005611781.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Ruminococcus lactaris] 
gi|491809037|ref|WP_005611785.1|	aspartate carbamoyltransferase [Ruminococcus lactaris] 
gi|491809039|ref|WP_005611787.1|	aspartate carbamoyltransferase [Ruminococcus lactaris] 
gi|491809041|ref|WP_005611789.1|	nitroreductase [Ruminococcus lactaris] 
gi|491809043|ref|WP_005611791.1|	prephenate dehydratase [Ruminococcus lactaris] 
gi|491809044|ref|WP_005611792.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491809046|ref|WP_005611794.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809047|ref|WP_005611795.1|	fibronectin-binding protein [Ruminococcus lactaris] 
gi|491809049|ref|WP_005611797.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809051|ref|WP_005611799.1|	guanylate kinase [Ruminococcus lactaris] 
gi|491809053|ref|WP_005611801.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809055|ref|WP_005611803.1|	ribosomal protein S12 methylthiotransferase [Ruminococcus lactaris] 
gi|491809057|ref|WP_005611805.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Ruminococcus lactaris] 
gi|491809059|ref|WP_005611807.1|	damage-inducible protein CinA [Ruminococcus lactaris] 
gi|491809062|ref|WP_005611810.1|	nitrogen-fixing protein NifU [Ruminococcus lactaris] 
gi|491809065|ref|WP_005611813.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809067|ref|WP_005611815.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809069|ref|WP_005611816.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809070|ref|WP_005611817.1|	pilus biosynthesis protein HicB [Ruminococcus lactaris] 
gi|491809071|ref|WP_005611818.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809072|ref|WP_005611819.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809073|ref|WP_005611820.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809074|ref|WP_005611821.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809075|ref|WP_005611822.1|	cupin [Ruminococcus lactaris] 
gi|491809076|ref|WP_005611823.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809077|ref|WP_005611824.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809078|ref|WP_005611825.1|	multidrug ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491809079|ref|WP_005611826.1|	acetolactate synthase [Ruminococcus lactaris] 
gi|491809080|ref|WP_005611827.1|	ketol-acid reductoisomerase [Ruminococcus lactaris] 
gi|491809081|ref|WP_005611828.1|	orotate phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491809082|ref|WP_005611829.1|	30S ribosomal protein S20 [Ruminococcus lactaris] 
gi|491809084|ref|WP_005611831.1|	peptidase [Ruminococcus lactaris] 
gi|491809086|ref|WP_005611833.1|	stage II sporulation protein P [Ruminococcus lactaris] 
gi|491809088|ref|WP_005611835.1|	DNA topoisomerase [Ruminococcus lactaris] 
gi|491809090|ref|WP_005611837.1|	DNA topoisomerase [Ruminococcus lactaris] 
gi|491809092|ref|WP_005611839.1|	ribosome maturation factor RimP [Ruminococcus lactaris] 
gi|491809094|ref|WP_005611841.1|	transcription elongation factor NusA [Ruminococcus lactaris] 
gi|491809095|ref|WP_005611842.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809097|ref|WP_005611844.1|	50S ribosomal protein L7ae [Ruminococcus lactaris] 
gi|491809099|ref|WP_005611846.1|	translation initiation factor IF-2 [Ruminococcus lactaris] 
gi|491809100|ref|WP_005611847.1|	ribosome-binding factor A [Ruminococcus lactaris] 
gi|491809102|ref|WP_005611849.1|	exopolyphosphatase [Ruminococcus lactaris] 
gi|491809103|ref|WP_005611850.1|	tRNA pseudouridine synthase B [Ruminococcus lactaris] 
gi|491809105|ref|WP_005611852.1|	FAD synthetase [Ruminococcus lactaris] 
gi|491809106|ref|WP_005611853.1|	30S ribosomal protein S15 [Ruminococcus lactaris] 
gi|491809108|ref|WP_005611855.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809109|ref|WP_005611856.1|	transposase [Ruminococcus lactaris] 
gi|491809110|ref|WP_005611857.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809111|ref|WP_005611858.1|	transposase [Ruminococcus lactaris] 
gi|491809112|ref|WP_005611859.1|	transposase [Ruminococcus lactaris] 
gi|491809113|ref|WP_005611860.1|	GntR family transcriptional regulator [Ruminococcus lactaris] 
gi|491809114|ref|WP_005611861.1|	isocitrate dehydrogenase [Ruminococcus lactaris] 
gi|491809115|ref|WP_005611862.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809116|ref|WP_005611863.1|	nucleotidyltransferase [Ruminococcus lactaris] 
gi|491809117|ref|WP_005611864.1|	magnesium transporter [Ruminococcus lactaris] 
gi|491809118|ref|WP_005611865.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809120|ref|WP_005611867.1|	phosphotransacetylase [Ruminococcus lactaris] 
gi|491809122|ref|WP_005611869.1|	acetate kinase [Ruminococcus lactaris] 
gi|491809124|ref|WP_005611870.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809127|ref|WP_005611872.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491809131|ref|WP_005611874.1|	50S ribosomal protein L32 [Ruminococcus lactaris] 
gi|491809134|ref|WP_005611876.1|	phosphate acyltransferase [Ruminococcus lactaris] 
gi|491809137|ref|WP_005611878.1|	acyl carrier protein [Ruminococcus lactaris] 
gi|491809140|ref|WP_005611880.1|	ribonuclease III [Ruminococcus lactaris] 
gi|491809143|ref|WP_005611882.1|	chromosome segregation protein SMC [Ruminococcus lactaris] 
gi|491809145|ref|WP_005611883.1|	cell division protein FtsY [Ruminococcus lactaris] 
gi|491809148|ref|WP_005611885.1|	threonine dehydratase [Ruminococcus lactaris] 
gi|491809152|ref|WP_005611888.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809171|ref|WP_005611896.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491809175|ref|WP_005611898.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809177|ref|WP_005611899.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809180|ref|WP_005611901.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809183|ref|WP_005611903.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809187|ref|WP_005611905.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809190|ref|WP_005611907.1|	sortase [Ruminococcus lactaris] 
gi|491809193|ref|WP_005611909.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809195|ref|WP_005611911.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809197|ref|WP_005611912.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809201|ref|WP_005611915.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809204|ref|WP_005611917.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809208|ref|WP_005611919.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491809212|ref|WP_005611921.1|	histidine kinase [Ruminococcus lactaris] 
gi|491809215|ref|WP_005611923.1|	multidrug ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491809217|ref|WP_005611924.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809221|ref|WP_005611926.1|	cytochrome C2 [Ruminococcus lactaris] 
gi|491809224|ref|WP_005611928.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809227|ref|WP_005611930.1|	membrane protein [Ruminococcus lactaris] 
gi|491809229|ref|WP_005611931.1|	haloacid dehalogenase [Ruminococcus lactaris] 
gi|491809233|ref|WP_005611934.1|	D-lactate dehydrogenase [Ruminococcus lactaris] 
gi|491809236|ref|WP_005611936.1|	3-dehydroquinate synthase [Ruminococcus lactaris] 
gi|491809238|ref|WP_005611937.1|	3-deoxy-7-phosphoheptulonate synthase [Ruminococcus lactaris] 
gi|491809241|ref|WP_005611939.1|	murein hydrolase transporter LrgA [Ruminococcus lactaris] 
gi|491809247|ref|WP_005611942.1|	membrane protein [Ruminococcus lactaris] 
gi|491809251|ref|WP_005611945.1|	uridylate kinase [Ruminococcus lactaris] 
gi|491809255|ref|WP_005611947.1|	ribosome recycling factor [Ruminococcus lactaris] 
gi|491809259|ref|WP_005611950.1|	UDP pyrophosphate synthase [Ruminococcus lactaris] 
gi|491809264|ref|WP_005611953.1|	CDP-diglyceride synthetase [Ruminococcus lactaris] 
gi|491809268|ref|WP_005611956.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Ruminococcus lactaris] 
gi|491809272|ref|WP_005611959.1|	zinc metalloprotease [Ruminococcus lactaris] 
gi|491809277|ref|WP_005611962.1|	peptidoglycan-binding protein [Ruminococcus lactaris] 
gi|491809280|ref|WP_005611964.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809286|ref|WP_005611968.1|	carbamoyl phosphate synthase [Ruminococcus lactaris] 
gi|491809291|ref|WP_005611971.1|	carbamoyl phosphate synthase large subunit [Ruminococcus lactaris] 
gi|491809294|ref|WP_005611973.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809299|ref|WP_005611976.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809305|ref|WP_005611980.1|	thioesterase [Ruminococcus lactaris] 
gi|491809311|ref|WP_005611984.1|	ATPase [Ruminococcus lactaris] 
gi|491809319|ref|WP_005611989.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809325|ref|WP_005611991.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809328|ref|WP_005611993.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809332|ref|WP_005611995.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809334|ref|WP_005611996.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809337|ref|WP_005611998.1|	peptidase S8 [Ruminococcus lactaris] 
gi|491809341|ref|WP_005612000.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491809344|ref|WP_005612002.1|	signal recognition particle protein Srp54 [Ruminococcus lactaris] 
gi|491809346|ref|WP_005612004.1|	30S ribosomal protein S16 [Ruminococcus lactaris] 
gi|491809348|ref|WP_005612005.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809354|ref|WP_005612009.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809351|ref|WP_005612007.1|	16S rRNA-processing protein RimM [Ruminococcus lactaris] 
gi|491809357|ref|WP_005612011.1|	tRNA (guanine-N1)-methyltransferase [Ruminococcus lactaris] 
gi|491809360|ref|WP_005612013.1|	50S ribosomal protein L19 [Ruminococcus lactaris] 
gi|491809362|ref|WP_005612014.1|	signal peptidase I [Ruminococcus lactaris] 
gi|491809365|ref|WP_005612016.1|	GTPase YlqF [Ruminococcus lactaris] 
gi|491809368|ref|WP_005612018.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809371|ref|WP_005612020.1|	ribonuclease HII [Ruminococcus lactaris] 
gi|491809374|ref|WP_005612022.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809376|ref|WP_005612023.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809379|ref|WP_005612025.1|	mechanosensitive ion channel protein [Ruminococcus lactaris] 
gi|491809381|ref|WP_005612027.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809384|ref|WP_005612029.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809388|ref|WP_005612031.1|	phenylacetic acid degradation protein [Ruminococcus lactaris] 
gi|491809391|ref|WP_005612033.1|	gamma-glutamyl kinase [Ruminococcus lactaris] 
gi|491809394|ref|WP_005612035.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491809416|ref|WP_005612044.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491809418|ref|WP_005612045.1|	adenine glycosylase [Ruminococcus lactaris] 
gi|491809421|ref|WP_005612047.1|	TetR family transcriptional regulator [Ruminococcus lactaris] 
gi|491809426|ref|WP_005612050.1|	diacylglycerol kinase [Ruminococcus lactaris] 
gi|491809430|ref|WP_005612052.1|	glycerophosphoryl diester phosphodiesterase [Ruminococcus lactaris] 
gi|491809433|ref|WP_005612053.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809435|ref|WP_005612054.1|	phosphoesterase [Ruminococcus lactaris] 
gi|491809437|ref|WP_005612055.1|	tryptophanyl-tRNA synthase [Ruminococcus lactaris] 
gi|491809440|ref|WP_005612056.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809442|ref|WP_005612057.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809444|ref|WP_005612058.1|	PTS sugar transporter subunit IID [Ruminococcus lactaris] 
gi|491809826|ref|WP_005612059.1|	GTP pyrophosphokinase [Ruminococcus lactaris] 
gi|491809830|ref|WP_005612062.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809835|ref|WP_005612065.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809840|ref|WP_005612068.1|	GTPase HflX [Ruminococcus lactaris] 
gi|491809844|ref|WP_005612071.1|	3-oxoacyl-ACP reductase [Ruminococcus lactaris] 
gi|491809848|ref|WP_005612074.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809852|ref|WP_005612077.1|	glucosaminidase [Ruminococcus lactaris] 
gi|491809856|ref|WP_005612080.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809861|ref|WP_005612083.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809866|ref|WP_005612086.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809872|ref|WP_005612089.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809875|ref|WP_005612091.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809877|ref|WP_005612092.1|	valyl-tRNA synthase [Ruminococcus lactaris] 
gi|491809879|ref|WP_005612093.1|	membrane protein [Ruminococcus lactaris] 
gi|491809881|ref|WP_005612094.1|	tetrahydrofolate synthase [Ruminococcus lactaris] 
gi|491809884|ref|WP_005612096.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809887|ref|WP_005612098.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809890|ref|WP_005612100.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809892|ref|WP_005612101.1|	histidine kinase [Ruminococcus lactaris] 
gi|491809895|ref|WP_005612103.1|	RNA polymerase sigma70 [Ruminococcus lactaris] 
gi|491809899|ref|WP_005612105.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809904|ref|WP_005612108.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809907|ref|WP_005612110.1|	stage V sporulation protein AA [Ruminococcus lactaris] 
gi|491809910|ref|WP_005612112.1|	stage V sporulation protein AB [Ruminococcus lactaris] 
gi|491809913|ref|WP_005612114.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491809915|ref|WP_005612115.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809919|ref|WP_005612117.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809921|ref|WP_005612119.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809924|ref|WP_005612121.1|	peptidase M16 [Ruminococcus lactaris] 
gi|491809928|ref|WP_005612123.1|	GTPase Era [Ruminococcus lactaris] 
gi|491809931|ref|WP_005612125.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809934|ref|WP_005612127.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809936|ref|WP_005612128.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809939|ref|WP_005612130.1|	phosphatidylserine decarboxylase [Ruminococcus lactaris] 
gi|491809942|ref|WP_005612132.1|	cyclic nucleotide-binding protein [Ruminococcus lactaris] 
gi|491809945|ref|WP_005612134.1|	(Fe-S)-binding protein [Ruminococcus lactaris] 
gi|491809948|ref|WP_005612136.1|	cupin [Ruminococcus lactaris] 
gi|491809950|ref|WP_005612137.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809953|ref|WP_005612139.1|	hisitidine kinase [Ruminococcus lactaris] 
gi|491809956|ref|WP_005612141.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803157|ref|WP_005608692.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491809959|ref|WP_005612143.1|	membrane protein [Ruminococcus lactaris] 
gi|491809962|ref|WP_005612145.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809965|ref|WP_005612147.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809968|ref|WP_005612149.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809971|ref|WP_005612151.1|	transposase [Ruminococcus lactaris] 
gi|491809974|ref|WP_005612153.1|	transposase [Ruminococcus lactaris] 
gi|491809977|ref|WP_005612155.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809981|ref|WP_005612157.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809986|ref|WP_005612160.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809990|ref|WP_005612163.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809993|ref|WP_005612165.1|	transposase [Ruminococcus lactaris] 
gi|491809995|ref|WP_005612166.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491809999|ref|WP_005612168.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810005|ref|WP_005612172.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810008|ref|WP_005612174.1|	sodium transporter [Ruminococcus lactaris] 
gi|491810015|ref|WP_005612178.1|	pantoate--beta-alanine ligase [Ruminococcus lactaris] 
gi|491810023|ref|WP_005612182.1|	aspartate decarboxylase [Ruminococcus lactaris] 
gi|491810028|ref|WP_005612185.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810032|ref|WP_005612188.1|	DNA repair protein RecO [Ruminococcus lactaris] 
gi|491810035|ref|WP_005612190.1|	glycyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491810042|ref|WP_005612194.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810048|ref|WP_005612198.1|	aminopeptidase [Ruminococcus lactaris] 
gi|491810053|ref|WP_005612201.1|	membrane protein [Ruminococcus lactaris] 
gi|491810083|ref|WP_005612208.1|	ABC transporter [Ruminococcus lactaris] 
gi|491810087|ref|WP_005612210.1|	REX family transcriptional regulator [Ruminococcus lactaris] 
gi|491810090|ref|WP_005612212.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810093|ref|WP_005612214.1|	alanine racemase [Ruminococcus lactaris] 
gi|491810096|ref|WP_005612216.1|	PemK family transcriptional regulator [Ruminococcus lactaris] 
gi|491810100|ref|WP_005612218.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491810103|ref|WP_005612220.1|	O-acetylhomoserine aminocarboxypropyltransferase [Ruminococcus lactaris] 
gi|491810106|ref|WP_005612222.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810109|ref|WP_005612224.1|	cell division protein FtsK [Ruminococcus lactaris] 
gi|491810112|ref|WP_005612226.1|	formate--tetrahydrofolate ligase [Ruminococcus lactaris] 
gi|491810114|ref|WP_005612227.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Ruminococcus lactaris] 
gi|491810117|ref|WP_005612229.1|	endoglucanase [Ruminococcus lactaris] 
gi|491810119|ref|WP_005612230.1|	NADPH-dependent butanol dehydrogenase [Ruminococcus lactaris] 
gi|491810122|ref|WP_005612231.1|	ferredoxin-NADP(+) reductase subunit alpha [Ruminococcus lactaris] 
gi|491810124|ref|WP_005612232.1|	dihydropyrimidine dehydrogenase subunit A [Ruminococcus lactaris] 
gi|491810126|ref|WP_005612233.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810129|ref|WP_005612234.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491810131|ref|WP_005612235.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491810133|ref|WP_005612236.1|	sodium:glutamate symporter [Ruminococcus lactaris] 
gi|491810135|ref|WP_005612237.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810137|ref|WP_005612238.1|	50S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491810141|ref|WP_005612240.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810145|ref|WP_005612242.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810149|ref|WP_005612245.1|	pyrimidine-nucleoside phosphorylase [Ruminococcus lactaris] 
gi|491810152|ref|WP_005612247.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810156|ref|WP_005612249.1|	stage IV sporulation protein [Ruminococcus lactaris] 
gi|491810158|ref|WP_005612251.1|	phosphate starvation protein PhoH [Ruminococcus lactaris] 
gi|491810160|ref|WP_005612253.1|	rRNA maturation factor [Ruminococcus lactaris] 
gi|491810163|ref|WP_005612255.1|	stage V sporulation protein B [Ruminococcus lactaris] 
gi|491810166|ref|WP_005612257.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810169|ref|WP_005612259.1|	1-pyrroline-5-carboxylate dehydrogenase [Ruminococcus lactaris] 
gi|491810171|ref|WP_005612260.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810173|ref|WP_005612261.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491810175|ref|WP_005612262.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810177|ref|WP_005612263.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810180|ref|WP_005612265.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810183|ref|WP_005612267.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810188|ref|WP_005612270.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491810193|ref|WP_005612273.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810201|ref|WP_005612278.1|	Na/Pi cotransporter [Ruminococcus lactaris] 
gi|491810205|ref|WP_005612280.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810207|ref|WP_005612281.1|	2-hydroxyglutaryl-CoA dehydratase [Ruminococcus lactaris] 
gi|491810210|ref|WP_005612283.1|	2-hydroxyglutaryl-CoA dehydratase [Ruminococcus lactaris] 
gi|491810213|ref|WP_005612285.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491810217|ref|WP_005612287.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810220|ref|WP_005612289.1|	DNA mismatch repair protein MutT [Ruminococcus lactaris] 
gi|491810223|ref|WP_005612291.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810227|ref|WP_005612293.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810230|ref|WP_005612295.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810234|ref|WP_005612298.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810237|ref|WP_005612300.1|	diguanylate cyclase [Ruminococcus lactaris] 
gi|491810241|ref|WP_005612302.1|	NUDIX hydrolase [Ruminococcus lactaris] 
gi|491810244|ref|WP_005612304.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810247|ref|WP_005612306.1|	glyoxalase [Ruminococcus lactaris] 
gi|491810251|ref|WP_005612308.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810254|ref|WP_005612310.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491810256|ref|WP_005612311.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810259|ref|WP_005612313.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810261|ref|WP_005612314.1|	alkyl hydroperoxide reductase [Ruminococcus lactaris] 
gi|491810264|ref|WP_005612316.1|	4Fe-4S ferredoxin [Ruminococcus lactaris] 
gi|491810268|ref|WP_005612318.1|	thioredoxin [Ruminococcus lactaris] 
gi|491810271|ref|WP_005612320.1|	chemotaxis protein CheY [Ruminococcus lactaris] 
gi|491810274|ref|WP_005612322.1|	histidine kinase [Ruminococcus lactaris] 
gi|491810277|ref|WP_005612324.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810280|ref|WP_005612326.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810284|ref|WP_005612329.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810287|ref|WP_005612331.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810291|ref|WP_005612333.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810294|ref|WP_005612335.1|	peptide-methionine (S)-S-oxide reductase [Ruminococcus lactaris] 
gi|491810299|ref|WP_005612338.1|	recombinase RarA [Ruminococcus lactaris] 
gi|491803446|ref|WP_005608787.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491803450|ref|WP_005608790.1|	transposase [Ruminococcus lactaris] 
gi|491810303|ref|WP_005612341.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810305|ref|WP_005612342.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810308|ref|WP_005612344.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810312|ref|WP_005612346.1|	6-pyruvoyl-tetrahydropterin synthase [Ruminococcus lactaris] 
gi|491810315|ref|WP_005612348.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491810317|ref|WP_005612349.1|	GTP cyclohydrolase [Ruminococcus lactaris] 
gi|491810318|ref|WP_005612350.1|	queuosine biosynthesis protein QueC [Ruminococcus lactaris] 
gi|491810319|ref|WP_005612351.1|	7-cyano-7-deazaguanine reductase [Ruminococcus lactaris] 
gi|491810320|ref|WP_005612352.1|	ABC transporter [Ruminococcus lactaris] 
gi|491810321|ref|WP_005612353.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810322|ref|WP_005612354.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810323|ref|WP_005612355.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810324|ref|WP_005612356.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803811|ref|WP_005609147.1|	integrase [Ruminococcus lactaris] 
gi|491810325|ref|WP_005612357.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810326|ref|WP_005612358.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806943|ref|WP_005610457.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491810327|ref|WP_005612359.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810329|ref|WP_005612361.1|	integrase [Ruminococcus lactaris] 
gi|491810331|ref|WP_005612363.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491810333|ref|WP_005612365.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810337|ref|WP_005612369.1|	MULTISPECIES: transposase [Clostridiales] 
gi|491810338|ref|WP_005612370.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810340|ref|WP_005612372.1|	transposase [Ruminococcus lactaris] 
gi|491810342|ref|WP_005612374.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810345|ref|WP_005612377.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810347|ref|WP_005612379.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810349|ref|WP_005612381.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491810351|ref|WP_005612383.1|	transposase [Ruminococcus lactaris] 
gi|491810353|ref|WP_005612385.1|	hypothetical protein [Ruminococcus lactaris] 
