gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774677|ref|WP_006723165.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774678|ref|WP_006723166.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774679|ref|WP_006723167.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774680|ref|WP_006723168.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774681|ref|WP_006723169.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774682|ref|WP_006723170.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774683|ref|WP_006723171.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774684|ref|WP_006723172.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774685|ref|WP_006723173.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774686|ref|WP_006723174.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774687|ref|WP_006723175.1|	GTP-binding protein YchF [Collinsella intestinalis] 
gi|493774688|ref|WP_006723176.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774689|ref|WP_006723177.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774690|ref|WP_006723178.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774691|ref|WP_006723179.1|	4Fe-4S ferredoxin [Collinsella intestinalis] 
gi|493774692|ref|WP_006723180.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774693|ref|WP_006723181.1|	hydratase [Collinsella intestinalis] 
gi|493774694|ref|WP_006723182.1|	arabinose transporter [Collinsella intestinalis] 
gi|493774695|ref|WP_006723183.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774696|ref|WP_006723184.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774697|ref|WP_006723185.1|	biotin carboxylase [Collinsella intestinalis] 
gi|493774698|ref|WP_006723186.1|	membrane protein [Collinsella intestinalis] 
gi|493774699|ref|WP_006723187.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774700|ref|WP_006723188.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774701|ref|WP_006723189.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774702|ref|WP_006723190.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774703|ref|WP_006723191.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774704|ref|WP_006723192.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774705|ref|WP_006723193.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774706|ref|WP_006723194.1|	methyltransferase [Collinsella intestinalis] 
gi|493774707|ref|WP_006723195.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774709|ref|WP_006723196.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774710|ref|WP_006723197.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774711|ref|WP_006723198.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774712|ref|WP_006723199.1|	DNA topoisomerase [Collinsella intestinalis] 
gi|493774713|ref|WP_006723200.1|	topoisomerase IV [Collinsella intestinalis] 
gi|493774714|ref|WP_006723201.1|	GMP synthase [Collinsella intestinalis] 
gi|493774715|ref|WP_006723202.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774716|ref|WP_006723203.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774717|ref|WP_006723204.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774718|ref|WP_006723205.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774719|ref|WP_006723206.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774720|ref|WP_006723207.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493774721|ref|WP_006723208.1|	glutamine synthetase [Collinsella intestinalis] 
gi|493774722|ref|WP_006723209.1|	fructose-1,6-bisphosphatase [Collinsella intestinalis] 
gi|493774723|ref|WP_006723210.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774724|ref|WP_006723211.1|	iron transporter FeoB [Collinsella intestinalis] 
gi|493774725|ref|WP_006723212.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774726|ref|WP_006723213.1|	iron transporter FeoA [Collinsella intestinalis] 
gi|493774727|ref|WP_006723214.1|	ABC transporter [Collinsella intestinalis] 
gi|493774728|ref|WP_006723215.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774729|ref|WP_006723216.1|	nitrate ABC transporter permease [Collinsella intestinalis] 
gi|493774730|ref|WP_006723217.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774731|ref|WP_006723218.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774732|ref|WP_006723219.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774733|ref|WP_006723220.1|	aspartyl-tRNA synthase [Collinsella intestinalis] 
gi|493774734|ref|WP_006723221.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774735|ref|WP_006723222.1|	phosphoenolpyruvate carboxylase [Collinsella intestinalis] 
gi|493774736|ref|WP_006723223.1|	histidyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774737|ref|WP_006723224.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774738|ref|WP_006723225.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774739|ref|WP_006723226.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774740|ref|WP_006723227.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774741|ref|WP_006723228.1|	acyltransferase [Collinsella intestinalis] 
gi|493774742|ref|WP_006723229.1|	fructose-bisphosphate aldolase [Collinsella intestinalis] 
gi|493774743|ref|WP_006723230.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774744|ref|WP_006723231.1|	DeoR family transcriptional regulator [Collinsella intestinalis] 
gi|493774745|ref|WP_006723232.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774746|ref|WP_006723233.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774747|ref|WP_006723234.1|	galactose-6-phosphate isomerase [Collinsella intestinalis] 
gi|493774748|ref|WP_006723235.1|	galactose-6-phosphate isomerase [Collinsella intestinalis] 
gi|493774749|ref|WP_006723236.1|	membrane protein [Collinsella intestinalis] 
gi|493774750|ref|WP_006723237.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774751|ref|WP_006723238.1|	arylsulfatase [Collinsella intestinalis] 
gi|493774752|ref|WP_006723239.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774753|ref|WP_006723240.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774754|ref|WP_006723241.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774755|ref|WP_006723242.1|	PTS sorbose transporter subunit IIC [Collinsella intestinalis] 
gi|493774756|ref|WP_006723243.1|	PTS sugar transporter [Collinsella intestinalis] 
gi|493774757|ref|WP_006723244.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774758|ref|WP_006723245.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774759|ref|WP_006723246.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774760|ref|WP_006723247.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774761|ref|WP_006723248.1|	N-acetylglucosamine-6-phosphate deacetylase [Collinsella intestinalis] 
gi|493774762|ref|WP_006723249.1|	tagatose-6-phosphate ketose [Collinsella intestinalis] 
gi|493774763|ref|WP_006723250.1|	GntR family transcriptional regulator [Collinsella intestinalis] 
gi|493774765|ref|WP_006723251.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774766|ref|WP_006723252.1|	PTS acetylgalactosamine transporter subunit IIC [Collinsella intestinalis] 
gi|493774767|ref|WP_006723253.1|	PTS N-acetylgalactosamine transporter subunit IIB [Collinsella intestinalis] 
gi|493774768|ref|WP_006723254.1|	preprotein translocase subunit YajC [Collinsella intestinalis] 
gi|493774769|ref|WP_006723255.1|	PTS fructose transporter subunit IIA [Collinsella intestinalis] 
gi|493774770|ref|WP_006723256.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774771|ref|WP_006723257.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774772|ref|WP_006723258.1|	amidohydrolase [Collinsella intestinalis] 
gi|493774773|ref|WP_006723259.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774774|ref|WP_006723260.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774775|ref|WP_006723261.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774776|ref|WP_006723262.1|	formylmethionine deformylase [Collinsella intestinalis] 
gi|493774777|ref|WP_006723263.1|	NADPH-dependent FMN reductase [Collinsella intestinalis] 
gi|493774778|ref|WP_006723264.1|	aminopeptidase [Collinsella intestinalis] 
gi|493774779|ref|WP_006723265.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774780|ref|WP_006723266.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella intestinalis] 
gi|493774781|ref|WP_006723267.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774782|ref|WP_006723268.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774783|ref|WP_006723269.1|	phenylalanyl-tRNA synthetase subunit beta [Collinsella intestinalis] 
gi|493774784|ref|WP_006723270.1|	phenylalanyl-tRNA synthase subunit alpha [Collinsella intestinalis] 
gi|493774785|ref|WP_006723271.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774786|ref|WP_006723272.1|	hydrolase [Collinsella intestinalis] 
gi|493774787|ref|WP_006723273.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774788|ref|WP_006723274.1|	peptidase [Collinsella intestinalis] 
gi|493774789|ref|WP_006723275.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774790|ref|WP_006723276.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774791|ref|WP_006723277.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774792|ref|WP_006723278.1|	DNA glycosylase [Collinsella intestinalis] 
gi|493774793|ref|WP_006723279.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774794|ref|WP_006723280.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774795|ref|WP_006723281.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774796|ref|WP_006723282.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774797|ref|WP_006723283.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774798|ref|WP_006723284.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774799|ref|WP_006723285.1|	multidrug ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774800|ref|WP_006723286.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774801|ref|WP_006723287.1|	DNA mismatch repair protein Vsr [Collinsella intestinalis] 
gi|493774802|ref|WP_006723288.1|	3-demethylubiquinone-9 3-methyltransferase [Collinsella intestinalis] 
gi|493774803|ref|WP_006723289.1|	sodium:proton antiporter [Collinsella intestinalis] 
gi|493774804|ref|WP_006723290.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774805|ref|WP_006723291.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774806|ref|WP_006723292.1|	histidinol phosphate phosphatase [Collinsella intestinalis] 
gi|493774807|ref|WP_006723293.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774808|ref|WP_006723294.1|	branched-chain amino acid transporter [Collinsella intestinalis] 
gi|493774809|ref|WP_006723295.1|	helicase UvrD [Collinsella intestinalis] 
gi|493774810|ref|WP_006723296.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774811|ref|WP_006723297.1|	homoserine O-succinyltransferase [Collinsella intestinalis] 
gi|493774812|ref|WP_006723298.1|	lactate dehydrogenase [Collinsella intestinalis] 
gi|493774813|ref|WP_006723299.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774814|ref|WP_006723300.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774815|ref|WP_006723301.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774816|ref|WP_006723302.1|	PTS sorbose transporter subunit IIC [Collinsella intestinalis] 
gi|493774817|ref|WP_006723303.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774818|ref|WP_006723304.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774819|ref|WP_006723305.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774820|ref|WP_006723306.1|	ATP-dependent DNA helicase RecQ [Collinsella intestinalis] 
gi|493774821|ref|WP_006723307.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774822|ref|WP_006723308.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774823|ref|WP_006723309.1|	transcription-repair coupling factor [Collinsella intestinalis] 
gi|493774824|ref|WP_006723310.1|	endonuclease III [Collinsella intestinalis] 
gi|493774825|ref|WP_006723311.1|	DNA recombination protein RmuC [Collinsella intestinalis] 
gi|493774827|ref|WP_006723312.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774828|ref|WP_006723313.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774829|ref|WP_006723314.1|	rubrerythrin [Collinsella intestinalis] 
gi|493774830|ref|WP_006723315.1|	adenine glycosylase [Collinsella intestinalis] 
gi|493774831|ref|WP_006723316.1|	AsnC family transcriptional regulator [Collinsella intestinalis] 
gi|493774832|ref|WP_006723317.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774833|ref|WP_006723318.1|	phosphodiesterase [Collinsella intestinalis] 
gi|493774834|ref|WP_006723319.1|	LytTR family transcriptional regulator [Collinsella intestinalis] 
gi|493774835|ref|WP_006723320.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774836|ref|WP_006723321.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774837|ref|WP_006723322.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774838|ref|WP_006723323.1|	MFS transporter [Collinsella intestinalis] 
gi|493774839|ref|WP_006723324.1|	sugar ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774840|ref|WP_006723325.1|	multidrug ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774841|ref|WP_006723326.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774842|ref|WP_006723327.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774843|ref|WP_006723328.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774844|ref|WP_006723329.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774845|ref|WP_006723330.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774846|ref|WP_006723331.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774847|ref|WP_006723332.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774848|ref|WP_006723333.1|	membrane protein [Collinsella intestinalis] 
gi|493774849|ref|WP_006723334.1|	nucleotide pyrophosphohydrolase [Collinsella intestinalis] 
gi|493774850|ref|WP_006723335.1|	phosphodiesterase [Collinsella intestinalis] 
gi|493774851|ref|WP_006723336.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774852|ref|WP_006723337.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Collinsella intestinalis] 
gi|493774853|ref|WP_006723338.1|	ArsC family transcriptional regulator [Collinsella intestinalis] 
gi|493774854|ref|WP_006723339.1|	heptaprenyl diphosphate synthase [Collinsella intestinalis] 
gi|493774855|ref|WP_006723340.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774856|ref|WP_006723341.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Collinsella intestinalis] 
gi|493774857|ref|WP_006723342.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774858|ref|WP_006723343.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774859|ref|WP_006723344.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774860|ref|WP_006723345.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774861|ref|WP_006723346.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774862|ref|WP_006723347.1|	ABC transporter [Collinsella intestinalis] 
gi|493774863|ref|WP_006723348.1|	cobalt transporter [Collinsella intestinalis] 
gi|493774864|ref|WP_006723349.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774865|ref|WP_006723350.1|	UDP-galactose-4-epimerase [Collinsella intestinalis] 
gi|493774866|ref|WP_006723351.1|	polyprenyl synthetase [Collinsella intestinalis] 
gi|493774867|ref|WP_006723352.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774868|ref|WP_006723353.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774869|ref|WP_006723354.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493774870|ref|WP_006723355.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774871|ref|WP_006723356.1|	6-phospho-alpha-glucosidase [Collinsella intestinalis] 
gi|493774872|ref|WP_006723357.1|	PTS glucose transporter subunit IIBC [Collinsella intestinalis] 
gi|493774873|ref|WP_006723358.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774874|ref|WP_006723359.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774875|ref|WP_006723360.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774876|ref|WP_006723361.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774878|ref|WP_006723363.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774879|ref|WP_006723364.1|	hemolysin III [Collinsella intestinalis] 
gi|493774880|ref|WP_006723365.1|	LytTR family transcriptional regulator [Collinsella intestinalis] 
gi|493774881|ref|WP_006723366.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774882|ref|WP_006723367.1|	amidohydrolase [Collinsella intestinalis] 
gi|493774883|ref|WP_006723368.1|	amino acid permease [Collinsella intestinalis] 
gi|493774884|ref|WP_006723369.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774885|ref|WP_006723370.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774886|ref|WP_006723371.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774887|ref|WP_006723372.1|	carbamate kinase [Collinsella intestinalis] 
gi|493774888|ref|WP_006723373.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774889|ref|WP_006723374.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774890|ref|WP_006723375.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774891|ref|WP_006723376.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774892|ref|WP_006723377.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774895|ref|WP_006723379.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774896|ref|WP_006723380.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774897|ref|WP_006723381.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774898|ref|WP_006723382.1|	recombinase RecR [Collinsella intestinalis] 
gi|493774899|ref|WP_006723383.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774900|ref|WP_006723384.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774901|ref|WP_006723385.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774903|ref|WP_006723386.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774904|ref|WP_006723387.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774905|ref|WP_006723388.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774906|ref|WP_006723389.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774907|ref|WP_006723390.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774908|ref|WP_006723391.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774909|ref|WP_006723392.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774910|ref|WP_006723393.1|	signal peptide protein [Collinsella intestinalis] 
gi|493774911|ref|WP_006723394.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774912|ref|WP_006723395.1|	peptidoglycan glycosyltransferase [Collinsella intestinalis] 
gi|493774913|ref|WP_006723396.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774914|ref|WP_006723397.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774915|ref|WP_006723398.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774916|ref|WP_006723399.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774917|ref|WP_006723400.1|	PTS alpha-glucoside transporter subunit IIBC [Collinsella intestinalis] 
gi|493774918|ref|WP_006723401.1|	PTS mannose transporter subunit IIAB [Collinsella intestinalis] 
gi|493774919|ref|WP_006723402.1|	multidrug ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774920|ref|WP_006723403.1|	multidrug ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774921|ref|WP_006723404.1|	CDP-alcohol phosphatidyltransferase [Collinsella intestinalis] 
gi|493774922|ref|WP_006723405.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774923|ref|WP_006723406.1|	AraC family transcriptional regulator [Collinsella intestinalis] 
gi|493774924|ref|WP_006723407.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774925|ref|WP_006723408.1|	glutamine amidotransferase [Collinsella intestinalis] 
gi|493774926|ref|WP_006723409.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774927|ref|WP_006723410.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774928|ref|WP_006723411.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774929|ref|WP_006723412.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774930|ref|WP_006723413.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774931|ref|WP_006723414.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774932|ref|WP_006723415.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774933|ref|WP_006723416.1|	NADH oxidase [Collinsella intestinalis] 
gi|493774934|ref|WP_006723417.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774935|ref|WP_006723418.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774936|ref|WP_006723419.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493774937|ref|WP_006723420.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774938|ref|WP_006723421.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774939|ref|WP_006723422.1|	potassium transporter Kup [Collinsella intestinalis] 
gi|493774940|ref|WP_006723423.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774941|ref|WP_006723424.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774942|ref|WP_006723425.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774943|ref|WP_006723426.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774944|ref|WP_006723427.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774945|ref|WP_006723428.1|	integrase [Collinsella intestinalis] 
gi|493774946|ref|WP_006723429.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774947|ref|WP_006723430.1|	ABC transporter [Collinsella intestinalis] 
gi|493774948|ref|WP_006723431.1|	GntR family transcriptional regulator [Collinsella intestinalis] 
gi|493774949|ref|WP_006723432.1|	aspartyl-tRNA amidotransferase subunit B [Collinsella intestinalis] 
gi|493774950|ref|WP_006723433.1|	peptidyl-prolyl cis-trans isomerase [Collinsella intestinalis] 
gi|493774951|ref|WP_006723434.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774952|ref|WP_006723435.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774953|ref|WP_006723436.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774954|ref|WP_006723437.1|	phosphoribosylglycinamide formyltransferase [Collinsella intestinalis] 
gi|493774955|ref|WP_006723438.1|	phosphoribosylformylglycinamidine cyclo-ligase [Collinsella intestinalis] 
gi|493774956|ref|WP_006723439.1|	amidophosphoribosyltransferase [Collinsella intestinalis] 
gi|493774957|ref|WP_006723440.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774958|ref|WP_006723441.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774959|ref|WP_006723442.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774960|ref|WP_006723443.1|	phosphoglucomutase [Collinsella intestinalis] 
gi|493774962|ref|WP_006723445.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774964|ref|WP_006723447.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774966|ref|WP_006723449.1|	pyridoxine kinase [Collinsella intestinalis] 
gi|493774967|ref|WP_006723450.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774968|ref|WP_006723451.1|	thiamine ABC transporter permease [Collinsella intestinalis] 
gi|493774969|ref|WP_006723452.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774970|ref|WP_006723453.1|	phosphoribosylamine--glycine ligase [Collinsella intestinalis] 
gi|493774972|ref|WP_006723454.1|	adenylosuccinate synthetase [Collinsella intestinalis] 
gi|493774973|ref|WP_006723455.1|	DNA helicase [Collinsella intestinalis] 
gi|493774974|ref|WP_006723456.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774975|ref|WP_006723457.1|	PTS sugar transporter [Collinsella intestinalis] 
gi|493774976|ref|WP_006723458.1|	PTS sorbose transporter subunit IIC [Collinsella intestinalis] 
gi|493774977|ref|WP_006723459.1|	PTS sugar transporter [Collinsella intestinalis] 
gi|493774978|ref|WP_006723460.1|	sugar isomerase [Collinsella intestinalis] 
gi|493774979|ref|WP_006723461.1|	GntR family transcriptional regulator [Collinsella intestinalis] 
gi|493774980|ref|WP_006723462.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774981|ref|WP_006723463.1|	50S ribosomal protein L9 [Collinsella intestinalis] 
gi|493774982|ref|WP_006723464.1|	30S ribosomal protein S18 [Collinsella intestinalis] 
gi|493774983|ref|WP_006723465.1|	single-stranded DNA-binding protein [Collinsella intestinalis] 
gi|493774984|ref|WP_006723466.1|	30S ribosomal protein S6 [Collinsella intestinalis] 
gi|493774985|ref|WP_006723467.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774986|ref|WP_006723468.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774987|ref|WP_006723469.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774988|ref|WP_006723470.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774989|ref|WP_006723471.1|	adenylosuccinate lyase [Collinsella intestinalis] 
gi|493774990|ref|WP_006723472.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774991|ref|WP_006723473.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774992|ref|WP_006723474.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774993|ref|WP_006723475.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774994|ref|WP_006723476.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774995|ref|WP_006723477.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774996|ref|WP_006723478.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774997|ref|WP_006723479.1|	DNA polymerase III subunit epsilon [Collinsella intestinalis] 
gi|493774998|ref|WP_006723480.1|	D-alanine--D-alanine ligase [Collinsella intestinalis] 
gi|493774999|ref|WP_006723481.1|	radical SAM protein [Collinsella intestinalis] 
gi|493775000|ref|WP_006723482.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775001|ref|WP_006723483.1|	chromosome partitioning protein ParB [Collinsella intestinalis] 
gi|493775002|ref|WP_006723484.1|	sporulation initiation inhibitor Soj [Collinsella intestinalis] 
gi|493775003|ref|WP_006723485.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775004|ref|WP_006723486.1|	single-stranded DNA-binding protein [Collinsella intestinalis] 
gi|493775005|ref|WP_006723487.1|	membrane protein [Collinsella intestinalis] 
gi|493775006|ref|WP_006723488.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775007|ref|WP_006723489.1|	ribonuclease P [Collinsella intestinalis] 
gi|493775008|ref|WP_006723490.1|	50S ribosomal protein L34 [Collinsella intestinalis] 
gi|493775009|ref|WP_006723491.1|	hypothetical protein [Collinsella intestinalis] 
