gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490132607|ref|WP_004032969.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490132606|ref|WP_004032968.1|	MULTISPECIES: glutamyl-tRNA reductase [Methanobrevibacter] 
gi|490132605|ref|WP_004032967.1|	siroheme synthase [Methanobrevibacter smithii] 
gi|490132604|ref|WP_004032966.1|	MULTISPECIES: transcription factor to NACalpha-BTF3 [Methanobrevibacter] 
gi|490132603|ref|WP_004032965.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135386|ref|WP_004035746.1|	MULTISPECIES: ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490135388|ref|WP_004035748.1|	hydrolase [Methanobrevibacter smithii] 
gi|490132600|ref|WP_004032962.1|	MULTISPECIES: GTP cyclohydrolase [Methanobrevibacter] 
gi|490135390|ref|WP_004035750.1|	2-phospho-L-lactate transferase [Methanobrevibacter smithii] 
gi|490135391|ref|WP_004035751.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132597|ref|WP_004032959.1|	IMP cyclohydrolase [Methanobrevibacter smithii] 
gi|490132596|ref|WP_004032958.1|	MULTISPECIES: biopolymer transporter ExbD [Methanobrevibacter] 
gi|490132595|ref|WP_004032957.1|	MULTISPECIES: biopolymer transporter ExbB [Methanobrevibacter] 
gi|490132594|ref|WP_004032956.1|	MULTISPECIES: ribonuclease HII [Methanobrevibacter] 
gi|490132593|ref|WP_004032955.1|	rod shape-determining protein MreB [Methanobrevibacter smithii] 
gi|490132592|ref|WP_004032954.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135392|ref|WP_004035752.1|	phosphatidylserine synthase [Methanobrevibacter smithii] 
gi|490135393|ref|WP_004035753.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135394|ref|WP_004035754.1|	sortase [Methanobrevibacter smithii] 
gi|490135395|ref|WP_004035755.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135397|ref|WP_004035757.1|	choloylglycine hydrolase [Methanobrevibacter smithii] 
gi|490132586|ref|WP_004032948.1|	L-tyrosine decarboxylase [Methanobrevibacter smithii] 
gi|490135399|ref|WP_004035759.1|	phosphoenolpyruvate synthase [Methanobrevibacter smithii] 
gi|490135401|ref|WP_004035761.1|	MULTISPECIES: 50S ribosomal protein L10e [Methanobrevibacter] 
gi|490135404|ref|WP_004035764.1|	glycine/betaine ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490135406|ref|WP_004035766.1|	glycine/betaine ABC transporter substrate-binding protein [Methanobrevibacter smithii] 
gi|490135408|ref|WP_004035768.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135410|ref|WP_004035770.1|	ATPase [Methanobrevibacter smithii] 
gi|490135412|ref|WP_004035772.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135414|ref|WP_004035774.1|	adhesin [Methanobrevibacter smithii] 
gi|490135416|ref|WP_004035776.1|	adhesin [Methanobrevibacter smithii] 
gi|490135418|ref|WP_004035778.1|	dihydroorotase [Methanobrevibacter smithii] 
gi|490132573|ref|WP_004032935.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490135419|ref|WP_004035779.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132571|ref|WP_004032933.1|	MULTISPECIES: f420-non-reducing hydrogenase subunit G [Methanobrevibacter] 
gi|490132570|ref|WP_004032932.1|	MULTISPECIES: f420-non-reducing hydrogenase iron-sulfur subunit D [Methanobrevibacter] 
gi|490132569|ref|WP_004032931.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135421|ref|WP_004035781.1|	ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490132567|ref|WP_004032929.1|	photosystem reaction center subunit H [Methanobrevibacter smithii] 
gi|490135423|ref|WP_004035783.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135430|ref|WP_004035790.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132564|ref|WP_004032926.1|	MULTISPECIES: methyltransferase [Methanobrevibacter] 
gi|490132563|ref|WP_004032925.1|	MULTISPECIES: tetrahydromethanopterin S-methyltransferase subunit G [Methanobrevibacter] 
gi|490135432|ref|WP_004035792.1|	tetrahydromethanopterin S-methyltransferase subunit F [Methanobrevibacter smithii] 
gi|490132561|ref|WP_004032923.1|	MULTISPECIES: tetrahydromethanopterin S-methyltransferase subunit A [Methanobrevibacter] 
gi|490132560|ref|WP_004032922.1|	MULTISPECIES: tetrahydromethanopterin S-methyltransferase subunit B [Methanobrevibacter] 
gi|490132559|ref|WP_004032921.1|	tetrahydromethanopterin S-methyltransferase subunit C [Methanobrevibacter smithii] 
gi|490135435|ref|WP_004035795.1|	tetrahydromethanopterin S-methyltransferase subunit D [Methanobrevibacter smithii] 
gi|490132557|ref|WP_004032919.1|	tetrahydromethanopterin S-methyltransferase subunit E [Methanobrevibacter smithii] 
gi|490135437|ref|WP_004035797.1|	methyl-coenzyme M reductase [Methanobrevibacter smithii] 
gi|490135444|ref|WP_004035804.1|	MULTISPECIES: methyl-coenzyme M reductase [Methanobrevibacter] 
gi|490135445|ref|WP_004035805.1|	methyl-coenzyme M reductase [Methanobrevibacter smithii] 
gi|490135446|ref|WP_004035806.1|	methyl-coenzyme M reductase [Methanobrevibacter smithii] 
gi|490135447|ref|WP_004035807.1|	MULTISPECIES: methyl-coenzyme M reductase [Methanobrevibacter] 
gi|490135450|ref|WP_004035810.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132550|ref|WP_004032912.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132549|ref|WP_004032911.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135451|ref|WP_004035811.1|	2-phosphosulfolactate phosphatase [Methanobrevibacter smithii] 
gi|490132547|ref|WP_004032909.1|	MULTISPECIES: conjugal transfer protein TraB [Methanobrevibacter] 
gi|490132546|ref|WP_004032908.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132545|ref|WP_004032907.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135454|ref|WP_004035814.1|	K+-dependent Na+/Ca+ exchanger [Methanobrevibacter smithii] 
gi|490132543|ref|WP_004032905.1|	MULTISPECIES: ATPase [Methanobrevibacter] 
gi|490132542|ref|WP_004032904.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132541|ref|WP_004032903.1|	aminotransferase DegT [Methanobrevibacter smithii] 
gi|490135456|ref|WP_004035816.1|	MULTISPECIES: N2,N2-dimethylguanosine tRNA methyltransferase [Methanobrevibacter] 
gi|490132539|ref|WP_004032901.1|	MULTISPECIES: AsnC family transcriptional regulator [Methanobrevibacter] 
gi|490135464|ref|WP_004035824.1|	MULTISPECIES: GTP cyclohydrolase [Methanobrevibacter] 
gi|490132537|ref|WP_004032899.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135467|ref|WP_004035827.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490132535|ref|WP_004032897.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490132534|ref|WP_004032896.1|	proteasome subunit beta [Methanobrevibacter smithii] 
gi|490132533|ref|WP_004032895.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135468|ref|WP_004035828.1|	MULTISPECIES: phosphoribosylaminoimidazole synthetase [Methanobrevibacter] 
gi|490132531|ref|WP_004032893.1|	sulfolactate dehydrogenase [Methanobrevibacter smithii] 
gi|490135469|ref|WP_004035829.1|	MULTISPECIES: DNA polymerase [Methanobrevibacter] 
gi|490135470|ref|WP_004035830.1|	permease [Methanobrevibacter smithii] 
gi|490135471|ref|WP_004035831.1|	dihydroorotate dehydrogenase [Methanobrevibacter smithii] 
gi|490132527|ref|WP_004032889.1|	dihydroorotate dehydrogenase [Methanobrevibacter smithii] 
gi|490135474|ref|WP_004035834.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135475|ref|WP_004035835.1|	ATP-binding protein [Methanobrevibacter smithii] 
gi|490135476|ref|WP_004035836.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490135477|ref|WP_004035837.1|	phosphopantothenoylcysteine synthase [Methanobrevibacter smithii] 
gi|490135478|ref|WP_004035838.1|	MULTISPECIES: phosphopantothenoylcysteine synthase [Methanobrevibacter] 
gi|490132521|ref|WP_004032883.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135479|ref|WP_004035839.1|	endoglucanase [Methanobrevibacter smithii] 
gi|490135480|ref|WP_004035840.1|	chorismate mutase [Methanobrevibacter smithii] 
gi|490135481|ref|WP_004035841.1|	inosine monophosphate dehydrogenase [Methanobrevibacter smithii] 
gi|490135482|ref|WP_004035842.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132516|ref|WP_004032878.1|	MULTISPECIES: radical SAM protein [Methanobrevibacter] 
gi|490132515|ref|WP_004032877.1|	MULTISPECIES: 6-carboxy-5,6,7,8-tetrahydropterin synthase [Methanobrevibacter] 
gi|490135488|ref|WP_004035848.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135490|ref|WP_004035850.1|	DNA polymerase subunit beta [Methanobrevibacter smithii] 
gi|490135496|ref|WP_004035856.1|	recombinase RecB [Methanobrevibacter smithii] 
gi|490132511|ref|WP_004032873.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132510|ref|WP_004032872.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135497|ref|WP_004035857.1|	NADH dehydrogenase [Methanobrevibacter smithii] 
gi|490132508|ref|WP_004032870.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132507|ref|WP_004032869.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135498|ref|WP_004035858.1|	ferredoxin [Methanobrevibacter smithii] 
gi|490132505|ref|WP_004032867.1|	polyferredoxin [Methanobrevibacter smithii] 
gi|490132504|ref|WP_004032866.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132503|ref|WP_004032865.1|	cation:proton antiporter [Methanobrevibacter smithii] 
gi|490135499|ref|WP_004035859.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132501|ref|WP_004032863.1|	hydrogenase [Methanobrevibacter smithii] 
gi|490132500|ref|WP_004032862.1|	MULTISPECIES: hydrogenase [Methanobrevibacter] 
gi|490132499|ref|WP_004032861.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132498|ref|WP_004032860.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132497|ref|WP_004032859.1|	MULTISPECIES: cation:proton antiporter [Methanobrevibacter] 
gi|490132496|ref|WP_004032858.1|	MULTISPECIES: cation:proton antiporter [Methanobrevibacter] 
gi|490132495|ref|WP_004032857.1|	MULTISPECIES: cation:proton antiporter [Methanobrevibacter] 
gi|490135502|ref|WP_004035862.1|	permease [Methanobrevibacter smithii] 
gi|490132492|ref|WP_004032855.1|	hydrolase [Methanobrevibacter smithii] 
gi|490132491|ref|WP_004032854.1|	deacylase [Methanobrevibacter smithii] 
gi|490135504|ref|WP_004035864.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490135505|ref|WP_004035865.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135507|ref|WP_004035867.1|	argininosuccinate synthase [Methanobrevibacter smithii] 
gi|490135509|ref|WP_004035869.1|	aquaporin [Methanobrevibacter smithii] 
gi|490135511|ref|WP_004035871.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135521|ref|WP_004035881.1|	NAD-dependent deacetylase [Methanobrevibacter smithii] 
gi|490135522|ref|WP_004035882.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135523|ref|WP_004035883.1|	sugar fermentation stimulation protein [Methanobrevibacter smithii] 
gi|490135525|ref|WP_004035885.1|	YjeF family sugar kinase [Methanobrevibacter smithii] 
gi|490135527|ref|WP_004035887.1|	MULTISPECIES: formylmethanofuran--tetrahydromethanopterin formyltransferase [Methanobrevibacter] 
gi|490132480|ref|WP_004032843.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135529|ref|WP_004035889.1|	potassium transporter [Methanobrevibacter smithii] 
gi|490135531|ref|WP_004035891.1|	potassium transporter TrkA [Methanobrevibacter smithii] 
gi|490132477|ref|WP_004032840.1|	MULTISPECIES: beta-lactamase [Methanobrevibacter] 
gi|490132476|ref|WP_004032839.1|	MULTISPECIES: Holliday junction resolvase [Methanobrevibacter] 
gi|490135532|ref|WP_004035892.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135533|ref|WP_004035893.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135534|ref|WP_004035894.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Methanobrevibacter smithii] 
gi|490132472|ref|WP_004032835.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132471|ref|WP_004032834.1|	MULTISPECIES: phosphoribosyl-ATP pyrophosphatase [Methanobrevibacter] 
gi|490132470|ref|WP_004032833.1|	acetyltransferase [Methanobrevibacter smithii] 
gi|490135535|ref|WP_004035895.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135536|ref|WP_004035896.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490135537|ref|WP_004035897.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490132466|ref|WP_004032829.1|	MULTISPECIES: molecular chaperone GrpE [Methanobrevibacter] 
gi|490135538|ref|WP_004035898.1|	molecular chaperone DnaK [Methanobrevibacter smithii] 
gi|490132464|ref|WP_004032827.1|	MULTISPECIES: molecular chaperone DnaJ [Methanobrevibacter] 
gi|490135540|ref|WP_004035900.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135541|ref|WP_004035901.1|	adhesin [Methanobrevibacter smithii] 
gi|490135542|ref|WP_004035902.1|	adhesin [Methanobrevibacter smithii] 
gi|490135543|ref|WP_004035903.1|	adhesin [Methanobrevibacter smithii] 
gi|490135544|ref|WP_004035904.1|	cobalamin biosynthesis protein CobN [Methanobrevibacter smithii] 
gi|490132457|ref|WP_004032820.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132456|ref|WP_004032819.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135545|ref|WP_004035905.1|	methionine aminopeptidase [Methanobrevibacter smithii] 
gi|490135547|ref|WP_004035907.1|	hydrogenase [Methanobrevibacter smithii] 
gi|490132453|ref|WP_004032816.1|	MULTISPECIES: coenzyme F420 hydrogenase subunit gamma [Methanobrevibacter] 
gi|490132452|ref|WP_004032815.1|	MULTISPECIES: coenzyme F420 hydrogenase subunit delta [Methanobrevibacter] 
gi|490135549|ref|WP_004035909.1|	coenzyme F420 hydrogenase subunit alpha [Methanobrevibacter smithii] 
gi|490135551|ref|WP_004035911.1|	endoglucanase [Methanobrevibacter smithii] 
gi|490132449|ref|WP_004032812.1|	MULTISPECIES: transcriptional regulator ArsR family [Methanobrevibacter] 
gi|490135553|ref|WP_004035913.1|	ATPase [Methanobrevibacter smithii] 
gi|490135556|ref|WP_004035916.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132446|ref|WP_004032809.1|	phosphotransferase [Methanobrevibacter smithii] 
gi|490135558|ref|WP_004035918.1|	methanogeneis marker protein 5 [Methanobrevibacter smithii] 
gi|490135560|ref|WP_004035920.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135562|ref|WP_004035922.1|	MULTISPECIES: ribosome biogenesis protein Nop10 [Methanobrevibacter] 
gi|490132442|ref|WP_004032805.1|	MULTISPECIES: translation initiation factor IF-2 [Methanobrevibacter] 
gi|490132441|ref|WP_004032804.1|	MULTISPECIES: 30S ribosomal protein S27 [Methanobrevibacter] 
gi|490132440|ref|WP_004032803.1|	MULTISPECIES: 50S ribosomal protein L44 [Methanobrevibacter] 
gi|490135565|ref|WP_004035925.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132438|ref|WP_004032801.1|	MULTISPECIES: DNA polymerase [Methanobrevibacter] 
gi|490132437|ref|WP_004032800.1|	glutamine amidotransferase [Methanobrevibacter smithii] 
gi|490135578|ref|WP_004035938.1|	glutamate ligase [Methanobrevibacter smithii] 
gi|490132435|ref|WP_004032798.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135584|ref|WP_004035944.1|	MULTISPECIES: tryptophan synthase subunit alpha [Methanobrevibacter] 
gi|490135585|ref|WP_004035945.1|	phosphoglucose isomerase [Methanobrevibacter smithii] 
gi|490135586|ref|WP_004035946.1|	indole-3-glycerol-phosphate synthase [Methanobrevibacter smithii] 
gi|490132431|ref|WP_004032794.1|	MULTISPECIES: anthranilate phosphoribosyltransferase [Methanobrevibacter] 
gi|490135587|ref|WP_004035947.1|	anthranilate synthase subunit II [Methanobrevibacter smithii] 
gi|490135588|ref|WP_004035948.1|	anthranilate synthase subunit I [Methanobrevibacter smithii] 
gi|490132428|ref|WP_004032791.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132427|ref|WP_004032790.1|	peptidase [Methanobrevibacter smithii] 
gi|490132426|ref|WP_004032789.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132425|ref|WP_004032788.1|	Cro/Cl family transcriptional regulator [Methanobrevibacter smithii] 
gi|490132424|ref|WP_004032787.1|	adenylosuccinate lyase [Methanobrevibacter smithii] 
gi|490135589|ref|WP_004035949.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135591|ref|WP_004035951.1|	copper-exporting P-type ATPase A [Methanobrevibacter smithii] 
gi|490135593|ref|WP_004035953.1|	amidohydrolase [Methanobrevibacter smithii] 
gi|490132419|ref|WP_004032782.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135595|ref|WP_004035955.1|	MULTISPECIES: tRNA pseudouridine synthase D [Methanobrevibacter] 
gi|490132417|ref|WP_004032780.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132416|ref|WP_004032779.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132415|ref|WP_004032778.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Methanobrevibacter] 
gi|490135598|ref|WP_004035958.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135600|ref|WP_004035960.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135602|ref|WP_004035962.1|	oxidoreductase [Methanobrevibacter smithii] 
gi|490132411|ref|WP_004032774.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132410|ref|WP_004032773.1|	MULTISPECIES: GTP-binding protein [Methanobrevibacter] 
gi|490132409|ref|WP_004032772.1|	metallophosphatase [Methanobrevibacter smithii] 
gi|490135615|ref|WP_004035975.1|	membrane protein [Methanobrevibacter smithii] 
gi|490132406|ref|WP_004032769.1|	MULTISPECIES: cobalt-precorrin-6Y C(5)-methyltransferase [Methanobrevibacter] 
gi|490135617|ref|WP_004035977.1|	adhesin [Methanobrevibacter smithii] 
gi|490135619|ref|WP_004035979.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132402|ref|WP_004032765.1|	arsenic transporter ATPase [Methanobrevibacter smithii] 
gi|490132401|ref|WP_004032764.1|	MULTISPECIES: NAD synthetase [Methanobrevibacter] 
gi|490135622|ref|WP_004035982.1|	MULTISPECIES: leucyl-tRNA synthetase [Methanobrevibacter] 
gi|490132399|ref|WP_004032762.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490135624|ref|WP_004035984.1|	MULTISPECIES: peptidase [Methanobrevibacter] 
gi|490135626|ref|WP_004035986.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132394|ref|WP_004032758.1|	MULTISPECIES: ATPase AAA [Methanobrevibacter] 
gi|490135629|ref|WP_004035989.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490135630|ref|WP_004035990.1|	ATPase [Methanobrevibacter smithii] 
gi|490135631|ref|WP_004035991.1|	shikimate dehydrogenase [Methanobrevibacter smithii] 
gi|490135633|ref|WP_004035993.1|	MULTISPECIES: peptidase [Methanobrevibacter] 
gi|490135635|ref|WP_004035995.1|	histidyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490132388|ref|WP_004032752.1|	phosphoribosyl-AMP cyclohydrolase [Methanobrevibacter smithii] 
gi|490135637|ref|WP_004035997.1|	ATPase [Methanobrevibacter smithii] 
gi|490132386|ref|WP_004032750.1|	MULTISPECIES: sugar phosphate isomerase [Methanobrevibacter] 
gi|490135638|ref|WP_004035998.1|	methylated-DNA--protein-cysteine methyltransferase [Methanobrevibacter smithii] 
gi|490135640|ref|WP_004036000.1|	potassium transporter [Methanobrevibacter smithii] 
gi|490132383|ref|WP_004032747.1|	MULTISPECIES: putative ATP-dependent RNA helicase [Methanobrevibacter] 
gi|490135648|ref|WP_004036008.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135650|ref|WP_004036010.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135653|ref|WP_004036013.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135661|ref|WP_004036021.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135662|ref|WP_004036022.1|	UDP-N-acetylmuramate--alanine ligase [Methanobrevibacter smithii] 
gi|490135663|ref|WP_004036023.1|	MULTISPECIES: UDP-N-acetylmuramoylalanine--D-glutamate ligase [Methanobrevibacter] 
gi|490135664|ref|WP_004036024.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135665|ref|WP_004036025.1|	phosphoesterase [Methanobrevibacter smithii] 
gi|490132376|ref|WP_004032740.1|	MULTISPECIES: 30S ribosomal protein S15 [Methanobrevibacter] 
gi|490135667|ref|WP_004036027.1|	deoxyribonucleotide triphosphate pyrophosphatase [Methanobrevibacter smithii] 
gi|490135669|ref|WP_004036029.1|	ATPase [Methanobrevibacter smithii] 
gi|490135671|ref|WP_004036031.1|	bifunctional UGMP/serine/threonine protein kinase [Methanobrevibacter smithii] 
gi|490132372|ref|WP_004032736.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135674|ref|WP_004036034.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132370|ref|WP_004032734.1|	UDP-diphosphatase [Methanobrevibacter smithii] 
gi|490132369|ref|WP_004032733.1|	MULTISPECIES: branched-chain amino acid aminotransferase [Methanobrevibacter] 
gi|490135675|ref|WP_004036035.1|	peptidase M48 [Methanobrevibacter smithii] 
gi|490132367|ref|WP_004032731.1|	methylenetetrahydromethanopterin dehydrogenase [Methanobrevibacter smithii] 
gi|490135676|ref|WP_004036036.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135677|ref|WP_004036037.1|	imidazoleglycerol-phosphate dehydratase [Methanobrevibacter smithii] 
gi|490135679|ref|WP_004036039.1|	molybdate transporter regulatory protein [Methanobrevibacter smithii] 
gi|490135681|ref|WP_004036041.1|	multidrug transporter MatE [Methanobrevibacter smithii] 
gi|490135683|ref|WP_004036043.1|	Fe-S cluster protein [Methanobrevibacter smithii] 
gi|490135685|ref|WP_004036045.1|	major facilitator transporter [Methanobrevibacter smithii] 
gi|490135688|ref|WP_004036048.1|	phosphoserine phosphatase [Methanobrevibacter smithii] 
gi|490135690|ref|WP_004036050.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132358|ref|WP_004032722.1|	MULTISPECIES: 3-hexulose-6-phosphate synthase [Methanobrevibacter] 
gi|490135692|ref|WP_004036052.1|	threonyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490135702|ref|WP_004036062.1|	cobyrinic acid a,c-diamide synthase [Methanobrevibacter smithii] 
gi|490135704|ref|WP_004036064.1|	membrane protein [Methanobrevibacter smithii] 
gi|490132353|ref|WP_004032717.1|	type II restriction endonuclease [Methanobrevibacter smithii] 
gi|490135706|ref|WP_004036066.1|	MULTISPECIES: stationary phase survival protein SurE [Methanobrevibacter] 
gi|490132351|ref|WP_004032715.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132347|ref|WP_004032712.1|	MULTISPECIES: LSM domain protein [Methanobrevibacter] 
gi|490135709|ref|WP_004036069.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132345|ref|WP_004032710.1|	MULTISPECIES: ketol-acid reductoisomerase [Methanobrevibacter] 
gi|490135711|ref|WP_004036071.1|	carbonic anhydrase [Methanobrevibacter smithii] 
gi|490132343|ref|WP_004032708.1|	MULTISPECIES: acetolactate synthase [Methanobrevibacter] 
gi|490135719|ref|WP_004036079.1|	MULTISPECIES: acetolactate synthase [Methanobrevibacter] 
gi|490132340|ref|WP_004032705.1|	MULTISPECIES: ornithine carbamoyltransferase [Methanobrevibacter] 
gi|490135721|ref|WP_004036081.1|	phosphoribosylamine--glycine ligase [Methanobrevibacter smithii] 
gi|490135724|ref|WP_004036084.1|	multidrug transporter MatE [Methanobrevibacter smithii] 
gi|490135726|ref|WP_004036086.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135728|ref|WP_004036088.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135730|ref|WP_004036090.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135732|ref|WP_004036092.1|	multidrug transporter MatE [Methanobrevibacter smithii] 
gi|490135734|ref|WP_004036094.1|	MULTISPECIES: ArsR family transcriptional regulator [Methanobrevibacter] 
gi|490135735|ref|WP_004036095.1|	MULTISPECIES: arginyl-tRNA synthetase [Methanobrevibacter] 
gi|490135737|ref|WP_004036097.1|	signal peptidase I [Methanobrevibacter smithii] 
gi|490135740|ref|WP_004036100.1|	glutamate-1-semialdehyde aminotransferase [Methanobrevibacter smithii] 
gi|490135741|ref|WP_004036101.1|	MULTISPECIES: precorrin-8X methylmutase [Methanobrevibacter] 
gi|490135742|ref|WP_004036102.1|	flavoprotein [Methanobrevibacter smithii] 
gi|490132324|ref|WP_004032689.1|	aspartyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490135743|ref|WP_004036103.1|	dihydroxy-acid dehydratase [Methanobrevibacter smithii] 
gi|490135744|ref|WP_004036104.1|	histidinol dehydrogenase [Methanobrevibacter smithii] 
gi|490135745|ref|WP_004036105.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135746|ref|WP_004036106.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490135747|ref|WP_004036107.1|	MULTISPECIES: cobyric acid synthase CobQ [Methanobrevibacter] 
gi|490132317|ref|WP_004032682.1|	MULTISPECIES: tryptophan synthase subunit beta [Methanobrevibacter] 
gi|490135748|ref|WP_004036108.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135749|ref|WP_004036109.1|	MULTISPECIES: metal-dependent phosphoesterase [Methanobrevibacter] 
gi|490132313|ref|WP_004032678.1|	MULTISPECIES: DNA-binding protein [Methanobrevibacter] 
gi|490135754|ref|WP_004036114.1|	2-isopropylmalate synthase [Methanobrevibacter smithii] 
gi|490135755|ref|WP_004036115.1|	serine/threonine protein kinase [Methanobrevibacter smithii] 
gi|490135756|ref|WP_004036116.1|	ABC transporter permease [Methanobrevibacter smithii] 
gi|490132307|ref|WP_004032672.1|	MULTISPECIES: daunorubicin ABC transporter ATPase [Methanobrevibacter] 
gi|490135757|ref|WP_004036117.1|	PadR family transcripitonal regulator [Methanobrevibacter smithii] 
gi|490135758|ref|WP_004036118.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135760|ref|WP_004036120.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135762|ref|WP_004036122.1|	MULTISPECIES: haloacid dehalogenase [Methanobrevibacter] 
