gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698025|ref|WP_005926034.1|	propionyl-CoA carboxylase [Faecalibacterium prausnitzii] 
gi|492698029|ref|WP_005926037.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698033|ref|WP_005926040.1|	glycerophosphodiester phosphodiesterase [Faecalibacterium prausnitzii] 
gi|492698037|ref|WP_005926042.1|	elongation factor Ts [Faecalibacterium prausnitzii] 
gi|492698042|ref|WP_005926045.1|	30S ribosomal protein S2 [Faecalibacterium prausnitzii] 
gi|492698046|ref|WP_005926048.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698051|ref|WP_005926051.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698054|ref|WP_005926053.1|	photosystem reaction center subunit H [Faecalibacterium prausnitzii] 
gi|492698059|ref|WP_005926056.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698064|ref|WP_005926059.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492698068|ref|WP_005926062.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698073|ref|WP_005926065.1|	flavodoxin [Faecalibacterium prausnitzii] 
gi|492698077|ref|WP_005926068.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698082|ref|WP_005926071.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492698088|ref|WP_005926075.1|	peptidase U32 [Faecalibacterium prausnitzii] 
gi|492698092|ref|WP_005926078.1|	aminodeoxychorismate lyase [Faecalibacterium prausnitzii] 
gi|492698094|ref|WP_005926080.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698096|ref|WP_005926082.1|	thymidylate kinase [Faecalibacterium prausnitzii] 
gi|492698099|ref|WP_005926085.1|	FAD-dependent thymidylate synthase [Faecalibacterium prausnitzii] 
gi|492698101|ref|WP_005926087.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698104|ref|WP_005926090.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698110|ref|WP_005926093.1|	GntR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492698115|ref|WP_005926096.1|	aspartate carbamoyltransferase [Faecalibacterium prausnitzii] 
gi|492698119|ref|WP_005926098.1|	aspartate carbamoyltransferase [Faecalibacterium prausnitzii] 
gi|492698124|ref|WP_005926101.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698129|ref|WP_005926104.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492698134|ref|WP_005926107.1|	hisitidine kinase [Faecalibacterium prausnitzii] 
gi|492698137|ref|WP_005926109.1|	transporter [Faecalibacterium prausnitzii] 
gi|492698140|ref|WP_005926111.1|	RNA pseudouridine synthase [Faecalibacterium prausnitzii] 
gi|492698145|ref|WP_005926114.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698150|ref|WP_005926118.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698157|ref|WP_005926122.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698161|ref|WP_005926125.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698166|ref|WP_005926128.1|	peptidase M50 [Faecalibacterium prausnitzii] 
gi|492698172|ref|WP_005926132.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698177|ref|WP_005926135.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698182|ref|WP_005926138.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698187|ref|WP_005926141.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698191|ref|WP_005926144.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698197|ref|WP_005926148.1|	MULTISPECIES: hypothetical protein [Faecalibacterium] 
gi|492698201|ref|WP_005926151.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492698206|ref|WP_005926154.1|	aminotransferase V [Faecalibacterium prausnitzii] 
gi|492698235|ref|WP_005926172.1|	elongation factor Tu [Faecalibacterium prausnitzii] 
gi|492698240|ref|WP_005926175.1|	elongation factor P [Faecalibacterium prausnitzii] 
gi|492698246|ref|WP_005926179.1|	30S ribosomal protein S7 [Faecalibacterium prausnitzii] 
gi|492698251|ref|WP_005926182.1|	30S ribosomal protein S12 [Faecalibacterium prausnitzii] 
gi|492698254|ref|WP_005926184.1|	DNA-directed RNA polymerase subunit beta' [Faecalibacterium prausnitzii] 
gi|492698259|ref|WP_005926187.1|	DNA-directed RNA polymerase subunit beta [Faecalibacterium prausnitzii] 
gi|492698263|ref|WP_005926190.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698268|ref|WP_005926193.1|	RNA polymerase sigma factor RpoD [Faecalibacterium prausnitzii] 
gi|492698273|ref|WP_005926196.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698277|ref|WP_005926198.1|	deoxyguanosinetriphosphate triphosphohydrolase [Faecalibacterium prausnitzii] 
gi|492698282|ref|WP_005926201.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698287|ref|WP_005926204.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698291|ref|WP_005926207.1|	electron transfer protein subunit alpha [Faecalibacterium prausnitzii] 
gi|492698297|ref|WP_005926210.1|	electron transfer flavoprotein subunit beta [Faecalibacterium prausnitzii] 
gi|492698302|ref|WP_005926213.1|	acyl-CoA dehydrogenase [Faecalibacterium prausnitzii] 
gi|492698307|ref|WP_005926216.1|	3-hydroxybutyryl-CoA dehydrogenase [Faecalibacterium prausnitzii] 
gi|492698312|ref|WP_005926219.1|	enoyl-CoA hydratase [Faecalibacterium prausnitzii] 
gi|492698316|ref|WP_005926222.1|	acetyl-CoA acetyltransferase [Faecalibacterium prausnitzii] 
gi|492698321|ref|WP_005926225.1|	phosphopantetheine adenylyltransferase [Faecalibacterium prausnitzii] 
gi|492698326|ref|WP_005926228.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698331|ref|WP_005926231.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698337|ref|WP_005926234.1|	4-hydroxybutyrate CoA-transferase [Faecalibacterium prausnitzii] 
gi|492698342|ref|WP_005926237.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492698347|ref|WP_005926240.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698353|ref|WP_005926243.1|	coenzyme PQQ biosynthesis protein E [Faecalibacterium prausnitzii] 
gi|492698358|ref|WP_005926246.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698361|ref|WP_005926248.1|	TetR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492698364|ref|WP_005926251.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698367|ref|WP_005926254.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698372|ref|WP_005926257.1|	gamma-glutamyl kinase [Faecalibacterium prausnitzii] 
gi|492698377|ref|WP_005926260.1|	gamma-glutamyl phosphate reductase [Faecalibacterium prausnitzii] 
gi|492698382|ref|WP_005926263.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698387|ref|WP_005926266.1|	methylglyoxal synthase [Faecalibacterium prausnitzii] 
gi|492698393|ref|WP_005926269.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698397|ref|WP_005926272.1|	acetyltransferase [Faecalibacterium prausnitzii] 
gi|492698400|ref|WP_005926274.1|	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase [Faecalibacterium prausnitzii] 
gi|492698403|ref|WP_005926276.1|	pheromone binding protein [Faecalibacterium prausnitzii] 
gi|492698406|ref|WP_005926278.1|	beta-lactamase [Faecalibacterium prausnitzii] 
gi|492698411|ref|WP_005926281.1|	DNA recombination protein RmuC [Faecalibacterium prausnitzii] 
gi|492698415|ref|WP_005926284.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698420|ref|WP_005926287.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698425|ref|WP_005926290.1|	phosphinothricin N-acetyltransferase [Faecalibacterium prausnitzii] 
gi|492698429|ref|WP_005926293.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698435|ref|WP_005926297.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698441|ref|WP_005926301.1|	lipase [Faecalibacterium prausnitzii] 
gi|492698446|ref|WP_005926304.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698452|ref|WP_005926307.1|	heat shock protein 90 [Faecalibacterium prausnitzii] 
gi|492698455|ref|WP_005926310.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698460|ref|WP_005926313.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698465|ref|WP_005926317.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698469|ref|WP_005926319.1|	galactokinase [Faecalibacterium prausnitzii] 
gi|492698473|ref|WP_005926321.1|	galactose-1-phosphate uridylyltransferase [Faecalibacterium prausnitzii] 
gi|492698477|ref|WP_005926324.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698482|ref|WP_005926327.1|	copper homeostasis protein CutC [Faecalibacterium prausnitzii] 
gi|492698487|ref|WP_005926330.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698493|ref|WP_005926334.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698499|ref|WP_005926337.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492698505|ref|WP_005926341.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698510|ref|WP_005926344.1|	cobalt chelatase [Faecalibacterium prausnitzii] 
gi|492698515|ref|WP_005926347.1|	iron transporter [Faecalibacterium prausnitzii] 
gi|492698518|ref|WP_005926349.1|	iron ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492698521|ref|WP_005926351.1|	iron ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492698525|ref|WP_005926353.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698528|ref|WP_005926355.1|	cobalt-precorrin-4 C(11)-methyltransferase [Faecalibacterium prausnitzii] 
gi|492698531|ref|WP_005926357.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698535|ref|WP_005926359.1|	precorrin-3B C17-methyltransferase [Faecalibacterium prausnitzii] 
gi|492698539|ref|WP_005926362.1|	precorrin-6X reductase [Faecalibacterium prausnitzii] 
gi|492698545|ref|WP_005926366.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698551|ref|WP_005926369.1|	cobyrinic acid a,c-diamide synthase [Faecalibacterium prausnitzii] 
gi|492698556|ref|WP_005926372.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492698561|ref|WP_005926375.1|	adenosylcobinamide kinase [Faecalibacterium prausnitzii] 
gi|492698566|ref|WP_005926378.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698571|ref|WP_005926382.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698575|ref|WP_005926385.1|	phosphoglycerate mutase [Faecalibacterium prausnitzii] 
gi|492698580|ref|WP_005926388.1|	cobalamin biosynthesis protein CobD [Faecalibacterium prausnitzii] 
gi|492698585|ref|WP_005926391.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698590|ref|WP_005926395.1|	cobyric acid synthase [Faecalibacterium prausnitzii] 
gi|492698594|ref|WP_005926398.1|	precorrin-8X methylmutase [Faecalibacterium prausnitzii] 
gi|492698598|ref|WP_005926401.1|	peptidase S51 [Faecalibacterium prausnitzii] 
gi|492698604|ref|WP_005926404.1|	peptidase S54 [Faecalibacterium prausnitzii] 
gi|492698609|ref|WP_005926407.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698614|ref|WP_005926410.1|	SAM-dependent methyltransferase [Faecalibacterium prausnitzii] 
gi|492698619|ref|WP_005926413.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698624|ref|WP_005926416.1|	glutamine synthetase [Faecalibacterium prausnitzii] 
gi|492698631|ref|WP_005926419.1|	glutamine synthetase [Faecalibacterium prausnitzii] 
gi|492698636|ref|WP_005926422.1|	transcription antitermination regulator [Faecalibacterium prausnitzii] 
gi|492698642|ref|WP_005926426.1|	CTP synthetase [Faecalibacterium prausnitzii] 
gi|492698650|ref|WP_005926431.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698655|ref|WP_005926434.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698659|ref|WP_005926437.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698664|ref|WP_005926440.1|	MerR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492698668|ref|WP_005926443.1|	aminopeptidase [Faecalibacterium prausnitzii] 
gi|492698673|ref|WP_005926446.1|	transglycosylase [Faecalibacterium prausnitzii] 
gi|492698678|ref|WP_005926449.1|	dephospho-CoA kinase [Faecalibacterium prausnitzii] 
gi|492698683|ref|WP_005926452.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698689|ref|WP_005926455.1|	peptide chain release factor 1 [Faecalibacterium prausnitzii] 
gi|492698694|ref|WP_005926458.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698699|ref|WP_005926461.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698705|ref|WP_005926464.1|	RNA-binding protein [Faecalibacterium prausnitzii] 
gi|492698710|ref|WP_005926467.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698715|ref|WP_005926470.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698718|ref|WP_005926472.1|	stage IV sporulation protein A [Faecalibacterium prausnitzii] 
gi|492698721|ref|WP_005926474.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492698726|ref|WP_005926477.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698731|ref|WP_005926480.1|	UDP-phosphate galactose phosphotransferase [Faecalibacterium prausnitzii] 
gi|492698736|ref|WP_005926483.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698740|ref|WP_005926486.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492698745|ref|WP_005926489.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698751|ref|WP_005926492.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698755|ref|WP_005926495.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698760|ref|WP_005926498.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698765|ref|WP_005926501.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698770|ref|WP_005926504.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698773|ref|WP_005926506.1|	chromate transporter [Faecalibacterium prausnitzii] 
gi|492698776|ref|WP_005926508.1|	chromate transporter [Faecalibacterium prausnitzii] 
gi|492698779|ref|WP_005926510.1|	acyl-ACP thioesterase [Faecalibacterium prausnitzii] 
gi|492698782|ref|WP_005926512.1|	spermidine/putrescine ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492698785|ref|WP_005926514.1|	putrescine aminotransferase [Faecalibacterium prausnitzii] 
gi|492698788|ref|WP_005926516.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492698792|ref|WP_005926519.1|	spermidine/putrescine ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492698796|ref|WP_005926521.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698801|ref|WP_005926524.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698805|ref|WP_005926527.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492698810|ref|WP_005926530.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492698816|ref|WP_005926533.1|	MULTISPECIES: 50S ribosomal protein L31 [Faecalibacterium] 
gi|492698822|ref|WP_005926536.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698828|ref|WP_005926539.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492698833|ref|WP_005926542.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698838|ref|WP_005926545.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698843|ref|WP_005926548.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698851|ref|WP_005926553.1|	phosphoglucosamine mutase [Faecalibacterium prausnitzii] 
gi|492698855|ref|WP_005926556.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698861|ref|WP_005926559.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Faecalibacterium prausnitzii] 
gi|492698865|ref|WP_005926562.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698870|ref|WP_005926565.1|	sugar transporter [Faecalibacterium prausnitzii] 
gi|492698875|ref|WP_005926568.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698880|ref|WP_005926571.1|	UDP-galactopyranose mutase [Faecalibacterium prausnitzii] 
gi|492698885|ref|WP_005926574.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698890|ref|WP_005926577.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698896|ref|WP_005926580.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698901|ref|WP_005926583.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698906|ref|WP_005926586.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698912|ref|WP_005926590.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698916|ref|WP_005926593.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698922|ref|WP_005926596.1|	UDP-N-acetylglucosamine 2-epimerase [Faecalibacterium prausnitzii] 
gi|492698927|ref|WP_005926599.1|	capsular polysaccharide biosynthesis protein Cap8F [Faecalibacterium prausnitzii] 
gi|492698931|ref|WP_005926602.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698935|ref|WP_005926605.1|	capsular polysaccharide biosynthesis protein [Faecalibacterium prausnitzii] 
gi|492698941|ref|WP_005926608.1|	multidrug MFS transporter [Faecalibacterium prausnitzii] 
gi|492698945|ref|WP_005926611.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698950|ref|WP_005926614.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698955|ref|WP_005926617.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698960|ref|WP_005926620.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698964|ref|WP_005926623.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698970|ref|WP_005926626.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698974|ref|WP_005926629.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698977|ref|WP_005926631.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698982|ref|WP_005926634.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698986|ref|WP_005926637.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698991|ref|WP_005926640.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492698996|ref|WP_005926643.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699000|ref|WP_005926646.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699006|ref|WP_005926650.1|	nicotinate phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492699012|ref|WP_005926653.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699017|ref|WP_005926656.1|	inosine 5'-monophosphate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492699023|ref|WP_005926659.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699027|ref|WP_005926661.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699030|ref|WP_005926663.1|	aspartate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492699033|ref|WP_005926665.1|	dihydrofolate reductase [Faecalibacterium prausnitzii] 
gi|492699036|ref|WP_005926667.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699039|ref|WP_005926669.1|	phosphomethylpyrimidine kinase [Faecalibacterium prausnitzii] 
gi|492699043|ref|WP_005926671.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699048|ref|WP_005926674.1|	Orn/Lys/Arg decarboxylase [Faecalibacterium prausnitzii] 
gi|492699055|ref|WP_005926678.1|	radical SAM protein [Faecalibacterium prausnitzii] 
gi|492699060|ref|WP_005926681.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699064|ref|WP_005926683.1|	MULTISPECIES: hypothetical protein [Faecalibacterium] 
gi|492699069|ref|WP_005926686.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699075|ref|WP_005926689.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699080|ref|WP_005926692.1|	5'-nucleotidase [Faecalibacterium prausnitzii] 
gi|492699085|ref|WP_005926695.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699088|ref|WP_005926697.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699093|ref|WP_005926700.1|	histidinol phosphatase [Faecalibacterium prausnitzii] 
gi|492699099|ref|WP_005926703.1|	hydratase [Faecalibacterium prausnitzii] 
gi|492699104|ref|WP_005926706.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699109|ref|WP_005926709.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492699113|ref|WP_005926712.1|	arginine ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492699118|ref|WP_005926715.1|	polar amino acid ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699123|ref|WP_005926718.1|	amino acid ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492699128|ref|WP_005926721.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699132|ref|WP_005926724.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699135|ref|WP_005926726.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699141|ref|WP_005926729.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699146|ref|WP_005926732.1|	single-stranded DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492699150|ref|WP_005926735.1|	recombinase RecR [Faecalibacterium prausnitzii] 
gi|492699155|ref|WP_005926738.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699159|ref|WP_005926741.1|	DNA polymerase III subunit gamma/tau [Faecalibacterium prausnitzii] 
gi|492699164|ref|WP_005926744.1|	phosphotransacetylase [Faecalibacterium prausnitzii] 
gi|492699169|ref|WP_005926747.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699175|ref|WP_005926751.1|	DNA polymerase [Faecalibacterium prausnitzii] 
gi|492699179|ref|WP_005926754.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699184|ref|WP_005926757.1|	ATP-dependent helicase [Faecalibacterium prausnitzii] 
gi|492699189|ref|WP_005926760.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699195|ref|WP_005926763.1|	serine hydroxymethyltransferase [Faecalibacterium prausnitzii] 
gi|492699200|ref|WP_005926766.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699204|ref|WP_005926769.1|	5-formyltetrahydrofolate cyclo-ligase [Faecalibacterium prausnitzii] 
gi|492699210|ref|WP_005926772.1|	sugar ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492699214|ref|WP_005926775.1|	tetrahydrofolate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492699219|ref|WP_005926778.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Faecalibacterium prausnitzii] 
gi|492699223|ref|WP_005926780.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699227|ref|WP_005926783.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492699231|ref|WP_005926786.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699236|ref|WP_005926789.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492699241|ref|WP_005926792.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699244|ref|WP_005926794.1|	transporter [Faecalibacterium prausnitzii] 
gi|492699249|ref|WP_005926797.1|	MFS transporter [Faecalibacterium prausnitzii] 
gi|492699254|ref|WP_005926800.1|	beta-lactamase [Faecalibacterium prausnitzii] 
gi|492699260|ref|WP_005926804.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699265|ref|WP_005926807.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699269|ref|WP_005926810.1|	metallo-beta-lactamase [Faecalibacterium prausnitzii] 
gi|492699274|ref|WP_005926813.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699278|ref|WP_005926815.1|	GTP-binding protein [Faecalibacterium prausnitzii] 
gi|492699283|ref|WP_005926818.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699288|ref|WP_005926821.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699292|ref|WP_005926824.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699297|ref|WP_005926828.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699301|ref|WP_005926830.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699304|ref|WP_005926832.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699307|ref|WP_005926834.1|	glutamine amidotransferase [Faecalibacterium prausnitzii] 
gi|492699311|ref|WP_005926836.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699313|ref|WP_005926838.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699316|ref|WP_005926840.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699320|ref|WP_005926842.1|	RNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492699324|ref|WP_005926844.1|	RNA-binding protein [Faecalibacterium prausnitzii] 
gi|492699328|ref|WP_005926847.1|	cell-division initiation protein [Faecalibacterium prausnitzii] 
gi|492699333|ref|WP_005926850.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699338|ref|WP_005926853.1|	sporulation protein [Faecalibacterium prausnitzii] 
gi|492699342|ref|WP_005926856.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699347|ref|WP_005926859.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492699352|ref|WP_005926862.1|	nucleotide pyrophosphohydrolase [Faecalibacterium prausnitzii] 
gi|492699355|ref|WP_005926864.1|	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C [Faecalibacterium prausnitzii] 
gi|492699361|ref|WP_005926868.1|	phosphoribulokinase [Faecalibacterium prausnitzii] 
gi|492699363|ref|WP_005926870.1|	radical SAM protein [Faecalibacterium prausnitzii] 
gi|492699365|ref|WP_005926872.1|	metallo-beta-lactamase [Faecalibacterium prausnitzii] 
gi|492699366|ref|WP_005926873.1|	D-tyrosyl-tRNA(Tyr) deacylase [Faecalibacterium prausnitzii] 
gi|492699368|ref|WP_005926875.1|	(p)ppGpp synthetase [Faecalibacterium prausnitzii] 
gi|492699370|ref|WP_005926877.1|	recombinase RecJ [Faecalibacterium prausnitzii] 
gi|492699372|ref|WP_005926879.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699374|ref|WP_005926881.1|	oxidoreductase [Faecalibacterium prausnitzii] 
gi|492699376|ref|WP_005926883.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699378|ref|WP_005926885.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492699380|ref|WP_005926887.1|	hypothetical protein [Faecalibacterium prausnitzii] 
