gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428467|ref|WP_004300616.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|490428468|ref|WP_004300617.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490428469|ref|WP_004300618.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428470|ref|WP_004300619.1|	glycosyltransferase family 2 [Bacteroides ovatus] 
gi|490428471|ref|WP_004300620.1|	alanine acetyltransferase [Bacteroides ovatus] 
gi|490428472|ref|WP_004300621.1|	30S ribosomal protein S6 modification protein [Bacteroides ovatus] 
gi|490428473|ref|WP_004300622.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|490428474|ref|WP_004300623.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|490428475|ref|WP_004300624.1|	fucose isomerase [Bacteroides ovatus] 
gi|490428476|ref|WP_004300625.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428477|ref|WP_004300626.1|	MULTISPECIES: histidinol phosphatase [Bacteroides] 
gi|490428478|ref|WP_004300627.1|	MULTISPECIES: ABC transporter [Bacteroides] 
gi|490428479|ref|WP_004300628.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428480|ref|WP_004300629.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428481|ref|WP_004300630.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428482|ref|WP_004300631.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|490428483|ref|WP_004300632.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428484|ref|WP_004300633.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428485|ref|WP_004300634.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428486|ref|WP_004300635.1|	ligand-gated channel [Bacteroides ovatus] 
gi|490428487|ref|WP_004300636.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428488|ref|WP_004300637.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428489|ref|WP_004300638.1|	L-cysteine desulfhydrase [Bacteroides ovatus] 
gi|490428490|ref|WP_004300639.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|490428491|ref|WP_004300640.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428492|ref|WP_004300641.1|	siderophore biosynthesis protein [Bacteroides ovatus] 
gi|490428493|ref|WP_004300642.1|	hemolysin [Bacteroides ovatus] 
gi|490428494|ref|WP_004300643.1|	single-stranded DNA-binding protein [Bacteroides ovatus] 
gi|490428495|ref|WP_004300644.1|	adenine glycosylase [Bacteroides ovatus] 
gi|490428496|ref|WP_004300645.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428497|ref|WP_004300646.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490428498|ref|WP_004300647.1|	ribonuclease G [Bacteroides ovatus] 
gi|490428499|ref|WP_004300648.1|	ATPase AAA [Bacteroides ovatus] 
gi|490428500|ref|WP_004300649.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428501|ref|WP_004300650.1|	tyrosine recombinase [Bacteroides ovatus] 
gi|490428503|ref|WP_004300651.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428504|ref|WP_004300652.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428505|ref|WP_004300653.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428506|ref|WP_004300654.1|	integrase [Bacteroides ovatus] 
gi|490428507|ref|WP_004300655.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428508|ref|WP_004300656.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428509|ref|WP_004300657.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428510|ref|WP_004300658.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428511|ref|WP_004300659.1|	DNA helicase [Bacteroides ovatus] 
gi|490428512|ref|WP_004300660.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490428513|ref|WP_004300661.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428514|ref|WP_004300662.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides ovatus] 
gi|490428515|ref|WP_004300663.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428516|ref|WP_004300664.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428517|ref|WP_004300665.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428518|ref|WP_004300666.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428519|ref|WP_004300667.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428520|ref|WP_004300668.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428521|ref|WP_004300669.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490428522|ref|WP_004300670.1|	NADH-dependent butanol dehydrogenase [Bacteroides ovatus] 
gi|490428523|ref|WP_004300671.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428524|ref|WP_004300672.1|	membrane protein [Bacteroides ovatus] 
gi|490428526|ref|WP_004300674.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428528|ref|WP_004300676.1|	CDP-diacylglycerol-inositol 3-phosphatidyltransferase [Bacteroides ovatus] 
gi|490428530|ref|WP_004300678.1|	CDP-alcohol phosphatidyltransferase [Bacteroides ovatus] 
gi|490428532|ref|WP_004300680.1|	phosphatidylglycerophosphatase [Bacteroides ovatus] 
gi|490428534|ref|WP_004300682.1|	MULTISPECIES: inositol-3-phosphate synthase [Bacteroides] 
gi|490428535|ref|WP_004300683.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490428537|ref|WP_004300685.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428539|ref|WP_004300687.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490428542|ref|WP_004300690.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428544|ref|WP_004300692.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428546|ref|WP_004300694.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490428548|ref|WP_004300696.1|	ABC transporter permease [Bacteroides ovatus] 
gi|490428550|ref|WP_004300698.1|	ABC transporter permease [Bacteroides ovatus] 
gi|490428552|ref|WP_004300700.1|	cell division protein FtsX [Bacteroides ovatus] 
gi|490428553|ref|WP_004300701.1|	multidrug ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490428555|ref|WP_004300703.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428556|ref|WP_004300704.1|	MULTISPECIES: macrolide ABC transporter ATP-binding protein [Bacteroides] 
gi|490428558|ref|WP_004300706.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|490428561|ref|WP_004300709.1|	NADH dehydrogenase [Bacteroides ovatus] 
gi|490428563|ref|WP_004300711.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides ovatus] 
gi|490428565|ref|WP_004300713.1|	cytidine deaminase [Bacteroides ovatus] 
gi|490428567|ref|WP_004300715.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490428570|ref|WP_004300718.1|	membrane protein [Bacteroides ovatus] 
gi|490428572|ref|WP_004300720.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides ovatus] 
gi|490428574|ref|WP_004300722.1|	ABC transporter ATP-binding protein [Bacteroides ovatus] 
gi|490428576|ref|WP_004300724.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428578|ref|WP_004300726.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428580|ref|WP_004300728.1|	NADH pyrophosphatase [Bacteroides ovatus] 
gi|490428582|ref|WP_004300730.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490428584|ref|WP_004300732.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428585|ref|WP_004300733.1|	acyltransferase [Bacteroides ovatus] 
gi|490428587|ref|WP_004300735.1|	membrane protein [Bacteroides ovatus] 
gi|490428589|ref|WP_004300737.1|	MULTISPECIES: phosphoglucomutase [Bacteroides] 
gi|490428592|ref|WP_004300740.1|	MULTISPECIES: peptidase C69 [Bacteroides] 
gi|490428594|ref|WP_004300742.1|	peptidase M23 [Bacteroides ovatus] 
gi|490428596|ref|WP_004300744.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428597|ref|WP_004300745.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490428599|ref|WP_004300747.1|	membrane protein [Bacteroides ovatus] 
gi|490428601|ref|WP_004300749.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428603|ref|WP_004300751.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428605|ref|WP_004300753.1|	alanine dehydrogenase [Bacteroides ovatus] 
gi|490428606|ref|WP_004300754.1|	2-nitropropane dioxygenase [Bacteroides ovatus] 
gi|490428608|ref|WP_004300755.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428609|ref|WP_004300756.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428610|ref|WP_004300757.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428611|ref|WP_004300758.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|490428612|ref|WP_004300759.1|	MULTISPECIES: nicotinate-nucleotide pyrophosphorylase [Bacteroides] 
gi|490428613|ref|WP_004300760.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428614|ref|WP_004300761.1|	50S rRNA methyltransferase [Bacteroides ovatus] 
gi|490428615|ref|WP_004300762.1|	phosphohydrolase [Bacteroides ovatus] 
gi|490428616|ref|WP_004300763.1|	7-cyano-7-deazaguanine reductase [Bacteroides ovatus] 
gi|490428617|ref|WP_004300764.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428618|ref|WP_004300765.1|	MULTISPECIES: 7-cyano-7-deazaguanine synthase [Bacteroides] 
gi|490428619|ref|WP_004300766.1|	membrane protein [Bacteroides ovatus] 
gi|490428620|ref|WP_004300767.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428621|ref|WP_004300768.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteroides] 
gi|490428622|ref|WP_004300769.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428623|ref|WP_004300770.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428624|ref|WP_004300771.1|	membrane protein [Bacteroides ovatus] 
gi|490428625|ref|WP_004300772.1|	MULTISPECIES: 2-hydroxyacid dehydrogenase [Bacteroides] 
gi|490428626|ref|WP_004300773.1|	MULTISPECIES: pirin [Bacteroides] 
gi|490428627|ref|WP_004300774.1|	MULTISPECIES: pyridoxamine 5'-phosphate oxidase [Bacteroides] 
gi|490428628|ref|WP_004300775.1|	hydrolase [Bacteroides ovatus] 
gi|490428629|ref|WP_004300776.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428630|ref|WP_004300777.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428631|ref|WP_004300778.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428632|ref|WP_004300779.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428633|ref|WP_004300780.1|	methyltransferase [Bacteroides ovatus] 
gi|490428634|ref|WP_004300781.1|	MULTISPECIES: protein-disulfide isomerase [Bacteroides] 
gi|490428635|ref|WP_004300782.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428636|ref|WP_004300783.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428637|ref|WP_004300784.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428638|ref|WP_004300785.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424061|ref|WP_004296258.1|	transposase [Bacteroides ovatus] 
gi|490428639|ref|WP_004300786.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428640|ref|WP_004300787.1|	iron transporter FeoB [Bacteroides ovatus] 
gi|490428641|ref|WP_004300788.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428642|ref|WP_004300789.1|	tRNA(Ile)-lysidine synthetase [Bacteroides ovatus] 
gi|490428643|ref|WP_004300790.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|490428644|ref|WP_004300791.1|	transcription termination factor Rho [Bacteroides ovatus] 
gi|490428645|ref|WP_004300792.1|	sulfatase [Bacteroides ovatus] 
gi|490428646|ref|WP_004300793.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428647|ref|WP_004300794.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428648|ref|WP_004300795.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|490428649|ref|WP_004300796.1|	MULTISPECIES: signal recognition particle [Bacteroides] 
gi|490428650|ref|WP_004300797.1|	5,10-methylene-tetrahydrofolate dehydrogenase [Bacteroides ovatus] 
gi|490428651|ref|WP_004300798.1|	MULTISPECIES: capsular polysaccharide biosynthesis protein [Bacteroides] 
gi|490428652|ref|WP_004300799.1|	MULTISPECIES: PspC family transcriptional regulator [Bacteroides] 
gi|490428653|ref|WP_004300800.1|	MULTISPECIES: glyoxalase [Bacteroides] 
gi|490428654|ref|WP_004300801.1|	MULTISPECIES: DNA polymerase III subunit gamma/tau [Bacteroides] 
gi|490428655|ref|WP_004300802.1|	MULTISPECIES: septum formation initiator [Bacteroides] 
gi|490428656|ref|WP_004300803.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428657|ref|WP_004300804.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428658|ref|WP_004300805.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428659|ref|WP_004300806.1|	MULTISPECIES: aminoacyl-histidine dipeptidase [Bacteroides] 
gi|490428660|ref|WP_004300807.1|	MULTISPECIES: endonuclease [Bacteroides] 
gi|490428661|ref|WP_004300808.1|	membrane protein [Bacteroides ovatus] 
gi|490428662|ref|WP_004300809.1|	alpha-1,3/4-fucosidase [Bacteroides ovatus] 
gi|490428663|ref|WP_004300810.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490428664|ref|WP_004300811.1|	MULTISPECIES: beta-hexosaminidase [Bacteroides] 
gi|490428665|ref|WP_004300812.1|	sulfatase [Bacteroides ovatus] 
gi|490428666|ref|WP_004300813.1|	starch-binding protein [Bacteroides ovatus] 
gi|490428667|ref|WP_004300814.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490428668|ref|WP_004300815.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428669|ref|WP_004300816.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428670|ref|WP_004300817.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428671|ref|WP_004300818.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428672|ref|WP_004300819.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428673|ref|WP_004300820.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|490428674|ref|WP_004300821.1|	MULTISPECIES: mannose-1-phosphate guanyltransferase [Bacteroides] 
gi|490428675|ref|WP_004300822.1|	MULTISPECIES: phosphotransferase [Bacteroides] 
gi|490428676|ref|WP_004300823.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490428677|ref|WP_004300824.1|	MULTISPECIES: transaldolase [Bacteroides] 
gi|490428678|ref|WP_004300825.1|	MULTISPECIES: fructose-bisphosphate aldolase [Bacteroides] 
gi|490428679|ref|WP_004300826.1|	MULTISPECIES: phosphoglyceromutase [Bacteroides] 
gi|490428680|ref|WP_004300827.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428681|ref|WP_004300828.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428682|ref|WP_004300829.1|	carbohydrate-binding protein SusD [Bacteroides ovatus] 
gi|490428683|ref|WP_004300830.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490428684|ref|WP_004300831.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428685|ref|WP_004300832.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428686|ref|WP_004300833.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428687|ref|WP_004300834.1|	histidine kinase [Bacteroides ovatus] 
gi|490428688|ref|WP_004300835.1|	molybdenum ABC transporter ATP-binding protein [Bacteroides ovatus] 
gi|490428689|ref|WP_004300836.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428690|ref|WP_004300837.1|	alpha-glucuronidase [Bacteroides ovatus] 
gi|490428691|ref|WP_004300838.1|	MULTISPECIES: alpha-N-arabinofuranosidase [Bacteroides] 
gi|490428692|ref|WP_004300839.1|	endo-1,4-beta-xylanase [Bacteroides ovatus] 
gi|490428693|ref|WP_004300840.1|	sugar transporter [Bacteroides ovatus] 
gi|490428694|ref|WP_004300841.1|	MULTISPECIES: glycosyl hydrolase family 2 [Bacteroides] 
gi|490428695|ref|WP_004300842.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428696|ref|WP_004300843.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428697|ref|WP_004300844.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428698|ref|WP_004300845.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490428699|ref|WP_004300846.1|	hisitidine kinase [Bacteroides ovatus] 
gi|490428700|ref|WP_004300847.1|	pullulanase [Bacteroides ovatus] 
gi|490428701|ref|WP_004300848.1|	MULTISPECIES: Holliday junction resolvase [Bacteroides] 
gi|490428702|ref|WP_004300849.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428703|ref|WP_004300850.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428704|ref|WP_004300851.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428705|ref|WP_004300852.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428706|ref|WP_004300853.1|	membrane protein [Bacteroides ovatus] 
gi|490428707|ref|WP_004300854.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428708|ref|WP_004300855.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428709|ref|WP_004300856.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428710|ref|WP_004300857.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428711|ref|WP_004300858.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428712|ref|WP_004300859.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428713|ref|WP_004300860.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428714|ref|WP_004300861.1|	MULTISPECIES: energry transducer TonB [Bacteroides] 
gi|490428715|ref|WP_004300862.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit alpha [Bacteroides] 
gi|490428716|ref|WP_004300863.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428717|ref|WP_004300864.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|490428719|ref|WP_004300865.1|	MULTISPECIES: endonuclease III [Bacteroides] 
gi|490428720|ref|WP_004300866.1|	MULTISPECIES: phosphoglycerate kinase [Bacteroides] 
gi|490428721|ref|WP_004300867.1|	thiamine biosynthesis protein [Bacteroides ovatus] 
gi|490428722|ref|WP_004300868.1|	MULTISPECIES: porin [Bacteroides] 
gi|490428723|ref|WP_004300869.1|	membrane protein [Bacteroides ovatus] 
gi|490428724|ref|WP_004300870.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428725|ref|WP_004300871.1|	MULTISPECIES: septum formation protein Maf [Bacteroides] 
gi|490428726|ref|WP_004300872.1|	MULTISPECIES: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase [Bacteroides] 
gi|490428727|ref|WP_004300873.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428728|ref|WP_004300874.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428729|ref|WP_004300875.1|	MULTISPECIES: NAD(P)H nitroreductase [Bacteroides] 
gi|490428730|ref|WP_004300876.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428731|ref|WP_004300877.1|	MULTISPECIES: carbonate dehydratase [Bacteroides] 
gi|490428732|ref|WP_004300878.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490428733|ref|WP_004300879.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|490428734|ref|WP_004300880.1|	hypothetical protein [Bacteroides ovatus] 
gi|488624393|ref|WP_002561104.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428744|ref|WP_004300890.1|	MULTISPECIES: methylmalonyl-CoA carboxyltransferase [Bacteroides] 
gi|490428747|ref|WP_004300893.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428749|ref|WP_004300895.1|	MULTISPECIES: biofilm PGA synthesis protein PgaD [Bacteroides] 
gi|490428753|ref|WP_004300899.1|	MULTISPECIES: glutaconyl-CoA decarboxylase subunit beta [Bacteroides] 
gi|490428756|ref|WP_004300902.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428758|ref|WP_004300904.1|	fructose-bisphosphate aldolase [Bacteroides ovatus] 
gi|490428760|ref|WP_004300906.1|	MULTISPECIES: 50S ribosomal protein L31 [Bacteroides] 
gi|490428762|ref|WP_004300908.1|	MULTISPECIES: ATPase [Bacteroides] 
gi|490428764|ref|WP_004300910.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428766|ref|WP_004300912.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428768|ref|WP_004300914.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428771|ref|WP_004300917.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428772|ref|WP_004300918.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428773|ref|WP_004300919.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428776|ref|WP_004300922.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428779|ref|WP_004300925.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428780|ref|WP_004300926.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|490428782|ref|WP_004300928.1|	multidrug transporter AcrB [Bacteroides ovatus] 
gi|490428784|ref|WP_004300930.1|	transporter [Bacteroides ovatus] 
gi|490428787|ref|WP_004300933.1|	MULTISPECIES: toxin RelE [Bacteroides] 
gi|490428789|ref|WP_004300935.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428791|ref|WP_004300937.1|	MULTISPECIES: glutaconyl-CoA decarboxylase subunit beta [Bacteroides] 
gi|490428793|ref|WP_004300939.1|	MULTISPECIES: oxaloacetate decarboxylase [Bacteroides] 
gi|490428795|ref|WP_004300941.1|	MULTISPECIES: oxaloacetate decarboxylase [Bacteroides] 
gi|490428797|ref|WP_004300943.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428799|ref|WP_004300945.1|	histidine kinase [Bacteroides ovatus] 
gi|490428802|ref|WP_004300948.1|	RNA polymerase sigma 70 [Bacteroides ovatus] 
gi|490428804|ref|WP_004300949.1|	peptide chain release factor 3 [Bacteroides ovatus] 
gi|490428805|ref|WP_004300950.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Bacteroides] 
gi|490428806|ref|WP_004300951.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428807|ref|WP_004300952.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428808|ref|WP_004300953.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428809|ref|WP_004300954.1|	phosphoribosylformylglycinamidine synthase [Bacteroides ovatus] 
gi|490428810|ref|WP_004300955.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428811|ref|WP_004300956.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428812|ref|WP_004300957.1|	MULTISPECIES: chromate transporter [Bacteroides] 
gi|490428813|ref|WP_004300958.1|	MULTISPECIES: chromate transporter [Bacteroides] 
gi|490428814|ref|WP_004300959.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428815|ref|WP_004300960.1|	excinuclease ABC subunit A [Bacteroides ovatus] 
gi|490428816|ref|WP_004300961.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428817|ref|WP_004300962.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490428818|ref|WP_004300963.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428819|ref|WP_004300964.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428820|ref|WP_004300965.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428821|ref|WP_004300966.1|	peptide-binding protein [Bacteroides ovatus] 
gi|490428822|ref|WP_004300967.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428823|ref|WP_004300968.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428824|ref|WP_004300969.1|	starch-binding protein [Bacteroides ovatus] 
gi|490428825|ref|WP_004300970.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490428826|ref|WP_004300971.1|	membrane protein [Bacteroides ovatus] 
gi|490428827|ref|WP_004300972.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490428828|ref|WP_004300973.1|	alpha-L-fucosidase [Bacteroides ovatus] 
gi|490428829|ref|WP_004300974.1|	histidine kinase [Bacteroides ovatus] 
gi|490428830|ref|WP_004300975.1|	glucuronyl hydrolase [Bacteroides ovatus] 
gi|490428831|ref|WP_004300976.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428832|ref|WP_004300977.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|490428833|ref|WP_004300978.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428834|ref|WP_004300979.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428835|ref|WP_004300980.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428836|ref|WP_004300981.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490428837|ref|WP_004300982.1|	glycine/betaine ABC transporter [Bacteroides ovatus] 
gi|490428838|ref|WP_004300983.1|	glycine/betaine ABC transporter permease [Bacteroides ovatus] 
gi|490428839|ref|WP_004300984.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|490428840|ref|WP_004300985.1|	methylated-DNA--protein-cysteine methyltransferase [Bacteroides ovatus] 
gi|490428841|ref|WP_004300986.1|	membrane protein [Bacteroides ovatus] 
gi|490428842|ref|WP_004300987.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490428843|ref|WP_004300988.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428844|ref|WP_004300989.1|	2-dehydro-3-deoxygluconokinase [Bacteroides ovatus] 
gi|490428845|ref|WP_004300990.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|490428846|ref|WP_004300991.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428847|ref|WP_004300992.1|	MULTISPECIES: 2,6-beta-D-fructofuranosidase [Bacteroides] 
gi|490428848|ref|WP_004300993.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428849|ref|WP_004300994.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428850|ref|WP_004300995.1|	starch-binding protein [Bacteroides ovatus] 
gi|490428851|ref|WP_004300996.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490428852|ref|WP_004300997.1|	aldose 1-epimerase [Bacteroides ovatus] 
gi|490428853|ref|WP_004300998.1|	2,6-beta-D-fructofuranosidase [Bacteroides ovatus] 
gi|490428854|ref|WP_004300999.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490428855|ref|WP_004301000.1|	serine protease [Bacteroides ovatus] 
gi|490428856|ref|WP_004301001.1|	cation transporter [Bacteroides ovatus] 
gi|490428857|ref|WP_004301002.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428858|ref|WP_004301003.1|	hypothetical protein [Bacteroides ovatus] 
gi|490428859|ref|WP_004301004.1|	hypothetical protein [Bacteroides ovatus] 
