gi|491472322|ref|WP_005330076.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491476863|ref|WP_005334604.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476864|ref|WP_005334605.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476866|ref|WP_005334607.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491476869|ref|WP_005334610.1|	PTS sugar transporter [Dorea formicigenerans] 
gi|491476871|ref|WP_005334612.1|	pyridoxine kinase [Dorea formicigenerans] 
gi|491476872|ref|WP_005334613.1|	membrane protein [Dorea formicigenerans] 
gi|491476875|ref|WP_005334616.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476876|ref|WP_005334617.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476878|ref|WP_005334619.1|	xanthine phosphoribosyltransferase [Dorea formicigenerans] 
gi|491476879|ref|WP_005334620.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476882|ref|WP_005334623.1|	mucin desulfatase [Dorea formicigenerans] 
gi|491476884|ref|WP_005334625.1|	AraC family transcriptional regulator [Dorea formicigenerans] 
gi|491476886|ref|WP_005334627.1|	sugar ABC transporter permease [Dorea formicigenerans] 
gi|491476888|ref|WP_005334629.1|	sugar ABC transporter permease [Dorea formicigenerans] 
gi|491476890|ref|WP_005334631.1|	ABC transporter substrate-binding protein [Dorea formicigenerans] 
gi|491476892|ref|WP_005334633.1|	glucosamine-6-phosphate deaminase [Dorea formicigenerans] 
gi|491476893|ref|WP_005334634.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476895|ref|WP_005334636.1|	sugar ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491476897|ref|WP_005334638.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Dorea] 
gi|491476899|ref|WP_005334640.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476901|ref|WP_005334642.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476903|ref|WP_005334644.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476904|ref|WP_005334645.1|	membrane protein [Dorea formicigenerans] 
gi|491476905|ref|WP_005334646.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476907|ref|WP_005334648.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476909|ref|WP_005334650.1|	peptide ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491476911|ref|WP_005334652.1|	peptide ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491476914|ref|WP_005334655.1|	diguanylate cyclase [Dorea formicigenerans] 
gi|491476917|ref|WP_005334658.1|	MULTISPECIES: peptide ABC transporter permease [Dorea] 
gi|491476918|ref|WP_005334659.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476920|ref|WP_005334661.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476922|ref|WP_005334663.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476924|ref|WP_005334665.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476925|ref|WP_005334666.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476926|ref|WP_005334667.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476927|ref|WP_005334668.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Dorea formicigenerans] 
gi|491476928|ref|WP_005334669.1|	MULTISPECIES: fumarate hydratase [Dorea] 
gi|491476929|ref|WP_005334670.1|	fumarate hydratase [Dorea formicigenerans] 
gi|491476930|ref|WP_005334671.1|	DNA gyrase subunit A [Dorea formicigenerans] 
gi|491476931|ref|WP_005334672.1|	DNA gyrase subunit B [Dorea formicigenerans] 
gi|491476933|ref|WP_005334674.1|	DNA replication protein RecF [Dorea formicigenerans] 
gi|491476934|ref|WP_005334675.1|	MULTISPECIES: RNA-binding protein [Dorea] 
gi|491476935|ref|WP_005334676.1|	DNA polymerase III subunit beta [Dorea formicigenerans] 
gi|491476936|ref|WP_005334677.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476937|ref|WP_005334678.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Dorea] 
gi|491476938|ref|WP_005334679.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476940|ref|WP_005334681.1|	MULTISPECIES: 50S ribosomal protein L34 [Dorea] 
gi|491476948|ref|WP_005334689.1|	MULTISPECIES: ribonuclease P [Dorea] 
gi|491476950|ref|WP_005334691.1|	membrane protein insertion efficiency factor [Dorea formicigenerans] 
gi|491476952|ref|WP_005334693.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476954|ref|WP_005334695.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476956|ref|WP_005334697.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476958|ref|WP_005334699.1|	tRNA modification GTPase [Dorea formicigenerans] 
gi|491476960|ref|WP_005334701.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Dorea formicigenerans] 
gi|491476962|ref|WP_005334703.1|	16S rRNA methyltransferase [Dorea formicigenerans] 
gi|491476963|ref|WP_005334704.1|	MULTISPECIES: sporulation initiation inhibitor Soj [Dorea] 
gi|491476965|ref|WP_005334706.1|	plasmid stablization protein ParB [Dorea formicigenerans] 
gi|491476967|ref|WP_005334708.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491476969|ref|WP_005334710.1|	MULTISPECIES: seryl-tRNA synthetase [Dorea] 
gi|491476971|ref|WP_005334712.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476973|ref|WP_005334714.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476974|ref|WP_005334715.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476976|ref|WP_005334717.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476978|ref|WP_005334719.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476980|ref|WP_005334721.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476981|ref|WP_005334722.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476982|ref|WP_005334723.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476983|ref|WP_005334724.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476985|ref|WP_005334726.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476987|ref|WP_005334728.1|	histidine kinase [Dorea formicigenerans] 
gi|491476989|ref|WP_005334730.1|	amino acid carrier protein [Dorea formicigenerans] 
gi|491476990|ref|WP_005334731.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476992|ref|WP_005334733.1|	ATPase [Dorea formicigenerans] 
gi|491476993|ref|WP_005334734.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476994|ref|WP_005334735.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476996|ref|WP_005334737.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491476997|ref|WP_005334738.1|	bacitracin ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491476998|ref|WP_005334739.1|	hypothetical protein [Dorea formicigenerans] 
gi|491476999|ref|WP_005334740.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477000|ref|WP_005334741.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477001|ref|WP_005334742.1|	conjugal transfer protein [Dorea formicigenerans] 
gi|490750951|ref|WP_004613259.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477002|ref|WP_005334743.1|	MerR family transcripitonal regulator [Dorea formicigenerans] 
gi|489600954|ref|WP_003505395.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491477010|ref|WP_005334751.1|	integrase [Dorea formicigenerans] 
gi|491477011|ref|WP_005334752.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477017|ref|WP_005334758.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477019|ref|WP_005334760.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|491477020|ref|WP_005334761.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477021|ref|WP_005334762.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477022|ref|WP_005334763.1|	XRE family transcriptional regulator [Dorea formicigenerans] 
gi|491477024|ref|WP_005334765.1|	MULTISPECIES: toxin RelE [Clostridiales] 
gi|491477026|ref|WP_005334767.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477028|ref|WP_005334769.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477030|ref|WP_005334771.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477032|ref|WP_005334773.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477033|ref|WP_005334774.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477035|ref|WP_005334776.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477036|ref|WP_005334777.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477037|ref|WP_005334778.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477038|ref|WP_005334779.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477039|ref|WP_005334780.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477040|ref|WP_005334781.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477041|ref|WP_005334782.1|	hypothetical protein [Dorea formicigenerans] 
gi|489961238|ref|WP_003864545.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491477046|ref|WP_005334787.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477052|ref|WP_005334793.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Dorea formicigenerans] 
gi|491477053|ref|WP_005334794.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477054|ref|WP_005334795.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477055|ref|WP_005334796.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477056|ref|WP_005334797.1|	molecular chaperone [Dorea formicigenerans] 
gi|491477057|ref|WP_005334798.1|	hypothetical protein [Dorea formicigenerans] 
gi|489961246|ref|WP_003864553.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491477059|ref|WP_005334800.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477060|ref|WP_005334801.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477061|ref|WP_005334802.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477062|ref|WP_005334803.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477063|ref|WP_005334804.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477064|ref|WP_005334805.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477066|ref|WP_005334807.1|	hypothetical protein [Dorea formicigenerans] 
gi|489961266|ref|WP_003864573.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491477070|ref|WP_005334811.1|	conjugal transfer protein TraE [Dorea formicigenerans] 
gi|491477072|ref|WP_005334813.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491477073|ref|WP_005334814.1|	membrane protein [Dorea formicigenerans] 
gi|491477074|ref|WP_005334815.1|	MULTISPECIES: conjugative transfer protein [Firmicutes] 
gi|491477079|ref|WP_005334820.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477081|ref|WP_005334822.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477082|ref|WP_005334823.1|	conjugal transfer protein TraG [Dorea formicigenerans] 
gi|491477084|ref|WP_005334825.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477086|ref|WP_005334827.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477088|ref|WP_005334829.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477090|ref|WP_005334831.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477092|ref|WP_005334833.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477094|ref|WP_005334835.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477095|ref|WP_005334836.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477097|ref|WP_005334838.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491477099|ref|WP_005334840.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477101|ref|WP_005334842.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477103|ref|WP_005334844.1|	DNA repair protein [Dorea formicigenerans] 
gi|491477104|ref|WP_005334845.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491477106|ref|WP_005334847.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477107|ref|WP_005334848.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477108|ref|WP_005334849.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477109|ref|WP_005334850.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477110|ref|WP_005334851.1|	ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491477111|ref|WP_005334852.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477115|ref|WP_005334856.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477116|ref|WP_005334857.1|	histidine kinase [Dorea formicigenerans] 
gi|491477117|ref|WP_005334858.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491477118|ref|WP_005334859.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477119|ref|WP_005334860.1|	ADP-ribose pyrophosphatase [Dorea formicigenerans] 
gi|491477120|ref|WP_005334861.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477123|ref|WP_005334864.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477125|ref|WP_005334866.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477126|ref|WP_005334867.1|	chromosome partitioning protein ParB [Dorea formicigenerans] 
gi|491477129|ref|WP_005334870.1|	MULTISPECIES: chromosome partitioning protein ParA [Lachnospiraceae] 
gi|491477131|ref|WP_005334872.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477133|ref|WP_005334874.1|	collagen-binding protein [Dorea formicigenerans] 
gi|491477134|ref|WP_005334875.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477136|ref|WP_005334877.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477137|ref|WP_005334878.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477142|ref|WP_005334883.1|	cell division protein FtsK [Dorea formicigenerans] 
gi|491477143|ref|WP_005334884.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491477144|ref|WP_005334885.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477145|ref|WP_005334886.1|	Cro/Cl family transcriptional regulator [Dorea formicigenerans] 
gi|491477146|ref|WP_005334887.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982459|ref|WP_004844214.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|491477148|ref|WP_005334889.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489794353|ref|WP_003698244.1|	MULTISPECIES: conjugative transposon protein [Firmicutes] 
gi|491477156|ref|WP_005334897.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477158|ref|WP_005334899.1|	MULTISPECIES: antirestriction protein [Clostridiales] 
gi|491477159|ref|WP_005334900.1|	membrane protein [Dorea formicigenerans] 
gi|491477161|ref|WP_005334902.1|	ATP/GTP-binding protein [Dorea formicigenerans] 
gi|491477163|ref|WP_005334904.1|	membrane protein [Dorea formicigenerans] 
gi|491477164|ref|WP_005334905.1|	peptidase P60 [Dorea formicigenerans] 
gi|491477167|ref|WP_005334908.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477169|ref|WP_005334910.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477170|ref|WP_005334911.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477172|ref|WP_005334913.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477174|ref|WP_005334915.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477176|ref|WP_005334917.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477177|ref|WP_005334918.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477180|ref|WP_005334921.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477182|ref|WP_005334923.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477184|ref|WP_005334925.1|	MULTISPECIES: RNA polymerase sigma factor [Clostridiales] 
gi|491477185|ref|WP_005334926.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|491477186|ref|WP_005334927.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491477187|ref|WP_005334928.1|	DNA-binding protein [Dorea formicigenerans] 
gi|491477190|ref|WP_005334931.1|	integrase [Dorea formicigenerans] 
gi|491477192|ref|WP_005334933.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477201|ref|WP_005334942.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477199|ref|WP_005334940.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477202|ref|WP_005334943.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477203|ref|WP_005334944.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477205|ref|WP_005334946.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477206|ref|WP_005334947.1|	isoleucyl-tRNA synthase [Dorea formicigenerans] 
gi|491477207|ref|WP_005334948.1|	glycosyl transferase family 35 [Dorea formicigenerans] 
gi|491477209|ref|WP_005334950.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477210|ref|WP_005334951.1|	peptidase M23 [Dorea formicigenerans] 
gi|491477211|ref|WP_005334952.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477212|ref|WP_005334953.1|	hemolysin [Dorea formicigenerans] 
gi|491477213|ref|WP_005334954.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477218|ref|WP_005334959.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477222|ref|WP_005334963.1|	2-nitropropane dioxygenase [Dorea formicigenerans] 
gi|491477223|ref|WP_005334964.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477224|ref|WP_005334965.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477225|ref|WP_005334966.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477226|ref|WP_005334967.1|	Fur family transcriptional regulator [Dorea formicigenerans] 
gi|491477228|ref|WP_005334969.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477229|ref|WP_005334970.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477230|ref|WP_005334971.1|	MULTISPECIES: disulfide oxidoreductase [Dorea] 
gi|491477231|ref|WP_005334972.1|	competence protein [Dorea formicigenerans] 
gi|491477232|ref|WP_005334973.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477233|ref|WP_005334974.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477234|ref|WP_005334975.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477236|ref|WP_005334977.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [Dorea formicigenerans] 
gi|491477237|ref|WP_005334978.1|	uracil phosphoribosyltransferase [Dorea formicigenerans] 
gi|491477244|ref|WP_005334985.1|	cytidine deaminase [Dorea formicigenerans] 
gi|491477257|ref|WP_005334998.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477259|ref|WP_005335000.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477260|ref|WP_005335001.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477261|ref|WP_005335002.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477262|ref|WP_005335003.1|	MULTISPECIES: pilus biosynthesis protein [Dorea] 
gi|491477264|ref|WP_005335005.1|	type II secretion system protein F [Dorea formicigenerans] 
gi|491477266|ref|WP_005335007.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477268|ref|WP_005335009.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477272|ref|WP_005335013.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477270|ref|WP_005335011.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477274|ref|WP_005335015.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477275|ref|WP_005335016.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477276|ref|WP_005335017.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477277|ref|WP_005335018.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477283|ref|WP_005335024.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477285|ref|WP_005335026.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477287|ref|WP_005335028.1|	histidine triad (HIT) protein [Dorea formicigenerans] 
gi|491477288|ref|WP_005335029.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477289|ref|WP_005335030.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Dorea formicigenerans] 
gi|491477291|ref|WP_005335032.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477293|ref|WP_005335034.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477295|ref|WP_005335036.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477297|ref|WP_005335038.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477298|ref|WP_005335039.1|	S-adenosylhomocysteine nucleosidase [Dorea formicigenerans] 
gi|491477301|ref|WP_005335042.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477299|ref|WP_005335040.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477303|ref|WP_005335044.1|	MULTISPECIES: glucose-6-phosphate isomerase [Dorea] 
gi|491477306|ref|WP_005335047.1|	amino acid decarboxylase [Dorea formicigenerans] 
gi|491477307|ref|WP_005335048.1|	guanylate kinase [Dorea formicigenerans] 
gi|491477309|ref|WP_005335050.1|	DNA polymerase III subunit delta [Dorea formicigenerans] 
gi|491477310|ref|WP_005335051.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477312|ref|WP_005335053.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477313|ref|WP_005335054.1|	methyltransferase [Dorea formicigenerans] 
gi|491477314|ref|WP_005335055.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477319|ref|WP_005335060.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477321|ref|WP_005335062.1|	hydratase [Dorea formicigenerans] 
gi|491477323|ref|WP_005335064.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477325|ref|WP_005335066.1|	RNA polymerase sigma 70 [Dorea formicigenerans] 
gi|491477326|ref|WP_005335067.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477330|ref|WP_005335071.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477332|ref|WP_005335073.1|	glycogen branching protein [Dorea formicigenerans] 
gi|491477334|ref|WP_005335075.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477335|ref|WP_005335076.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477337|ref|WP_005335078.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477339|ref|WP_005335080.1|	tRNA (guanine-N(7)-)-methyltransferase [Dorea formicigenerans] 
gi|491477341|ref|WP_005335082.1|	MULTISPECIES: F0F1 ATP synthase subunit A [Dorea] 
gi|491477342|ref|WP_005335083.1|	MULTISPECIES: F0F1 ATP synthase subunit C [Dorea] 
gi|491477344|ref|WP_005335085.1|	ATP synthase F0 subunit B [Dorea formicigenerans] 
gi|491477346|ref|WP_005335087.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477348|ref|WP_005335089.1|	ATP synthase F1 subunit alpha [Dorea formicigenerans] 
gi|491477349|ref|WP_005335090.1|	F0F1 ATP synthase subunit gamma [Dorea formicigenerans] 
gi|491477351|ref|WP_005335092.1|	F0F1 ATP synthase subunit beta [Dorea formicigenerans] 
gi|491477353|ref|WP_005335094.1|	ATP synthase F1 subunit epsilon [Dorea formicigenerans] 
gi|491477360|ref|WP_005335101.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491477362|ref|WP_005335103.1|	acetyltransferase [Dorea formicigenerans] 
gi|491477363|ref|WP_005335104.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477365|ref|WP_005335106.1|	ATPase [Dorea formicigenerans] 
gi|491477367|ref|WP_005335108.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477368|ref|WP_005335109.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477370|ref|WP_005335111.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477372|ref|WP_005335113.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477373|ref|WP_005335114.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477374|ref|WP_005335115.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477375|ref|WP_005335116.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477376|ref|WP_005335117.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477377|ref|WP_005335118.1|	ATPase [Dorea formicigenerans] 
gi|491477378|ref|WP_005335119.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477380|ref|WP_005335121.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477386|ref|WP_005335127.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491477388|ref|WP_005335129.1|	ATP synthase subunit A [Dorea formicigenerans] 
gi|491477390|ref|WP_005335131.1|	V-type ATP synthase subunit B [Dorea formicigenerans] 
gi|491477393|ref|WP_005335134.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477392|ref|WP_005335133.1|	MULTISPECIES: ATPase [Dorea] 
gi|491477395|ref|WP_005335136.1|	ATPase P [Dorea formicigenerans] 
gi|491477397|ref|WP_005335138.1|	amidohydrolase [Dorea formicigenerans] 
gi|491477399|ref|WP_005335140.1|	C4-dicarboxylate ABC transporter [Dorea formicigenerans] 
gi|491477401|ref|WP_005335142.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477403|ref|WP_005335144.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477409|ref|WP_005335150.1|	asparaginyl-tRNA synthetase [Dorea formicigenerans] 
gi|491477412|ref|WP_005335153.1|	PhoB family transcriptional regulator [Dorea formicigenerans] 
gi|491477415|ref|WP_005335156.1|	histidine kinase [Dorea formicigenerans] 
gi|491477416|ref|WP_005335157.1|	metallophosphatase [Dorea formicigenerans] 
gi|491477418|ref|WP_005335159.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477420|ref|WP_005335161.1|	MULTISPECIES: phosphoribosylpyrophosphate synthetase [Dorea] 
gi|491477423|ref|WP_005335164.1|	DNA replication protein DnaC [Dorea formicigenerans] 
gi|491477428|ref|WP_005335169.1|	DNA replication protein DnaD [Dorea formicigenerans] 
gi|491477426|ref|WP_005335167.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477431|ref|WP_005335172.1|	UDP-N-acetylmuramate--alanine ligase [Dorea formicigenerans] 
gi|491477432|ref|WP_005335173.1|	glucose-1-phosphate adenylyltransferase [Dorea formicigenerans] 
gi|491477434|ref|WP_005335175.1|	glucose-1-phosphate adenylyltransferase [Dorea formicigenerans] 
gi|491477436|ref|WP_005335177.1|	MULTISPECIES: septation protein spoVG [Dorea] 
gi|491477438|ref|WP_005335179.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477440|ref|WP_005335181.1|	pseudouridine synthase [Dorea formicigenerans] 
gi|491477441|ref|WP_005335182.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477442|ref|WP_005335183.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477443|ref|WP_005335184.1|	cytochrome C oxidase subunit IV [Dorea formicigenerans] 
gi|491477444|ref|WP_005335185.1|	MULTISPECIES: sugar ABC transporter permease [Dorea] 
gi|491477445|ref|WP_005335186.1|	sugar ABC transporter permease [Dorea formicigenerans] 
gi|491477446|ref|WP_005335187.1|	hypothetical protein [Dorea formicigenerans] 
gi|491477447|ref|WP_005335188.1|	hypothetical protein [Dorea formicigenerans] 
