gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494109804|ref|WP_007050587.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109805|ref|WP_007050588.1|	pantothenate kinase [Anaerofustis stercorihominis] 
gi|494109806|ref|WP_007050589.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109807|ref|WP_007050590.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109808|ref|WP_007050591.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109809|ref|WP_007050592.1|	guanylate kinase [Anaerofustis stercorihominis] 
gi|494109810|ref|WP_007050593.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109811|ref|WP_007050594.1|	K+-dependent Na+/Ca+ exchanger [Anaerofustis stercorihominis] 
gi|494109812|ref|WP_007050595.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109813|ref|WP_007050596.1|	glutamine synthetase [Anaerofustis stercorihominis] 
gi|494109814|ref|WP_007050597.1|	glutamate synthase [Anaerofustis stercorihominis] 
gi|494109815|ref|WP_007050598.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Anaerofustis stercorihominis] 
gi|494109816|ref|WP_007050599.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109817|ref|WP_007050600.1|	glutamate synthase [Anaerofustis stercorihominis] 
gi|494109818|ref|WP_007050601.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109819|ref|WP_007050602.1|	glutamine synthetase [Anaerofustis stercorihominis] 
gi|494109820|ref|WP_007050603.1|	adenylate cyclase [Anaerofustis stercorihominis] 
gi|494109821|ref|WP_007050604.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109822|ref|WP_007050605.1|	AraC family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109823|ref|WP_007050606.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109824|ref|WP_007050607.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109825|ref|WP_007050608.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109826|ref|WP_007050609.1|	peptidyl-tRNA hydrolase [Anaerofustis stercorihominis] 
gi|494109827|ref|WP_007050610.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109828|ref|WP_007050611.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109829|ref|WP_007050612.1|	SAM-dependent methyltransferase [Anaerofustis stercorihominis] 
gi|494109830|ref|WP_007050613.1|	phosphohydrolase [Anaerofustis stercorihominis] 
gi|494109831|ref|WP_007050614.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109832|ref|WP_007050615.1|	RNA-binding protein [Anaerofustis stercorihominis] 
gi|494109833|ref|WP_007050616.1|	GTPase [Anaerofustis stercorihominis] 
gi|494109834|ref|WP_007050617.1|	50S ribosomal protein L27 [Anaerofustis stercorihominis] 
gi|494109835|ref|WP_007050618.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109836|ref|WP_007050619.1|	50S ribosomal protein L21 [Anaerofustis stercorihominis] 
gi|494109837|ref|WP_007050620.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109838|ref|WP_007050621.1|	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase [Anaerofustis stercorihominis] 
gi|494109839|ref|WP_007050622.1|	peptide chain release factor 2 [Anaerofustis stercorihominis] 
gi|494109840|ref|WP_007050623.1|	transaldolase [Anaerofustis stercorihominis] 
gi|494109841|ref|WP_007050624.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109842|ref|WP_007050625.1|	acylphosphatase [Anaerofustis stercorihominis] 
gi|494109843|ref|WP_007050626.1|	3-methyladenine DNA glycosylase [Anaerofustis stercorihominis] 
gi|494109844|ref|WP_007050627.1|	UDP-N-acetylmuramate--alanine ligase [Anaerofustis stercorihominis] 
gi|494109845|ref|WP_007050628.1|	regulatory protein [Anaerofustis stercorihominis] 
gi|494109846|ref|WP_007050629.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109847|ref|WP_007050630.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494109848|ref|WP_007050631.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109849|ref|WP_007050632.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109850|ref|WP_007050633.1|	phage-shock protein [Anaerofustis stercorihominis] 
gi|494109851|ref|WP_007050634.1|	Rrf2 family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109852|ref|WP_007050635.1|	pyridine nucleotide-disulfide oxidoreductase [Anaerofustis stercorihominis] 
gi|494109853|ref|WP_007050636.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109854|ref|WP_007050637.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109855|ref|WP_007050638.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109856|ref|WP_007050639.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109857|ref|WP_007050640.1|	biotin biosynthesis protein BioY [Anaerofustis stercorihominis] 
gi|494109858|ref|WP_007050641.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109859|ref|WP_007050642.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109860|ref|WP_007050643.1|	amidotransferase [Anaerofustis stercorihominis] 
gi|494109861|ref|WP_007050644.1|	iron-only hydrogenase system regulator [Anaerofustis stercorihominis] 
gi|494109862|ref|WP_007050645.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109863|ref|WP_007050646.1|	2-isopropylmalate synthase [Anaerofustis stercorihominis] 
gi|494109864|ref|WP_007050647.1|	3-isopropylmalate dehydratase large subunit [Anaerofustis stercorihominis] 
gi|494109865|ref|WP_007050648.1|	3-isopropylmalate dehydratase small subunit [Anaerofustis stercorihominis] 
gi|494109866|ref|WP_007050649.1|	3-isopropylmalate dehydrogenase [Anaerofustis stercorihominis] 
gi|494109867|ref|WP_007050650.1|	recombinase [Anaerofustis stercorihominis] 
gi|494109868|ref|WP_007050651.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109869|ref|WP_007050652.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109870|ref|WP_007050653.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109871|ref|WP_007050654.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109872|ref|WP_007050655.1|	transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109873|ref|WP_007050656.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494109874|ref|WP_007050657.1|	AraC family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109875|ref|WP_007050658.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109876|ref|WP_007050659.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109877|ref|WP_007050660.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109878|ref|WP_007050661.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109879|ref|WP_007050662.1|	ATPase [Anaerofustis stercorihominis] 
gi|494109880|ref|WP_007050663.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494109881|ref|WP_007050664.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109882|ref|WP_007050665.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109883|ref|WP_007050666.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109884|ref|WP_007050667.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109885|ref|WP_007050668.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109886|ref|WP_007050669.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109887|ref|WP_007050670.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109888|ref|WP_007050671.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109889|ref|WP_007050672.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109890|ref|WP_007050673.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109891|ref|WP_007050674.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109892|ref|WP_007050675.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Anaerofustis stercorihominis] 
gi|494109893|ref|WP_007050676.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109894|ref|WP_007050677.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109895|ref|WP_007050678.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109896|ref|WP_007050679.1|	3-methyl-2-oxobutanoate hydroxymethyltransferase [Anaerofustis stercorihominis] 
gi|494109897|ref|WP_007050680.1|	pantoate--beta-alanine ligase [Anaerofustis stercorihominis] 
gi|494109898|ref|WP_007050681.1|	aspartate decarboxylase [Anaerofustis stercorihominis] 
gi|494109899|ref|WP_007050682.1|	phosphopantothenoylcysteine decarboxylase [Anaerofustis stercorihominis] 
gi|494109900|ref|WP_007050683.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109901|ref|WP_007050684.1|	FAD-dependent thymidylate synthase [Anaerofustis stercorihominis] 
gi|494109902|ref|WP_007050685.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109903|ref|WP_007050686.1|	aspartate carbamoyltransferase [Anaerofustis stercorihominis] 
gi|494109904|ref|WP_007050687.1|	aspartate carbamoyltransferase [Anaerofustis stercorihominis] 
gi|494109905|ref|WP_007050688.1|	dihydroorotase [Anaerofustis stercorihominis] 
gi|494109906|ref|WP_007050689.1|	orotidine 5'-phosphate decarboxylase [Anaerofustis stercorihominis] 
gi|494109907|ref|WP_007050690.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109908|ref|WP_007050691.1|	diguanylate cyclase [Anaerofustis stercorihominis] 
gi|494109909|ref|WP_007050692.1|	orotate phosphoribosyltransferase [Anaerofustis stercorihominis] 
gi|494109910|ref|WP_007050693.1|	carbamoyl phosphate synthase small subunit [Anaerofustis stercorihominis] 
gi|494109911|ref|WP_007050694.1|	carbamoyl phosphate synthase large subunit [Anaerofustis stercorihominis] 
gi|494109912|ref|WP_007050695.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109913|ref|WP_007050696.1|	ATPase [Anaerofustis stercorihominis] 
gi|494109914|ref|WP_007050697.1|	potassium-transporting ATPase subunit B [Anaerofustis stercorihominis] 
gi|494109915|ref|WP_007050698.1|	potassium transporter KtrA [Anaerofustis stercorihominis] 
gi|494109916|ref|WP_007050699.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109917|ref|WP_007050700.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109918|ref|WP_007050701.1|	histidine kinase [Anaerofustis stercorihominis] 
gi|494109919|ref|WP_007050702.1|	XRE family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109920|ref|WP_007050703.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109921|ref|WP_007050704.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109922|ref|WP_007050705.1|	elongation factor G [Anaerofustis stercorihominis] 
gi|494109923|ref|WP_007050706.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109924|ref|WP_007050707.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109925|ref|WP_007050708.1|	30S ribosomal protein S18 [Anaerofustis stercorihominis] 
gi|494109926|ref|WP_007050709.1|	single-stranded DNA-binding protein [Anaerofustis stercorihominis] 
gi|494109927|ref|WP_007050710.1|	30S ribosomal protein S6 [Anaerofustis stercorihominis] 
gi|494109928|ref|WP_007050711.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109929|ref|WP_007050712.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109930|ref|WP_007050713.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109931|ref|WP_007050714.1|	hypoxanthine phosphoribosyltransferase [Anaerofustis stercorihominis] 
gi|494109932|ref|WP_007050715.1|	cell division protein FtsH [Anaerofustis stercorihominis] 
gi|494109933|ref|WP_007050716.1|	thioesterase [Anaerofustis stercorihominis] 
gi|494109934|ref|WP_007050717.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109935|ref|WP_007050718.1|	carnitine dehydratase [Anaerofustis stercorihominis] 
gi|494109936|ref|WP_007050719.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109937|ref|WP_007050720.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109938|ref|WP_007050721.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109939|ref|WP_007050722.1|	aquaporin [Anaerofustis stercorihominis] 
gi|494109940|ref|WP_007050723.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109941|ref|WP_007050724.1|	flavodoxin [Anaerofustis stercorihominis] 
gi|494109942|ref|WP_007050725.1|	carboxymuconolactone decarboxylase [Anaerofustis stercorihominis] 
gi|494109943|ref|WP_007050726.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109944|ref|WP_007050727.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109945|ref|WP_007050728.1|	cupin [Anaerofustis stercorihominis] 
gi|494109946|ref|WP_007050729.1|	flavodoxin [Anaerofustis stercorihominis] 
gi|494109947|ref|WP_007050730.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109948|ref|WP_007050731.1|	NADPH-dependent FMN reductase [Anaerofustis stercorihominis] 
gi|494109949|ref|WP_007050732.1|	transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109950|ref|WP_007050733.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109951|ref|WP_007050734.1|	phosphate ABC transporter permease [Anaerofustis stercorihominis] 
gi|494109952|ref|WP_007050735.1|	phosphate ABC transporter permease [Anaerofustis stercorihominis] 
gi|494109953|ref|WP_007050736.1|	phosphate ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109954|ref|WP_007050737.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109955|ref|WP_007050738.1|	ArsR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109956|ref|WP_007050739.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109957|ref|WP_007050740.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109958|ref|WP_007050741.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109959|ref|WP_007050742.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109960|ref|WP_007050743.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109961|ref|WP_007050744.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109962|ref|WP_007050745.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109963|ref|WP_007050746.1|	endonuclease III [Anaerofustis stercorihominis] 
gi|494109964|ref|WP_007050747.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109965|ref|WP_007050748.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109966|ref|WP_007050749.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109967|ref|WP_007050750.1|	6-phosphofructokinase [Anaerofustis stercorihominis] 
gi|494109968|ref|WP_007050751.1|	pyruvate kinase [Anaerofustis stercorihominis] 
gi|494109969|ref|WP_007050752.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109970|ref|WP_007050753.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109971|ref|WP_007050754.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109972|ref|WP_007050755.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109973|ref|WP_007050756.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109974|ref|WP_007050757.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109975|ref|WP_007050758.1|	DNA gyrase subunit A [Anaerofustis stercorihominis] 
gi|494109976|ref|WP_007050759.1|	DNA gyrase subunit B [Anaerofustis stercorihominis] 
gi|494109977|ref|WP_007050760.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109978|ref|WP_007050761.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109979|ref|WP_007050762.1|	alkaline-shock protein [Anaerofustis stercorihominis] 
gi|494109980|ref|WP_007050763.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109981|ref|WP_007050764.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109982|ref|WP_007050765.1|	RNA methyltransferase [Anaerofustis stercorihominis] 
gi|494109983|ref|WP_007050766.1|	phosphopantetheine adenylyltransferase [Anaerofustis stercorihominis] 
gi|494109984|ref|WP_007050767.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109985|ref|WP_007050768.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109986|ref|WP_007050769.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109987|ref|WP_007050770.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109988|ref|WP_007050771.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109989|ref|WP_007050772.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109990|ref|WP_007050773.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109991|ref|WP_007050774.1|	transcription elongation factor GreA [Anaerofustis stercorihominis] 
gi|494109992|ref|WP_007050775.1|	lysyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494109993|ref|WP_007050776.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109994|ref|WP_007050777.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109995|ref|WP_007050778.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109996|ref|WP_007050779.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109997|ref|WP_007050780.1|	ATPase [Anaerofustis stercorihominis] 
gi|494109998|ref|WP_007050781.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109999|ref|WP_007050782.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110000|ref|WP_007050783.1|	seryl-tRNA synthase [Anaerofustis stercorihominis] 
gi|494110001|ref|WP_007050784.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110002|ref|WP_007050785.1|	peptidase S66 [Anaerofustis stercorihominis] 
gi|494110003|ref|WP_007050786.1|	ferredoxin [Anaerofustis stercorihominis] 
gi|494110004|ref|WP_007050787.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110005|ref|WP_007050788.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110006|ref|WP_007050789.1|	phosphoglucomutase [Anaerofustis stercorihominis] 
gi|494110007|ref|WP_007050790.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110008|ref|WP_007050791.1|	ArsC family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494110009|ref|WP_007050792.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110010|ref|WP_007050793.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110011|ref|WP_007050794.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Anaerofustis stercorihominis] 
gi|494110012|ref|WP_007050795.1|	ribosomal protein S12 methylthiotransferase [Anaerofustis stercorihominis] 
gi|494110013|ref|WP_007050796.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110014|ref|WP_007050797.1|	cell wall hydrolase [Anaerofustis stercorihominis] 
gi|494110015|ref|WP_007050798.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110016|ref|WP_007050799.1|	CarD family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494110017|ref|WP_007050800.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110018|ref|WP_007050801.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110019|ref|WP_007050802.1|	30S ribosomal protein S10 [Anaerofustis stercorihominis] 
gi|494110020|ref|WP_007050803.1|	50S ribosomal protein L3 [Anaerofustis stercorihominis] 
gi|494110021|ref|WP_007050804.1|	50S ribosomal protein L4 [Anaerofustis stercorihominis] 
gi|494110022|ref|WP_007050805.1|	50S ribosomal protein L23 [Anaerofustis stercorihominis] 
gi|494110023|ref|WP_007050806.1|	50S ribosomal protein L2 [Anaerofustis stercorihominis] 
gi|494110024|ref|WP_007050807.1|	30S ribosomal protein S19 [Anaerofustis stercorihominis] 
gi|494110025|ref|WP_007050808.1|	50S ribosomal protein L22 [Anaerofustis stercorihominis] 
gi|494110026|ref|WP_007050809.1|	30S ribosomal protein S3 [Anaerofustis stercorihominis] 
gi|494110027|ref|WP_007050810.1|	50S ribosomal protein L16 [Anaerofustis stercorihominis] 
gi|494110028|ref|WP_007050811.1|	50S ribosomal protein L29 [Anaerofustis stercorihominis] 
gi|494110029|ref|WP_007050812.1|	30S ribosomal protein S17 [Anaerofustis stercorihominis] 
gi|494110030|ref|WP_007050813.1|	50S ribosomal protein L14 [Anaerofustis stercorihominis] 
gi|494110031|ref|WP_007050814.1|	50S ribosomal protein L24 [Anaerofustis stercorihominis] 
gi|494110032|ref|WP_007050815.1|	50S ribosomal protein L5 [Anaerofustis stercorihominis] 
gi|494110033|ref|WP_007050816.1|	30S ribosomal protein S14 [Anaerofustis stercorihominis] 
gi|494110034|ref|WP_007050817.1|	30S ribosomal protein S8 [Anaerofustis stercorihominis] 
gi|494110035|ref|WP_007050818.1|	50S ribosomal protein L6 [Anaerofustis stercorihominis] 
gi|494110036|ref|WP_007050819.1|	50S ribosomal protein L18 [Anaerofustis stercorihominis] 
gi|494110037|ref|WP_007050820.1|	30S ribosomal protein S5 [Anaerofustis stercorihominis] 
gi|494110038|ref|WP_007050821.1|	50S ribosomal protein L30 [Anaerofustis stercorihominis] 
gi|494110039|ref|WP_007050822.1|	50S ribosomal protein L15 [Anaerofustis stercorihominis] 
gi|494110040|ref|WP_007050823.1|	preprotein translocase subunit SecY [Anaerofustis stercorihominis] 
gi|494110041|ref|WP_007050824.1|	adenylate kinase [Anaerofustis stercorihominis] 
gi|494110042|ref|WP_007050825.1|	methionine aminopeptidase [Anaerofustis stercorihominis] 
gi|494110043|ref|WP_007050826.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110044|ref|WP_007050827.1|	translation initiation factor IF-1 [Anaerofustis stercorihominis] 
gi|494110045|ref|WP_007050828.1|	30S ribosomal protein S13 [Anaerofustis stercorihominis] 
gi|494110046|ref|WP_007050829.1|	30S ribosomal protein S11 [Anaerofustis stercorihominis] 
gi|494110047|ref|WP_007050830.1|	30S ribosomal protein S4 [Anaerofustis stercorihominis] 
gi|494110048|ref|WP_007050831.1|	DNA-directed RNA polymerase subunit alpha [Anaerofustis stercorihominis] 
gi|494110049|ref|WP_007050832.1|	50S ribosomal protein L17 [Anaerofustis stercorihominis] 
gi|494110050|ref|WP_007050833.1|	cobalt ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494110051|ref|WP_007050834.1|	cobalt ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494110052|ref|WP_007050835.1|	transporter [Anaerofustis stercorihominis] 
gi|494110053|ref|WP_007050836.1|	tRNA pseudouridine synthase A [Anaerofustis stercorihominis] 
gi|494110054|ref|WP_007050837.1|	50S ribosomal protein L13 [Anaerofustis stercorihominis] 
gi|494110055|ref|WP_007050838.1|	30S ribosomal protein S9 [Anaerofustis stercorihominis] 
gi|494110056|ref|WP_007050839.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110057|ref|WP_007050840.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110058|ref|WP_007050841.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110059|ref|WP_007050842.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110060|ref|WP_007050843.1|	cysteine desulfurase [Anaerofustis stercorihominis] 
gi|494110061|ref|WP_007050844.1|	FeS cluster assembly scaffold IscU [Anaerofustis stercorihominis] 
gi|494110062|ref|WP_007050845.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110063|ref|WP_007050846.1|	radical SAM protein [Anaerofustis stercorihominis] 
gi|494110064|ref|WP_007050847.1|	preprotein translocase subunit SecD [Anaerofustis stercorihominis] 
gi|494110065|ref|WP_007050848.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110066|ref|WP_007050849.1|	potassium transporter CPA [Anaerofustis stercorihominis] 
gi|494110067|ref|WP_007050850.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110068|ref|WP_007050851.1|	iron transporter FeoA [Anaerofustis stercorihominis] 
gi|494110069|ref|WP_007050852.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110070|ref|WP_007050853.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110071|ref|WP_007050854.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110072|ref|WP_007050855.1|	acyl carrier protein [Anaerofustis stercorihominis] 
gi|494110073|ref|WP_007050856.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110074|ref|WP_007050857.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Anaerofustis stercorihominis] 
gi|494110075|ref|WP_007050858.1|	acetyl-CoA carboxylase subunit beta [Anaerofustis stercorihominis] 
gi|494110076|ref|WP_007050859.1|	acetyl-CoA carboxylase [Anaerofustis stercorihominis] 
gi|494110077|ref|WP_007050860.1|	3-oxoacyl-ACP synthase [Anaerofustis stercorihominis] 
gi|494110078|ref|WP_007050861.1|	2-nitropropane dioxygenase [Anaerofustis stercorihominis] 
gi|494110079|ref|WP_007050862.1|	2-nitropropane dioxygenase [Anaerofustis stercorihominis] 
gi|494110080|ref|WP_007050863.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110081|ref|WP_007050864.1|	3-ketoacyl-ACP reductase [Anaerofustis stercorihominis] 
gi|494110082|ref|WP_007050865.1|	3-oxoacyl-ACP synthase [Anaerofustis stercorihominis] 
gi|494110083|ref|WP_007050866.1|	3-hydroxyacyl-ACP dehydratase [Anaerofustis stercorihominis] 
gi|494110084|ref|WP_007050867.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110085|ref|WP_007050868.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110086|ref|WP_007050869.1|	aspartyl-tRNA amidotransferase subunit B [Anaerofustis stercorihominis] 
gi|494110087|ref|WP_007050870.1|	30S ribosomal protein S21 [Anaerofustis stercorihominis] 
gi|494110088|ref|WP_007050871.1|	isocitrate dehydrogenase [Anaerofustis stercorihominis] 
gi|494110089|ref|WP_007050872.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110090|ref|WP_007050873.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110091|ref|WP_007050874.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110092|ref|WP_007050875.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110093|ref|WP_007050876.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110094|ref|WP_007050877.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110095|ref|WP_007050878.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110096|ref|WP_007050879.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110097|ref|WP_007050880.1|	ArsR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494110098|ref|WP_007050881.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110099|ref|WP_007050882.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110100|ref|WP_007050883.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110101|ref|WP_007050884.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494110102|ref|WP_007050885.1|	hypothetical protein [Anaerofustis stercorihominis] 
