gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493473338|ref|WP_006428363.1|	hypothetical protein [Dorea longicatena] 
gi|493473339|ref|WP_006428364.1|	amino acid ABC transporter permease [Dorea longicatena] 
gi|493473340|ref|WP_006428365.1|	amino acid ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473341|ref|WP_006428366.1|	hypothetical protein [Dorea longicatena] 
gi|493473342|ref|WP_006428367.1|	glutathione S-transferase [Dorea longicatena] 
gi|493473343|ref|WP_006428368.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473344|ref|WP_006428369.1|	MULTISPECIES: cysteine synthase [Dorea] 
gi|493473345|ref|WP_006428370.1|	O-acetylhomoserine aminocarboxypropyltransferase [Dorea longicatena] 
gi|493473346|ref|WP_006428371.1|	Rrf2 family transcriptional regulator [Dorea longicatena] 
gi|493473347|ref|WP_006428372.1|	MULTISPECIES: ATPase [Dorea] 
gi|493473348|ref|WP_006428373.1|	cystathionine beta-lyase [Dorea longicatena] 
gi|493473349|ref|WP_006428374.1|	aminotransferase [Dorea longicatena] 
gi|493473350|ref|WP_006428375.1|	peptidase C39 [Dorea longicatena] 
gi|493473351|ref|WP_006428376.1|	quinolinate synthetase [Dorea longicatena] 
gi|493473352|ref|WP_006428377.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493473353|ref|WP_006428378.1|	hypothetical protein [Dorea longicatena] 
gi|493473354|ref|WP_006428379.1|	FMN reductase [Dorea longicatena] 
gi|493473355|ref|WP_006428380.1|	hypothetical protein [Dorea longicatena] 
gi|493473356|ref|WP_006428381.1|	aminoacyl-tRNA synthetase [Dorea longicatena] 
gi|493473357|ref|WP_006428382.1|	endonuclease III [Dorea longicatena] 
gi|493473358|ref|WP_006428383.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473359|ref|WP_006428384.1|	hydroxylamine reductase [Dorea longicatena] 
gi|493473361|ref|WP_006428386.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473363|ref|WP_006428388.1|	ATP-dependent DNA helicase RecQ [Dorea longicatena] 
gi|493473366|ref|WP_006428390.1|	hypothetical protein [Dorea longicatena] 
gi|493473367|ref|WP_006428391.1|	ATPase P [Dorea longicatena] 
gi|493473368|ref|WP_006428392.1|	hypothetical protein [Dorea longicatena] 
gi|493473369|ref|WP_006428393.1|	hypothetical protein [Dorea longicatena] 
gi|493473370|ref|WP_006428394.1|	phosphodiesterase [Dorea longicatena] 
gi|493473371|ref|WP_006428395.1|	peptidase T [Dorea longicatena] 
gi|493473372|ref|WP_006428396.1|	hypothetical protein [Dorea longicatena] 
gi|493473373|ref|WP_006428397.1|	hypothetical protein [Dorea longicatena] 
gi|493473374|ref|WP_006428398.1|	hypothetical protein [Dorea longicatena] 
gi|493473375|ref|WP_006428399.1|	aminopeptidase [Dorea longicatena] 
gi|493473376|ref|WP_006428400.1|	hypothetical protein [Dorea longicatena] 
gi|493473377|ref|WP_006428401.1|	membrane protein [Dorea longicatena] 
gi|493473378|ref|WP_006428402.1|	aminotransferase [Dorea longicatena] 
gi|493473379|ref|WP_006428403.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493473380|ref|WP_006428404.1|	hypothetical protein [Dorea longicatena] 
gi|493473381|ref|WP_006428405.1|	haloacid dehalogenase [Dorea longicatena] 
gi|493473382|ref|WP_006428406.1|	MULTISPECIES: N-acetylglucosamine repressor [Dorea] 
gi|493473383|ref|WP_006428407.1|	hypothetical protein [Dorea longicatena] 
gi|493473384|ref|WP_006428408.1|	alcohol dehydrogenase [Dorea longicatena] 
gi|493473385|ref|WP_006428409.1|	glucuronide permease [Dorea longicatena] 
gi|493473386|ref|WP_006428410.1|	MULTISPECIES: SAM-dependent methyltransferase [Dorea] 
gi|493473387|ref|WP_006428411.1|	phosphate-binding protein [Dorea longicatena] 
gi|493473388|ref|WP_006428412.1|	MULTISPECIES: phosphate ABC transporter permease [Dorea] 
gi|493473389|ref|WP_006428413.1|	phosphate ABC transporter permease [Dorea longicatena] 
gi|493473390|ref|WP_006428414.1|	MULTISPECIES: phosphate ABC transporter ATP-binding protein [Dorea] 
gi|493473391|ref|WP_006428415.1|	PhoU family transcriptional regulator [Dorea longicatena] 
gi|493473392|ref|WP_006428416.1|	ArsR family transcriptional regulator [Dorea longicatena] 
gi|493473393|ref|WP_006428417.1|	MULTISPECIES: histidine kinase [Dorea] 
gi|493473394|ref|WP_006428418.1|	hypothetical protein [Dorea longicatena] 
gi|493473395|ref|WP_006428419.1|	hypothetical protein [Dorea longicatena] 
gi|493473396|ref|WP_006428420.1|	2-hydroxyglutaryl-CoA dehydratase [Dorea longicatena] 
gi|493473397|ref|WP_006428421.1|	membrane protein [Dorea longicatena] 
gi|493473398|ref|WP_006428422.1|	nitrogen regulatory protein P-II [Dorea longicatena] 
gi|493473399|ref|WP_006428423.1|	hypothetical protein [Dorea longicatena] 
gi|493473400|ref|WP_006428424.1|	cation diffusion facilitator family transporter [Dorea longicatena] 
gi|493473401|ref|WP_006428425.1|	Fe-S oxidoreductase [Dorea longicatena] 
gi|493473402|ref|WP_006428426.1|	phosphate:sodium symporter [Dorea longicatena] 
gi|493473403|ref|WP_006428427.1|	hypothetical protein [Dorea longicatena] 
gi|493473404|ref|WP_006428428.1|	hypothetical protein [Dorea longicatena] 
gi|493473405|ref|WP_006428429.1|	maltodextrin phosphorylase [Dorea longicatena] 
gi|493473406|ref|WP_006428430.1|	hypothetical protein [Dorea longicatena] 
gi|493473407|ref|WP_006428431.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493473408|ref|WP_006428432.1|	histidine kinase [Dorea longicatena] 
gi|493473409|ref|WP_006428433.1|	beta-lactamase [Dorea longicatena] 
gi|493473410|ref|WP_006428434.1|	glutamine synthetase [Dorea longicatena] 
gi|493473411|ref|WP_006428435.1|	transcription antitermination regulator [Dorea longicatena] 
gi|493473412|ref|WP_006428436.1|	diaminopimelate epimerase [Dorea longicatena] 
gi|493473413|ref|WP_006428437.1|	MULTISPECIES: aspartate aminotransferase [Dorea] 
gi|493473414|ref|WP_006428438.1|	MULTISPECIES: MerR family transcriptional regulator [Dorea] 
gi|493473415|ref|WP_006428439.1|	sodium transporter [Dorea longicatena] 
gi|493473416|ref|WP_006428440.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473417|ref|WP_006428441.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Dorea longicatena] 
gi|493473418|ref|WP_006428442.1|	MULTISPECIES: diguanylate cyclase [Dorea] 
gi|493473419|ref|WP_006428443.1|	DNA-binding protein [Dorea longicatena] 
gi|493473420|ref|WP_006428444.1|	MULTISPECIES: iron transporter FeoA [Dorea] 
gi|493473421|ref|WP_006428445.1|	MULTISPECIES: iron transporter FeoA [Dorea] 
gi|493473422|ref|WP_006428446.1|	iron transporter FeoB [Dorea longicatena] 
gi|493473423|ref|WP_006428447.1|	hypothetical protein [Dorea longicatena] 
gi|493473424|ref|WP_006428448.1|	hypothetical protein [Dorea longicatena] 
gi|493473425|ref|WP_006428449.1|	hypothetical protein [Dorea longicatena] 
gi|493473426|ref|WP_006428450.1|	hypothetical protein [Dorea longicatena] 
gi|493473427|ref|WP_006428451.1|	hypothetical protein [Dorea longicatena] 
gi|493473428|ref|WP_006428452.1|	cation transporter [Dorea longicatena] 
gi|493473429|ref|WP_006428453.1|	MULTISPECIES: potassium transporter KtrB [Dorea] 
gi|493473430|ref|WP_006428454.1|	MULTISPECIES: potassium transporter Trk [Dorea] 
gi|493473431|ref|WP_006428455.1|	cell surface protein [Dorea longicatena] 
gi|493473432|ref|WP_006428456.1|	flavodoxin [Dorea longicatena] 
gi|493473433|ref|WP_006428457.1|	enolase [Dorea longicatena] 
gi|493473434|ref|WP_006428458.1|	ATPase [Dorea longicatena] 
gi|493473435|ref|WP_006428459.1|	hypothetical protein [Dorea longicatena] 
gi|493473436|ref|WP_006428460.1|	MULTISPECIES: transcriptional regulator [Dorea] 
gi|493473437|ref|WP_006428461.1|	hypothetical protein [Dorea longicatena] 
gi|493473438|ref|WP_006428462.1|	hypothetical protein [Dorea longicatena] 
gi|493473439|ref|WP_006428463.1|	hypothetical protein [Dorea longicatena] 
gi|493473440|ref|WP_006428464.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473441|ref|WP_006428465.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473442|ref|WP_006428466.1|	MULTISPECIES: inosose dehydratase [Dorea] 
gi|493473443|ref|WP_006428467.1|	oxidoreductase [Dorea longicatena] 
gi|493473444|ref|WP_006428468.1|	hypothetical protein [Dorea longicatena] 
gi|493473445|ref|WP_006428469.1|	MULTISPECIES: sugar transporter [Dorea] 
gi|493473446|ref|WP_006428470.1|	MULTISPECIES: cytidylate kinase [Dorea] 
gi|493473447|ref|WP_006428471.1|	MULTISPECIES: uridine phosphorylase [Dorea] 
gi|493473448|ref|WP_006428472.1|	MULTISPECIES: cytidine deaminase [Dorea] 
gi|493473449|ref|WP_006428473.1|	adenosine deaminase [Dorea longicatena] 
gi|493473450|ref|WP_006428474.1|	MULTISPECIES: purine nucleoside phosphorylase [Dorea] 
gi|493473451|ref|WP_006428475.1|	hypothetical protein [Dorea longicatena] 
gi|493471814|ref|WP_006426866.1|	transposase [Dorea longicatena] 
gi|493473452|ref|WP_006428476.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473453|ref|WP_006428477.1|	hypothetical protein [Dorea longicatena] 
gi|493473454|ref|WP_006428478.1|	hypothetical protein [Dorea longicatena] 
gi|493473455|ref|WP_006428479.1|	nucleoside transporter [Dorea longicatena] 
gi|493473456|ref|WP_006428480.1|	nucleoside transporter [Dorea longicatena] 
gi|493473457|ref|WP_006428481.1|	phosphopentomutase [Dorea longicatena] 
gi|493473458|ref|WP_006428482.1|	deoxyribose-phosphate aldolase [Dorea longicatena] 
gi|493473459|ref|WP_006428483.1|	membrane protein [Dorea longicatena] 
gi|493473460|ref|WP_006428484.1|	hypothetical protein [Dorea longicatena] 
gi|493473461|ref|WP_006428485.1|	5-dehydro-2-deoxygluconokinase [Dorea longicatena] 
gi|493473462|ref|WP_006428486.1|	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase [Dorea longicatena] 
gi|493473463|ref|WP_006428487.1|	hypothetical protein [Dorea longicatena] 
gi|493473464|ref|WP_006428488.1|	alcohol dehydrogenase [Dorea longicatena] 
gi|493473465|ref|WP_006428489.1|	dihydrodipicolinate synthase [Dorea longicatena] 
gi|493473466|ref|WP_006428490.1|	MFS transporter [Dorea longicatena] 
gi|493473467|ref|WP_006428491.1|	fructose-bisphosphate aldolase [Dorea longicatena] 
gi|493473468|ref|WP_006428492.1|	sugar phosphate isomerase [Dorea longicatena] 
gi|493473469|ref|WP_006428493.1|	triosephosphate isomerase [Dorea longicatena] 
gi|493473470|ref|WP_006428494.1|	MULTISPECIES: 2-keto-3-deoxygluconate permease [Dorea] 
gi|493473471|ref|WP_006428495.1|	hypothetical protein [Dorea longicatena] 
gi|493473472|ref|WP_006428496.1|	hypothetical protein [Dorea longicatena] 
gi|493473473|ref|WP_006428497.1|	hypothetical protein [Dorea longicatena] 
gi|493473474|ref|WP_006428498.1|	hypothetical protein [Dorea longicatena] 
gi|493473475|ref|WP_006428499.1|	polyA polymerase [Dorea longicatena] 
gi|493473476|ref|WP_006428500.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473477|ref|WP_006428501.1|	transporter [Dorea longicatena] 
gi|493473478|ref|WP_006428502.1|	membrane protein [Dorea longicatena] 
gi|493473479|ref|WP_006428503.1|	sodium:alanine symporter [Dorea longicatena] 
gi|493473480|ref|WP_006428504.1|	hypothetical protein [Dorea longicatena] 
gi|493473481|ref|WP_006428505.1|	MULTISPECIES: galactokinase [Dorea] 
gi|493473482|ref|WP_006428506.1|	MULTISPECIES: galactose-1-phosphate uridylyltransferase [Dorea] 
gi|493473483|ref|WP_006428507.1|	hypothetical protein [Dorea longicatena] 
gi|493473484|ref|WP_006428508.1|	hypothetical protein [Dorea longicatena] 
gi|493473485|ref|WP_006428509.1|	LacI family transcriptional regulator [Dorea longicatena] 
gi|493473486|ref|WP_006428510.1|	histidine kinase [Dorea longicatena] 
gi|493473487|ref|WP_006428511.1|	MULTISPECIES: LuxR family transcriptional regulator [Dorea] 
gi|493473488|ref|WP_006428512.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493473489|ref|WP_006428513.1|	LacI family transcriptional regulator [Dorea longicatena] 
gi|493473490|ref|WP_006428514.1|	D-ribose transporter ATP binding protein [Dorea longicatena] 
gi|493473491|ref|WP_006428515.1|	hypothetical protein [Dorea longicatena] 
gi|493473492|ref|WP_006428516.1|	sugar ABC transporter permease [Dorea longicatena] 
gi|493473494|ref|WP_006428517.1|	MULTISPECIES: ketose-bisphosphate aldolase [Dorea] 
gi|493473495|ref|WP_006428518.1|	hypothetical protein [Dorea longicatena] 
gi|493473496|ref|WP_006428519.1|	hypothetical protein [Dorea longicatena] 
gi|493473497|ref|WP_006428520.1|	ABC transporter [Dorea longicatena] 
gi|493473498|ref|WP_006428521.1|	ABC transporter [Dorea longicatena] 
gi|493473499|ref|WP_006428522.1|	hypothetical protein [Dorea longicatena] 
gi|493473500|ref|WP_006428523.1|	hypothetical protein [Dorea longicatena] 
gi|493473501|ref|WP_006428524.1|	hypothetical protein [Dorea longicatena] 
gi|493473502|ref|WP_006428525.1|	phosphoglucomutase [Dorea longicatena] 
gi|493473503|ref|WP_006428526.1|	hypothetical protein [Dorea longicatena] 
gi|493473504|ref|WP_006428527.1|	hypothetical protein [Dorea longicatena] 
gi|493473505|ref|WP_006428528.1|	hypothetical protein [Dorea longicatena] 
gi|493473506|ref|WP_006428529.1|	hypothetical protein [Dorea longicatena] 
gi|493473507|ref|WP_006428530.1|	hypothetical protein [Dorea longicatena] 
gi|493473508|ref|WP_006428531.1|	hypothetical protein [Dorea longicatena] 
gi|493473509|ref|WP_006428532.1|	hypothetical protein [Dorea longicatena] 
gi|493473510|ref|WP_006428533.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473511|ref|WP_006428534.1|	N-acetylmuramoyl-L-alanine amidase [Dorea longicatena] 
gi|493473512|ref|WP_006428535.1|	aldose 1-epimerase [Dorea longicatena] 
gi|493473513|ref|WP_006428536.1|	inosine 5'-monophosphate dehydrogenase [Dorea longicatena] 
gi|493473514|ref|WP_006428537.1|	hypothetical protein [Dorea longicatena] 
gi|493473515|ref|WP_006428538.1|	MULTISPECIES: molecular chaperone GroEL [Dorea] 
gi|493473516|ref|WP_006428539.1|	MULTISPECIES: co-chaperonin GroES [Dorea] 
gi|493473517|ref|WP_006428540.1|	hypothetical protein [Dorea longicatena] 
gi|493473518|ref|WP_006428541.1|	MULTISPECIES: transcriptional regulator [Dorea] 
gi|493473520|ref|WP_006428542.1|	DNA topoisomerase I [Dorea longicatena] 
gi|493473521|ref|WP_006428543.1|	hypothetical protein [Dorea longicatena] 
gi|493473522|ref|WP_006428544.1|	hypothetical protein [Dorea longicatena] 
gi|493473523|ref|WP_006428545.1|	hypothetical protein [Dorea longicatena] 
gi|493473524|ref|WP_006428546.1|	magnesium chelatase subunit ChlI [Dorea longicatena] 
gi|493473525|ref|WP_006428547.1|	hypothetical protein [Dorea longicatena] 
gi|493473526|ref|WP_006428548.1|	hypothetical protein [Dorea longicatena] 
gi|493473527|ref|WP_006428549.1|	hypothetical protein [Dorea longicatena] 
gi|493473528|ref|WP_006428550.1|	RNA polymerase sigma 70 [Dorea longicatena] 
gi|493473529|ref|WP_006428551.1|	peptidase U32 [Dorea longicatena] 
gi|493473530|ref|WP_006428552.1|	O-methyltransferase [Dorea longicatena] 
gi|493473531|ref|WP_006428553.1|	beta-lactamase [Dorea longicatena] 
gi|493473532|ref|WP_006428554.1|	Fur family transcriptional regulator [Dorea longicatena] 
gi|493473533|ref|WP_006428555.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473534|ref|WP_006428556.1|	MULTISPECIES: Holliday junction resolvase [Dorea] 
gi|493473535|ref|WP_006428557.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473536|ref|WP_006428558.1|	MULTISPECIES: radical SAM protein [Dorea] 
gi|493473537|ref|WP_006428559.1|	MULTISPECIES: PTS sugar transporter [Dorea] 
gi|493473538|ref|WP_006428560.1|	MULTISPECIES: thiamine biosynthesis protein ThiI [Dorea] 
gi|493473539|ref|WP_006428561.1|	cysteine desulfarase [Dorea longicatena] 
gi|493473540|ref|WP_006428562.1|	16S rRNA methyltransferase [Dorea longicatena] 
gi|493473541|ref|WP_006428563.1|	MULTISPECIES: 50S ribosomal protein L11 methyltransferase [Dorea] 
gi|493473542|ref|WP_006428564.1|	hypothetical protein [Dorea longicatena] 
gi|493473543|ref|WP_006428565.1|	ATPase [Dorea longicatena] 
gi|493473544|ref|WP_006428566.1|	hypothetical protein [Dorea longicatena] 
gi|493473545|ref|WP_006428567.1|	hypothetical protein [Dorea longicatena] 
gi|493473546|ref|WP_006428568.1|	delta-lactam-biosynthetic de-N-acetylase [Dorea longicatena] 
gi|493473547|ref|WP_006428569.1|	hypothetical protein [Dorea longicatena] 
gi|493473548|ref|WP_006428570.1|	hypothetical protein [Dorea longicatena] 
gi|493473549|ref|WP_006428571.1|	glycosyl transferase family 2 [Dorea longicatena] 
gi|493473550|ref|WP_006428572.1|	transcriptional regulator [Dorea longicatena] 
gi|493473551|ref|WP_006428573.1|	UDP-phosphate glucose phosphotransferase [Dorea longicatena] 
gi|493473552|ref|WP_006428574.1|	glycosyl transferase family 2 [Dorea longicatena] 
gi|493473553|ref|WP_006428575.1|	glycosyltransferase [Dorea longicatena] 
gi|493473554|ref|WP_006428576.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Dorea] 
gi|493473555|ref|WP_006428577.1|	dTDP-4-dehydrorhamnose reductase [Dorea longicatena] 
gi|493473556|ref|WP_006428578.1|	MULTISPECIES: spore coat protein [Dorea] 
gi|493473557|ref|WP_006428579.1|	glucose-1-phosphate thymidylyltransferase [Dorea longicatena] 
gi|493473558|ref|WP_006428580.1|	hypothetical protein [Dorea longicatena] 
gi|493473560|ref|WP_006428582.1|	hypothetical protein [Dorea longicatena] 
gi|493473562|ref|WP_006428584.1|	hypothetical protein [Dorea longicatena] 
gi|493473564|ref|WP_006428586.1|	MerR family transcriptional regulator [Dorea longicatena] 
gi|493473566|ref|WP_006428587.1|	hypothetical protein [Dorea longicatena] 
gi|493473567|ref|WP_006428588.1|	hypothetical protein [Dorea longicatena] 
gi|493473568|ref|WP_006428589.1|	hypothetical protein [Dorea longicatena] 
gi|493473569|ref|WP_006428590.1|	hypothetical protein [Dorea longicatena] 
gi|493473570|ref|WP_006428591.1|	hypothetical protein [Dorea longicatena] 
gi|493473571|ref|WP_006428592.1|	teichoic acid ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473572|ref|WP_006428593.1|	ABC transporter [Dorea longicatena] 
gi|493473573|ref|WP_006428594.1|	hypothetical protein [Dorea longicatena] 
gi|493473574|ref|WP_006428595.1|	hypothetical protein [Dorea longicatena] 
gi|493473575|ref|WP_006428596.1|	glycosyl transferase family 2 [Dorea longicatena] 
gi|493473576|ref|WP_006428597.1|	glycosyl transferase family 2 [Dorea longicatena] 
gi|493473577|ref|WP_006428598.1|	hypothetical protein [Dorea longicatena] 
gi|493473578|ref|WP_006428599.1|	glycerol-3-phosphate cytidiltransferase [Dorea longicatena] 
gi|493473579|ref|WP_006428600.1|	aspartate aminotransferase [Dorea longicatena] 
gi|493473580|ref|WP_006428601.1|	lipopolysaccharide cholinephosphotransferase [Dorea longicatena] 
gi|493473581|ref|WP_006428602.1|	hypothetical protein [Dorea longicatena] 
gi|493473582|ref|WP_006428603.1|	hypothetical protein [Dorea longicatena] 
gi|493473583|ref|WP_006428604.1|	hypothetical protein [Dorea longicatena] 
gi|493473584|ref|WP_006428605.1|	hypothetical protein [Dorea longicatena] 
gi|493473585|ref|WP_006428606.1|	nucleotide sugar dehydratase [Dorea longicatena] 
gi|493473586|ref|WP_006428607.1|	hypothetical protein [Dorea longicatena] 
gi|493473587|ref|WP_006428608.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Dorea longicatena] 
gi|493473588|ref|WP_006428609.1|	hypothetical protein [Dorea longicatena] 
gi|493473589|ref|WP_006428610.1|	hypothetical protein [Dorea longicatena] 
gi|493473590|ref|WP_006428611.1|	transposase [Dorea longicatena] 
gi|493473591|ref|WP_006428612.1|	hypothetical protein [Dorea longicatena] 
gi|493473592|ref|WP_006428613.1|	hypothetical protein [Dorea longicatena] 
gi|493473593|ref|WP_006428614.1|	UDP-glucose dehydrogenase [Dorea longicatena] 
gi|493473594|ref|WP_006428615.1|	hypothetical protein [Dorea longicatena] 
gi|493473595|ref|WP_006428616.1|	hypothetical protein [Dorea longicatena] 
gi|493473596|ref|WP_006428617.1|	hypothetical protein [Dorea longicatena] 
gi|493473597|ref|WP_006428618.1|	hypothetical protein [Dorea longicatena] 
gi|493473598|ref|WP_006428619.1|	polysaccharide biosynthesis protein GtrA [Dorea longicatena] 
gi|493473599|ref|WP_006428620.1|	MULTISPECIES: PTS glucose transporter subunit IIABC [Dorea] 
gi|493473600|ref|WP_006428621.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473601|ref|WP_006428622.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493473602|ref|WP_006428623.1|	hypothetical protein [Dorea longicatena] 
gi|493473604|ref|WP_006428624.1|	hypothetical protein [Dorea longicatena] 
gi|493473605|ref|WP_006428625.1|	hypothetical protein [Dorea longicatena] 
gi|493473606|ref|WP_006428626.1|	ATPase AAA [Dorea longicatena] 
gi|493473607|ref|WP_006428627.1|	rod shape-determining protein Mbl [Dorea longicatena] 
gi|493473608|ref|WP_006428628.1|	excinuclease ABC subunit A [Dorea longicatena] 
gi|493473609|ref|WP_006428629.1|	excinuclease ABC subunit B [Dorea longicatena] 
gi|491480211|ref|WP_005337952.1|	MULTISPECIES: recombinase [Dorea] 
gi|493473611|ref|WP_006428631.1|	integrase [Dorea longicatena] 
gi|493473613|ref|WP_006428633.1|	hypothetical protein [Dorea longicatena] 
gi|493473615|ref|WP_006428635.1|	hypothetical protein [Dorea longicatena] 
gi|493473617|ref|WP_006428637.1|	RNA polymerase [Dorea longicatena] 
gi|493473620|ref|WP_006428640.1|	hypothetical protein [Dorea longicatena] 
gi|493473622|ref|WP_006428641.1|	hypothetical protein [Dorea longicatena] 
gi|493473623|ref|WP_006428642.1|	hypothetical protein [Dorea longicatena] 
gi|493473624|ref|WP_006428643.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493473625|ref|WP_006428644.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493473626|ref|WP_006428645.1|	beta-lactamase [Dorea longicatena] 
gi|493473627|ref|WP_006428646.1|	hypothetical protein [Dorea longicatena] 
gi|493473628|ref|WP_006428647.1|	hypothetical protein [Dorea longicatena] 
gi|493473629|ref|WP_006428648.1|	hypothetical protein [Dorea longicatena] 
gi|493473630|ref|WP_006428649.1|	hypothetical protein [Dorea longicatena] 
gi|493473631|ref|WP_006428650.1|	hypothetical protein partial [Dorea longicatena] 
gi|493473632|ref|WP_006428651.1|	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase [Dorea] 
gi|493473633|ref|WP_006428652.1|	cysteine desulfurase [Dorea longicatena] 
gi|493473634|ref|WP_006428653.1|	MULTISPECIES: 3-hydroxyacyl-ACP dehydratase [Dorea] 
gi|493473635|ref|WP_006428654.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473636|ref|WP_006428655.1|	CoA activase [Dorea longicatena] 
gi|493473637|ref|WP_006428656.1|	aspartate decarboxylase [Dorea longicatena] 
gi|493473638|ref|WP_006428657.1|	MULTISPECIES: pantoate--beta-alanine ligase [Dorea] 
gi|493473639|ref|WP_006428658.1|	sodium transporter [Dorea longicatena] 
gi|493473640|ref|WP_006428659.1|	MULTISPECIES: iron transporter FeoB [Dorea] 
gi|493473641|ref|WP_006428660.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473642|ref|WP_006428661.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473643|ref|WP_006428662.1|	(Fe-S)-binding protein [Dorea longicatena] 
gi|493473644|ref|WP_006428663.1|	hypothetical protein [Dorea longicatena] 
gi|493473645|ref|WP_006428664.1|	hypothetical protein [Dorea longicatena] 
gi|493473646|ref|WP_006428665.1|	aminotransferase [Dorea longicatena] 
gi|493473647|ref|WP_006428666.1|	hypothetical protein [Dorea longicatena] 
gi|493473648|ref|WP_006428667.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Dorea] 
gi|493473649|ref|WP_006428668.1|	phage head-tail adapter protein [Dorea longicatena] 
gi|493473650|ref|WP_006428669.1|	MULTISPECIES: ABC transporter permease [Dorea] 
gi|493473651|ref|WP_006428670.1|	hypothetical protein [Dorea longicatena] 
gi|493473653|ref|WP_006428671.1|	flavin-nucleotide-binding protein [Dorea longicatena] 
gi|493473654|ref|WP_006428672.1|	damage-inducible protein CinA [Dorea longicatena] 
gi|493473655|ref|WP_006428673.1|	hypothetical protein [Dorea longicatena] 
gi|493473656|ref|WP_006428674.1|	hypothetical protein [Dorea longicatena] 
gi|493473657|ref|WP_006428675.1|	hypothetical protein [Dorea longicatena] 
gi|493473658|ref|WP_006428676.1|	hypothetical protein [Dorea longicatena] 
gi|493473659|ref|WP_006428677.1|	hypothetical protein [Dorea longicatena] 
gi|493473661|ref|WP_006428679.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493473662|ref|WP_006428680.1|	hypothetical protein [Dorea longicatena] 
gi|493473664|ref|WP_006428682.1|	hypothetical protein [Dorea longicatena] 
gi|493473666|ref|WP_006428683.1|	hypothetical protein [Dorea longicatena] 
gi|493473667|ref|WP_006428684.1|	hypothetical protein [Dorea longicatena] 
gi|493473668|ref|WP_006428685.1|	rubrerythrin [Dorea longicatena] 
gi|493473669|ref|WP_006428686.1|	Fur family transcriptional regulator [Dorea longicatena] 
gi|493473670|ref|WP_006428687.1|	hypothetical protein [Dorea longicatena] 
gi|493473671|ref|WP_006428688.1|	peroxiredoxin [Dorea longicatena] 
gi|493473672|ref|WP_006428689.1|	hypothetical protein [Dorea longicatena] 
gi|493473673|ref|WP_006428690.1|	multidrug ABC transporter [Dorea longicatena] 
gi|491473092|ref|WP_005330844.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|490991665|ref|WP_004853398.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|491804171|ref|WP_005609481.1|	MULTISPECIES: lantibiotic ABC transporter ATP-binding protein [Clostridiales] 
gi|493473674|ref|WP_006428691.1|	hypothetical protein [Dorea longicatena] 
gi|493473675|ref|WP_006428692.1|	hypothetical protein [Dorea longicatena] 
gi|493473676|ref|WP_006428693.1|	hypothetical protein [Dorea longicatena] 
gi|493471079|ref|WP_006426148.1|	transcriptional regulator [Dorea longicatena] 
gi|493470991|ref|WP_006426061.1|	hypothetical protein [Dorea longicatena] 
gi|493471882|ref|WP_006426933.1|	MULTISPECIES: transposase [Lachnospiraceae] 
gi|493473677|ref|WP_006428694.1|	transcriptional regulator [Dorea longicatena] 
gi|493473678|ref|WP_006428695.1|	lysyl-tRNA synthetase [Dorea longicatena] 
gi|493473679|ref|WP_006428696.1|	MULTISPECIES: transcription elongation factor GreA [Dorea] 
gi|493473680|ref|WP_006428697.1|	hypothetical protein [Dorea longicatena] 
