gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493399755|ref|WP_006355858.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399756|ref|WP_006355859.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399757|ref|WP_006355860.1|	radical SAM protein [[Clostridium] methylpentosum] 
gi|493399758|ref|WP_006355861.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399759|ref|WP_006355862.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399760|ref|WP_006355863.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399761|ref|WP_006355864.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399762|ref|WP_006355865.1|	preprotein translocase subunit YajC [[Clostridium] methylpentosum] 
gi|493399763|ref|WP_006355866.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399764|ref|WP_006355867.1|	dihydropyrimidine dehydrogenase subunit A [[Clostridium] methylpentosum] 
gi|493399765|ref|WP_006355868.1|	ferredoxin-NADP(+) reductase subunit alpha [[Clostridium] methylpentosum] 
gi|493399766|ref|WP_006355869.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493399767|ref|WP_006355870.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493399768|ref|WP_006355871.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399769|ref|WP_006355872.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399770|ref|WP_006355873.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399771|ref|WP_006355874.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399772|ref|WP_006355875.1|	stage III sporulation protein D [[Clostridium] methylpentosum] 
gi|493399773|ref|WP_006355876.1|	pirin [[Clostridium] methylpentosum] 
gi|493399774|ref|WP_006355877.1|	nitroreductase [[Clostridium] methylpentosum] 
gi|493399775|ref|WP_006355878.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399776|ref|WP_006355879.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399777|ref|WP_006355880.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399778|ref|WP_006355881.1|	tellurium resistance protein [[Clostridium] methylpentosum] 
gi|493399779|ref|WP_006355882.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399780|ref|WP_006355883.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399781|ref|WP_006355884.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399782|ref|WP_006355885.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399783|ref|WP_006355886.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493399784|ref|WP_006355887.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399785|ref|WP_006355888.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399786|ref|WP_006355889.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399787|ref|WP_006355890.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399788|ref|WP_006355891.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399789|ref|WP_006355892.1|	thioesterase [[Clostridium] methylpentosum] 
gi|493399790|ref|WP_006355893.1|	endoribonuclease L-PSP [[Clostridium] methylpentosum] 
gi|493399791|ref|WP_006355894.1|	threonine dehydratase [[Clostridium] methylpentosum] 
gi|493399792|ref|WP_006355895.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399793|ref|WP_006355896.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399794|ref|WP_006355897.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399795|ref|WP_006355898.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399796|ref|WP_006355899.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399797|ref|WP_006355900.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399798|ref|WP_006355901.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399799|ref|WP_006355902.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399800|ref|WP_006355903.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399801|ref|WP_006355904.1|	thymidylate synthase [[Clostridium] methylpentosum] 
gi|493399802|ref|WP_006355905.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399803|ref|WP_006355906.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399804|ref|WP_006355907.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399805|ref|WP_006355908.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399806|ref|WP_006355909.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399807|ref|WP_006355910.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399808|ref|WP_006355911.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399809|ref|WP_006355912.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399810|ref|WP_006355913.1|	fumarate hydratase [[Clostridium] methylpentosum] 
gi|493399811|ref|WP_006355914.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399812|ref|WP_006355915.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399813|ref|WP_006355916.1|	N-acetylmannosamine kinase [[Clostridium] methylpentosum] 
gi|493399814|ref|WP_006355917.1|	FAD-dependent oxidoreductase [[Clostridium] methylpentosum] 
gi|493399815|ref|WP_006355918.1|	cytidylate kinase [[Clostridium] methylpentosum] 
gi|493399816|ref|WP_006355919.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399817|ref|WP_006355920.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [[Clostridium] methylpentosum] 
gi|493399818|ref|WP_006355921.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399819|ref|WP_006355922.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399820|ref|WP_006355923.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399821|ref|WP_006355924.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399822|ref|WP_006355925.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399823|ref|WP_006355926.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399824|ref|WP_006355927.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399825|ref|WP_006355928.1|	phosphoglycerate mutase [[Clostridium] methylpentosum] 
gi|493399826|ref|WP_006355929.1|	pseudouridine synthase [[Clostridium] methylpentosum] 
gi|493399827|ref|WP_006355930.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399828|ref|WP_006355931.1|	orotate phosphoribosyltransferase [[Clostridium] methylpentosum] 
gi|493399829|ref|WP_006355932.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399830|ref|WP_006355933.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399831|ref|WP_006355934.1|	rod shape-determining protein Mbl [[Clostridium] methylpentosum] 
gi|493399832|ref|WP_006355935.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399833|ref|WP_006355936.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399834|ref|WP_006355937.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399835|ref|WP_006355938.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399836|ref|WP_006355939.1|	maltose O-acetyltransferase [[Clostridium] methylpentosum] 
gi|493399837|ref|WP_006355940.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399838|ref|WP_006355941.1|	transposase [[Clostridium] methylpentosum] 
gi|493399839|ref|WP_006355942.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399840|ref|WP_006355943.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493399841|ref|WP_006355944.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399842|ref|WP_006355945.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399843|ref|WP_006355946.1|	S-adenosylmethionine synthetase [[Clostridium] methylpentosum] 
gi|493399844|ref|WP_006355947.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493399845|ref|WP_006355948.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399846|ref|WP_006355949.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399847|ref|WP_006355950.1|	elongation factor P [[Clostridium] methylpentosum] 
gi|493399848|ref|WP_006355951.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399849|ref|WP_006355952.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399850|ref|WP_006355953.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399851|ref|WP_006355954.1|	3-dehydroquinate dehydratase [[Clostridium] methylpentosum] 
gi|493399852|ref|WP_006355955.1|	endonuclease IV [[Clostridium] methylpentosum] 
gi|493399853|ref|WP_006355956.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399854|ref|WP_006355957.1|	30S ribosomal protein S21 [[Clostridium] methylpentosum] 
gi|493399855|ref|WP_006355958.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399856|ref|WP_006355959.1|	leucyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493399857|ref|WP_006355960.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399858|ref|WP_006355961.1|	ribosome-associated protein IOJAP [[Clostridium] methylpentosum] 
gi|493399859|ref|WP_006355962.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399860|ref|WP_006355963.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399861|ref|WP_006355964.1|	RNA-binding protein [[Clostridium] methylpentosum] 
gi|493399862|ref|WP_006355965.1|	nucleoside-triphosphate diphosphatase [[Clostridium] methylpentosum] 
gi|493399863|ref|WP_006355966.1|	cell division protein FtsY [[Clostridium] methylpentosum] 
gi|493399864|ref|WP_006355967.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399865|ref|WP_006355968.1|	radical SAM protein [[Clostridium] methylpentosum] 
gi|493399866|ref|WP_006355969.1|	ribonuclease III [[Clostridium] methylpentosum] 
gi|493399867|ref|WP_006355970.1|	phosphate acyltransferase [[Clostridium] methylpentosum] 
gi|493399868|ref|WP_006355971.1|	tRNA (uracil-5-)-methyltransferase [[Clostridium] methylpentosum] 
gi|493399869|ref|WP_006355972.1|	DNA topoisomerase I [[Clostridium] methylpentosum] 
gi|493399870|ref|WP_006355973.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399871|ref|WP_006355974.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399872|ref|WP_006355975.1|	50S ribosomal protein L20 [[Clostridium] methylpentosum] 
gi|493399873|ref|WP_006355976.1|	50S ribosomal protein L35 [[Clostridium] methylpentosum] 
gi|493399874|ref|WP_006355977.1|	translation initiation factor IF-3 [[Clostridium] methylpentosum] 
gi|493399875|ref|WP_006355978.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399876|ref|WP_006355979.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399877|ref|WP_006355980.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399878|ref|WP_006355981.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399879|ref|WP_006355982.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399880|ref|WP_006355983.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399881|ref|WP_006355984.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399882|ref|WP_006355985.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399883|ref|WP_006355986.1|	aminotransferase [[Clostridium] methylpentosum] 
gi|493399884|ref|WP_006355987.1|	AsnC family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399885|ref|WP_006355988.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399886|ref|WP_006355989.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399887|ref|WP_006355990.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399888|ref|WP_006355991.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399889|ref|WP_006355992.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399890|ref|WP_006355993.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399891|ref|WP_006355994.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399892|ref|WP_006355995.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399893|ref|WP_006355996.1|	abortive phage infection protein [[Clostridium] methylpentosum] 
gi|493399894|ref|WP_006355997.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399895|ref|WP_006355998.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399896|ref|WP_006355999.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399897|ref|WP_006356000.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399898|ref|WP_006356001.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399899|ref|WP_006356002.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399900|ref|WP_006356003.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399901|ref|WP_006356004.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399902|ref|WP_006356005.1|	ATP synthase subunit A [[Clostridium] methylpentosum] 
gi|493399903|ref|WP_006356006.1|	V-type ATP synthase subunit B [[Clostridium] methylpentosum] 
gi|493399904|ref|WP_006356007.1|	ATPase [[Clostridium] methylpentosum] 
gi|493399905|ref|WP_006356008.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399906|ref|WP_006356009.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399907|ref|WP_006356010.1|	transposase [[Clostridium] methylpentosum] 
gi|493399908|ref|WP_006356011.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399909|ref|WP_006356012.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399910|ref|WP_006356013.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399911|ref|WP_006356014.1|	short-chain dehydrogenase [[Clostridium] methylpentosum] 
gi|493399912|ref|WP_006356015.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399913|ref|WP_006356016.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399914|ref|WP_006356017.1|	ATPase [[Clostridium] methylpentosum] 
gi|493399915|ref|WP_006356018.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399916|ref|WP_006356019.1|	serine hydroxymethyltransferase [[Clostridium] methylpentosum] 
gi|493399917|ref|WP_006356020.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399918|ref|WP_006356021.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399919|ref|WP_006356022.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399920|ref|WP_006356023.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399921|ref|WP_006356024.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399922|ref|WP_006356025.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399923|ref|WP_006356026.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399924|ref|WP_006356027.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399925|ref|WP_006356028.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399926|ref|WP_006356029.1|	serine/threonine protein kinase [[Clostridium] methylpentosum] 
gi|493399927|ref|WP_006356030.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399928|ref|WP_006356031.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399929|ref|WP_006356032.1|	CarD family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399930|ref|WP_006356033.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399931|ref|WP_006356034.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399932|ref|WP_006356035.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399933|ref|WP_006356036.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399934|ref|WP_006356037.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399935|ref|WP_006356038.1|	aconitate hydratase [[Clostridium] methylpentosum] 
gi|493399936|ref|WP_006356039.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399937|ref|WP_006356040.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399938|ref|WP_006356041.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399939|ref|WP_006356042.1|	REX family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399940|ref|WP_006356043.1|	isocitrate dehydrogenase [[Clostridium] methylpentosum] 
gi|493399941|ref|WP_006356044.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399942|ref|WP_006356045.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399944|ref|WP_006356046.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399945|ref|WP_006356047.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399946|ref|WP_006356048.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399947|ref|WP_006356049.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399948|ref|WP_006356050.1|	glutamate synthase [[Clostridium] methylpentosum] 
gi|493399949|ref|WP_006356051.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399950|ref|WP_006356052.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399951|ref|WP_006356053.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399952|ref|WP_006356054.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399953|ref|WP_006356055.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399954|ref|WP_006356056.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399955|ref|WP_006356057.1|	tRNA (guanine-N(7)-)-methyltransferase [[Clostridium] methylpentosum] 
gi|493399956|ref|WP_006356058.1|	phosphoribosylaminoimidazole carboxylase [[Clostridium] methylpentosum] 
gi|493399957|ref|WP_006356059.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399958|ref|WP_006356060.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399959|ref|WP_006356061.1|	TspO and MBR [[Clostridium] methylpentosum] 
gi|493399960|ref|WP_006356062.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399961|ref|WP_006356063.1|	iron transporter FeoA [[Clostridium] methylpentosum] 
gi|493399962|ref|WP_006356064.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399963|ref|WP_006356065.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399964|ref|WP_006356066.1|	iron transporter FeoA [[Clostridium] methylpentosum] 
gi|493399965|ref|WP_006356067.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399966|ref|WP_006356068.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399967|ref|WP_006356069.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399968|ref|WP_006356070.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399969|ref|WP_006356071.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399970|ref|WP_006356072.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399971|ref|WP_006356073.1|	ArsR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399972|ref|WP_006356074.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399973|ref|WP_006356075.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399974|ref|WP_006356076.1|	cell division protein FtsZ [[Clostridium] methylpentosum] 
gi|493399975|ref|WP_006356077.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399976|ref|WP_006356078.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Clostridium] methylpentosum] 
gi|493399977|ref|WP_006356079.1|	UDP-diphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [[Clostridium] methylpentosum] 
gi|493399978|ref|WP_006356080.1|	cell division protein FtsW [[Clostridium] methylpentosum] 
gi|493399979|ref|WP_006356081.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399980|ref|WP_006356082.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399981|ref|WP_006356083.1|	UDP-N-acetylmuramyl peptide synthase [[Clostridium] methylpentosum] 
gi|493399982|ref|WP_006356084.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399983|ref|WP_006356085.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399984|ref|WP_006356086.1|	16S rRNA methyltransferase [[Clostridium] methylpentosum] 
gi|493399985|ref|WP_006356087.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399986|ref|WP_006356088.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399987|ref|WP_006356089.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399988|ref|WP_006356090.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399989|ref|WP_006356091.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399990|ref|WP_006356092.1|	ATPase [[Clostridium] methylpentosum] 
gi|493399991|ref|WP_006356093.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399992|ref|WP_006356094.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399993|ref|WP_006356095.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399994|ref|WP_006356096.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399995|ref|WP_006356097.1|	valyl-tRNA synthase [[Clostridium] methylpentosum] 
gi|493399996|ref|WP_006356098.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399997|ref|WP_006356099.1|	fibronectin-binding protein [[Clostridium] methylpentosum] 
gi|493399998|ref|WP_006356100.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399999|ref|WP_006356101.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400000|ref|WP_006356102.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400001|ref|WP_006356103.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400002|ref|WP_006356104.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400003|ref|WP_006356105.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400004|ref|WP_006356106.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493400005|ref|WP_006356107.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493400006|ref|WP_006356108.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400007|ref|WP_006356109.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400008|ref|WP_006356110.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400009|ref|WP_006356111.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493400010|ref|WP_006356112.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400011|ref|WP_006356113.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400012|ref|WP_006356114.1|	transposase [[Clostridium] methylpentosum] 
gi|493400013|ref|WP_006356115.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400014|ref|WP_006356116.1|	transposase [[Clostridium] methylpentosum] 
gi|493400015|ref|WP_006356117.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400016|ref|WP_006356118.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400017|ref|WP_006356119.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400018|ref|WP_006356120.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400019|ref|WP_006356121.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400020|ref|WP_006356122.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400021|ref|WP_006356123.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400022|ref|WP_006356124.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400023|ref|WP_006356125.1|	aminopeptidase [[Clostridium] methylpentosum] 
gi|493400024|ref|WP_006356126.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400025|ref|WP_006356127.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400026|ref|WP_006356128.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400027|ref|WP_006356129.1|	peptide chain release factor 1 [[Clostridium] methylpentosum] 
gi|493400028|ref|WP_006356130.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400029|ref|WP_006356131.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400030|ref|WP_006356132.1|	RNA-binding protein [[Clostridium] methylpentosum] 
gi|493400031|ref|WP_006356133.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400032|ref|WP_006356134.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400033|ref|WP_006356135.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400034|ref|WP_006356136.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400035|ref|WP_006356137.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400036|ref|WP_006356138.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400037|ref|WP_006356139.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400038|ref|WP_006356140.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400039|ref|WP_006356141.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400040|ref|WP_006356142.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400041|ref|WP_006356143.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400042|ref|WP_006356144.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400043|ref|WP_006356145.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400044|ref|WP_006356146.1|	alcohol dehydrogenase [[Clostridium] methylpentosum] 
gi|493400045|ref|WP_006356147.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400046|ref|WP_006356148.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493400047|ref|WP_006356149.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400048|ref|WP_006356150.1|	carbon-nitrogen hydrolase [[Clostridium] methylpentosum] 
gi|493400049|ref|WP_006356151.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493400050|ref|WP_006356152.1|	ArsC family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493400051|ref|WP_006356153.1|	peptidylprolyl isomerase [[Clostridium] methylpentosum] 
gi|493400052|ref|WP_006356154.1|	propanediol utilization protein PduU [[Clostridium] methylpentosum] 
gi|493400053|ref|WP_006356155.1|	ethanolamine utilization protein EutP [[Clostridium] methylpentosum] 
gi|493400054|ref|WP_006356156.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400055|ref|WP_006356157.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400056|ref|WP_006356158.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400057|ref|WP_006356159.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400058|ref|WP_006356160.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400059|ref|WP_006356161.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400060|ref|WP_006356162.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493400061|ref|WP_006356163.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400062|ref|WP_006356164.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493400063|ref|WP_006356165.1|	DNA topoisomerase III [[Clostridium] methylpentosum] 
