gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773061|ref|WP_006721573.1|	hypothetical protein [Collinsella stercoris] 
gi|493773062|ref|WP_006721574.1|	hypothetical protein [Collinsella stercoris] 
gi|493773063|ref|WP_006721575.1|	inorganic phosphate transporter PiT [Collinsella stercoris] 
gi|493773064|ref|WP_006721576.1|	hypothetical protein [Collinsella stercoris] 
gi|493773065|ref|WP_006721577.1|	hypothetical protein [Collinsella stercoris] 
gi|493773066|ref|WP_006721578.1|	cell division protein DivIVA [Collinsella stercoris] 
gi|493773067|ref|WP_006721579.1|	hypothetical protein [Collinsella stercoris] 
gi|493773068|ref|WP_006721580.1|	hypothetical protein [Collinsella stercoris] 
gi|493773069|ref|WP_006721581.1|	alanine racemase [Collinsella stercoris] 
gi|493773070|ref|WP_006721582.1|	hypothetical protein [Collinsella stercoris] 
gi|493773071|ref|WP_006721583.1|	hypothetical protein [Collinsella stercoris] 
gi|493773072|ref|WP_006721584.1|	hypothetical protein [Collinsella stercoris] 
gi|493773073|ref|WP_006721585.1|	multicopper polyphenol oxidase [Collinsella stercoris] 
gi|493773074|ref|WP_006721586.1|	cell division protein FtsZ [Collinsella stercoris] 
gi|493773075|ref|WP_006721587.1|	hypothetical protein [Collinsella stercoris] 
gi|493773076|ref|WP_006721588.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773077|ref|WP_006721589.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Collinsella stercoris] 
gi|493773078|ref|WP_006721590.1|	UDP-N-acetylmuramate--alanine ligase [Collinsella stercoris] 
gi|493773079|ref|WP_006721591.1|	hypothetical protein [Collinsella stercoris] 
gi|493773080|ref|WP_006721592.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773081|ref|WP_006721593.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773082|ref|WP_006721594.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773083|ref|WP_006721595.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773084|ref|WP_006721596.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Collinsella stercoris] 
gi|493773085|ref|WP_006721597.1|	hypothetical protein [Collinsella stercoris] 
gi|493773086|ref|WP_006721598.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773087|ref|WP_006721599.1|	hypothetical protein [Collinsella stercoris] 
gi|493773088|ref|WP_006721600.1|	16S rRNA methyltransferase [Collinsella stercoris] 
gi|493773090|ref|WP_006721601.1|	hypothetical protein [Collinsella stercoris] 
gi|493773091|ref|WP_006721602.1|	tyrosine recombinase XerD [Collinsella stercoris] 
gi|493773092|ref|WP_006721603.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773093|ref|WP_006721604.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773094|ref|WP_006721605.1|	aminotransferase [Collinsella stercoris] 
gi|493773095|ref|WP_006721606.1|	C4-dicarboxylate ABC transporter [Collinsella stercoris] 
gi|493773096|ref|WP_006721607.1|	ornithine carbamoyltransferase [Collinsella stercoris] 
gi|493773097|ref|WP_006721608.1|	hypothetical protein [Collinsella stercoris] 
gi|493773098|ref|WP_006721609.1|	arginine deiminase [Collinsella stercoris] 
gi|493773099|ref|WP_006721610.1|	hypothetical protein [Collinsella stercoris] 
gi|493773100|ref|WP_006721611.1|	hypothetical protein [Collinsella stercoris] 
gi|493773101|ref|WP_006721612.1|	C4-dicarboxylate ABC transporter [Collinsella stercoris] 
gi|493773102|ref|WP_006721613.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773103|ref|WP_006721614.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773104|ref|WP_006721615.1|	hypothetical protein [Collinsella stercoris] 
gi|493773105|ref|WP_006721616.1|	hypothetical protein [Collinsella stercoris] 
gi|493773106|ref|WP_006721617.1|	hypothetical protein [Collinsella stercoris] 
gi|493773107|ref|WP_006721618.1|	hypothetical protein [Collinsella stercoris] 
gi|493773108|ref|WP_006721619.1|	hypothetical protein [Collinsella stercoris] 
gi|493773109|ref|WP_006721620.1|	hypothetical protein [Collinsella stercoris] 
gi|493773110|ref|WP_006721621.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493773111|ref|WP_006721622.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493773112|ref|WP_006721623.1|	hypothetical protein [Collinsella stercoris] 
gi|493773113|ref|WP_006721624.1|	DNA-binding protein [Collinsella stercoris] 
gi|493773114|ref|WP_006721625.1|	hypothetical protein [Collinsella stercoris] 
gi|493773115|ref|WP_006721626.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773116|ref|WP_006721627.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773117|ref|WP_006721628.1|	hypothetical protein [Collinsella stercoris] 
gi|493773118|ref|WP_006721629.1|	hypothetical protein [Collinsella stercoris] 
gi|493773119|ref|WP_006721630.1|	hypothetical protein [Collinsella stercoris] 
gi|493773120|ref|WP_006721631.1|	hypothetical protein [Collinsella stercoris] 
gi|493773121|ref|WP_006721632.1|	methyltransferase [Collinsella stercoris] 
gi|493773122|ref|WP_006721633.1|	hypothetical protein [Collinsella stercoris] 
gi|493773123|ref|WP_006721634.1|	hypothetical protein [Collinsella stercoris] 
gi|493773124|ref|WP_006721635.1|	hypothetical protein [Collinsella stercoris] 
gi|493773126|ref|WP_006721636.1|	hypothetical protein [Collinsella stercoris] 
gi|493773127|ref|WP_006721637.1|	hypothetical protein [Collinsella stercoris] 
gi|493773128|ref|WP_006721638.1|	PadR family transcriptional regulator [Collinsella stercoris] 
gi|493773129|ref|WP_006721639.1|	hypothetical protein [Collinsella stercoris] 
gi|493773130|ref|WP_006721640.1|	hypothetical protein [Collinsella stercoris] 
gi|493773131|ref|WP_006721641.1|	hypothetical protein [Collinsella stercoris] 
gi|493773132|ref|WP_006721642.1|	hypothetical protein [Collinsella stercoris] 
gi|493773133|ref|WP_006721643.1|	hypothetical protein [Collinsella stercoris] 
gi|493773134|ref|WP_006721644.1|	hypothetical protein [Collinsella stercoris] 
gi|493773135|ref|WP_006721645.1|	hypothetical protein [Collinsella stercoris] 
gi|493773136|ref|WP_006721646.1|	hypothetical protein [Collinsella stercoris] 
gi|493773137|ref|WP_006721647.1|	hypothetical protein [Collinsella stercoris] 
gi|493773138|ref|WP_006721648.1|	ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493773139|ref|WP_006721649.1|	hypothetical protein [Collinsella stercoris] 
gi|493773140|ref|WP_006721650.1|	hypothetical protein [Collinsella stercoris] 
gi|493773141|ref|WP_006721651.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773142|ref|WP_006721652.1|	hypothetical protein [Collinsella stercoris] 
gi|493773143|ref|WP_006721653.1|	hypothetical protein [Collinsella stercoris] 
gi|493773144|ref|WP_006721654.1|	CTP synthetase [Collinsella stercoris] 
gi|493773145|ref|WP_006721655.1|	hypothetical protein [Collinsella stercoris] 
gi|493773146|ref|WP_006721656.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773147|ref|WP_006721657.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773148|ref|WP_006721658.1|	hypothetical protein [Collinsella stercoris] 
gi|493773149|ref|WP_006721659.1|	hypothetical protein [Collinsella stercoris] 
gi|493773150|ref|WP_006721660.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773151|ref|WP_006721661.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773152|ref|WP_006721662.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773153|ref|WP_006721663.1|	hypothetical protein [Collinsella stercoris] 
gi|493773154|ref|WP_006721664.1|	ATPase [Collinsella stercoris] 
gi|493773155|ref|WP_006721665.1|	ATPase [Collinsella stercoris] 
gi|493773156|ref|WP_006721666.1|	haloacid dehalogenase [Collinsella stercoris] 
gi|493773157|ref|WP_006721667.1|	potassium transporter KtrA [Collinsella stercoris] 
gi|493773159|ref|WP_006721668.1|	lactate dehydrogenase [Collinsella stercoris] 
gi|493773160|ref|WP_006721669.1|	hypothetical protein [Collinsella stercoris] 
gi|493773161|ref|WP_006721670.1|	hypothetical protein [Collinsella stercoris] 
gi|493773162|ref|WP_006721671.1|	hypothetical protein [Collinsella stercoris] 
gi|493773163|ref|WP_006721672.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Collinsella stercoris] 
gi|493773164|ref|WP_006721673.1|	hypothetical protein [Collinsella stercoris] 
gi|493773165|ref|WP_006721674.1|	hypothetical protein [Collinsella stercoris] 
gi|493773166|ref|WP_006721675.1|	hypothetical protein [Collinsella stercoris] 
gi|493773167|ref|WP_006721676.1|	hypothetical protein [Collinsella stercoris] 
gi|493773168|ref|WP_006721677.1|	hypothetical protein [Collinsella stercoris] 
gi|493773169|ref|WP_006721678.1|	hypothetical protein [Collinsella stercoris] 
gi|493773170|ref|WP_006721679.1|	ATPase [Collinsella stercoris] 
gi|493773172|ref|WP_006721681.1|	ATP-dependent DNA helicase RecQ [Collinsella stercoris] 
gi|493773171|ref|WP_006721680.1|	hypothetical protein [Collinsella stercoris] 
gi|493773173|ref|WP_006721682.1|	hypothetical protein [Collinsella stercoris] 
gi|493773174|ref|WP_006721683.1|	hypothetical protein [Collinsella stercoris] 
gi|493773175|ref|WP_006721684.1|	hypothetical protein [Collinsella stercoris] 
gi|493773176|ref|WP_006721685.1|	PhoB family transcriptional regulator [Collinsella stercoris] 
gi|493773177|ref|WP_006721686.1|	hypothetical protein [Collinsella stercoris] 
gi|493773178|ref|WP_006721687.1|	hypothetical protein [Collinsella stercoris] 
gi|493773179|ref|WP_006721688.1|	LytTR family transcriptional regulator [Collinsella stercoris] 
gi|493773180|ref|WP_006721689.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773181|ref|WP_006721690.1|	hypothetical protein [Collinsella stercoris] 
gi|493773182|ref|WP_006721691.1|	hypothetical protein [Collinsella stercoris] 
gi|493773183|ref|WP_006721692.1|	amidohydrolase [Collinsella stercoris] 
gi|493773184|ref|WP_006721693.1|	amino acid permease [Collinsella stercoris] 
gi|493773185|ref|WP_006721694.1|	hypothetical protein [Collinsella stercoris] 
gi|493773186|ref|WP_006721695.1|	hypothetical protein [Collinsella stercoris] 
gi|493773187|ref|WP_006721696.1|	hypothetical protein [Collinsella stercoris] 
gi|493773188|ref|WP_006721697.1|	hypothetical protein [Collinsella stercoris] 
gi|493773189|ref|WP_006721698.1|	carbamate kinase [Collinsella stercoris] 
gi|493773190|ref|WP_006721699.1|	hypothetical protein [Collinsella stercoris] 
gi|493773192|ref|WP_006721701.1|	hypothetical protein [Collinsella stercoris] 
gi|493773191|ref|WP_006721700.1|	hypothetical protein [Collinsella stercoris] 
gi|493773193|ref|WP_006721702.1|	hypothetical protein [Collinsella stercoris] 
gi|493773194|ref|WP_006721703.1|	recombinase RecR [Collinsella stercoris] 
gi|493773195|ref|WP_006721704.1|	hypothetical protein [Collinsella stercoris] 
gi|493773196|ref|WP_006721705.1|	hypothetical protein [Collinsella stercoris] 
gi|493773197|ref|WP_006721706.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773198|ref|WP_006721707.1|	phosphoglucomutase [Collinsella stercoris] 
gi|493773199|ref|WP_006721708.1|	DtxR family transcriptional regulator [Collinsella stercoris] 
gi|493773200|ref|WP_006721709.1|	peptidase [Collinsella stercoris] 
gi|493773201|ref|WP_006721710.1|	hypothetical protein [Collinsella stercoris] 
gi|493773202|ref|WP_006721711.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Collinsella stercoris] 
gi|493773203|ref|WP_006721712.1|	hypothetical protein [Collinsella stercoris] 
gi|493773205|ref|WP_006721714.1|	F0F1 ATP synthase subunit beta [Collinsella stercoris] 
gi|493773206|ref|WP_006721715.1|	F0F1 ATP synthase subunit gamma [Collinsella stercoris] 
gi|493773207|ref|WP_006721716.1|	F0F1 ATP synthase subunit alpha [Collinsella stercoris] 
gi|493773208|ref|WP_006721717.1|	hypothetical protein [Collinsella stercoris] 
gi|493773209|ref|WP_006721718.1|	hypothetical protein [Collinsella stercoris] 
gi|493773210|ref|WP_006721719.1|	ATPase [Collinsella stercoris] 
gi|493773211|ref|WP_006721720.1|	ATP synthase F0 subunit A [Collinsella stercoris] 
gi|493773212|ref|WP_006721721.1|	hypothetical protein [Collinsella stercoris] 
gi|493773213|ref|WP_006721722.1|	uracil phosphoribosyltransferase [Collinsella stercoris] 
gi|493773214|ref|WP_006721723.1|	RpiR family transcriptional regulator [Collinsella stercoris] 
gi|493773215|ref|WP_006721724.1|	glycerol kinase [Collinsella stercoris] 
gi|493773216|ref|WP_006721725.1|	hypothetical protein [Collinsella stercoris] 
gi|493773217|ref|WP_006721726.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493773218|ref|WP_006721727.1|	hypothetical protein [Collinsella stercoris] 
gi|493773219|ref|WP_006721728.1|	hypothetical protein [Collinsella stercoris] 
gi|493773221|ref|WP_006721730.1|	aspartate aminotransferase [Collinsella stercoris] 
gi|493773222|ref|WP_006721731.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493773223|ref|WP_006721732.1|	hypothetical protein [Collinsella stercoris] 
gi|493773224|ref|WP_006721733.1|	hypothetical protein [Collinsella stercoris] 
gi|493773225|ref|WP_006721734.1|	hypothetical protein [Collinsella stercoris] 
gi|493773226|ref|WP_006721735.1|	hypothetical protein [Collinsella stercoris] 
gi|493773227|ref|WP_006721736.1|	hypothetical protein [Collinsella stercoris] 
gi|493773228|ref|WP_006721737.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773229|ref|WP_006721738.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773230|ref|WP_006721739.1|	integrase [Collinsella stercoris] 
gi|493773231|ref|WP_006721740.1|	hypothetical protein [Collinsella stercoris] 
gi|493773232|ref|WP_006721741.1|	hypothetical protein [Collinsella stercoris] 
gi|493773233|ref|WP_006721742.1|	peptide chain release factor 1 [Collinsella stercoris] 
gi|493773234|ref|WP_006721743.1|	hypothetical protein [Collinsella stercoris] 
gi|493773235|ref|WP_006721744.1|	hypothetical protein [Collinsella stercoris] 
gi|493773236|ref|WP_006721745.1|	adenylosuccinate lyase [Collinsella stercoris] 
gi|493773237|ref|WP_006721746.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773238|ref|WP_006721747.1|	hypothetical protein [Collinsella stercoris] 
gi|493773240|ref|WP_006721748.1|	hypothetical protein [Collinsella stercoris] 
gi|493773241|ref|WP_006721749.1|	hypothetical protein [Collinsella stercoris] 
gi|493773242|ref|WP_006721750.1|	carbamoyl phosphate synthase large subunit [Collinsella stercoris] 
gi|493773243|ref|WP_006721751.1|	carbamoyl-phosphate synthase small subunit [Collinsella stercoris] 
gi|493773244|ref|WP_006721752.1|	hypothetical protein [Collinsella stercoris] 
gi|493773245|ref|WP_006721753.1|	hypothetical protein [Collinsella stercoris] 
gi|493773246|ref|WP_006721754.1|	peptidase M29 [Collinsella stercoris] 
gi|493773247|ref|WP_006721755.1|	hypothetical protein [Collinsella stercoris] 
gi|493773248|ref|WP_006721756.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Collinsella stercoris] 
gi|493773249|ref|WP_006721757.1|	histidine kinase [Collinsella stercoris] 
gi|493773250|ref|WP_006721758.1|	transcriptional regulator [Collinsella stercoris] 
gi|493773251|ref|WP_006721759.1|	hypothetical protein [Collinsella stercoris] 
gi|493773252|ref|WP_006721760.1|	hypothetical protein [Collinsella stercoris] 
gi|493773253|ref|WP_006721761.1|	hypothetical protein [Collinsella stercoris] 
gi|493773254|ref|WP_006721762.1|	oxidoreductase [Collinsella stercoris] 
gi|493773255|ref|WP_006721763.1|	hypothetical protein [Collinsella stercoris] 
gi|493773256|ref|WP_006721764.1|	hypothetical protein [Collinsella stercoris] 
gi|493773257|ref|WP_006721765.1|	hypothetical protein [Collinsella stercoris] 
gi|493773258|ref|WP_006721766.1|	hypothetical protein [Collinsella stercoris] 
gi|493773259|ref|WP_006721767.1|	GTP-binding protein TypA [Collinsella stercoris] 
gi|493773260|ref|WP_006721768.1|	hypothetical protein [Collinsella stercoris] 
gi|493773261|ref|WP_006721769.1|	hypothetical protein [Collinsella stercoris] 
gi|493773262|ref|WP_006721770.1|	hypothetical protein [Collinsella stercoris] 
gi|493773263|ref|WP_006721771.1|	hypothetical protein [Collinsella stercoris] 
gi|493773264|ref|WP_006721772.1|	hypothetical protein [Collinsella stercoris] 
gi|493773265|ref|WP_006721773.1|	holin [Collinsella stercoris] 
gi|493773266|ref|WP_006721774.1|	hypothetical protein [Collinsella stercoris] 
gi|493773267|ref|WP_006721775.1|	hypothetical protein [Collinsella stercoris] 
gi|493773268|ref|WP_006721776.1|	hypothetical protein [Collinsella stercoris] 
gi|493773269|ref|WP_006721777.1|	hypothetical protein [Collinsella stercoris] 
gi|493773270|ref|WP_006721778.1|	hypothetical protein [Collinsella stercoris] 
gi|493773271|ref|WP_006721779.1|	hypothetical protein [Collinsella stercoris] 
gi|493773272|ref|WP_006721780.1|	hypothetical protein [Collinsella stercoris] 
gi|493773273|ref|WP_006721781.1|	hypothetical protein [Collinsella stercoris] 
gi|493773274|ref|WP_006721782.1|	hypothetical protein [Collinsella stercoris] 
gi|493773275|ref|WP_006721783.1|	hypothetical protein [Collinsella stercoris] 
gi|493773276|ref|WP_006721784.1|	hypothetical protein [Collinsella stercoris] 
gi|493773277|ref|WP_006721785.1|	hypothetical protein [Collinsella stercoris] 
gi|493773278|ref|WP_006721786.1|	hypothetical protein [Collinsella stercoris] 
gi|493773279|ref|WP_006721787.1|	hypothetical protein [Collinsella stercoris] 
gi|493773280|ref|WP_006721788.1|	hypothetical protein [Collinsella stercoris] 
gi|493773281|ref|WP_006721789.1|	hypothetical protein [Collinsella stercoris] 
gi|493773282|ref|WP_006721790.1|	hypothetical protein [Collinsella stercoris] 
gi|493773283|ref|WP_006721791.1|	hypothetical protein [Collinsella stercoris] 
gi|493773284|ref|WP_006721792.1|	hypothetical protein [Collinsella stercoris] 
gi|493773285|ref|WP_006721793.1|	hypothetical protein [Collinsella stercoris] 
gi|493773286|ref|WP_006721794.1|	hypothetical protein [Collinsella stercoris] 
gi|493773287|ref|WP_006721795.1|	hypothetical protein [Collinsella stercoris] 
gi|493773288|ref|WP_006721796.1|	hypothetical protein [Collinsella stercoris] 
gi|493773289|ref|WP_006721797.1|	hypothetical protein [Collinsella stercoris] 
gi|493773290|ref|WP_006721798.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Collinsella stercoris] 
gi|493773291|ref|WP_006721799.1|	hypothetical protein [Collinsella stercoris] 
gi|493773292|ref|WP_006721800.1|	hypothetical protein [Collinsella stercoris] 
gi|493773293|ref|WP_006721801.1|	hypothetical protein [Collinsella stercoris] 
gi|493773294|ref|WP_006721802.1|	hypothetical protein [Collinsella stercoris] 
gi|493773295|ref|WP_006721803.1|	hypothetical protein [Collinsella stercoris] 
gi|493773296|ref|WP_006721804.1|	integrase [Collinsella stercoris] 
gi|493773297|ref|WP_006721805.1|	hypothetical protein [Collinsella stercoris] 
gi|493773298|ref|WP_006721806.1|	hypothetical protein [Collinsella stercoris] 
gi|493773299|ref|WP_006721807.1|	hypothetical protein [Collinsella stercoris] 
gi|493773300|ref|WP_006721808.1|	hypothetical protein [Collinsella stercoris] 
gi|493773301|ref|WP_006721809.1|	hypothetical protein [Collinsella stercoris] 
gi|493773302|ref|WP_006721810.1|	hypothetical protein [Collinsella stercoris] 
gi|493773304|ref|WP_006721811.1|	hypothetical protein [Collinsella stercoris] 
gi|493773305|ref|WP_006721812.1|	hypothetical protein [Collinsella stercoris] 
gi|493773306|ref|WP_006721813.1|	hypothetical protein [Collinsella stercoris] 
gi|493773307|ref|WP_006721814.1|	hypothetical protein [Collinsella stercoris] 
gi|493773308|ref|WP_006721815.1|	hypothetical protein [Collinsella stercoris] 
gi|493773309|ref|WP_006721816.1|	hypothetical protein [Collinsella stercoris] 
gi|493773310|ref|WP_006721817.1|	hypothetical protein [Collinsella stercoris] 
gi|493773311|ref|WP_006721818.1|	hypothetical protein [Collinsella stercoris] 
gi|493773312|ref|WP_006721819.1|	resolvase [Collinsella stercoris] 
gi|493773313|ref|WP_006721820.1|	hypothetical protein [Collinsella stercoris] 
gi|493773314|ref|WP_006721821.1|	hypothetical protein [Collinsella stercoris] 
gi|493773315|ref|WP_006721822.1|	hypothetical protein [Collinsella stercoris] 
gi|493773316|ref|WP_006721823.1|	hypothetical protein [Collinsella stercoris] 
gi|493773317|ref|WP_006721824.1|	hypothetical protein [Collinsella stercoris] 
gi|493773318|ref|WP_006721825.1|	hypothetical protein [Collinsella stercoris] 
gi|493773319|ref|WP_006721826.1|	DNA gyrase subunit A [Collinsella stercoris] 
gi|493773320|ref|WP_006721827.1|	hypothetical protein [Collinsella stercoris] 
gi|493773321|ref|WP_006721828.1|	DNA-cytosine methyltransferase [Collinsella stercoris] 
gi|493773322|ref|WP_006721829.1|	hypothetical protein [Collinsella stercoris] 
gi|493773323|ref|WP_006721830.1|	hypothetical protein [Collinsella stercoris] 
gi|493773324|ref|WP_006721831.1|	hypothetical protein [Collinsella stercoris] 
gi|493773325|ref|WP_006721832.1|	DNA polymerase III subunit beta [Collinsella stercoris] 
gi|493773326|ref|WP_006721833.1|	hypothetical protein [Collinsella stercoris] 
gi|493773327|ref|WP_006721834.1|	hypothetical protein [Collinsella stercoris] 
gi|493773328|ref|WP_006721835.1|	50S ribosomal protein L34 [Collinsella stercoris] 
gi|493773329|ref|WP_006721836.1|	ribonuclease P [Collinsella stercoris] 
gi|493773330|ref|WP_006721837.1|	hypothetical protein [Collinsella stercoris] 
gi|493773331|ref|WP_006721838.1|	membrane protein [Collinsella stercoris] 
gi|493773332|ref|WP_006721839.1|	hypothetical protein [Collinsella stercoris] 
gi|493773333|ref|WP_006721840.1|	hypothetical protein [Collinsella stercoris] 
gi|493773334|ref|WP_006721841.1|	sporulation initiation inhibitor Soj [Collinsella stercoris] 
gi|493773335|ref|WP_006721842.1|	chromosome partitioning protein ParB [Collinsella stercoris] 
gi|493773336|ref|WP_006721843.1|	hypothetical protein [Collinsella stercoris] 
gi|493773337|ref|WP_006721844.1|	radical SAM protein [Collinsella stercoris] 
gi|493773338|ref|WP_006721845.1|	D-alanine--D-alanine ligase [Collinsella stercoris] 
gi|493773339|ref|WP_006721846.1|	DNA polymerase III subunit epsilon [Collinsella stercoris] 
gi|493773340|ref|WP_006721847.1|	hypothetical protein [Collinsella stercoris] 
gi|493773341|ref|WP_006721848.1|	hypothetical protein [Collinsella stercoris] 
gi|493773342|ref|WP_006721849.1|	hypothetical protein [Collinsella stercoris] 
gi|493773343|ref|WP_006721850.1|	hypothetical protein [Collinsella stercoris] 
gi|493773344|ref|WP_006721851.1|	hypothetical protein [Collinsella stercoris] 
gi|493773345|ref|WP_006721852.1|	hypothetical protein [Collinsella stercoris] 
gi|493773346|ref|WP_006721853.1|	hypothetical protein [Collinsella stercoris] 
gi|493773347|ref|WP_006721854.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Collinsella stercoris] 
gi|493773348|ref|WP_006721855.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773349|ref|WP_006721856.1|	molybdopterin biosynthesis protein [Collinsella stercoris] 
gi|493773350|ref|WP_006721857.1|	hypothetical protein [Collinsella stercoris] 
gi|493773351|ref|WP_006721858.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Collinsella stercoris] 
gi|493773352|ref|WP_006721859.1|	hypothetical protein [Collinsella stercoris] 
gi|493773353|ref|WP_006721860.1|	molybdopterin biosynthesis protein [Collinsella stercoris] 
gi|493773354|ref|WP_006721861.1|	hypothetical protein [Collinsella stercoris] 
gi|493773355|ref|WP_006721862.1|	hypothetical protein [Collinsella stercoris] 
gi|493773356|ref|WP_006721863.1|	oxidoreductase [Collinsella stercoris] 
gi|493773357|ref|WP_006721864.1|	dihydropyrimidine dehydrogenase subunit A [Collinsella stercoris] 
gi|493773358|ref|WP_006721865.1|	hypothetical protein [Collinsella stercoris] 
gi|493773359|ref|WP_006721866.1|	peptidyl-tRNA hydrolase [Collinsella stercoris] 
gi|493773360|ref|WP_006721867.1|	hypothetical protein [Collinsella stercoris] 
gi|493773362|ref|WP_006721868.1|	hypothetical protein [Collinsella stercoris] 
gi|493773363|ref|WP_006721869.1|	ribose-phosphate pyrophosphokinase [Collinsella stercoris] 
gi|493773364|ref|WP_006721870.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Collinsella stercoris] 
gi|493773365|ref|WP_006721871.1|	hypothetical protein [Collinsella stercoris] 
gi|493773366|ref|WP_006721872.1|	ABC transporter [Collinsella stercoris] 
gi|493773367|ref|WP_006721873.1|	hypothetical protein [Collinsella stercoris] 
gi|493773368|ref|WP_006721874.1|	hypothetical protein [Collinsella stercoris] 
gi|493773369|ref|WP_006721875.1|	hypothetical protein [Collinsella stercoris] 
gi|493773370|ref|WP_006721876.1|	exodeoxyribonuclease III [Collinsella stercoris] 
gi|493773371|ref|WP_006721877.1|	hypothetical protein [Collinsella stercoris] 
gi|493773372|ref|WP_006721878.1|	dihydropteroate synthase [Collinsella stercoris] 
gi|493773373|ref|WP_006721879.1|	Baf family transcriptional regulator [Collinsella stercoris] 
gi|493773374|ref|WP_006721880.1|	hypothetical protein [Collinsella stercoris] 
gi|493773375|ref|WP_006721881.1|	hypothetical protein [Collinsella stercoris] 
gi|493773376|ref|WP_006721882.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773377|ref|WP_006721883.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493773378|ref|WP_006721884.1|	cytochrome C biogenesis protein CcmB [Collinsella stercoris] 
gi|493773379|ref|WP_006721885.1|	cytochrome C assembly protein [Collinsella stercoris] 
gi|493773380|ref|WP_006721886.1|	heme exporter protein CcmD [Collinsella stercoris] 
gi|493773381|ref|WP_006721887.1|	hypothetical protein [Collinsella stercoris] 
gi|493773382|ref|WP_006721888.1|	hypothetical protein [Collinsella stercoris] 
gi|493773383|ref|WP_006721889.1|	ABC transporter [Collinsella stercoris] 
gi|493773384|ref|WP_006721890.1|	ABC transporter [Collinsella stercoris] 
gi|493773385|ref|WP_006721891.1|	MarR family transcripitonal regulator [Collinsella stercoris] 
gi|493773386|ref|WP_006721892.1|	beta-galactosidase [Collinsella stercoris] 
gi|493773387|ref|WP_006721893.1|	hypothetical protein [Collinsella stercoris] 
gi|493773388|ref|WP_006721894.1|	hypothetical protein [Collinsella stercoris] 
gi|493773389|ref|WP_006721895.1|	hypothetical protein [Collinsella stercoris] 
gi|493773390|ref|WP_006721896.1|	hypothetical protein [Collinsella stercoris] 
gi|493773391|ref|WP_006721897.1|	hypothetical protein [Collinsella stercoris] 
gi|493773392|ref|WP_006721898.1|	hypothetical protein [Collinsella stercoris] 
gi|493773393|ref|WP_006721899.1|	30S ribosomal protein S6 [Collinsella stercoris] 
gi|493773394|ref|WP_006721900.1|	single-stranded DNA-binding protein [Collinsella stercoris] 
gi|493773395|ref|WP_006721901.1|	30S ribosomal protein S18 [Collinsella stercoris] 
gi|493773396|ref|WP_006721902.1|	50S ribosomal protein L9 [Collinsella stercoris] 
gi|493773397|ref|WP_006721903.1|	hypothetical protein [Collinsella stercoris] 
gi|493773398|ref|WP_006721904.1|	DNA helicase [Collinsella stercoris] 
gi|493773399|ref|WP_006721905.1|	hypothetical protein [Collinsella stercoris] 
gi|493773400|ref|WP_006721906.1|	hypothetical protein [Collinsella stercoris] 
gi|493773401|ref|WP_006721907.1|	adenylosuccinate synthetase [Collinsella stercoris] 
gi|493773402|ref|WP_006721908.1|	phosphoribosylamine--glycine ligase [Collinsella stercoris] 
