gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490982483|ref|WP_004844238.1|	hypothetical protein partial [[Ruminococcus] gnavus] 
gi|490982484|ref|WP_004844239.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982485|ref|WP_004844240.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982202|ref|WP_004843959.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982486|ref|WP_004844241.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982487|ref|WP_004844242.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982488|ref|WP_004844243.1|	MULTISPECIES: diguanylate cyclase [Lachnospiraceae] 
gi|490982489|ref|WP_004844244.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982490|ref|WP_004844245.1|	MULTISPECIES: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase [Lachnospiraceae] 
gi|490982491|ref|WP_004844246.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490982492|ref|WP_004844247.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982493|ref|WP_004844248.1|	MULTISPECIES: bacitracin ABC transporter ATP-binding protein [Lachnospiraceae] 
gi|490982494|ref|WP_004844249.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982495|ref|WP_004844250.1|	MULTISPECIES: acetyltransferase [Clostridiales] 
gi|490982496|ref|WP_004844251.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982497|ref|WP_004844252.1|	MULTISPECIES: methyltransferase [Clostridiales] 
gi|490982498|ref|WP_004844253.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982500|ref|WP_004844255.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982502|ref|WP_004844257.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982504|ref|WP_004844259.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982506|ref|WP_004844261.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982508|ref|WP_004844262.1|	MULTISPECIES: leucyl-tRNA synthetase [Lachnospiraceae] 
gi|490982509|ref|WP_004844263.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982510|ref|WP_004844264.1|	MULTISPECIES: transporter [Lachnospiraceae] 
gi|490982511|ref|WP_004844265.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982512|ref|WP_004844266.1|	MULTISPECIES: flavodoxin [Clostridiales] 
gi|490982513|ref|WP_004844267.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982514|ref|WP_004844268.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982515|ref|WP_004844269.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982516|ref|WP_004844270.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982517|ref|WP_004844271.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982518|ref|WP_004844272.1|	MULTISPECIES: potassium transporter TrkA [Lachnospiraceae] 
gi|490982519|ref|WP_004844273.1|	MULTISPECIES: elongation factor G [Lachnospiraceae] 
gi|490982520|ref|WP_004844274.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982521|ref|WP_004844275.1|	prephenate dehydrogenase [[Ruminococcus] gnavus] 
gi|490982522|ref|WP_004844276.1|	3-phosphoshikimate 1-carboxyvinyltransferase [[Ruminococcus] gnavus] 
gi|490982523|ref|WP_004844277.1|	GntR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490982524|ref|WP_004844278.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982525|ref|WP_004844279.1|	MULTISPECIES: CMP deaminase [Clostridiales] 
gi|490982526|ref|WP_004844280.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982527|ref|WP_004844281.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982528|ref|WP_004844282.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982529|ref|WP_004844283.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982530|ref|WP_004844284.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982531|ref|WP_004844285.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982532|ref|WP_004844286.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982533|ref|WP_004844287.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982534|ref|WP_004844288.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982535|ref|WP_004844289.1|	glycerol dehydrogenase [[Ruminococcus] gnavus] 
gi|490982536|ref|WP_004844290.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982537|ref|WP_004844291.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982538|ref|WP_004844292.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982539|ref|WP_004844293.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982540|ref|WP_004844294.1|	MULTISPECIES: precorrin-8X methylmutase [Lachnospiraceae] 
gi|490982541|ref|WP_004844295.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982542|ref|WP_004844296.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982543|ref|WP_004844297.1|	peptide ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490982544|ref|WP_004844298.1|	glutathione ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490982545|ref|WP_004844299.1|	peptide ABC transporter permease [[Ruminococcus] gnavus] 
gi|490982546|ref|WP_004844300.1|	MULTISPECIES: peptide ABC transporter permease [Lachnospiraceae] 
gi|490982547|ref|WP_004844301.1|	uroporphyrinogen-III synthase [[Ruminococcus] gnavus] 
gi|490982548|ref|WP_004844302.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982549|ref|WP_004844303.1|	porphobilinogen deaminase [[Ruminococcus] gnavus] 
gi|490982550|ref|WP_004844304.1|	cobyric acid synthase [[Ruminococcus] gnavus] 
gi|490982551|ref|WP_004844305.1|	aspartate aminotransferase [[Ruminococcus] gnavus] 
gi|490982552|ref|WP_004844306.1|	MULTISPECIES: cobalamin biosynthesis protein CobD [Lachnospiraceae] 
gi|490982553|ref|WP_004844307.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982554|ref|WP_004844308.1|	cobalamin-5-phosphate synthase [[Ruminococcus] gnavus] 
gi|490982555|ref|WP_004844309.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [[Ruminococcus] gnavus] 
gi|490982556|ref|WP_004844310.1|	cobyrinic acid a,c-diamide synthase [[Ruminococcus] gnavus] 
gi|490982557|ref|WP_004844311.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982558|ref|WP_004844312.1|	precorrin-3B C17-methyltransferase [[Ruminococcus] gnavus] 
gi|490982559|ref|WP_004844313.1|	cobalt-precorrin-4 C(11)-methyltransferase [[Ruminococcus] gnavus] 
gi|490982560|ref|WP_004844314.1|	MULTISPECIES: precorrin-2 C20-methyltransferase [Lachnospiraceae] 
gi|490982561|ref|WP_004844315.1|	cobalt-precorrin-6A synthase [[Ruminococcus] gnavus] 
gi|490982562|ref|WP_004844316.1|	sirohydrochlorin cobaltochelatase [[Ruminococcus] gnavus] 
gi|490982563|ref|WP_004844317.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Clostridiales] 
gi|490982564|ref|WP_004844318.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982565|ref|WP_004844319.1|	MULTISPECIES: cobalt ABC transporter [Lachnospiraceae] 
gi|490982566|ref|WP_004844320.1|	cobalt transporter CbiM [[Ruminococcus] gnavus] 
gi|490982567|ref|WP_004844321.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982568|ref|WP_004844322.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982569|ref|WP_004844323.1|	MULTISPECIES: cobinamide adenolsyltransferase [Lachnospiraceae] 
gi|490982570|ref|WP_004844324.1|	MULTISPECIES: precorrin-6X reductase [Lachnospiraceae] 
gi|490982571|ref|WP_004844325.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982572|ref|WP_004844326.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982573|ref|WP_004844327.1|	ammonia permease [[Ruminococcus] gnavus] 
gi|490982574|ref|WP_004844328.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982575|ref|WP_004844329.1|	MULTISPECIES: glycoside hydrolase [Lachnospiraceae] 
gi|490982576|ref|WP_004844330.1|	S-adenosylmethionine tRNA ribosyltransferase [[Ruminococcus] gnavus] 
gi|490982577|ref|WP_004844331.1|	phenylalanyl-tRNA synthetase subunit beta [[Ruminococcus] gnavus] 
gi|490982578|ref|WP_004844332.1|	phenylalanyl-tRNA synthase subunit alpha [[Ruminococcus] gnavus] 
gi|490982579|ref|WP_004844333.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982580|ref|WP_004844334.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982581|ref|WP_004844335.1|	ferredoxin [[Ruminococcus] gnavus] 
gi|490982582|ref|WP_004844336.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982583|ref|WP_004844337.1|	threonine synthase [[Ruminococcus] gnavus] 
gi|490982584|ref|WP_004844338.1|	sodium:proton antiporter [[Ruminococcus] gnavus] 
gi|490982585|ref|WP_004844339.1|	3-isopropylmalate dehydratase small subunit [[Ruminococcus] gnavus] 
gi|490982586|ref|WP_004844340.1|	MULTISPECIES: 3-isopropylmalate dehydratase large subunit [Lachnospiraceae] 
gi|490982587|ref|WP_004844341.1|	aspartate-semialdehyde dehydrogenase [[Ruminococcus] gnavus] 
gi|490982588|ref|WP_004844342.1|	argininosuccinate lyase [[Ruminococcus] gnavus] 
gi|490982589|ref|WP_004844343.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982591|ref|WP_004844345.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982590|ref|WP_004844344.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Clostridiales] 
gi|490982592|ref|WP_004844346.1|	MULTISPECIES: nitrate ABC transporter permease [Clostridiales] 
gi|490982593|ref|WP_004844347.1|	transporter [[Ruminococcus] gnavus] 
gi|490982594|ref|WP_004844348.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|490982595|ref|WP_004844349.1|	multidrug transporter MatE [[Ruminococcus] gnavus] 
gi|490982596|ref|WP_004844350.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982597|ref|WP_004844351.1|	MULTISPECIES: glucokinase [Lachnospiraceae] 
gi|490982598|ref|WP_004844352.1|	HPr kinase [[Ruminococcus] gnavus] 
gi|490982599|ref|WP_004844353.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982600|ref|WP_004844354.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982601|ref|WP_004844355.1|	ATPase AAA [[Ruminococcus] gnavus] 
gi|490982602|ref|WP_004844356.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982603|ref|WP_004844357.1|	MULTISPECIES: CTP synthetase [Lachnospiraceae] 
gi|490982604|ref|WP_004844358.1|	MULTISPECIES: phosphoesterase [Lachnospiraceae] 
gi|490982605|ref|WP_004844359.1|	MULTISPECIES: diguanylate cyclase [Lachnospiraceae] 
gi|490982606|ref|WP_004844360.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490982607|ref|WP_004844361.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490982608|ref|WP_004844362.1|	multidrug transporter MatE [[Ruminococcus] gnavus] 
gi|490982609|ref|WP_004844363.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982610|ref|WP_004844364.1|	MULTISPECIES: thiamine ABC transporter permease [Clostridiales] 
gi|490982611|ref|WP_004844365.1|	MULTISPECIES: rubrerythrin [Clostridiales] 
gi|490982612|ref|WP_004844366.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982613|ref|WP_004844367.1|	branched-chain amino acid aminotransferase [[Ruminococcus] gnavus] 
gi|490982614|ref|WP_004844368.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|490982615|ref|WP_004844369.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|490982616|ref|WP_004844370.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|490982617|ref|WP_004844371.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|490982618|ref|WP_004844372.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982619|ref|WP_004844373.1|	diacylglycerol kinase [[Ruminococcus] gnavus] 
gi|490982620|ref|WP_004844374.1|	thymidylate synthase [[Ruminococcus] gnavus] 
gi|490982621|ref|WP_004844375.1|	homoserine dehydrogenase [[Ruminococcus] gnavus] 
gi|490982622|ref|WP_004844376.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982623|ref|WP_004844377.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982624|ref|WP_004844378.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982625|ref|WP_004844379.1|	aspartyl-tRNA synthase [[Ruminococcus] gnavus] 
gi|490982626|ref|WP_004844380.1|	histidyl-tRNA synthetase [[Ruminococcus] gnavus] 
gi|490982627|ref|WP_004844381.1|	coproporphyrinogen III oxidase [[Ruminococcus] gnavus] 
gi|490982628|ref|WP_004844382.1|	MULTISPECIES: beta-lactamase [Lachnospiraceae] 
gi|490982629|ref|WP_004844383.1|	MULTISPECIES: (p)ppGpp synthetase [Lachnospiraceae] 
gi|490982630|ref|WP_004844384.1|	single-stranded DNA exonuclease [[Ruminococcus] gnavus] 
gi|490982631|ref|WP_004844385.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982632|ref|WP_004844386.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982633|ref|WP_004844387.1|	preprotein translocase subunit SecD [[Ruminococcus] gnavus] 
gi|490982634|ref|WP_004844388.1|	MULTISPECIES: radical SAM protein [Lachnospiraceae] 
gi|490982635|ref|WP_004844389.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982636|ref|WP_004844390.1|	MULTISPECIES: stage V sporulation protein T [Lachnospiraceae] 
gi|490982637|ref|WP_004844391.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982638|ref|WP_004844392.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982639|ref|WP_004844393.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982640|ref|WP_004844394.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982641|ref|WP_004844395.1|	MULTISPECIES: glycosyl transferase [Lachnospiraceae] 
gi|490982642|ref|WP_004844396.1|	MULTISPECIES: acyl-phosphate glycerol 3-phosphate acyltransferase [Lachnospiraceae] 
gi|490982643|ref|WP_004844397.1|	MULTISPECIES: membrane protein [Lachnospiraceae] 
gi|490982644|ref|WP_004844398.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982645|ref|WP_004844399.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982646|ref|WP_004844400.1|	BltR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490982647|ref|WP_004844401.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490982648|ref|WP_004844402.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982649|ref|WP_004844403.1|	MULTISPECIES: inorganic phosphate transporter PiT [Clostridiales] 
gi|490982650|ref|WP_004844404.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982651|ref|WP_004844405.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982652|ref|WP_004844406.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982653|ref|WP_004844407.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982654|ref|WP_004844408.1|	cyclophilin [[Ruminococcus] gnavus] 
gi|490982655|ref|WP_004844409.1|	MULTISPECIES: pyruvate phosphate dikinase [Lachnospiraceae] 
gi|490982656|ref|WP_004844410.1|	MULTISPECIES: aminopeptidase [Lachnospiraceae] 
gi|490982657|ref|WP_004844411.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982658|ref|WP_004844412.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982659|ref|WP_004844413.1|	MULTISPECIES: adenine deaminase [Lachnospiraceae] 
gi|490982660|ref|WP_004844414.1|	MULTISPECIES: adenine deaminase [Lachnospiraceae] 
gi|490982661|ref|WP_004844415.1|	MULTISPECIES: glycyl-tRNA synthetase [Clostridiales] 
gi|490982662|ref|WP_004844416.1|	DNA repair protein RecO [[Ruminococcus] gnavus] 
gi|490982663|ref|WP_004844417.1|	GTPase Era [[Ruminococcus] gnavus] 
gi|490982664|ref|WP_004844418.1|	peptidase M16 [[Ruminococcus] gnavus] 
gi|490982665|ref|WP_004844419.1|	MULTISPECIES: NAD(FAD)-dependent dehydrogenase [Clostridiales] 
gi|490982666|ref|WP_004844420.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Ruminococcus] gnavus] 
gi|490982667|ref|WP_004844421.1|	FAD-dependent oxidoreductase [[Ruminococcus] gnavus] 
gi|490982668|ref|WP_004844422.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982669|ref|WP_004844423.1|	ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490982670|ref|WP_004844424.1|	MULTISPECIES: sugar ABC transporter permease [Lachnospiraceae] 
gi|490982671|ref|WP_004844425.1|	sugar ABC transporter permease [[Ruminococcus] gnavus] 
gi|490982672|ref|WP_004844426.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982673|ref|WP_004844427.1|	LacI family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490982674|ref|WP_004844428.1|	glycerol kinase [[Ruminococcus] gnavus] 
gi|490982675|ref|WP_004844429.1|	MULTISPECIES: glycerol uptake operon antiterminator [Lachnospiraceae] 
gi|490982676|ref|WP_004844430.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982677|ref|WP_004844431.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982678|ref|WP_004844432.1|	MULTISPECIES: histidine kinase [Lachnospiraceae] 
gi|490982679|ref|WP_004844433.1|	MULTISPECIES: chemotaxis protein CheY [Clostridiales] 
gi|490982680|ref|WP_004844434.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982681|ref|WP_004844435.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|490982682|ref|WP_004844436.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982683|ref|WP_004844437.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982685|ref|WP_004844439.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982686|ref|WP_004844440.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982688|ref|WP_004844442.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982689|ref|WP_004844443.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982690|ref|WP_004844444.1|	MULTISPECIES: peptide ABC transporter substrate-binding protein [Clostridiales] 
gi|490982693|ref|WP_004844446.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Lachnospiraceae] 
gi|490982694|ref|WP_004844447.1|	MULTISPECIES: peptide ABC transporter permease [Clostridiales] 
gi|490982695|ref|WP_004844448.1|	MULTISPECIES: peptide ABC transporter permease [Clostridiales] 
gi|490982696|ref|WP_004844449.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982697|ref|WP_004844450.1|	MULTISPECIES: oligoendopeptidase F [Lachnospiraceae] 
gi|490982698|ref|WP_004844451.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982699|ref|WP_004844452.1|	diacylglyceryl transferase [[Ruminococcus] gnavus] 
gi|490982700|ref|WP_004844453.1|	MULTISPECIES: GTP-binding protein YchF [Clostridiales] 
gi|490982701|ref|WP_004844454.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982702|ref|WP_004844455.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490982703|ref|WP_004844456.1|	ATPase AAA [[Ruminococcus] gnavus] 
gi|490982704|ref|WP_004844457.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982705|ref|WP_004844458.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982706|ref|WP_004844459.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982707|ref|WP_004844460.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490982708|ref|WP_004844461.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490982709|ref|WP_004844462.1|	chemotaxis protein CheY [[Ruminococcus] gnavus] 
gi|490982710|ref|WP_004844463.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982711|ref|WP_004844464.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982712|ref|WP_004844465.1|	MULTISPECIES: thiamine pyrophosphokinase [Lachnospiraceae] 
gi|490982713|ref|WP_004844466.1|	MULTISPECIES: ribulose-phosphate 3-epimerase [Lachnospiraceae] 
gi|490982714|ref|WP_004844467.1|	GTPase A [[Ruminococcus] gnavus] 
gi|490982715|ref|WP_004844468.1|	MULTISPECIES: protein kinase [Lachnospiraceae] 
gi|490982716|ref|WP_004844469.1|	MULTISPECIES: protein serine/threonine phosphatase [Lachnospiraceae] 
gi|490982717|ref|WP_004844470.1|	MULTISPECIES: 23S rRNA methyltransferase [Clostridiales] 
gi|490982718|ref|WP_004844471.1|	MULTISPECIES: 16S rRNA methyltransferase [Lachnospiraceae] 
gi|490982719|ref|WP_004844472.1|	MULTISPECIES: peptidase [Lachnospiraceae] 
gi|490982720|ref|WP_004844473.1|	methionyl-tRNA formyltransferase [[Ruminococcus] gnavus] 
gi|490982721|ref|WP_004844474.1|	MULTISPECIES: peptide deformylase [Lachnospiraceae] 
gi|490982722|ref|WP_004844475.1|	MULTISPECIES: primosomal protein N' [Lachnospiraceae] 
gi|490982723|ref|WP_004844476.1|	UDP-N-acetylmuramyl peptide synthase [[Ruminococcus] gnavus] 
gi|490982724|ref|WP_004844477.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982725|ref|WP_004844478.1|	hypothetical protein partial [[Ruminococcus] gnavus] 
gi|490982726|ref|WP_004844479.1|	chemotaxis protein CheY [[Ruminococcus] gnavus] 
gi|490982727|ref|WP_004844480.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489152109|ref|WP_003061815.1|	MULTISPECIES: RNA polymerase sigma factor [Firmicutes] 
gi|488251519|ref|WP_002322727.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|490981617|ref|WP_004843377.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981616|ref|WP_004843376.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490751427|ref|WP_004613735.1|	MULTISPECIES: excisionase [Firmicutes] 
gi|490981618|ref|WP_004843378.1|	MULTISPECIES: integrase [Clostridiales] 
gi|490982728|ref|WP_004844481.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982729|ref|WP_004844482.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982730|ref|WP_004844483.1|	glutamine amidotransferase [[Ruminococcus] gnavus] 
gi|490982731|ref|WP_004844484.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982732|ref|WP_004844485.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982733|ref|WP_004844486.1|	MULTISPECIES: glycosyl transferase family 2 [Clostridiales] 
gi|490982734|ref|WP_004844487.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|490982735|ref|WP_004844488.1|	MULTISPECIES: transcriptional regulator [Lachnospiraceae] 
gi|490982736|ref|WP_004844489.1|	MULTISPECIES: UDP-phosphate glucose phosphotransferase [Lachnospiraceae] 
gi|490982737|ref|WP_004844490.1|	MULTISPECIES: glycosyl transferase family 2 [Clostridiales] 
gi|490982738|ref|WP_004844491.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982739|ref|WP_004844492.1|	MULTISPECIES: sporulation protein [Lachnospiraceae] 
gi|490982740|ref|WP_004844493.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Lachnospiraceae] 
gi|490982741|ref|WP_004844494.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982742|ref|WP_004844495.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982743|ref|WP_004844496.1|	glycosyltransferase [[Ruminococcus] gnavus] 
gi|490982744|ref|WP_004844497.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982745|ref|WP_004844498.1|	MULTISPECIES: teichoic acid ABC transporter ATP-binding protein [Lachnospiraceae] 
gi|490982746|ref|WP_004844499.1|	MULTISPECIES: ABC transporter [Lachnospiraceae] 
gi|490982747|ref|WP_004844500.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Lachnospiraceae] 
gi|490982748|ref|WP_004844501.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Lachnospiraceae] 
gi|490982749|ref|WP_004844502.1|	MULTISPECIES: dTDP-glucose 4,6-dehydratase [Lachnospiraceae] 
gi|490982750|ref|WP_004844503.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982751|ref|WP_004844504.1|	glycosyl transferase family 2 [[Ruminococcus] gnavus] 
gi|490982752|ref|WP_004844505.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982753|ref|WP_004844506.1|	nucleotidyltransferase [[Ruminococcus] gnavus] 
gi|490982754|ref|WP_004844507.1|	MULTISPECIES: PTS glucose transporter subunit IIABC [Clostridiales] 
gi|490982755|ref|WP_004844508.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490982756|ref|WP_004844509.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|490982757|ref|WP_004844510.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982758|ref|WP_004844511.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982759|ref|WP_004844512.1|	competence protein [[Ruminococcus] gnavus] 
gi|490982760|ref|WP_004844513.1|	ATPase AAA [[Ruminococcus] gnavus] 
gi|490982761|ref|WP_004844514.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982762|ref|WP_004844515.1|	MULTISPECIES: rod shape-determining protein Mbl [Clostridiales] 
gi|490982763|ref|WP_004844516.1|	excinuclease ABC subunit A [[Ruminococcus] gnavus] 
gi|490982764|ref|WP_004844517.1|	excinuclease ABC subunit B [[Ruminococcus] gnavus] 
gi|490982765|ref|WP_004844518.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982766|ref|WP_004844519.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982767|ref|WP_004844520.1|	hydroxylamine reductase [[Ruminococcus] gnavus] 
gi|490982768|ref|WP_004844521.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Ruminococcus] gnavus] 
gi|490982769|ref|WP_004844522.1|	NADH-dependent butanol dehydrogenase A [[Ruminococcus] gnavus] 
gi|490982770|ref|WP_004844523.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490982771|ref|WP_004844524.1|	MULTISPECIES: chemotaxis protein CheY [Lachnospiraceae] 
gi|490982772|ref|WP_004844525.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490982773|ref|WP_004844526.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
