gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490384920|ref|WP_004264422.1|	glycosyl hydrolase family 88 [Providencia rettgeri] 
gi|490384922|ref|WP_004264424.1|	2-deoxy-D-gluconate 3-dehydrogenase [Providencia rettgeri] 
gi|490384925|ref|WP_004264427.1|	5-keto-4-deoxyuronate isomerase [Providencia rettgeri] 
gi|490384928|ref|WP_004264430.1|	N-acetylglucosamine-6-phosphate deacetylase [Providencia rettgeri] 
gi|490384930|ref|WP_004264432.1|	PTS mannose transporter subunit IIA [Providencia rettgeri] 
gi|490384932|ref|WP_004264434.1|	PTS N-acetylgalactosamine transporter subunit IID [Providencia rettgeri] 
gi|490384934|ref|WP_004264436.1|	PTS acetylgalactosamine transporter subunit IIC [Providencia rettgeri] 
gi|490384937|ref|WP_004264439.1|	PTS N-acetylgalactosamine transporter subunit IIB [Providencia rettgeri] 
gi|490384940|ref|WP_004264442.1|	aldose isomerase [Providencia rettgeri] 
gi|490384947|ref|WP_004264449.1|	tagatose-bisphosphate aldolase [Providencia rettgeri] 
gi|490384950|ref|WP_004264452.1|	DeoR family transcriptional regulator [Providencia rettgeri] 
gi|490384953|ref|WP_004264455.1|	Chondro-6-sulfatase [Providencia rettgeri] 
gi|490384956|ref|WP_004264458.1|	putative sulfatase YdeN [Providencia rettgeri] 
gi|490384965|ref|WP_004264467.1|	hypothetical protein [Providencia rettgeri] 
gi|490384968|ref|WP_004264470.1|	fructose-bisphosphate aldolase [Providencia rettgeri] 
gi|490384972|ref|WP_004264474.1|	thiamine biogenesis protein ThiJ [Providencia rettgeri] 
gi|490384976|ref|WP_004264478.1|	purine permease [Providencia rettgeri] 
gi|490384979|ref|WP_004264481.1|	NMT1/THI5 like protein [Providencia rettgeri] 
gi|490384982|ref|WP_004264484.1|	sulfonate ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490384984|ref|WP_004264486.1|	ABC transporter permease [Providencia rettgeri] 
gi|490384987|ref|WP_004264489.1|	thioredoxin [Providencia rettgeri] 
gi|490384990|ref|WP_004264492.1|	thiamine biosynthesis protein ThiH [Providencia rettgeri] 
gi|490384994|ref|WP_004264496.1|	thiazole synthase [Providencia rettgeri] 
gi|490384997|ref|WP_004264499.1|	sulfur carrier protein ThiS [Providencia rettgeri] 
gi|490385000|ref|WP_004264502.1|	molybdopterin biosynthesis protein MoeB [Providencia rettgeri] 
gi|490385002|ref|WP_004264504.1|	thiamine-phosphate synthase [Providencia rettgeri] 
gi|490385005|ref|WP_004264507.1|	phosphomethylpyrimidine synthase ThiC [Providencia rettgeri] 
gi|490385007|ref|WP_004264509.1|	HAD family hydrolase [Providencia rettgeri] 
gi|490385009|ref|WP_004264510.1|	spermidine/putrescine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490385011|ref|WP_004264512.1|	ABC transporter permease [Providencia rettgeri] 
gi|490385013|ref|WP_004264514.1|	ABC transporter permease [Providencia rettgeri] 
gi|490385014|ref|WP_004264515.1|	hypothetical protein [Providencia rettgeri] 
gi|490385015|ref|WP_004264516.1|	ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490385016|ref|WP_004264517.1|	NADH pyrophosphatase [Providencia rettgeri] 
gi|490385018|ref|WP_004264519.1|	uroporphyrinogen decarboxylase [Providencia rettgeri] 
gi|490385019|ref|WP_004264520.1|	endonuclease VIII [Providencia rettgeri] 
gi|490385020|ref|WP_004264521.1|	hypothetical protein [Providencia rettgeri] 
gi|490385021|ref|WP_004264522.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385022|ref|WP_004264523.1|	hypothetical protein [Providencia rettgeri] 
gi|490385024|ref|WP_004264525.1|	phosphoribosylamine--glycine ligase [Providencia rettgeri] 
gi|490385026|ref|WP_004264527.1|	purine biosynthesis protein purH [Providencia rettgeri] 
gi|490385030|ref|WP_004264531.1|	heparin-binding growth factor 1 [Providencia rettgeri] 
gi|490385032|ref|WP_004264533.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381269|ref|WP_004260785.1|	hypothetical protein [Providencia rettgeri] 
gi|490385035|ref|WP_004264536.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385038|ref|WP_004264539.1|	gram-negative pili assembly chaperone protein partial [Providencia rettgeri] 
gi|490385040|ref|WP_004264541.1|	outer membrane usher protein FimD partial [Providencia rettgeri] 
gi|490385042|ref|WP_004264543.1|	outer membrane usher protein LpfC partial [Providencia rettgeri] 
gi|490385044|ref|WP_004264545.1|	hypothetical protein [Providencia rettgeri] 
gi|490385045|ref|WP_004264546.1|	hypothetical protein [Providencia rettgeri] 
gi|490385048|ref|WP_004264549.1|	putative chain length determinant protein [Providencia rettgeri] 
gi|490385050|ref|WP_004264551.1|	hypothetical protein [Providencia rettgeri] 
gi|490385052|ref|WP_004264553.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490385054|ref|WP_004264555.1|	putative outer membrane autotransporter barrel domain protein [Providencia rettgeri] 
gi|490385055|ref|WP_004264556.1|	hypothetical protein [Providencia rettgeri] 
gi|490385058|ref|WP_004264559.1|	chain-length determining protein [Providencia rettgeri] 
gi|490385062|ref|WP_004264563.1|	toxin-antitoxin system antitoxin component Xre family [Providencia rettgeri] 
gi|490385065|ref|WP_004264566.1|	hypothetical protein [Providencia rettgeri] 
gi|490385068|ref|WP_004264569.1|	transcriptional regulator Cro/CI family [Providencia rettgeri] 
gi|490385070|ref|WP_004264571.1|	ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490385072|ref|WP_004264573.1|	formyl-CoA transferase [Providencia rettgeri] 
gi|490385074|ref|WP_004264575.1|	oxalyl-CoA decarboxylase [Providencia rettgeri] 
gi|490385077|ref|WP_004264578.1|	transporter [Providencia rettgeri] 
gi|490385080|ref|WP_004264581.1|	CoA-transferase [Providencia rettgeri] 
gi|490385082|ref|WP_004264583.1|	hypothetical protein [Providencia rettgeri] 
gi|490385083|ref|WP_004264584.1|	major facilitator family transporter HsrA [Providencia rettgeri] 
gi|490385085|ref|WP_004264586.1|	PAS sensor protein [Providencia rettgeri] 
gi|490385087|ref|WP_004264588.1|	putative periplasmic protein [Providencia rettgeri] 
gi|490385090|ref|WP_004264591.1|	hypothetical protein [Providencia rettgeri] 
gi|490385095|ref|WP_004264596.1|	ISPsy3 transposase [Providencia rettgeri] 
gi|490385097|ref|WP_004264598.1|	hypothetical protein [Providencia rettgeri] 
gi|490385099|ref|WP_004264600.1|	hypothetical protein [Providencia rettgeri] 
gi|490385101|ref|WP_004264602.1|	autotransporter beta-domain protein [Providencia rettgeri] 
gi|490385103|ref|WP_004264604.1|	autotransporter beta-domain protein [Providencia rettgeri] 
gi|490385108|ref|WP_004264609.1|	hypothetical protein [Providencia rettgeri] 
gi|490385112|ref|WP_004264612.1|	toxin-antitoxin system antitoxin component Xre family [Providencia rettgeri] 
gi|490385113|ref|WP_004264613.1|	chain-length determining protein [Providencia rettgeri] 
gi|490385114|ref|WP_004264614.1|	hypothetical protein [Providencia rettgeri] 
gi|490385115|ref|WP_004264615.1|	outer membrane autotransporter barrel domain protein [Providencia rettgeri] 
gi|490385116|ref|WP_004264616.1|	cobalt ABC transporter permease [Providencia rettgeri] 
gi|490385117|ref|WP_004264617.1|	putative secreted protein with protein prenylyltransferase domain protein [Providencia rettgeri] 
gi|490385118|ref|WP_004264618.1|	protein DamX [Providencia rettgeri] 
gi|490385119|ref|WP_004264619.1|	putative autotransporter beta-domain protein [Providencia rettgeri] 
gi|490385121|ref|WP_004264621.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490385123|ref|WP_004264623.1|	hypothetical protein [Providencia rettgeri] 
gi|490385126|ref|WP_004264626.1|	hypothetical protein [Providencia rettgeri] 
gi|490385127|ref|WP_004264627.1|	membrane protein [Providencia rettgeri] 
gi|490385128|ref|WP_004264628.1|	hypothetical protein [Providencia rettgeri] 
gi|490385129|ref|WP_004264629.1|	aquaporin Z [Providencia rettgeri] 
gi|490385131|ref|WP_004264631.1|	putative branched-chain amino acid transport system substrate-binding protein [Providencia rettgeri] 
gi|490385134|ref|WP_004264634.1|	hypothetical protein [Providencia rettgeri] 
gi|490385136|ref|WP_004264636.1|	hypothetical protein [Providencia rettgeri] 
gi|490385137|ref|WP_004264637.1|	transposase [Providencia rettgeri] 
gi|490385140|ref|WP_004264640.1|	MULTISPECIES: transposase [Providencia] 
gi|490385142|ref|WP_004264642.1|	transposase [Providencia rettgeri] 
gi|490385144|ref|WP_004264644.1|	hypothetical protein [Providencia rettgeri] 
gi|490385147|ref|WP_004264647.1|	hypothetical protein [Providencia rettgeri] 
gi|490385149|ref|WP_004264649.1|	hypothetical protein [Providencia rettgeri] 
gi|490385151|ref|WP_004264651.1|	putative endopeptidase [Providencia rettgeri] 
gi|490385153|ref|WP_004264653.1|	putative periplasmic protein [Providencia rettgeri] 
gi|490385155|ref|WP_004264655.1|	HdeA protein [Providencia rettgeri] 
gi|490385157|ref|WP_004264657.1|	antirestriction protein [Providencia rettgeri] 
gi|490385159|ref|WP_004264659.1|	recombinase [Providencia rettgeri] 
gi|490385161|ref|WP_004264661.1|	membrane protein [Providencia rettgeri] 
gi|490385162|ref|WP_004264662.1|	integrase [Providencia rettgeri] 
gi|490385164|ref|WP_004264664.1|	murein transglycosylase C [Providencia rettgeri] 
gi|490385165|ref|WP_004264665.1|	oxidative damage protection protein [Providencia rettgeri] 
gi|490385167|ref|WP_004264667.1|	adenine DNA glycosylase [Providencia rettgeri] 
gi|490385169|ref|WP_004264669.1|	tRNA (guanine-N(7)-)-methyltransferase [Providencia rettgeri] 
gi|490385172|ref|WP_004264672.1|	hypothetical protein [Providencia rettgeri] 
gi|490385175|ref|WP_004264675.1|	hypothetical protein [Providencia rettgeri] 
gi|490385177|ref|WP_004264677.1|	glutaminase [Providencia rettgeri] 
gi|490385180|ref|WP_004264680.1|	hypothetical protein [Providencia rettgeri] 
gi|490385181|ref|WP_004264681.1|	hypothetical protein [Providencia rettgeri] 
gi|490385183|ref|WP_004264683.1|	iron ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490385184|ref|WP_004264684.1|	HemN family oxidoreductase [Providencia rettgeri] 
gi|490385186|ref|WP_004264686.1|	nucleoside-triphosphate diphosphatase [Providencia rettgeri] 
gi|490385188|ref|WP_004264688.1|	membrane protein [Providencia rettgeri] 
gi|490385193|ref|WP_004264693.1|	pyrroline-5-carboxylate reductase [Providencia rettgeri] 
gi|490385195|ref|WP_004264695.1|	hypothetical protein [Providencia rettgeri] 
gi|490385197|ref|WP_004264697.1|	Holliday junction resolvase [Providencia rettgeri] 
gi|490385203|ref|WP_004264703.1|	hypothetical protein [Providencia rettgeri] 
gi|490385207|ref|WP_004264707.1|	glutathione synthetase [Providencia rettgeri] 
gi|490385209|ref|WP_004264709.1|	16S rRNA methyltransferase [Providencia rettgeri] 
gi|490385215|ref|WP_004264715.1|	type IV pili leader peptidase and methylase [Providencia rettgeri] 
gi|490385218|ref|WP_004264718.1|	thioredoxin [Providencia rettgeri] 
gi|490385221|ref|WP_004264721.1|	beta-lactamase [Providencia rettgeri] 
gi|490385225|ref|WP_004264725.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490385229|ref|WP_004264729.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385231|ref|WP_004264731.1|	diaminopimelate decarboxylase [Providencia rettgeri] 
gi|490385233|ref|WP_004264733.1|	hypothetical protein [Providencia rettgeri] 
gi|490385236|ref|WP_004264736.1|	hypothetical protein [Providencia rettgeri] 
gi|490385240|ref|WP_004264740.1|	hypothetical protein [Providencia rettgeri] 
gi|490385243|ref|WP_004264743.1|	acyl-CoA dehydrogenase [Providencia rettgeri] 
gi|490385246|ref|WP_004264745.1|	phosphoheptose isomerase [Providencia rettgeri] 
gi|490385249|ref|WP_004264748.1|	glutamine amidotransferase [Providencia rettgeri] 
gi|490385252|ref|WP_004264751.1|	hypothetical protein [Providencia rettgeri] 
gi|490385254|ref|WP_004264753.1|	Na(+)-translocating NADH-quinone reductase subunit A [Providencia rettgeri] 
gi|490385257|ref|WP_004264756.1|	Na(+)-translocating NADH-quinone reductase subunit B [Providencia rettgeri] 
gi|490385260|ref|WP_004264759.1|	Na(+)-translocating NADH-quinone reductase subunit C [Providencia rettgeri] 
gi|490385263|ref|WP_004264762.1|	Na(+)-translocating NADH-quinone reductase subunit D [Providencia rettgeri] 
gi|490385265|ref|WP_004264764.1|	Na(+)-translocating NADH-quinone reductase subunit E [Providencia rettgeri] 
gi|490385267|ref|WP_004264766.1|	Na(+)-translocating NADH-quinone reductase subunit F [Providencia rettgeri] 
gi|490385269|ref|WP_004264768.1|	thiamine biosynthesis lipoprotein ApbE [Providencia rettgeri] 
gi|490385270|ref|WP_004264769.1|	hypothetical protein [Providencia rettgeri] 
gi|490385272|ref|WP_004264771.1|	hypothetical protein [Providencia rettgeri] 
gi|490385276|ref|WP_004264775.1|	glycerophosphoryl diester phosphodiesterase [Providencia rettgeri] 
gi|490385278|ref|WP_004264777.1|	hypothetical protein [Providencia rettgeri] 
gi|490385281|ref|WP_004264780.1|	DNA polymerase IV [Providencia rettgeri] 
gi|490385283|ref|WP_004264782.1|	aminoacyl-histidine dipeptidase [Providencia rettgeri] 
gi|490385284|ref|WP_004264783.1|	xanthine phosphoribosyltransferase [Providencia rettgeri] 
gi|490385285|ref|WP_004264784.1|	fermentation/respiration switch protein [Providencia rettgeri] 
gi|490385301|ref|WP_004264800.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385303|ref|WP_004264802.1|	gamma-glutamyl kinase [Providencia rettgeri] 
gi|490385305|ref|WP_004264803.1|	gamma-glutamyl phosphate reductase [Providencia rettgeri] 
gi|490385306|ref|WP_004264804.1|	shikimate kinase [Providencia rettgeri] 
gi|490385307|ref|WP_004264805.1|	2-acyl-glycerophospho-ethanolamine acyltransferase [Providencia rettgeri] 
gi|490385308|ref|WP_004264806.1|	lysophospholipid transporter LplT [Providencia rettgeri] 
gi|490385310|ref|WP_004264808.1|	hypothetical protein [Providencia rettgeri] 
gi|490385311|ref|WP_004264809.1|	recombinase RecA [Providencia rettgeri] 
gi|490385312|ref|WP_004264810.1|	hypothetical protein [Providencia rettgeri] 
gi|490385313|ref|WP_004264811.1|	alanyl-tRNA synthetase [Providencia rettgeri] 
gi|490385317|ref|WP_004264815.1|	MULTISPECIES: carbon storage regulator [Providencia] 
gi|490385319|ref|WP_004264817.1|	glutamate--cysteine ligase [Providencia rettgeri] 
gi|490385320|ref|WP_004264818.1|	S-ribosylhomocysteinase [Providencia rettgeri] 
gi|490385321|ref|WP_004264819.1|	membrane protein [Providencia rettgeri] 
gi|490385322|ref|WP_004264820.1|	membrane protein [Providencia rettgeri] 
gi|490385323|ref|WP_004264821.1|	hypothetical protein [Providencia rettgeri] 
gi|490385324|ref|WP_004264822.1|	signal recognition particle protein Srp54 [Providencia rettgeri] 
gi|490385325|ref|WP_004264823.1|	30S ribosomal protein S16 [Providencia rettgeri] 
gi|490385326|ref|WP_004264824.1|	16S rRNA-processing protein M [Providencia rettgeri] 
gi|490385328|ref|WP_004264826.1|	tRNA (guanine-N1)-methyltransferase [Providencia rettgeri] 
gi|490385329|ref|WP_004264827.1|	50S ribosomal protein L19 [Providencia rettgeri] 
gi|490385330|ref|WP_004264828.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Providencia rettgeri] 
gi|490385332|ref|WP_004264830.1|	chorismate mutase [Providencia rettgeri] 
gi|490385333|ref|WP_004264831.1|	chemotaxis protein [Providencia rettgeri] 
gi|490385334|ref|WP_004264832.1|	bifunctional chorismate mutase/prephenate dehydratase [Providencia rettgeri] 
gi|490385335|ref|WP_004264833.1|	hypothetical protein [Providencia rettgeri] 
gi|490385336|ref|WP_004264834.1|	cold-shock protein [Providencia rettgeri] 
gi|490385337|ref|WP_004264835.1|	outer membrane biogenesis protein BamD [Providencia rettgeri] 
gi|490385338|ref|WP_004264836.1|	23S rRNA pseudouridine synthase D [Providencia rettgeri] 
gi|490385339|ref|WP_004264837.1|	membrane protein [Providencia rettgeri] 
gi|490385340|ref|WP_004264838.1|	protein disaggregation chaperone [Providencia rettgeri] 
gi|490385341|ref|WP_004264839.1|	hypothetical protein [Providencia rettgeri] 
gi|490385344|ref|WP_004264842.1|	hypothetical protein [Providencia rettgeri] 
gi|490385345|ref|WP_004264843.1|	hypothetical protein [Providencia rettgeri] 
gi|490385347|ref|WP_004264845.1|	hypothetical protein [Providencia rettgeri] 
gi|490385349|ref|WP_004264847.1|	DNA topology modulation protein FLAR-related protein [Providencia rettgeri] 
gi|490385350|ref|WP_004264848.1|	blasticidin S-acetyltransferase [Providencia rettgeri] 
gi|490385351|ref|WP_004264849.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385352|ref|WP_004264850.1|	mannitol-1-phosphate 5-dehydrogenase [Providencia rettgeri] 
gi|490385354|ref|WP_004264852.1|	PTS mannitol transporter subunit IIABC [Providencia rettgeri] 
gi|490385355|ref|WP_004264853.1|	transporter [Providencia rettgeri] 
gi|490385356|ref|WP_004264854.1|	cyclase [Providencia rettgeri] 
gi|490385358|ref|WP_004264856.1|	D-methionine ABC transporter periplasmic D-methionine-binding protein [Providencia rettgeri] 
gi|490385359|ref|WP_004264857.1|	D-methionine ABC transporter periplasmic D-methionine-binding protein [Providencia rettgeri] 
gi|490385360|ref|WP_004264858.1|	alkylhydroperoxidase [Providencia rettgeri] 
gi|490385361|ref|WP_004264859.1|	transmembrane oxidoreductase [Providencia rettgeri] 
gi|490385362|ref|WP_004264860.1|	methionine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490385363|ref|WP_004264861.1|	methionine ABC transporter permease [Providencia rettgeri] 
gi|490385364|ref|WP_004264862.1|	potassium transporter TrkA [Providencia rettgeri] 
gi|490385366|ref|WP_004264864.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385367|ref|WP_004264865.1|	glutaminyl-tRNA synthetase [Providencia rettgeri] 
gi|490385368|ref|WP_004264866.1|	short-chain dehydrogenase [Providencia rettgeri] 
gi|490385369|ref|WP_004264867.1|	MarR family transcriptional regulator [Providencia rettgeri] 
gi|490385370|ref|WP_004264868.1|	hypothetical protein [Providencia rettgeri] 
gi|490385371|ref|WP_004264869.1|	nucleoside permease [Providencia rettgeri] 
gi|490385372|ref|WP_004264870.1|	NAD-dependent DNA ligase LigA [Providencia rettgeri] 
gi|490385374|ref|WP_004264872.1|	cell division protein ZipA [Providencia rettgeri] 
gi|490385376|ref|WP_004264874.1|	cysteine biosynthesis protein CysZ [Providencia rettgeri] 
gi|490385377|ref|WP_004264875.1|	cysteine synthase A [Providencia rettgeri] 
gi|490385378|ref|WP_004264876.1|	PTS sugar transporter [Providencia rettgeri] 
gi|490385379|ref|WP_004264877.1|	phosphoenolpyruvate-protein phosphotransferase [Providencia rettgeri] 
gi|490385380|ref|WP_004264878.1|	PTS glucose transporter subunit IIA [Providencia rettgeri] 
gi|490385381|ref|WP_004264879.1|	cysteine synthase [Providencia rettgeri] 
gi|490385382|ref|WP_004264880.1|	sulfate ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490385383|ref|WP_004264881.1|	sulfate/thiosulfate transporter permease subunit [Providencia rettgeri] 
gi|490385385|ref|WP_004264883.1|	sulfate/thiosulfate transporter subunit [Providencia rettgeri] 
gi|490385386|ref|WP_004264884.1|	thiosulfate transporter subunit [Providencia rettgeri] 
gi|490385387|ref|WP_004264885.1|	deferrochelatase/peroxidase YfeX [Providencia rettgeri] 
gi|490385388|ref|WP_004264886.1|	hypothetical protein [Providencia rettgeri] 
gi|490385389|ref|WP_004264887.1|	acetyltransferase [Providencia rettgeri] 
gi|490385390|ref|WP_004264888.1|	coproporphyrinogen III oxidase [Providencia rettgeri] 
gi|490385391|ref|WP_004264889.1|	peptidase M4 [Providencia rettgeri] 
gi|490385392|ref|WP_004264890.1|	23S rRNA pseudouridine synthase F [Providencia rettgeri] 
gi|490385393|ref|WP_004264891.1|	GTP-binding protein Der [Providencia rettgeri] 
gi|490385394|ref|WP_004264892.1|	outer membrane biogenesis protein BamB [Providencia rettgeri] 
gi|490385395|ref|WP_004264893.1|	membrane protein [Providencia rettgeri] 
gi|490385396|ref|WP_004264894.1|	histidyl-tRNA synthetase [Providencia rettgeri] 
gi|490385397|ref|WP_004264895.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Providencia rettgeri] 
gi|490385398|ref|WP_004264896.1|	membrane protein [Providencia rettgeri] 
gi|490385400|ref|WP_004264898.1|	50S rRNA methyltransferase [Providencia rettgeri] 
gi|490385401|ref|WP_004264899.1|	nucleoside diphosphate kinase [Providencia rettgeri] 
gi|490385402|ref|WP_004264900.1|	penicillin-binding protein 1C [Providencia rettgeri] 
gi|490385403|ref|WP_004264901.1|	putative lipoprotein [Providencia rettgeri] 
gi|490385404|ref|WP_004264902.1|	hypothetical protein [Providencia rettgeri] 
gi|490385405|ref|WP_004264903.1|	hypothetical protein [Providencia rettgeri] 
gi|490385406|ref|WP_004264904.1|	aminopeptidase B [Providencia rettgeri] 
gi|490385408|ref|WP_004264906.1|	hypothetical protein [Providencia rettgeri] 
gi|490385409|ref|WP_004264907.1|	hypothetical protein [Providencia rettgeri] 
gi|490385410|ref|WP_004264908.1|	MFS transporter [Providencia rettgeri] 
gi|490385411|ref|WP_004264909.1|	hypothetical protein [Providencia rettgeri] 
gi|490385412|ref|WP_004264910.1|	2Fe-2S ferredoxin [Providencia rettgeri] 
gi|490385413|ref|WP_004264911.1|	chaperone protein HscA [Providencia rettgeri] 
gi|490385414|ref|WP_004264912.1|	co-chaperone HscB [Providencia rettgeri] 
gi|490385415|ref|WP_004264913.1|	iron-sulfur cluster assembly protein [Providencia rettgeri] 
gi|490385416|ref|WP_004264914.1|	FeS cluster assembly scaffold IscU [Providencia rettgeri] 
gi|490385417|ref|WP_004264915.1|	cysteine desulfurase [Providencia rettgeri] 
gi|490385419|ref|WP_004264917.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385420|ref|WP_004264918.1|	tRNA methyltransferase [Providencia rettgeri] 
gi|490385421|ref|WP_004264919.1|	inositol monophosphatase [Providencia rettgeri] 
gi|490385422|ref|WP_004264920.1|	galactonate oxidoreductase [Providencia rettgeri] 
gi|490385423|ref|WP_004264921.1|	GntR family transcriptional regulator [Providencia rettgeri] 
gi|490385424|ref|WP_004264922.1|	altronate oxidoreductase [Providencia rettgeri] 
gi|490385425|ref|WP_004264923.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490385426|ref|WP_004264924.1|	C4-dicarboxylate transporter small subunit [Providencia rettgeri] 
gi|490385427|ref|WP_004264925.1|	C4-dicarboxylate ABC transporter [Providencia rettgeri] 
gi|490385428|ref|WP_004264926.1|	fimbrial protein [Providencia rettgeri] 
gi|490385429|ref|WP_004264927.1|	chaperone protein HifB [Providencia rettgeri] 
gi|490385431|ref|WP_004264929.1|	usher protein FimD [Providencia rettgeri] 
gi|490385432|ref|WP_004264930.1|	fimbrial protein [Providencia rettgeri] 
gi|490385433|ref|WP_004264931.1|	chaperone protein HifB [Providencia rettgeri] 
gi|490385434|ref|WP_004264932.1|	3-phenylpropionic acid MFS transporter [Providencia rettgeri] 
gi|490385435|ref|WP_004264933.1|	serine hydroxymethyltransferase [Providencia rettgeri] 
gi|490385436|ref|WP_004264934.1|	bifunctional nitric oxide dioxygenase/dihydropteridine reductase 2 [Providencia rettgeri] 
gi|490385437|ref|WP_004264935.1|	regulatory protein [Providencia rettgeri] 
gi|490385438|ref|WP_004264936.1|	NAD synthetase [Providencia rettgeri] 
gi|490385440|ref|WP_004264938.1|	response regulator [Providencia rettgeri] 
gi|490385441|ref|WP_004264939.1|	membrane protein [Providencia rettgeri] 
gi|490385443|ref|WP_004264941.1|	sensory histidine kinase [Providencia rettgeri] 
gi|490385445|ref|WP_004264943.1|	hypothetical protein [Providencia rettgeri] 
gi|490385447|ref|WP_004264945.1|	hypothetical protein [Providencia rettgeri] 
gi|490385448|ref|WP_004264946.1|	O-methyltransferase [Providencia rettgeri] 
gi|490385449|ref|WP_004264947.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385450|ref|WP_004264948.1|	sensor histidine kinase [Providencia rettgeri] 
gi|490385451|ref|WP_004264949.1|	MFS transporter [Providencia rettgeri] 
gi|490385452|ref|WP_004264950.1|	hypothetical protein [Providencia rettgeri] 
gi|490385453|ref|WP_004264951.1|	ferric transport system permease protein FbpB partial [Providencia rettgeri] 
gi|490385454|ref|WP_004264952.1|	ferric transport system permease protein FbpB partial [Providencia rettgeri] 
gi|490385455|ref|WP_004264953.1|	sugar ABC transporter [Providencia rettgeri] 
gi|490385457|ref|WP_004264955.1|	hypothetical protein [Providencia rettgeri] 
gi|490385458|ref|WP_004264956.1|	hypothetical protein [Providencia rettgeri] 
gi|490385460|ref|WP_004264958.1|	hypothetical protein [Providencia rettgeri] 
gi|490385461|ref|WP_004264959.1|	L-ascorbate 6-phosphate lactonase [Providencia rettgeri] 
gi|490385462|ref|WP_004264960.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385463|ref|WP_004264961.1|	PTS ascorbate transporter subunit IIBC [Providencia rettgeri] 
gi|490385464|ref|WP_004264962.1|	PTS ascorbate transporter subunit IIA [Providencia rettgeri] 
gi|490385466|ref|WP_004264964.1|	HAD family hydrolase [Providencia rettgeri] 
gi|490385467|ref|WP_004264965.1|	3-keto-L-gulonate-6-phosphate decarboxylase [Providencia rettgeri] 
gi|490385468|ref|WP_004264966.1|	phosphoribosylformylglycinamidine synthase [Providencia rettgeri] 
gi|490385469|ref|WP_004264967.1|	murein transglycosylase [Providencia rettgeri] 
gi|490385471|ref|WP_004264969.1|	adenosine deaminase [Providencia rettgeri] 
gi|490385472|ref|WP_004264970.1|	leucine export protein LeuE [Providencia rettgeri] 
gi|490385473|ref|WP_004264971.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490385474|ref|WP_004264972.1|	ferredoxin [Providencia rettgeri] 
gi|490385475|ref|WP_004264973.1|	4'-phosphopantetheinyl transferase [Providencia rettgeri] 
gi|490385476|ref|WP_004264974.1|	pyridoxine 5'-phosphate synthase [Providencia rettgeri] 
gi|490385477|ref|WP_004264975.1|	DNA repair protein RecO [Providencia rettgeri] 
gi|490385478|ref|WP_004264976.1|	GTPase Era [Providencia rettgeri] 
gi|490385480|ref|WP_004264978.1|	ribonuclease III [Providencia rettgeri] 
gi|490385481|ref|WP_004264979.1|	signal peptidase [Providencia rettgeri] 
gi|490385482|ref|WP_004264980.1|	elongation factor 4 [Providencia rettgeri] 
gi|490385483|ref|WP_004264981.1|	SoxR reducing system protein RseC [Providencia rettgeri] 
gi|490385484|ref|WP_004264982.1|	anti-sigma E factor [Providencia rettgeri] 
gi|490385485|ref|WP_004264983.1|	anti-RNA polymerase sigma factor SigE [Providencia rettgeri] 
gi|490385486|ref|WP_004264984.1|	RNA polymerase sigma factor AlgU [Providencia rettgeri] 
gi|490385487|ref|WP_004264985.1|	hypothetical protein [Providencia rettgeri] 
gi|490385488|ref|WP_004264986.1|	L-aspartate oxidase [Providencia rettgeri] 
gi|490385489|ref|WP_004264987.1|	tRNA (adenine-N6)-methyltransferase [Providencia rettgeri] 
gi|490385490|ref|WP_004264988.1|	transcriptional regulator IclR family [Providencia rettgeri] 
gi|490385491|ref|WP_004264989.1|	formimidoylglutamase [Providencia rettgeri] 
gi|490385493|ref|WP_004264991.1|	sodium:glutamate symporter [Providencia rettgeri] 
gi|490385494|ref|WP_004264992.1|	RNA helicase [Providencia rettgeri] 
gi|490385495|ref|WP_004264993.1|	phospholipase [Providencia rettgeri] 
