gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490458960|ref|WP_004329633.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458961|ref|WP_004329634.1|	UDP-galactopyranose mutase [Alistipes putredinis] 
gi|490458962|ref|WP_004329635.1|	hypothetical protein [Alistipes putredinis] 
gi|490458963|ref|WP_004329636.1|	hypothetical protein [Alistipes putredinis] 
gi|490458964|ref|WP_004329637.1|	hypothetical protein [Alistipes putredinis] 
gi|490458965|ref|WP_004329638.1|	hypothetical protein [Alistipes putredinis] 
gi|490458966|ref|WP_004329639.1|	hypothetical protein [Alistipes putredinis] 
gi|490458967|ref|WP_004329640.1|	hypothetical protein [Alistipes putredinis] 
gi|490458968|ref|WP_004329641.1|	MULTISPECIES: RNA polymerase subunit sigma-24 [Alistipes] 
gi|490458969|ref|WP_004329642.1|	cation transporter [Alistipes putredinis] 
gi|490458970|ref|WP_004329643.1|	5-nitroimidazole antibiotic resistance protein [Alistipes putredinis] 
gi|490458971|ref|WP_004329644.1|	MULTISPECIES: prolyl-tRNA synthetase [Alistipes] 
gi|490458972|ref|WP_004329645.1|	long-chain fatty acid transporter [Alistipes putredinis] 
gi|490458973|ref|WP_004329646.1|	hypothetical protein [Alistipes putredinis] 
gi|490458974|ref|WP_004329647.1|	hypothetical protein [Alistipes putredinis] 
gi|490458975|ref|WP_004329648.1|	tyrosine recombinase [Alistipes putredinis] 
gi|490458976|ref|WP_004329649.1|	hypothetical protein [Alistipes putredinis] 
gi|490458977|ref|WP_004329650.1|	MULTISPECIES: antirestriction protein [Bacteroidales] 
gi|490458978|ref|WP_004329651.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458979|ref|WP_004329652.1|	hypothetical protein [Alistipes putredinis] 
gi|490437739|ref|WP_004308767.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458980|ref|WP_004329653.1|	conjugal transfer protein [Alistipes putredinis] 
gi|490458981|ref|WP_004329654.1|	conjugal transfer protein [Alistipes putredinis] 
gi|490458982|ref|WP_004329655.1|	hypothetical protein [Alistipes putredinis] 
gi|490458983|ref|WP_004329656.1|	hypothetical protein [Alistipes putredinis] 
gi|490458985|ref|WP_004329657.1|	conjugal transfer protein [Alistipes putredinis] 
gi|490438952|ref|WP_004309966.1|	MULTISPECIES: conjugal transfer protein [Bacteroidales] 
gi|490458986|ref|WP_004329658.1|	conjugal transfer protein [Alistipes putredinis] 
gi|490454633|ref|WP_004325453.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458988|ref|WP_004329659.1|	hypothetical protein [Alistipes putredinis] 
gi|490458989|ref|WP_004329660.1|	hypothetical protein [Alistipes putredinis] 
gi|490438956|ref|WP_004309970.1|	MULTISPECIES: conjugal transfer protein [Bacteroidales] 
gi|490458990|ref|WP_004329661.1|	hypothetical protein [Alistipes putredinis] 
gi|490458991|ref|WP_004329662.1|	hypothetical protein [Alistipes putredinis] 
gi|490458992|ref|WP_004329663.1|	conjugal transfer protein TraA [Alistipes putredinis] 
gi|490458993|ref|WP_004329664.1|	hypothetical protein [Alistipes putredinis] 
gi|490458994|ref|WP_004329665.1|	mobilization protein [Alistipes putredinis] 
gi|490458995|ref|WP_004329666.1|	conjugal transfer protein TraG [Alistipes putredinis] 
gi|490458996|ref|WP_004329667.1|	hypothetical protein [Alistipes putredinis] 
gi|490442304|ref|WP_004313269.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458997|ref|WP_004329668.1|	hypothetical protein [Alistipes putredinis] 
gi|490458998|ref|WP_004329669.1|	hypothetical protein [Alistipes putredinis] 
gi|490442303|ref|WP_004313268.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490442302|ref|WP_004313267.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490442301|ref|WP_004313266.1|	MULTISPECIES: cyclic nucleotide-binding protein [Bacteroidales] 
gi|490458999|ref|WP_004329670.1|	hypothetical protein [Alistipes putredinis] 
gi|490459000|ref|WP_004329671.1|	hypothetical protein [Alistipes putredinis] 
gi|490459001|ref|WP_004329672.1|	DNA topoisomerase I [Alistipes putredinis] 
gi|490459002|ref|WP_004329673.1|	hypothetical protein [Alistipes putredinis] 
gi|490459003|ref|WP_004329674.1|	topoisomerase [Alistipes putredinis] 
gi|490459004|ref|WP_004329675.1|	hypothetical protein [Alistipes putredinis] 
gi|490459005|ref|WP_004329676.1|	regulatory protein [Alistipes putredinis] 
gi|490459006|ref|WP_004329677.1|	transcriptional regulator [Alistipes putredinis] 
gi|490438975|ref|WP_004309989.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490459007|ref|WP_004329678.1|	hypothetical protein [Alistipes putredinis] 
gi|490459008|ref|WP_004329679.1|	hypothetical protein [Alistipes putredinis] 
gi|490459009|ref|WP_004329680.1|	hypothetical protein [Alistipes putredinis] 
gi|490459010|ref|WP_004329681.1|	hypothetical protein [Alistipes putredinis] 
gi|490459011|ref|WP_004329682.1|	hypothetical protein [Alistipes putredinis] 
gi|490459012|ref|WP_004329683.1|	hypothetical protein [Alistipes putredinis] 
gi|490457812|ref|WP_004328536.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490459013|ref|WP_004329684.1|	hypothetical protein [Alistipes putredinis] 
gi|490459014|ref|WP_004329685.1|	tyrosine recombinase [Alistipes putredinis] 
gi|490459015|ref|WP_004329686.1|	transcriptional regulator [Alistipes putredinis] 
gi|490459016|ref|WP_004329687.1|	hypothetical protein [Alistipes putredinis] 
gi|490459017|ref|WP_004329688.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459018|ref|WP_004329689.1|	hypothetical protein [Alistipes putredinis] 
gi|490459019|ref|WP_004329690.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459020|ref|WP_004329691.1|	MULTISPECIES: UDP-glucose 4-epimerase [Alistipes] 
gi|490459021|ref|WP_004329692.1|	cupin [Alistipes putredinis] 
gi|490459022|ref|WP_004329693.1|	hypothetical protein [Alistipes putredinis] 
gi|490459023|ref|WP_004329694.1|	hypothetical protein [Alistipes putredinis] 
gi|490459024|ref|WP_004329695.1|	enolase [Alistipes putredinis] 
gi|490459025|ref|WP_004329696.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459026|ref|WP_004329697.1|	hypothetical protein [Alistipes putredinis] 
gi|490459027|ref|WP_004329698.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490459028|ref|WP_004329699.1|	ribosome recycling factor [Alistipes putredinis] 
gi|490459029|ref|WP_004329700.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459030|ref|WP_004329701.1|	uridylate kinase [Alistipes putredinis] 
gi|490459031|ref|WP_004329702.1|	MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate synthase [Alistipes] 
gi|490459032|ref|WP_004329703.1|	hypothetical protein [Alistipes putredinis] 
gi|490459033|ref|WP_004329704.1|	MULTISPECIES: recombinase RecR [Alistipes] 
gi|490459034|ref|WP_004329705.1|	hypothetical protein [Alistipes putredinis] 
gi|490459035|ref|WP_004329706.1|	hypothetical protein [Alistipes putredinis] 
gi|490459036|ref|WP_004329707.1|	MULTISPECIES: fumarate hydratase [Alistipes] 
gi|490459037|ref|WP_004329708.1|	fructose-bisphosphate aldolase [Alistipes putredinis] 
gi|490459038|ref|WP_004329709.1|	hypothetical protein [Alistipes putredinis] 
gi|490459039|ref|WP_004329710.1|	mannose-6-phosphate isomerase [Alistipes putredinis] 
gi|490459040|ref|WP_004329711.1|	transposase IS116/IS110/IS902 family [Alistipes putredinis] 
gi|490459041|ref|WP_004329712.1|	MULTISPECIES: MarR family transcriptional regulator [Alistipes] 
gi|490459043|ref|WP_004329713.1|	cytochrome D ubiquinol oxidase subunit II [Alistipes putredinis] 
gi|490459044|ref|WP_004329714.1|	cytochrome C oxidase subunit II [Alistipes putredinis] 
gi|490459045|ref|WP_004329715.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459046|ref|WP_004329716.1|	MULTISPECIES: formate--tetrahydrofolate ligase [Alistipes] 
gi|490459047|ref|WP_004329717.1|	phosphoglycolate phosphatase [Alistipes putredinis] 
gi|490459048|ref|WP_004329718.1|	Fis family transcriptional regulator [Alistipes putredinis] 
gi|490459049|ref|WP_004329719.1|	hypothetical protein [Alistipes putredinis] 
gi|490459051|ref|WP_004329720.1|	hypothetical protein [Alistipes putredinis] 
gi|490459052|ref|WP_004329721.1|	hypothetical protein [Alistipes putredinis] 
gi|490459056|ref|WP_004329724.1|	MULTISPECIES: Ser/Thr phosphatase [Alistipes] 
gi|490459058|ref|WP_004329725.1|	thymidylate synthase [Alistipes putredinis] 
gi|490459059|ref|WP_004329726.1|	hypothetical protein [Alistipes putredinis] 
gi|490459060|ref|WP_004329727.1|	MULTISPECIES: dihydrofolate reductase [Alistipes] 
gi|490459061|ref|WP_004329728.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459062|ref|WP_004329729.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459063|ref|WP_004329730.1|	pyridine nucleotide-disulfide oxidoreductase [Alistipes putredinis] 
gi|490459064|ref|WP_004329731.1|	MULTISPECIES: (4Fe-4S)-binding protein [Alistipes] 
gi|490459065|ref|WP_004329732.1|	hypothetical protein [Alistipes putredinis] 
gi|490459066|ref|WP_004329733.1|	hypothetical protein [Alistipes putredinis] 
gi|490459067|ref|WP_004329734.1|	hypothetical protein [Alistipes putredinis] 
gi|490459068|ref|WP_004329735.1|	hypothetical protein [Alistipes putredinis] 
gi|490459069|ref|WP_004329736.1|	PspC family transcriptional regulator [Alistipes putredinis] 
gi|490459070|ref|WP_004329737.1|	MULTISPECIES: stress-responsive transcriptional regulator [Alistipes] 
gi|490459071|ref|WP_004329738.1|	MULTISPECIES: PadR family transcriptional regulator [Alistipes] 
gi|490459072|ref|WP_004329739.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459073|ref|WP_004329740.1|	hypothetical protein [Alistipes putredinis] 
gi|490459074|ref|WP_004329741.1|	hypothetical protein [Alistipes putredinis] 
gi|490459075|ref|WP_004329742.1|	hypothetical protein [Alistipes putredinis] 
gi|490459076|ref|WP_004329743.1|	6-phosphofructokinase [Alistipes putredinis] 
gi|490459077|ref|WP_004329744.1|	sugar kinase [Alistipes putredinis] 
gi|490459078|ref|WP_004329745.1|	glycosyltransferase family 2 [Alistipes putredinis] 
gi|490459079|ref|WP_004329746.1|	hypothetical protein [Alistipes putredinis] 
gi|490459080|ref|WP_004329747.1|	protease [Alistipes putredinis] 
gi|490459081|ref|WP_004329748.1|	transcriptional regulator [Alistipes putredinis] 
gi|490459082|ref|WP_004329749.1|	hypothetical protein [Alistipes putredinis] 
gi|490459083|ref|WP_004329750.1|	transposase [Alistipes putredinis] 
gi|490459084|ref|WP_004329751.1|	transposase [Alistipes putredinis] 
gi|490459085|ref|WP_004329752.1|	hypothetical protein [Alistipes putredinis] 
gi|490459086|ref|WP_004329753.1|	hypothetical protein [Alistipes putredinis] 
gi|490459087|ref|WP_004329754.1|	hypothetical protein [Alistipes putredinis] 
gi|490459088|ref|WP_004329755.1|	hypothetical protein [Alistipes putredinis] 
gi|490459089|ref|WP_004329756.1|	hypothetical protein [Alistipes putredinis] 
gi|490459090|ref|WP_004329757.1|	hypothetical protein [Alistipes putredinis] 
gi|490459091|ref|WP_004329758.1|	hypothetical protein [Alistipes putredinis] 
gi|490459092|ref|WP_004329759.1|	beta-lactamase [Alistipes putredinis] 
gi|490459093|ref|WP_004329760.1|	serine dehydratase [Alistipes putredinis] 
gi|490459094|ref|WP_004329761.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459095|ref|WP_004329762.1|	MULTISPECIES: 50S ribosomal protein L20 [Alistipes] 
gi|490459096|ref|WP_004329763.1|	MULTISPECIES: 50S ribosomal protein L35 [Alistipes] 
gi|490459097|ref|WP_004329764.1|	hypothetical protein [Alistipes putredinis] 
gi|490459098|ref|WP_004329765.1|	methyltransferase [Alistipes putredinis] 
gi|490459099|ref|WP_004329766.1|	hypothetical protein [Alistipes putredinis] 
gi|490459100|ref|WP_004329767.1|	hypothetical protein [Alistipes putredinis] 
gi|490459101|ref|WP_004329768.1|	hypothetical protein [Alistipes putredinis] 
gi|490459102|ref|WP_004329769.1|	hypothetical protein [Alistipes putredinis] 
gi|490459103|ref|WP_004329770.1|	hypothetical protein [Alistipes putredinis] 
gi|490459104|ref|WP_004329771.1|	hypothetical protein [Alistipes putredinis] 
gi|490459105|ref|WP_004329772.1|	mannose-6-phosphate isomerase [Alistipes putredinis] 
gi|490459106|ref|WP_004329773.1|	hypothetical protein [Alistipes putredinis] 
gi|490459107|ref|WP_004329774.1|	cation-transporting ATPase [Alistipes putredinis] 
gi|490459108|ref|WP_004329775.1|	MULTISPECIES: transcriptional regulator [Alistipes] 
gi|490459109|ref|WP_004329776.1|	anthranilate synthase subunit II [Alistipes putredinis] 
gi|490459110|ref|WP_004329777.1|	para-aminobenzoate synthase [Alistipes putredinis] 
gi|490459111|ref|WP_004329778.1|	hypothetical protein [Alistipes putredinis] 
gi|490459112|ref|WP_004329779.1|	DNA-binding protein [Alistipes putredinis] 
gi|490459114|ref|WP_004329781.1|	hypothetical protein [Alistipes putredinis] 
gi|490459116|ref|WP_004329782.1|	hypothetical protein [Alistipes putredinis] 
gi|490459117|ref|WP_004329783.1|	hypothetical protein [Alistipes putredinis] 
gi|490459118|ref|WP_004329784.1|	hypothetical protein [Alistipes putredinis] 
gi|490459119|ref|WP_004329785.1|	hypothetical protein [Alistipes putredinis] 
gi|490459120|ref|WP_004329786.1|	hypothetical protein [Alistipes putredinis] 
gi|490459121|ref|WP_004329787.1|	hypothetical protein [Alistipes putredinis] 
gi|490459122|ref|WP_004329788.1|	hypothetical protein [Alistipes putredinis] 
gi|490459123|ref|WP_004329789.1|	hypothetical protein [Alistipes putredinis] 
gi|490459124|ref|WP_004329790.1|	DNA-binding protein [Alistipes putredinis] 
gi|490459125|ref|WP_004329791.1|	hypothetical protein [Alistipes putredinis] 
gi|490459126|ref|WP_004329792.1|	hypothetical protein [Alistipes putredinis] 
gi|490459127|ref|WP_004329793.1|	hypothetical protein [Alistipes putredinis] 
gi|490459128|ref|WP_004329794.1|	hypothetical protein [Alistipes putredinis] 
gi|490459129|ref|WP_004329795.1|	XRE family transcriptional regulator [Alistipes putredinis] 
gi|490459130|ref|WP_004329796.1|	hypothetical protein [Alistipes putredinis] 
gi|490459131|ref|WP_004329797.1|	type I restriction endonuclease subunit M [Alistipes putredinis] 
gi|490459132|ref|WP_004329798.1|	hypothetical protein [Alistipes putredinis] 
gi|490459133|ref|WP_004329799.1|	hypothetical protein [Alistipes putredinis] 
gi|490459134|ref|WP_004329800.1|	type I deoxyribonuclease HsdR [Alistipes putredinis] 
gi|490459135|ref|WP_004329801.1|	hypothetical protein [Alistipes putredinis] 
gi|490459136|ref|WP_004329802.1|	hypothetical protein [Alistipes putredinis] 
gi|490459137|ref|WP_004329803.1|	recombinase [Alistipes putredinis] 
gi|490459138|ref|WP_004329804.1|	hypothetical protein [Alistipes putredinis] 
gi|490459139|ref|WP_004329805.1|	hypothetical protein [Alistipes putredinis] 
gi|490459140|ref|WP_004329806.1|	hypothetical protein [Alistipes putredinis] 
gi|490459141|ref|WP_004329807.1|	hypothetical protein [Alistipes putredinis] 
gi|490459142|ref|WP_004329808.1|	hypothetical protein [Alistipes putredinis] 
gi|490459143|ref|WP_004329809.1|	integrase [Alistipes putredinis] 
gi|490459144|ref|WP_004329810.1|	integrase [Alistipes putredinis] 
gi|490459145|ref|WP_004329811.1|	hypothetical protein [Alistipes putredinis] 
gi|490459146|ref|WP_004329812.1|	hypothetical protein [Alistipes putredinis] 
gi|490459147|ref|WP_004329813.1|	hypothetical protein [Alistipes putredinis] 
gi|490459148|ref|WP_004329814.1|	excinuclease ABC subunit C [Alistipes putredinis] 
gi|490459149|ref|WP_004329815.1|	hypothetical protein [Alistipes putredinis] 
gi|490459150|ref|WP_004329816.1|	hypothetical protein [Alistipes putredinis] 
gi|490459151|ref|WP_004329817.1|	hypothetical protein [Alistipes putredinis] 
gi|490459152|ref|WP_004329818.1|	5,10-methenyltetrahydrofolate synthetase [Alistipes putredinis] 
gi|490459153|ref|WP_004329819.1|	MULTISPECIES: fumarate reductase [Alistipes] 
gi|490459154|ref|WP_004329820.1|	MULTISPECIES: succinate dehydrogenase [Alistipes] 
gi|490459155|ref|WP_004329821.1|	MULTISPECIES: succinate dehydrogenase [Alistipes] 
gi|490459156|ref|WP_004329822.1|	transcriptional regulator [Alistipes putredinis] 
gi|490459158|ref|WP_004329823.1|	hypothetical protein [Alistipes putredinis] 
gi|490459159|ref|WP_004329824.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459160|ref|WP_004329825.1|	MULTISPECIES: zinc transporter ZupT [Alistipes] 
gi|490459161|ref|WP_004329826.1|	hypothetical protein [Alistipes putredinis] 
gi|490459162|ref|WP_004329827.1|	hypothetical protein [Alistipes putredinis] 
gi|490459163|ref|WP_004329828.1|	hypothetical protein [Alistipes putredinis] 
gi|490459164|ref|WP_004329829.1|	DEAD/DEAH box helicase [Alistipes putredinis] 
gi|490459165|ref|WP_004329830.1|	DNA-binding protein [Alistipes putredinis] 
gi|490459166|ref|WP_004329831.1|	RNA-binding protein [Alistipes putredinis] 
gi|490459167|ref|WP_004329832.1|	hypothetical protein [Alistipes putredinis] 
gi|490459168|ref|WP_004329833.1|	hypothetical protein [Alistipes putredinis] 
gi|490459169|ref|WP_004329834.1|	MULTISPECIES: dihydroorotase [Alistipes] 
gi|490459170|ref|WP_004329835.1|	carbamoyl phosphate synthase small subunit [Alistipes putredinis] 
gi|490459171|ref|WP_004329836.1|	MULTISPECIES: carbamoyl phosphate synthase large subunit [Alistipes] 
gi|490459172|ref|WP_004329837.1|	hypothetical protein [Alistipes putredinis] 
gi|490459173|ref|WP_004329838.1|	dihydroorotate oxidase [Alistipes putredinis] 
gi|490459174|ref|WP_004329839.1|	dihydroorotate dehydrogenase [Alistipes putredinis] 
gi|490459175|ref|WP_004329840.1|	orotidine 5'-phosphate decarboxylase [Alistipes putredinis] 
gi|490459176|ref|WP_004329841.1|	hypothetical protein [Alistipes putredinis] 
gi|490459178|ref|WP_004329843.1|	glutaredoxin [Alistipes putredinis] 
gi|490459180|ref|WP_004329844.1|	orotate phosphoribosyltransferase [Alistipes putredinis] 
gi|490459181|ref|WP_004329845.1|	hypothetical protein [Alistipes putredinis] 
gi|490459182|ref|WP_004329846.1|	hypothetical protein [Alistipes putredinis] 
gi|490459183|ref|WP_004329847.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Alistipes putredinis] 
gi|490459184|ref|WP_004329848.1|	phosphoribosylaminoimidazole carboxylase [Alistipes putredinis] 
gi|490459185|ref|WP_004329849.1|	phosphoribosylformylglycinamidine synthase [Alistipes putredinis] 
gi|490459186|ref|WP_004329850.1|	MULTISPECIES: phosphoribosylaminoimidazole-succinocarboxamide synthase [Alistipes] 
gi|490459187|ref|WP_004329851.1|	amidophosphoribosyltransferase [Alistipes putredinis] 
gi|490459188|ref|WP_004329852.1|	phosphoribosylaminoimidazole synthetase [Alistipes putredinis] 
gi|490459189|ref|WP_004329853.1|	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Alistipes] 
gi|490459190|ref|WP_004329854.1|	MULTISPECIES: purine biosynthesis protein purH [Alistipes] 
gi|490459191|ref|WP_004329855.1|	phosphoribosylamine--glycine ligase [Alistipes putredinis] 
gi|490459192|ref|WP_004329856.1|	MULTISPECIES: bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Alistipes] 
gi|490459193|ref|WP_004329857.1|	MULTISPECIES: electron transfer flavoprotein subunit alpha [Alistipes] 
gi|490459194|ref|WP_004329858.1|	MULTISPECIES: electron transfer flavoprotein subunit beta [Alistipes] 
gi|490459195|ref|WP_004329859.1|	MULTISPECIES: acyl-CoA dehydrogenase [Alistipes] 
gi|490459196|ref|WP_004329860.1|	MULTISPECIES: short-chain dehydrogenase [Alistipes] 
gi|490459197|ref|WP_004329861.1|	MULTISPECIES: dehydrogenase [Alistipes] 
gi|490459198|ref|WP_004329862.1|	MULTISPECIES: succinyl-CoA:3-ketoacid-CoA transferase [Alistipes] 
gi|490459199|ref|WP_004329863.1|	MULTISPECIES: dioxygenase [Alistipes] 
gi|490459200|ref|WP_004329864.1|	dioxygenase [Alistipes putredinis] 
gi|490459201|ref|WP_004329865.1|	DNA mismatch repair protein MutS [Alistipes putredinis] 
gi|490459202|ref|WP_004329866.1|	hypothetical protein [Alistipes putredinis] 
gi|490459203|ref|WP_004329867.1|	lysine 2,3-aminomutase [Alistipes putredinis] 
gi|490459204|ref|WP_004329868.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459205|ref|WP_004329869.1|	hypothetical protein [Alistipes putredinis] 
gi|490459206|ref|WP_004329870.1|	hypothetical protein [Alistipes putredinis] 
gi|490459207|ref|WP_004329871.1|	hypothetical protein [Alistipes putredinis] 
gi|490459208|ref|WP_004329872.1|	MULTISPECIES: acetyl-CoA:acetoacetyl-CoA transferase subunit alpha [Alistipes] 
gi|490459209|ref|WP_004329873.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490459210|ref|WP_004329874.1|	phosphoglycerol transferase [Alistipes putredinis] 
gi|490459211|ref|WP_004329875.1|	MULTISPECIES: nicotinate-nucleotide pyrophosphorylase [Alistipes] 
gi|490459212|ref|WP_004329876.1|	hypothetical protein [Alistipes putredinis] 
gi|490459214|ref|WP_004329877.1|	tRNA (guanine-N(7)-)-methyltransferase [Alistipes putredinis] 
gi|490459215|ref|WP_004329878.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459216|ref|WP_004329879.1|	hypothetical protein [Alistipes putredinis] 
gi|490459217|ref|WP_004329880.1|	multidrug transporter MatE [Alistipes putredinis] 
gi|490459218|ref|WP_004329881.1|	hypothetical protein [Alistipes putredinis] 
gi|490459219|ref|WP_004329882.1|	ATP-dependent Clp protease ClpC [Alistipes putredinis] 
gi|490459220|ref|WP_004329883.1|	hypothetical protein [Alistipes putredinis] 
gi|490459221|ref|WP_004329884.1|	MULTISPECIES: phosphoesterase [Alistipes] 
gi|490459222|ref|WP_004329885.1|	hypothetical protein [Alistipes putredinis] 
gi|490459223|ref|WP_004329886.1|	ATPase AAA [Alistipes putredinis] 
gi|490459224|ref|WP_004329887.1|	hypothetical protein [Alistipes putredinis] 
gi|490459225|ref|WP_004329888.1|	hypothetical protein [Alistipes putredinis] 
gi|490459226|ref|WP_004329889.1|	hypothetical protein [Alistipes putredinis] 
gi|490459227|ref|WP_004329890.1|	hypothetical protein [Alistipes putredinis] 
gi|490459228|ref|WP_004329891.1|	aspartyl-tRNA synthetase [Alistipes putredinis] 
gi|490459229|ref|WP_004329892.1|	hypothetical protein [Alistipes putredinis] 
gi|490459230|ref|WP_004329893.1|	hypothetical protein [Alistipes putredinis] 
gi|490459231|ref|WP_004329894.1|	CMP deaminase [Alistipes putredinis] 
gi|490459232|ref|WP_004329895.1|	hypothetical protein [Alistipes putredinis] 
gi|490459233|ref|WP_004329896.1|	(Fe-S)-binding protein [Alistipes putredinis] 
gi|490459234|ref|WP_004329897.1|	acyl-CoA synthetase [Alistipes putredinis] 
gi|490459235|ref|WP_004329898.1|	hypothetical protein [Alistipes putredinis] 
gi|490459237|ref|WP_004329899.1|	hypothetical protein [Alistipes putredinis] 
gi|490459238|ref|WP_004329900.1|	hypothetical protein [Alistipes putredinis] 
gi|490459239|ref|WP_004329901.1|	hypothetical protein [Alistipes putredinis] 
gi|490459240|ref|WP_004329902.1|	hypothetical protein [Alistipes putredinis] 
gi|490459241|ref|WP_004329903.1|	hypothetical protein [Alistipes putredinis] 
gi|490459242|ref|WP_004329904.1|	hypothetical protein [Alistipes putredinis] 
gi|490459243|ref|WP_004329905.1|	hypothetical protein [Alistipes putredinis] 
gi|490459244|ref|WP_004329906.1|	cysteinyl-tRNA synthetase [Alistipes putredinis] 
gi|490459245|ref|WP_004329907.1|	multidrug transporter MatE [Alistipes putredinis] 
gi|490459246|ref|WP_004329908.1|	cytidylate kinase [Alistipes putredinis] 
gi|490459247|ref|WP_004329909.1|	hypothetical protein [Alistipes putredinis] 
gi|490459248|ref|WP_004329910.1|	MULTISPECIES: peptide chain release factor 2 [Alistipes] 
gi|490459249|ref|WP_004329911.1|	hypothetical protein [Alistipes putredinis] 
gi|490459250|ref|WP_004329912.1|	hypothetical protein [Alistipes putredinis] 
gi|490459251|ref|WP_004329913.1|	hypothetical protein [Alistipes putredinis] 
gi|490459252|ref|WP_004329914.1|	hypothetical protein [Alistipes putredinis] 
gi|490459253|ref|WP_004329915.1|	hypothetical protein [Alistipes putredinis] 
gi|490459254|ref|WP_004329916.1|	hypothetical protein [Alistipes putredinis] 
gi|490459255|ref|WP_004329917.1|	fructose-1,6-bisphosphatase [Alistipes putredinis] 
gi|490459256|ref|WP_004329918.1|	hypothetical protein [Alistipes putredinis] 
gi|490459257|ref|WP_004329919.1|	MULTISPECIES: 4Fe-4S ferredoxin [Alistipes] 
gi|490459258|ref|WP_004329920.1|	MULTISPECIES: seryl-tRNA synthetase [Alistipes] 
gi|490459259|ref|WP_004329921.1|	hypothetical protein [Alistipes putredinis] 
gi|490459260|ref|WP_004329922.1|	oxidoreductase [Alistipes putredinis] 
gi|490459261|ref|WP_004329923.1|	hypothetical protein [Alistipes putredinis] 
gi|490459262|ref|WP_004329924.1|	chromate transporter [Alistipes putredinis] 
gi|490459263|ref|WP_004329925.1|	MULTISPECIES: chromate transporter [Alistipes] 
gi|490459264|ref|WP_004329926.1|	16S rRNA methyltransferase [Alistipes putredinis] 
gi|490459265|ref|WP_004329927.1|	peptidase M3 [Alistipes putredinis] 
gi|490459267|ref|WP_004329928.1|	peptidase M3 [Alistipes putredinis] 
gi|490459268|ref|WP_004329929.1|	peptide chain release factor 3 [Alistipes putredinis] 
gi|490459269|ref|WP_004329930.1|	L-aspartate oxidase [Alistipes putredinis] 
gi|490459270|ref|WP_004329931.1|	hypothetical protein [Alistipes putredinis] 
gi|490459271|ref|WP_004329932.1|	S-adenosylmethionine tRNA ribosyltransferase [Alistipes putredinis] 
gi|490459272|ref|WP_004329933.1|	nucleoside permease [Alistipes putredinis] 
gi|490459273|ref|WP_004329934.1|	hypothetical protein [Alistipes putredinis] 
gi|490459274|ref|WP_004329935.1|	hypothetical protein [Alistipes putredinis] 
gi|490459275|ref|WP_004329936.1|	MULTISPECIES: heat-shock protein Hsp15 [Alistipes] 
gi|490459276|ref|WP_004329937.1|	hypothetical protein [Alistipes putredinis] 
gi|490459277|ref|WP_004329938.1|	cell division protein [Alistipes putredinis] 
gi|490459278|ref|WP_004329939.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Alistipes putredinis] 
gi|490459279|ref|WP_004329940.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Alistipes putredinis] 
gi|490459280|ref|WP_004329941.1|	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [Alistipes putredinis] 
gi|490459281|ref|WP_004329942.1|	cell division protein FtsI [Alistipes putredinis] 
gi|490459282|ref|WP_004329943.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459283|ref|WP_004329944.1|	hypothetical protein [Alistipes putredinis] 
gi|490459284|ref|WP_004329945.1|	hypothetical protein [Alistipes putredinis] 
gi|490459285|ref|WP_004329946.1|	hypothetical protein [Alistipes putredinis] 
