gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491505308|ref|WP_005362966.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505310|ref|WP_005362968.1|	hydrogenase expression protein [Eubacterium ventriosum] 
gi|491505312|ref|WP_005362970.1|	phosphomethylpyrimidine kinase [Eubacterium ventriosum] 
gi|491505314|ref|WP_005362972.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505316|ref|WP_005362974.1|	thiamine-phosphate pyrophosphorylase [Eubacterium ventriosum] 
gi|491505318|ref|WP_005362976.1|	hydroxyethylthiazole kinase [Eubacterium ventriosum] 
gi|491505320|ref|WP_005362978.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505322|ref|WP_005362980.1|	tryptophan synthase subunit alpha [Eubacterium ventriosum] 
gi|491505323|ref|WP_005362981.1|	tryptophan synthase subunit beta [Eubacterium ventriosum] 
gi|491505324|ref|WP_005362982.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505325|ref|WP_005362983.1|	elongation factor G [Eubacterium ventriosum] 
gi|491505326|ref|WP_005362984.1|	prephenate dehydrogenase [Eubacterium ventriosum] 
gi|491505328|ref|WP_005362986.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505329|ref|WP_005362987.1|	ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491505330|ref|WP_005362988.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505332|ref|WP_005362990.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505334|ref|WP_005362992.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505335|ref|WP_005362993.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505337|ref|WP_005362995.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505339|ref|WP_005362997.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505341|ref|WP_005362999.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505343|ref|WP_005363001.1|	S-adenosylmethionine tRNA ribosyltransferase [Eubacterium ventriosum] 
gi|491505344|ref|WP_005363002.1|	D-tyrosyl-tRNA(Tyr) deacylase [Eubacterium ventriosum] 
gi|491505346|ref|WP_005363004.1|	phenylalanyl-tRNA synthetase subunit beta [Eubacterium ventriosum] 
gi|491505348|ref|WP_005363006.1|	phenylalanyl-tRNA synthase subunit alpha [Eubacterium ventriosum] 
gi|491505349|ref|WP_005363007.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505351|ref|WP_005363009.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505353|ref|WP_005363011.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505355|ref|WP_005363013.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505357|ref|WP_005363015.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491505375|ref|WP_005363033.1|	MULTISPECIES: serine recombinase [Eubacterium] 
gi|491505377|ref|WP_005363035.1|	MULTISPECIES: hypothetical protein [Eubacterium] 
gi|491505380|ref|WP_005363038.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505382|ref|WP_005363040.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505384|ref|WP_005363042.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505386|ref|WP_005363044.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505388|ref|WP_005363046.1|	MULTISPECIES: hypothetical protein [Eubacterium] 
gi|491505390|ref|WP_005363048.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505393|ref|WP_005363051.1|	histidine kinase [Eubacterium ventriosum] 
gi|491505395|ref|WP_005363053.1|	chemotaxis protein CheY [Eubacterium ventriosum] 
gi|491505397|ref|WP_005363055.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505399|ref|WP_005363057.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505401|ref|WP_005363059.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505403|ref|WP_005363061.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505404|ref|WP_005363062.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505406|ref|WP_005363064.1|	septation protein spoVG [Eubacterium ventriosum] 
gi|491505408|ref|WP_005363066.1|	helicase [Eubacterium ventriosum] 
gi|491505410|ref|WP_005363068.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505412|ref|WP_005363070.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505413|ref|WP_005363071.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505415|ref|WP_005363073.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505417|ref|WP_005363075.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505420|ref|WP_005363078.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505422|ref|WP_005363080.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505424|ref|WP_005363082.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505426|ref|WP_005363084.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505429|ref|WP_005363087.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505431|ref|WP_005363089.1|	MULTISPECIES: hypothetical protein [Eubacterium] 
gi|491505433|ref|WP_005363091.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505435|ref|WP_005363093.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504375|ref|WP_005362042.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504374|ref|WP_005362041.1|	conjugal transfer protein TraG [Eubacterium ventriosum] 
gi|491504373|ref|WP_005362040.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501608|ref|WP_005359293.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501610|ref|WP_005359295.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501612|ref|WP_005359297.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501629|ref|WP_005359314.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505438|ref|WP_005363096.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501646|ref|WP_005359331.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505441|ref|WP_005363099.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505442|ref|WP_005363100.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505444|ref|WP_005363102.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505446|ref|WP_005363104.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505448|ref|WP_005363106.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505450|ref|WP_005363108.1|	integrase [Eubacterium ventriosum] 
gi|491505452|ref|WP_005363110.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505454|ref|WP_005363112.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505456|ref|WP_005363114.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505457|ref|WP_005363115.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505459|ref|WP_005363117.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505461|ref|WP_005363119.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505463|ref|WP_005363121.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505465|ref|WP_005363123.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505466|ref|WP_005363124.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505467|ref|WP_005363125.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505468|ref|WP_005363126.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505469|ref|WP_005363127.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505470|ref|WP_005363128.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505471|ref|WP_005363129.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505473|ref|WP_005363131.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505475|ref|WP_005363133.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505477|ref|WP_005363135.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505478|ref|WP_005363136.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505480|ref|WP_005363138.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505482|ref|WP_005363140.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505484|ref|WP_005363142.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505485|ref|WP_005363143.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505486|ref|WP_005363144.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505487|ref|WP_005363145.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505488|ref|WP_005363146.1|	chromosome partitioning protein ParA [Eubacterium ventriosum] 
gi|491505489|ref|WP_005363147.1|	lysyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491505490|ref|WP_005363148.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505492|ref|WP_005363150.1|	transcription elongation factor GreA [Eubacterium ventriosum] 
gi|491505493|ref|WP_005363151.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505495|ref|WP_005363153.1|	pantothenate kinase [Eubacterium ventriosum] 
gi|491505497|ref|WP_005363155.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505498|ref|WP_005363156.1|	peptidase [Eubacterium ventriosum] 
gi|491505500|ref|WP_005363158.1|	membrane protein [Eubacterium ventriosum] 
gi|491505502|ref|WP_005363160.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505504|ref|WP_005363162.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505506|ref|WP_005363164.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505508|ref|WP_005363166.1|	peptidylprolyl isomerase [Eubacterium ventriosum] 
gi|491505509|ref|WP_005363167.1|	K+-dependent Na+/Ca+ exchanger [Eubacterium ventriosum] 
gi|491505510|ref|WP_005363168.1|	glutamine synthetase [Eubacterium ventriosum] 
gi|491505519|ref|WP_005363177.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505521|ref|WP_005363179.1|	fructose-bisphosphate aldolase [Eubacterium ventriosum] 
gi|491505523|ref|WP_005363181.1|	6-phosphofructokinase [Eubacterium ventriosum] 
gi|491505525|ref|WP_005363183.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505527|ref|WP_005363185.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505530|ref|WP_005363188.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505531|ref|WP_005363189.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505532|ref|WP_005363190.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505533|ref|WP_005363191.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505534|ref|WP_005363192.1|	recombinase [Eubacterium ventriosum] 
gi|491505535|ref|WP_005363193.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505536|ref|WP_005363194.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505537|ref|WP_005363195.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491505538|ref|WP_005363196.1|	RNA polymerase sigma factor [Eubacterium ventriosum] 
gi|491505539|ref|WP_005363197.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491505547|ref|WP_005363205.1|	multidrug transporter MATE [Eubacterium ventriosum] 
gi|491505548|ref|WP_005363206.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505549|ref|WP_005363207.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505550|ref|WP_005363208.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505551|ref|WP_005363209.1|	peptidase P60 [Eubacterium ventriosum] 
gi|491505556|ref|WP_005363214.1|	membrane protein [Eubacterium ventriosum] 
gi|491505557|ref|WP_005363215.1|	ATP/GTP-binding protein [Eubacterium ventriosum] 
gi|491505558|ref|WP_005363216.1|	membrane protein [Eubacterium ventriosum] 
gi|491505559|ref|WP_005363217.1|	antirestriction protein ArdA [Eubacterium ventriosum] 
gi|491505560|ref|WP_005363218.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505561|ref|WP_005363219.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505562|ref|WP_005363220.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505564|ref|WP_005363222.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|491505566|ref|WP_005363224.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491505568|ref|WP_005363226.1|	Cro/Cl family transcriptional regulator [Eubacterium ventriosum] 
gi|491505570|ref|WP_005363228.1|	cell division protein FtsK [Eubacterium ventriosum] 
gi|491505579|ref|WP_005363237.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505584|ref|WP_005363242.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505588|ref|WP_005363246.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491505593|ref|WP_005363251.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505594|ref|WP_005363252.1|	ATPase AAA [Eubacterium ventriosum] 
gi|491505595|ref|WP_005363253.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505596|ref|WP_005363254.1|	pyruvate formate lyase-activating protein [Eubacterium ventriosum] 
gi|491505597|ref|WP_005363255.1|	formate acetyltransferase [Eubacterium ventriosum] 
gi|491505598|ref|WP_005363256.1|	nitroreductase [Eubacterium ventriosum] 
gi|491505604|ref|WP_005363261.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505607|ref|WP_005363264.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505608|ref|WP_005363265.1|	tRNA methyltransferase [Eubacterium ventriosum] 
gi|491505609|ref|WP_005363266.1|	aminotransferase [Eubacterium ventriosum] 
gi|491505610|ref|WP_005363267.1|	AsnC family transcriptional regulator [Eubacterium ventriosum] 
gi|491505611|ref|WP_005363268.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505612|ref|WP_005363269.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505613|ref|WP_005363270.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505614|ref|WP_005363271.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491505615|ref|WP_005363272.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505617|ref|WP_005363274.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Eubacterium ventriosum] 
gi|491505621|ref|WP_005363278.1|	spermidine/putrescine ABC transporter substrate-binding protein [Eubacterium ventriosum] 
gi|491505635|ref|WP_005363292.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505637|ref|WP_005363294.1|	spermidine/putrescine ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491505638|ref|WP_005363295.1|	Cro/Cl family transcriptional regulator [Eubacterium ventriosum] 
gi|491505639|ref|WP_005363296.1|	hydrolase [Eubacterium ventriosum] 
gi|490991710|ref|WP_004853443.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491505640|ref|WP_005363297.1|	hypothetical protein [Eubacterium ventriosum] 
gi|490991707|ref|WP_004853440.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489961754|ref|WP_003865061.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|491505641|ref|WP_005363298.1|	hypothetical protein [Eubacterium ventriosum] 
gi|490991700|ref|WP_004853433.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491505642|ref|WP_005363299.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491485097|ref|WP_005342838.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490752186|ref|WP_004614494.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491485090|ref|WP_005342831.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491505645|ref|WP_005363302.1|	acetyltransferase [Eubacterium ventriosum] 
gi|491505647|ref|WP_005363304.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505649|ref|WP_005363306.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505650|ref|WP_005363307.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505651|ref|WP_005363308.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505652|ref|WP_005363309.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505653|ref|WP_005363310.1|	fibronectin [Eubacterium ventriosum] 
gi|491505656|ref|WP_005363313.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505660|ref|WP_005363317.1|	alpha/beta hydrolase [Eubacterium ventriosum] 
gi|491505664|ref|WP_005363321.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505667|ref|WP_005363324.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505669|ref|WP_005363325.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505670|ref|WP_005363326.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505671|ref|WP_005363327.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505672|ref|WP_005363328.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505673|ref|WP_005363329.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505674|ref|WP_005363330.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505675|ref|WP_005363331.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505676|ref|WP_005363332.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505677|ref|WP_005363333.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505678|ref|WP_005363334.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505681|ref|WP_005363337.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505683|ref|WP_005363339.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505684|ref|WP_005363340.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505686|ref|WP_005363342.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505687|ref|WP_005363343.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505689|ref|WP_005363345.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505690|ref|WP_005363346.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491505691|ref|WP_005363347.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505692|ref|WP_005363348.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505693|ref|WP_005363349.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505694|ref|WP_005363350.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505695|ref|WP_005363351.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505696|ref|WP_005363352.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505697|ref|WP_005363353.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505698|ref|WP_005363354.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505699|ref|WP_005363355.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505700|ref|WP_005363356.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505701|ref|WP_005363357.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505702|ref|WP_005363358.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505703|ref|WP_005363359.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505704|ref|WP_005363360.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505705|ref|WP_005363361.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505706|ref|WP_005363362.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505707|ref|WP_005363363.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505708|ref|WP_005363364.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505710|ref|WP_005363366.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505715|ref|WP_005363371.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505716|ref|WP_005363372.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505719|ref|WP_005363375.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505722|ref|WP_005363378.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505727|ref|WP_005363383.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505730|ref|WP_005363386.1|	DNA methyltransferase [Eubacterium ventriosum] 
gi|491505733|ref|WP_005363389.1|	very short patch repair endonuclease [Eubacterium ventriosum] 
gi|491505742|ref|WP_005363397.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491505744|ref|WP_005363399.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505745|ref|WP_005363400.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505746|ref|WP_005363401.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505748|ref|WP_005363403.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505750|ref|WP_005363405.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505752|ref|WP_005363407.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505754|ref|WP_005363409.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505755|ref|WP_005363410.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505756|ref|WP_005363411.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505757|ref|WP_005363412.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505758|ref|WP_005363413.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505760|ref|WP_005363415.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505761|ref|WP_005363416.1|	GNAT family acetyltransferase [Eubacterium ventriosum] 
gi|491505762|ref|WP_005363417.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505763|ref|WP_005363418.1|	toxin Fic [Eubacterium ventriosum] 
gi|491505764|ref|WP_005363419.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505765|ref|WP_005363420.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505766|ref|WP_005363421.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505767|ref|WP_005363422.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505768|ref|WP_005363423.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505770|ref|WP_005363425.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505771|ref|WP_005363426.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505774|ref|WP_005363429.1|	rhamnulose-1-phosphate aldolase [Eubacterium ventriosum] 
gi|491505778|ref|WP_005363433.1|	rhamnose isomerase [Eubacterium ventriosum] 
gi|491505787|ref|WP_005363441.1|	rhamnulokinase [Eubacterium ventriosum] 
gi|491505789|ref|WP_005363443.1|	acetyl esterase [Eubacterium ventriosum] 
gi|491505791|ref|WP_005363445.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505793|ref|WP_005363447.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505795|ref|WP_005363449.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505796|ref|WP_005363450.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505797|ref|WP_005363451.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505798|ref|WP_005363452.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505799|ref|WP_005363453.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505800|ref|WP_005363454.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505801|ref|WP_005363455.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505802|ref|WP_005363456.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505803|ref|WP_005363457.1|	DNA mismatch repair protein MutT [Eubacterium ventriosum] 
gi|491505804|ref|WP_005363458.1|	helicase [Eubacterium ventriosum] 
gi|491505805|ref|WP_005363459.1|	GNAT family acetyltransferase [Eubacterium ventriosum] 
gi|491505806|ref|WP_005363460.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505807|ref|WP_005363461.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505808|ref|WP_005363462.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505809|ref|WP_005363463.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491505815|ref|WP_005363469.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491505818|ref|WP_005363472.1|	preprotein translocase subunit SecE [Eubacterium ventriosum] 
gi|491505821|ref|WP_005363475.1|	antitermination factor NusG [Eubacterium ventriosum] 
gi|491505823|ref|WP_005363477.1|	50S ribosomal protein L11 [Eubacterium ventriosum] 
gi|491505826|ref|WP_005363480.1|	50S ribosomal protein L1 [Eubacterium ventriosum] 
gi|491505828|ref|WP_005363482.1|	50S ribosomal protein L10 [Eubacterium ventriosum] 
gi|491505830|ref|WP_005363484.1|	50S ribosomal protein L7/L12 [Eubacterium ventriosum] 
gi|491505832|ref|WP_005363486.1|	DNA-directed RNA polymerase subunit beta [Eubacterium ventriosum] 
gi|491505834|ref|WP_005363488.1|	DNA-directed RNA polymerase subunit beta' [Eubacterium ventriosum] 
gi|491505836|ref|WP_005363490.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491505838|ref|WP_005363492.1|	transporter [Eubacterium ventriosum] 
gi|491505841|ref|WP_005363494.1|	transporter [Eubacterium ventriosum] 
gi|491505842|ref|WP_005363495.1|	pyruvate synthase [Eubacterium ventriosum] 
gi|491505843|ref|WP_005363496.1|	ferredoxin [Eubacterium ventriosum] 
gi|491505844|ref|WP_005363497.1|	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha [Eubacterium ventriosum] 
gi|491505848|ref|WP_005363501.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505850|ref|WP_005363503.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505852|ref|WP_005363505.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505854|ref|WP_005363507.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505855|ref|WP_005363508.1|	asparaginyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491505857|ref|WP_005363510.1|	PhoB family transcriptional regulator [Eubacterium ventriosum] 
gi|491505859|ref|WP_005363512.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505861|ref|WP_005363514.1|	30S ribosomal protein S12 [Eubacterium ventriosum] 
gi|491505863|ref|WP_005363516.1|	30S ribosomal protein S7 [Eubacterium ventriosum] 
gi|491505865|ref|WP_005363518.1|	elongation factor P [Eubacterium ventriosum] 
gi|491505866|ref|WP_005363519.1|	elongation factor Tu [Eubacterium ventriosum] 
gi|491505868|ref|WP_005363521.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505870|ref|WP_005363523.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505872|ref|WP_005363525.1|	sodium:pantothenate symporter [Eubacterium ventriosum] 
gi|491505873|ref|WP_005363526.1|	endonuclease [Eubacterium ventriosum] 
gi|491505875|ref|WP_005363528.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505876|ref|WP_005363529.1|	membrane protein [Eubacterium ventriosum] 
gi|491505878|ref|WP_005363531.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505880|ref|WP_005363533.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505882|ref|WP_005363535.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505883|ref|WP_005363536.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505884|ref|WP_005363537.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505885|ref|WP_005363538.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505886|ref|WP_005363539.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505887|ref|WP_005363540.1|	ketoacyl reductase [Eubacterium ventriosum] 
gi|491505888|ref|WP_005363541.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491505889|ref|WP_005363542.1|	1-phosphofructokinase [Eubacterium ventriosum] 
gi|491505890|ref|WP_005363543.1|	PTS fructose transporter subunit IIC [Eubacterium ventriosum] 
