gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489926741|ref|WP_003830077.1|	2,5-diketo-D-gluconic acid reductase [Bifidobacterium breve] 
gi|489926742|ref|WP_003830078.1|	peptide deformylase [Bifidobacterium breve] 
gi|489926744|ref|WP_003830080.1|	transcription antitermination protein NusG [Bifidobacterium breve] 
gi|489926746|ref|WP_003830082.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926748|ref|WP_003830084.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926750|ref|WP_003830086.1|	lincomycin resistance protein LmrB [Bifidobacterium breve] 
gi|489926774|ref|WP_003830110.1|	MULTISPECIES: 50S ribosomal protein L31 [Bifidobacterium] 
gi|489926776|ref|WP_003830112.1|	peptide chain release factor 1 [Bifidobacterium breve] 
gi|489926778|ref|WP_003830114.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [Bifidobacterium breve] 
gi|489926779|ref|WP_003830115.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926781|ref|WP_003830117.1|	branched-chain amino acid ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926784|ref|WP_003830120.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926786|ref|WP_003830122.1|	branched-chain amino acid ABC transporter permease [Bifidobacterium breve] 
gi|489926788|ref|WP_003830124.1|	branched-chain amino acid ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926790|ref|WP_003830126.1|	amino acid ABC transporter ATPase [Bifidobacterium breve] 
gi|489926792|ref|WP_003830128.1|	translation factor Sua5 [Bifidobacterium breve] 
gi|489926793|ref|WP_003830129.1|	UDP-N-acetylmuramyl pentapeptide phosphotransferase [Bifidobacterium breve] 
gi|489926795|ref|WP_003830131.1|	inosine-5`-monophosphate dehydrogenase [Bifidobacterium breve] 
gi|489926796|ref|WP_003830132.1|	oligoribonuclease [Bifidobacterium breve] 
gi|489926799|ref|WP_003830135.1|	ATP-dependent endonuclease [Bifidobacterium breve] 
gi|489926800|ref|WP_003830136.1|	pyruvate formate lyase-activating protein [Bifidobacterium breve] 
gi|489926802|ref|WP_003830138.1|	prolyl-tRNA synthetase [Bifidobacterium breve] 
gi|489926804|ref|WP_003830140.1|	single-stranded DNA-binding protein [Bifidobacterium breve] 
gi|489926806|ref|WP_003830142.1|	peptidase M13 [Bifidobacterium breve] 
gi|489926808|ref|WP_003830144.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926810|ref|WP_003830146.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926812|ref|WP_003830148.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926814|ref|WP_003830150.1|	methionine aminopeptidase [Bifidobacterium breve] 
gi|489926817|ref|WP_003830153.1|	type II citrate synthase [Bifidobacterium breve] 
gi|489926819|ref|WP_003830155.1|	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Bifidobacterium breve] 
gi|489926821|ref|WP_003830157.1|	helicase [Bifidobacterium breve] 
gi|489926823|ref|WP_003830159.1|	GNAT family acetyltransferase [Bifidobacterium breve] 
gi|489926825|ref|WP_003830161.1|	DNA mismatch repair protein Vsr [Bifidobacterium breve] 
gi|489926827|ref|WP_003830163.1|	oxidoreductase [Bifidobacterium breve] 
gi|489926830|ref|WP_003830166.1|	aminotransferase [Bifidobacterium breve] 
gi|489926831|ref|WP_003830167.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926832|ref|WP_003830168.1|	endonuclease [Bifidobacterium breve] 
gi|489926834|ref|WP_003830170.1|	nucleoside deoxyribosyltransferase [Bifidobacterium breve] 
gi|489926835|ref|WP_003830171.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926836|ref|WP_003830172.1|	large conductance mechanosensitive channel protein MscL [Bifidobacterium breve] 
gi|489926838|ref|WP_003830174.1|	AMP-binding protein [Bifidobacterium breve] 
gi|489926840|ref|WP_003830176.1|	general stress protein [Bifidobacterium breve] 
gi|489926841|ref|WP_003830177.1|	exonuclease VII small subunit [Bifidobacterium breve] 
gi|489926844|ref|WP_003830180.1|	exodeoxyribonuclease VII large subunit [Bifidobacterium breve] 
gi|489926846|ref|WP_003830182.1|	ribonucleoside-triphosphate reductase [Bifidobacterium breve] 
gi|489926848|ref|WP_003830184.1|	ribonucleoside-triphosphate reductase activating protein [Bifidobacterium breve] 
gi|489926849|ref|WP_003830185.1|	activase [Bifidobacterium breve] 
gi|489926851|ref|WP_003830187.1|	MULTISPECIES: gamma-glutamylcysteine synthetase [Bifidobacterium] 
gi|489926853|ref|WP_003830189.1|	MULTISPECIES: AcrR family transcriptional regulator [Bifidobacterium] 
gi|489926854|ref|WP_003830190.1|	beta-D-glucosideglucohydrolase [Bifidobacterium breve] 
gi|489926856|ref|WP_003830192.1|	Mg2+ transporter [Bifidobacterium breve] 
gi|489926858|ref|WP_003830194.1|	nucleotidyltransferase [Bifidobacterium breve] 
gi|489926860|ref|WP_003830196.1|	MULTISPECIES: nucleotidyltransferase [Bifidobacterium] 
gi|489926863|ref|WP_003830199.1|	glycosyl hydrolase family 5 [Bifidobacterium breve] 
gi|489926864|ref|WP_003830200.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489926866|ref|WP_003830202.1|	beta-glucosidase [Bifidobacterium breve] 
gi|489926867|ref|WP_003830203.1|	MULTISPECIES: MarR family transcriptional regulator [Bifidobacterium] 
gi|489926870|ref|WP_003830206.1|	ABC transporter [Bifidobacterium breve] 
gi|489926872|ref|WP_003830208.1|	Rrf2 family transcriptional regulator [Bifidobacterium breve] 
gi|489926875|ref|WP_003830211.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489926877|ref|WP_003830213.1|	GNAT family acetyltransferase [Bifidobacterium breve] 
gi|489926878|ref|WP_003830214.1|	MULTISPECIES: nucleoside hydrolase [Bifidobacterium] 
gi|489926880|ref|WP_003830216.1|	C4-dicarboxylate ABC transporter [Bifidobacterium breve] 
gi|489926882|ref|WP_003830218.1|	sugar kinase [Bifidobacterium breve] 
gi|489926884|ref|WP_003830220.1|	isoleucyl-tRNA synthase [Bifidobacterium breve] 
gi|489926886|ref|WP_003830222.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926888|ref|WP_003830224.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926890|ref|WP_003830226.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926892|ref|WP_003830228.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926893|ref|WP_003830229.1|	spermidine/putrescine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926895|ref|WP_003830231.1|	phosphodiesterase [Bifidobacterium breve] 
gi|489926897|ref|WP_003830233.1|	Ino eighty subunit 3 [Bifidobacterium breve] 
gi|489926899|ref|WP_003830235.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926901|ref|WP_003830237.1|	type I deoxyribonuclease HsdR [Bifidobacterium breve] 
gi|489926904|ref|WP_003830240.1|	DNA methyltransferase [Bifidobacterium breve] 
gi|489926905|ref|WP_003830241.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926907|ref|WP_003830243.1|	type I restriction-modification system specificity determinant [Bifidobacterium breve] 
gi|489926909|ref|WP_003830245.1|	MULTISPECIES: integrase [Bifidobacterium] 
gi|489926911|ref|WP_003830247.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926912|ref|WP_003830248.1|	type I restriction system specificity protein [Bifidobacterium breve] 
gi|489926913|ref|WP_003830249.1|	putative transcript release DNA helicase [Bifidobacterium breve] 
gi|489926914|ref|WP_003830250.1|	S-adenosylmethionine synthase [Bifidobacterium breve] 
gi|489926915|ref|WP_003830251.1|	DNA-directed RNA polymerase subunit omega [Bifidobacterium breve] 
gi|489926916|ref|WP_003830252.1|	dihydroxy-acid dehydratase [Bifidobacterium breve] 
gi|489926917|ref|WP_003830253.1|	methionyl-tRNA formyltransferase [Bifidobacterium breve] 
gi|489926919|ref|WP_003830255.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489926922|ref|WP_003830258.1|	primosome assembly protein PriA [Bifidobacterium breve] 
gi|489926925|ref|WP_003830261.1|	phosphoserine phosphatase [Bifidobacterium breve] 
gi|489926927|ref|WP_003830263.1|	membrane protein [Bifidobacterium breve] 
gi|489926928|ref|WP_003830264.1|	ATPase AAA [Bifidobacterium breve] 
gi|489926930|ref|WP_003830266.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489926932|ref|WP_003830268.1|	sugar transporter [Bifidobacterium breve] 
gi|489926933|ref|WP_003830269.1|	PTS sugar transporter subunit IIA [Bifidobacterium breve] 
gi|489926934|ref|WP_003830270.1|	PTS fructose transporter subunit IIA [Bifidobacterium breve] 
gi|489926935|ref|WP_003830271.1|	PTS fructose transporter subunit IIB [Bifidobacterium breve] 
gi|489926936|ref|WP_003830272.1|	PTS fructose transporter subunit IIC [Bifidobacterium breve] 
gi|489926937|ref|WP_003830273.1|	allulose-6-phosphate 3-epimerase [Bifidobacterium breve] 
gi|489926938|ref|WP_003830274.1|	ligase [Bifidobacterium breve] 
gi|489926939|ref|WP_003830275.1|	inositol monophosphatase [Bifidobacterium breve] 
gi|489926940|ref|WP_003830276.1|	ubiquitin [Bifidobacterium breve] 
gi|489926941|ref|WP_003830277.1|	proteasome accessory factor PafA [Bifidobacterium breve] 
gi|489926942|ref|WP_003830278.1|	integration host factor [Bifidobacterium breve] 
gi|489926943|ref|WP_003830279.1|	membrane protein [Bifidobacterium breve] 
gi|489926944|ref|WP_003830280.1|	adenylosuccinate lyase [Bifidobacterium breve] 
gi|489926945|ref|WP_003830281.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926946|ref|WP_003830282.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926947|ref|WP_003830283.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926948|ref|WP_003830284.1|	cell surface protein [Bifidobacterium breve] 
gi|489926949|ref|WP_003830285.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926950|ref|WP_003830286.1|	von Willebrand factor A [Bifidobacterium breve] 
gi|489926951|ref|WP_003830287.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926952|ref|WP_003830288.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926953|ref|WP_003830289.1|	ATPase AAA [Bifidobacterium breve] 
gi|489926954|ref|WP_003830290.1|	uracil-DNA glycosylase [Bifidobacterium breve] 
gi|489926955|ref|WP_003830291.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926956|ref|WP_003830292.1|	cold-shock protein [Bifidobacterium breve] 
gi|489926957|ref|WP_003830293.1|	molecular chaperone GroEL [Bifidobacterium breve] 
gi|489926958|ref|WP_003830294.1|	type VII secretion protein [Bifidobacterium breve] 
gi|489926959|ref|WP_003830295.1|	membrane protein [Bifidobacterium breve] 
gi|489926960|ref|WP_003830296.1|	alkaline phosphatase [Bifidobacterium breve] 
gi|489926961|ref|WP_003830297.1|	histidine kinase [Bifidobacterium breve] 
gi|489926962|ref|WP_003830298.1|	cold-shock protein [Bifidobacterium breve] 
gi|489926963|ref|WP_003830299.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926964|ref|WP_003830300.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926965|ref|WP_003830301.1|	universal stress protein [Bifidobacterium breve] 
gi|489926966|ref|WP_003830302.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926967|ref|WP_003830303.1|	ATP-dependent Clp protease ATP-binding protein [Bifidobacterium breve] 
gi|489926968|ref|WP_003830304.1|	cytosine deaminase [Bifidobacterium breve] 
gi|489926969|ref|WP_003830305.1|	polyketide synthase [Bifidobacterium breve] 
gi|489926970|ref|WP_003830306.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926971|ref|WP_003830307.1|	MFS transporter [Bifidobacterium breve] 
gi|489926972|ref|WP_003830308.1|	amidase [Bifidobacterium breve] 
gi|489926973|ref|WP_003830309.1|	5'-nucleotidase [Bifidobacterium breve] 
gi|489926974|ref|WP_003830310.1|	DNA repair ATPase [Bifidobacterium breve] 
gi|489926975|ref|WP_003830311.1|	histidyl-tRNA synthase [Bifidobacterium breve] 
gi|489926976|ref|WP_003830312.1|	aspartyl-tRNA synthase [Bifidobacterium breve] 
gi|489926977|ref|WP_003830313.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926978|ref|WP_003830314.1|	prolyl-tRNA synthetase [Bifidobacterium breve] 
gi|489926979|ref|WP_003830315.1|	arginine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926980|ref|WP_003830316.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926981|ref|WP_003830317.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926982|ref|WP_003830318.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926983|ref|WP_003830319.1|	PAP2 family phosphoesterase [Bifidobacterium breve] 
gi|489926984|ref|WP_003830320.1|	L-lysine permease [Bifidobacterium breve] 
gi|489926985|ref|WP_003830321.1|	GntR family transcriptional regulator [Bifidobacterium breve] 
gi|489926986|ref|WP_003830322.1|	polyphosphate kinase [Bifidobacterium breve] 
gi|489926987|ref|WP_003830323.1|	DEAD/DEAH box helicase [Bifidobacterium breve] 
gi|489926988|ref|WP_003830324.1|	ATPase AAA [Bifidobacterium breve] 
gi|489926989|ref|WP_003830325.1|	response regulator of two-component system [Bifidobacterium breve] 
gi|489926990|ref|WP_003830326.1|	histidine kinase [Bifidobacterium breve] 
gi|489926991|ref|WP_003830327.1|	major facilitator transporter [Bifidobacterium breve] 
gi|489926992|ref|WP_003830328.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926993|ref|WP_003830329.1|	2-hydroxyacid dehydrogenase [Bifidobacterium breve] 
gi|489926994|ref|WP_003830330.1|	glycerophosphoryl diesterphosphodiesterase [Bifidobacterium breve] 
gi|489926995|ref|WP_003830331.1|	membrane protein [Bifidobacterium breve] 
gi|489926996|ref|WP_003830332.1|	RNA-binding protein [Bifidobacterium breve] 
gi|489926997|ref|WP_003830333.1|	cobalt ABC transporter [Bifidobacterium breve] 
gi|489926998|ref|WP_003830334.1|	membrane protein [Bifidobacterium breve] 
gi|489926999|ref|WP_003830335.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489927000|ref|WP_003830336.1|	nitroreductase [Bifidobacterium breve] 
gi|489927001|ref|WP_003830337.1|	polyphosphate glucokinase [Bifidobacterium breve] 
gi|489927002|ref|WP_003830338.1|	beta-(1-2)-fructofuranosidase [Bifidobacterium breve] 
gi|489927003|ref|WP_003830339.1|	galactoside permease [Bifidobacterium breve] 
gi|489927004|ref|WP_003830340.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489927005|ref|WP_003830341.1|	serine proteinase inhibitor [Bifidobacterium breve] 
gi|489927006|ref|WP_003830342.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927007|ref|WP_003830343.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489927008|ref|WP_003830344.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927009|ref|WP_003830345.1|	MULTISPECIES: MFS transporter permease [Bifidobacterium] 
gi|489927010|ref|WP_003830346.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927011|ref|WP_003830347.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489927012|ref|WP_003830348.1|	phosphomethylpyrimidine kinase [Bifidobacterium breve] 
gi|489927014|ref|WP_003830350.1|	phosphomethylpyrimidine kinase [Bifidobacterium breve] 
gi|489927015|ref|WP_003830351.1|	ATPase AAA [Bifidobacterium breve] 
gi|489927017|ref|WP_003830353.1|	thiamine-phosphate pyrophosphorylase [Bifidobacterium breve] 
gi|489927019|ref|WP_003830355.1|	hydroxyethylthiazole kinase [Bifidobacterium breve] 
gi|489927021|ref|WP_003830357.1|	glycine-tRNA synthetase subunit beta [Bifidobacterium breve] 
gi|489927023|ref|WP_003830359.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927026|ref|WP_003830362.1|	cell division protein FtsZ [Bifidobacterium breve] 
gi|489927028|ref|WP_003830364.1|	cell division protein SepF [Bifidobacterium breve] 
gi|489927030|ref|WP_003830366.1|	hemolysin [Bifidobacterium breve] 
gi|489927032|ref|WP_003830368.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927033|ref|WP_003830369.1|	dihydrouridine synthase [Bifidobacterium breve] 
gi|489927035|ref|WP_003830371.1|	peptidase A8 [Bifidobacterium breve] 
gi|489927038|ref|WP_003830374.1|	pseudouridine synthase [Bifidobacterium breve] 
gi|489927040|ref|WP_003830376.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489927042|ref|WP_003830378.1|	DNA polymerase III subunit alpha [Bifidobacterium breve] 
gi|489927044|ref|WP_003830380.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927045|ref|WP_003830381.1|	oxidoreductase [Bifidobacterium breve] 
gi|489927047|ref|WP_003830383.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927051|ref|WP_003830387.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927053|ref|WP_003830389.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927055|ref|WP_003830391.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927056|ref|WP_003830392.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927059|ref|WP_003830395.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927060|ref|WP_003830396.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927063|ref|WP_003830399.1|	mandelate racemase [Bifidobacterium breve] 
gi|489927064|ref|WP_003830400.1|	short-chain dehydrogenase [Bifidobacterium breve] 
gi|489927065|ref|WP_003830401.1|	amidohydrolase [Bifidobacterium breve] 
gi|489927067|ref|WP_003830403.1|	dihydrodipicolinate synthase [Bifidobacterium breve] 
gi|489927069|ref|WP_003830405.1|	alpha-galactosidase [Bifidobacterium breve] 
gi|489927070|ref|WP_003830406.1|	glyoxal reductase [Bifidobacterium breve] 
gi|489927071|ref|WP_003830407.1|	acylphosphatase [Bifidobacterium breve] 
gi|489927073|ref|WP_003830409.1|	histidinol dehydrogenase [Bifidobacterium breve] 
gi|489927074|ref|WP_003830410.1|	histidinol-phosphate aminotransferase [Bifidobacterium breve] 
gi|489927075|ref|WP_003830411.1|	imidazoleglycerol-phosphate dehydratase [Bifidobacterium breve] 
gi|489927077|ref|WP_003830413.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927078|ref|WP_003830414.1|	glutamine amidotransferase [Bifidobacterium breve] 
gi|489927080|ref|WP_003830416.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Bifidobacterium breve] 
gi|489927081|ref|WP_003830417.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927083|ref|WP_003830419.1|	glutamine synthetase [Bifidobacterium breve] 
gi|489927084|ref|WP_003830420.1|	arabinose transporter [Bifidobacterium breve] 
gi|489927086|ref|WP_003830422.1|	ATP-dependent helicase [Bifidobacterium breve] 
gi|489927088|ref|WP_003830424.1|	MFS transporter [Bifidobacterium breve] 
gi|489927091|ref|WP_003830427.1|	GTP-binding protein [Bifidobacterium breve] 
gi|489927092|ref|WP_003830428.1|	lactate dehydrogenase [Bifidobacterium breve] 
gi|489927094|ref|WP_003830430.1|	cation transporter [Bifidobacterium breve] 
gi|489927096|ref|WP_003830432.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927098|ref|WP_003830434.1|	ArsR family transcriptional regulator [Bifidobacterium breve] 
gi|489927100|ref|WP_003830436.1|	peptidoglycan-binding protein LysM [Bifidobacterium breve] 
gi|489927101|ref|WP_003830437.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489927104|ref|WP_003830440.1|	3-phosphoglycerate dehydrogenase [Bifidobacterium breve] 
gi|489927105|ref|WP_003830441.1|	ATP-dependent DNA helicase [Bifidobacterium breve] 
gi|489927108|ref|WP_003830444.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927109|ref|WP_003830445.1|	MraZ family transcriptional regulator [Bifidobacterium breve] 
gi|489927110|ref|WP_003830446.1|	16S rRNA methyltransferase [Bifidobacterium breve] 
gi|489927112|ref|WP_003830448.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927113|ref|WP_003830449.1|	cell division protein [Bifidobacterium breve] 
gi|489927115|ref|WP_003830451.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927117|ref|WP_003830453.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Bifidobacterium breve] 
gi|489927119|ref|WP_003830455.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Bifidobacterium breve] 
gi|489927121|ref|WP_003830457.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Bifidobacterium breve] 
gi|489927122|ref|WP_003830458.1|	cell division protein FtsW [Bifidobacterium breve] 
gi|489927123|ref|WP_003830459.1|	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-UDP N-acetylglucosamine transferase [Bifidobacterium breve] 
gi|489927124|ref|WP_003830460.1|	UDP-N-acetylmuramate--alanine ligase [Bifidobacterium breve] 
gi|489927126|ref|WP_003830462.1|	cell division protein FtsQ [Bifidobacterium breve] 
gi|489927128|ref|WP_003830464.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927130|ref|WP_003830466.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927132|ref|WP_003830468.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927133|ref|WP_003830469.1|	BamHI control element [Bifidobacterium breve] 
gi|489927135|ref|WP_003830471.1|	anhydro-N-acetylmuramyl-tripeptide amidase [Bifidobacterium breve] 
gi|489927137|ref|WP_003830473.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927139|ref|WP_003830475.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927141|ref|WP_003830477.1|	methyltransferase [Bifidobacterium breve] 
gi|489927143|ref|WP_003830479.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927145|ref|WP_003830481.1|	DNA (cytosine-5-)-methyltransferase [Bifidobacterium breve] 
gi|489927147|ref|WP_003830483.1|	DNA (cytosine-5-)-methyltransferase [Bifidobacterium breve] 
gi|489927150|ref|WP_003830486.1|	antirepressor [Bifidobacterium breve] 
gi|489927151|ref|WP_003830487.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927152|ref|WP_003830488.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927153|ref|WP_003830489.1|	negative regulator of class I heat shock protein [Bifidobacterium breve] 
gi|489927154|ref|WP_003830490.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927156|ref|WP_003830492.1|	endonuclease [Bifidobacterium breve] 
gi|489927158|ref|WP_003830494.1|	DNA binding phage related protein [Bifidobacterium breve] 
gi|489927160|ref|WP_003830496.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927162|ref|WP_003830498.1|	single-stranded DNA-binding protein [Bifidobacterium breve] 
gi|489927165|ref|WP_003830501.1|	ferredoxin [Bifidobacterium breve] 
gi|489927167|ref|WP_003830503.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927170|ref|WP_003830506.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927172|ref|WP_003830508.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927174|ref|WP_003830510.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927176|ref|WP_003830512.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927178|ref|WP_003830514.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927180|ref|WP_003830516.1|	prophage L54a N-6-adenine-methyltransferase [Bifidobacterium breve] 
gi|489927182|ref|WP_003830518.1|	prophage L54a N-6-adenine-methyltransferase [Bifidobacterium breve] 
gi|489927184|ref|WP_003830520.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927185|ref|WP_003830521.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927186|ref|WP_003830522.1|	GTP-binding protein [Bifidobacterium breve] 
gi|489927188|ref|WP_003830524.1|	putative peptidase U32 [Bifidobacterium breve] 
gi|489927190|ref|WP_003830526.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927191|ref|WP_003830527.1|	antitoxin [Bifidobacterium breve] 
gi|489927192|ref|WP_003830528.1|	PhnA protein [Bifidobacterium breve] 
gi|489927193|ref|WP_003830529.1|	amidohydrolase [Bifidobacterium breve] 
gi|489927194|ref|WP_003830530.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927195|ref|WP_003830531.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927196|ref|WP_003830532.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927197|ref|WP_003830533.1|	terminase [Bifidobacterium breve] 
gi|489927198|ref|WP_003830534.1|	phage portal protein [Bifidobacterium breve] 
gi|489927199|ref|WP_003830535.1|	peptidase [Bifidobacterium breve] 
gi|489927200|ref|WP_003830536.1|	phage capsid protein [Bifidobacterium breve] 
gi|489927201|ref|WP_003830537.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927202|ref|WP_003830538.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927203|ref|WP_003830539.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927204|ref|WP_003830540.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927205|ref|WP_003830541.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927206|ref|WP_003830542.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927207|ref|WP_003830543.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927208|ref|WP_003830544.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927209|ref|WP_003830545.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927210|ref|WP_003830546.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927211|ref|WP_003830547.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927212|ref|WP_003830548.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927213|ref|WP_003830549.1|	nitrate reductase [Bifidobacterium breve] 
gi|489927214|ref|WP_003830550.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927215|ref|WP_003830551.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927216|ref|WP_003830552.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927217|ref|WP_003830553.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927218|ref|WP_003830554.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927219|ref|WP_003830555.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927220|ref|WP_003830556.1|	sensory box histidine kinase [Bifidobacterium breve] 
gi|489927221|ref|WP_003830557.1|	N-acetylmuramyl-L-alanine amidase negative regulator of AmpC AmpD [Bifidobacterium breve] 
gi|489927222|ref|WP_003830558.1|	DoxX [Bifidobacterium breve] 
gi|489927223|ref|WP_003830559.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927224|ref|WP_003830560.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927225|ref|WP_003830561.1|	putative transcriptional regulator [Bifidobacterium breve] 
gi|489927227|ref|WP_003830563.1|	hypothetical protein [Bifidobacterium breve] 
gi|489927229|ref|WP_003830564.1|	integrase [Bifidobacterium breve] 
gi|489927230|ref|WP_003830565.1|	D-tyrosyl-tRNA(Tyr) deacylase [Bifidobacterium breve] 
gi|489927231|ref|WP_003830566.1|	glucose transporter [Bifidobacterium breve] 
gi|489927232|ref|WP_003830567.1|	putative glucose/galactose transporter [Bifidobacterium breve] 
gi|489927234|ref|WP_003830569.1|	2-dehydro-3-deoxygluconokinase [Bifidobacterium breve] 
gi|489927236|ref|WP_003830571.1|	NagC family transcriptional regulator [Bifidobacterium breve] 
