gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489628150|ref|WP_003532590.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628152|ref|WP_003532592.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628154|ref|WP_003532594.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628156|ref|WP_003532596.1|	resolvase [[Clostridium] leptum] 
gi|489628158|ref|WP_003532598.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628160|ref|WP_003532600.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628162|ref|WP_003532602.1|	uracil permease [[Clostridium] leptum] 
gi|489628164|ref|WP_003532604.1|	permease [[Clostridium] leptum] 
gi|489628166|ref|WP_003532606.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628168|ref|WP_003532608.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628169|ref|WP_003532609.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628170|ref|WP_003532610.1|	MULTISPECIES: pyrimidine reductase [Clostridiales] 
gi|489628172|ref|WP_003532612.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|489628174|ref|WP_003532614.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628175|ref|WP_003532615.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|489628182|ref|WP_003532622.1|	MULTISPECIES: multidrug transporter MatE [Clostridiales] 
gi|489628183|ref|WP_003532623.1|	heat-shock protein Hsp90 [[Clostridium] leptum] 
gi|489628184|ref|WP_003532624.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628185|ref|WP_003532625.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489628186|ref|WP_003532626.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489628188|ref|WP_003532628.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628189|ref|WP_003532629.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628190|ref|WP_003532630.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628192|ref|WP_003532632.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628196|ref|WP_003532636.1|	3-oxoacyl-ACP reductase [[Clostridium] leptum] 
gi|489628197|ref|WP_003532637.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628198|ref|WP_003532638.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628200|ref|WP_003532640.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628202|ref|WP_003532642.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628204|ref|WP_003532644.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628205|ref|WP_003532645.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628206|ref|WP_003532646.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628207|ref|WP_003532647.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628208|ref|WP_003532648.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628209|ref|WP_003532649.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628210|ref|WP_003532650.1|	ankyrin [[Clostridium] leptum] 
gi|489628211|ref|WP_003532651.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628212|ref|WP_003532652.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|489628213|ref|WP_003532653.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628216|ref|WP_003532656.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628218|ref|WP_003532658.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628220|ref|WP_003532660.1|	MULTISPECIES: glycosyl transferase [Clostridiales] 
gi|489628222|ref|WP_003532662.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628223|ref|WP_003532663.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628225|ref|WP_003532665.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628227|ref|WP_003532667.1|	UDP-glucose 6-dehydrogenase [[Clostridium] leptum] 
gi|489628233|ref|WP_003532673.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628235|ref|WP_003532675.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628237|ref|WP_003532677.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628239|ref|WP_003532679.1|	MerR family transcriptional regulator [[Clostridium] leptum] 
gi|489628242|ref|WP_003532682.1|	flavodoxin [[Clostridium] leptum] 
gi|489628244|ref|WP_003532684.1|	glycerate dehydrogenase [[Clostridium] leptum] 
gi|489628246|ref|WP_003532686.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628247|ref|WP_003532687.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489628248|ref|WP_003532688.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489628249|ref|WP_003532689.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628250|ref|WP_003532690.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628251|ref|WP_003532691.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628252|ref|WP_003532692.1|	MULTISPECIES: dihydrodipicolinate synthase [Clostridiales] 
gi|489628253|ref|WP_003532693.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628262|ref|WP_003532702.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628263|ref|WP_003532703.1|	transferase [[Clostridium] leptum] 
gi|489628264|ref|WP_003532704.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628265|ref|WP_003532705.1|	MULTISPECIES: pseudouridine synthase [Clostridiales] 
gi|489628266|ref|WP_003532706.1|	MULTISPECIES: orotate phosphoribosyltransferase [Clostridiales] 
gi|489628267|ref|WP_003532707.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628268|ref|WP_003532708.1|	nucleotidyltransferase [[Clostridium] leptum] 
gi|489628270|ref|WP_003532710.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628271|ref|WP_003532711.1|	tellurium resistance protein [[Clostridium] leptum] 
gi|489628273|ref|WP_003532713.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628275|ref|WP_003532715.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628277|ref|WP_003532717.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628279|ref|WP_003532719.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628281|ref|WP_003532721.1|	MULTISPECIES: 2-oxoacid:acceptor oxidoreductase subunit delta [Clostridiales] 
gi|489628283|ref|WP_003532723.1|	MULTISPECIES: 2-ketoisovalerate ferredoxin reductase [Clostridiales] 
gi|489628285|ref|WP_003532725.1|	MULTISPECIES: 2-oxoglutarate oxidoreductase [Clostridiales] 
gi|489628286|ref|WP_003532726.1|	MULTISPECIES: pyruvate ferredoxin oxidoreductase [Clostridiales] 
gi|489628288|ref|WP_003532728.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628289|ref|WP_003532729.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [[Clostridium] leptum] 
gi|489628290|ref|WP_003532730.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628291|ref|WP_003532731.1|	cysteine desulfurase [[Clostridium] leptum] 
gi|489628292|ref|WP_003532732.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628294|ref|WP_003532734.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628295|ref|WP_003532735.1|	recombination protein RecJ [[Clostridium] leptum] 
gi|489628296|ref|WP_003532736.1|	MULTISPECIES: (p)ppGpp synthetase [Clostridiales] 
gi|489628297|ref|WP_003532737.1|	D-tyrosyl-tRNA(Tyr) deacylase [[Clostridium] leptum] 
gi|489628298|ref|WP_003532738.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628299|ref|WP_003532739.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628302|ref|WP_003532742.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628303|ref|WP_003532743.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628304|ref|WP_003532744.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628310|ref|WP_003532750.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628311|ref|WP_003532751.1|	nucleotide pyrophosphohydrolase [[Clostridium] leptum] 
gi|489628312|ref|WP_003532752.1|	integration host factor [[Clostridium] leptum] 
gi|489628319|ref|WP_003532759.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628321|ref|WP_003532761.1|	DNA repair protein RadA [[Clostridium] leptum] 
gi|489628322|ref|WP_003532762.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628324|ref|WP_003532764.1|	MULTISPECIES: ABC transporter substrate-binding protein [Clostridiales] 
gi|489628331|ref|WP_003532771.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628332|ref|WP_003532772.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628333|ref|WP_003532773.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628335|ref|WP_003532775.1|	tyrosine recombinase XerC [[Clostridium] leptum] 
gi|489628337|ref|WP_003532777.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628339|ref|WP_003532779.1|	tyrosine recombinase XerD [[Clostridium] leptum] 
gi|489628341|ref|WP_003532781.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628342|ref|WP_003532782.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628344|ref|WP_003532784.1|	radical SAM protein [[Clostridium] leptum] 
gi|489628346|ref|WP_003532786.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628348|ref|WP_003532788.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628350|ref|WP_003532790.1|	preprotein translocase subunit YajC [[Clostridium] leptum] 
gi|489628351|ref|WP_003532791.1|	queuine tRNA-ribosyltransferase [[Clostridium] leptum] 
gi|489628352|ref|WP_003532792.1|	flavodoxin [[Clostridium] leptum] 
gi|489628354|ref|WP_003532794.1|	cell surface protein [[Clostridium] leptum] 
gi|489628355|ref|WP_003532795.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628358|ref|WP_003532798.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489628360|ref|WP_003532800.1|	ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489628362|ref|WP_003532802.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628364|ref|WP_003532804.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489628366|ref|WP_003532806.1|	ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489628367|ref|WP_003532807.1|	membrane protein [[Clostridium] leptum] 
gi|489628368|ref|WP_003532808.1|	PhoB family transcriptional regulator [[Clostridium] leptum] 
gi|489628369|ref|WP_003532809.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628370|ref|WP_003532810.1|	S-adenosylmethionine tRNA ribosyltransferase [[Clostridium] leptum] 
gi|489628371|ref|WP_003532811.1|	aspartate-semialdehyde dehydrogenase [[Clostridium] leptum] 
gi|489628373|ref|WP_003532813.1|	MULTISPECIES: dihydrodipicolinate synthase [Clostridiales] 
gi|489628375|ref|WP_003532815.1|	MULTISPECIES: dihydrodipicolinate reductase [Clostridiales] 
gi|489628377|ref|WP_003532817.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628378|ref|WP_003532818.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628380|ref|WP_003532820.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628382|ref|WP_003532822.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628384|ref|WP_003532824.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628386|ref|WP_003532826.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628387|ref|WP_003532827.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628388|ref|WP_003532828.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489628389|ref|WP_003532829.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628390|ref|WP_003532830.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628391|ref|WP_003532831.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628392|ref|WP_003532832.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628393|ref|WP_003532833.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628394|ref|WP_003532834.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628395|ref|WP_003532835.1|	tyrosyl-tRNA synthetase [[Clostridium] leptum] 
gi|489628396|ref|WP_003532836.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628400|ref|WP_003532840.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628402|ref|WP_003532842.1|	arginine repressor ArgR [[Clostridium] leptum] 
gi|489628404|ref|WP_003532844.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628406|ref|WP_003532846.1|	RNA methyltransferase [[Clostridium] leptum] 
gi|489628408|ref|WP_003532848.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628410|ref|WP_003532850.1|	farnesyl-diphosphate synthase [[Clostridium] leptum] 
gi|489628412|ref|WP_003532852.1|	MULTISPECIES: exodeoxyribonuclease VII [Clostridiales] 
gi|489628414|ref|WP_003532854.1|	exodeoxyribonuclease VII large subunit [[Clostridium] leptum] 
gi|489628416|ref|WP_003532856.1|	peptidase M22 [[Clostridium] leptum] 
gi|489628417|ref|WP_003532857.1|	MULTISPECIES: transcription antitermination protein NusB [Clostridiales] 
gi|489628418|ref|WP_003532858.1|	MULTISPECIES: sporulation protein [Clostridiales] 
gi|489628419|ref|WP_003532859.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628420|ref|WP_003532860.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628421|ref|WP_003532861.1|	stage III sporulation protein AE [[Clostridium] leptum] 
gi|489628422|ref|WP_003532862.1|	MULTISPECIES: stage III sporulation protein AD [Clostridiales] 
gi|489628424|ref|WP_003532864.1|	MULTISPECIES: stage III sporulation protein AC [Clostridiales] 
gi|489628426|ref|WP_003532866.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628428|ref|WP_003532868.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628430|ref|WP_003532870.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628432|ref|WP_003532872.1|	NAD-dependent DNA ligase LigA [[Clostridium] leptum] 
gi|489628434|ref|WP_003532874.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628436|ref|WP_003532876.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628438|ref|WP_003532878.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628440|ref|WP_003532880.1|	MULTISPECIES: stress responsive protein [Clostridiales] 
gi|489628442|ref|WP_003532882.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [[Clostridium] leptum] 
gi|489628444|ref|WP_003532884.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628445|ref|WP_003532885.1|	cytidylate kinase [[Clostridium] leptum] 
gi|489628447|ref|WP_003532887.1|	FAD-dependent oxidoreductase [[Clostridium] leptum] 
gi|489628449|ref|WP_003532889.1|	N-acetylmannosamine kinase [[Clostridium] leptum] 
gi|489628452|ref|WP_003532892.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628453|ref|WP_003532893.1|	molecular chaperone DnaJ [[Clostridium] leptum] 
gi|489628454|ref|WP_003532894.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628455|ref|WP_003532895.1|	excinuclease ABC subunit A [[Clostridium] leptum] 
gi|489628456|ref|WP_003532896.1|	excinuclease ABC subunit B [[Clostridium] leptum] 
gi|489628457|ref|WP_003532897.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628466|ref|WP_003532906.1|	4Fe-4S ferredoxin [[Clostridium] leptum] 
gi|489628468|ref|WP_003532908.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628469|ref|WP_003532909.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628470|ref|WP_003532910.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628471|ref|WP_003532911.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628472|ref|WP_003532912.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628473|ref|WP_003532913.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628474|ref|WP_003532914.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628476|ref|WP_003532916.1|	membrane protein [[Clostridium] leptum] 
gi|489628478|ref|WP_003532918.1|	gamma-glutamyl kinase [[Clostridium] leptum] 
gi|489628480|ref|WP_003532920.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628481|ref|WP_003532921.1|	LysR family transcriptional regulator [[Clostridium] leptum] 
gi|489628483|ref|WP_003532923.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628485|ref|WP_003532925.1|	recombinase [[Clostridium] leptum] 
gi|489628487|ref|WP_003532927.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628488|ref|WP_003532928.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628489|ref|WP_003532929.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628492|ref|WP_003532932.1|	integrase [[Clostridium] leptum] 
gi|489628495|ref|WP_003532935.1|	transcriptional regulator [[Clostridium] leptum] 
gi|489628496|ref|WP_003532936.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489628498|ref|WP_003532938.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628499|ref|WP_003532939.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628501|ref|WP_003532941.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628502|ref|WP_003532942.1|	type II restriction endonuclease Eco47II [[Clostridium] leptum] 
gi|489628503|ref|WP_003532943.1|	modification methylase [[Clostridium] leptum] 
gi|489628504|ref|WP_003532944.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628505|ref|WP_003532945.1|	recombinase [[Clostridium] leptum] 
gi|489628506|ref|WP_003532946.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628510|ref|WP_003532950.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628511|ref|WP_003532951.1|	integrase [[Clostridium] leptum] 
gi|489628512|ref|WP_003532952.1|	transcriptional regulator [[Clostridium] leptum] 
gi|489628514|ref|WP_003532954.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489628516|ref|WP_003532956.1|	GMP synthase [[Clostridium] leptum] 
gi|489628517|ref|WP_003532957.1|	glutamine amidotransferase [[Clostridium] leptum] 
gi|489628518|ref|WP_003532958.1|	adenylosuccinate synthetase [[Clostridium] leptum] 
gi|489628519|ref|WP_003532959.1|	MULTISPECIES: adenylosuccinate lyase [Clostridiales] 
gi|489628520|ref|WP_003532960.1|	amidophosphoribosyltransferase [[Clostridium] leptum] 
gi|489628521|ref|WP_003532961.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Clostridium] leptum] 
gi|489628522|ref|WP_003532962.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628523|ref|WP_003532963.1|	asparagine synthase [[Clostridium] leptum] 
gi|489628524|ref|WP_003532964.1|	MULTISPECIES: glutamine synthetase [Clostridiales] 
gi|489628525|ref|WP_003532965.1|	imidazole glycerol phosphate synthase [[Clostridium] leptum] 
gi|489628526|ref|WP_003532966.1|	imidazole glycerol phosphate synthase [[Clostridium] leptum] 
gi|489628528|ref|WP_003532968.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628529|ref|WP_003532969.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|489628530|ref|WP_003532970.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628531|ref|WP_003532971.1|	resolvase [[Clostridium] leptum] 
gi|489628532|ref|WP_003532972.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628533|ref|WP_003532973.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628534|ref|WP_003532974.1|	acetyltransferase [[Clostridium] leptum] 
gi|489628535|ref|WP_003532975.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628536|ref|WP_003532976.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628538|ref|WP_003532978.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628540|ref|WP_003532980.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628542|ref|WP_003532982.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628543|ref|WP_003532983.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628546|ref|WP_003532986.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628548|ref|WP_003532988.1|	MULTISPECIES: TspO and MBR [Clostridiales] 
gi|489628549|ref|WP_003532989.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628551|ref|WP_003532991.1|	thiamine biosynthesis protein ThiF [[Clostridium] leptum] 
gi|489628561|ref|WP_003533001.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628568|ref|WP_003533008.1|	peptidase M23 [[Clostridium] leptum] 
gi|489628570|ref|WP_003533010.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628572|ref|WP_003533012.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628574|ref|WP_003533014.1|	ATPase [[Clostridium] leptum] 
gi|489628576|ref|WP_003533016.1|	serine hydroxymethyltransferase [[Clostridium] leptum] 
gi|489628578|ref|WP_003533018.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628580|ref|WP_003533020.1|	endonuclease III [[Clostridium] leptum] 
gi|489628581|ref|WP_003533021.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628582|ref|WP_003533022.1|	RNA methyltransferase [[Clostridium] leptum] 
gi|489628583|ref|WP_003533023.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628586|ref|WP_003533026.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628588|ref|WP_003533028.1|	MULTISPECIES: amidohydrolase [Clostridiales] 
gi|489628590|ref|WP_003533030.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628592|ref|WP_003533032.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628594|ref|WP_003533034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628596|ref|WP_003533036.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628598|ref|WP_003533038.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628599|ref|WP_003533039.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628601|ref|WP_003533041.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|489628603|ref|WP_003533043.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628605|ref|WP_003533045.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628607|ref|WP_003533047.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628609|ref|WP_003533049.1|	MULTISPECIES: elongation factor P [Clostridiales] 
gi|489628611|ref|WP_003533051.1|	MULTISPECIES: metallopeptidase [Clostridiales] 
gi|489628614|ref|WP_003533054.1|	3-dehydroquinate dehydratase [[Clostridium] leptum] 
gi|489628615|ref|WP_003533055.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|489628617|ref|WP_003533057.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628619|ref|WP_003533059.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628620|ref|WP_003533060.1|	MULTISPECIES: 30S ribosomal protein S21 [Clostridiales] 
gi|489628621|ref|WP_003533061.1|	leucyl-tRNA synthetase [[Clostridium] leptum] 
gi|489628622|ref|WP_003533062.1|	MULTISPECIES: ribosome-associated protein IOJAP [Clostridiales] 
gi|489628623|ref|WP_003533063.1|	phosphohydrolase [[Clostridium] leptum] 
gi|489628624|ref|WP_003533064.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628625|ref|WP_003533065.1|	MULTISPECIES: RNA-binding protein [Clostridiales] 
gi|489628627|ref|WP_003533067.1|	nucleoside-triphosphate diphosphatase [[Clostridium] leptum] 
gi|489628629|ref|WP_003533069.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628631|ref|WP_003533071.1|	MULTISPECIES: cell division protein FtsY [Clostridiales] 
gi|489628633|ref|WP_003533073.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628635|ref|WP_003533075.1|	MULTISPECIES: radical SAM protein [Clostridiales] 
gi|489628637|ref|WP_003533077.1|	MULTISPECIES: ribonuclease III [Clostridiales] 
gi|489628639|ref|WP_003533079.1|	phosphate acyltransferase [[Clostridium] leptum] 
gi|489628642|ref|WP_003533082.1|	tRNA (uracil-5-)-methyltransferase [[Clostridium] leptum] 
gi|489628644|ref|WP_003533084.1|	DNA topoisomerase I [[Clostridium] leptum] 
gi|489628647|ref|WP_003533087.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628649|ref|WP_003533089.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628651|ref|WP_003533091.1|	MULTISPECIES: 50S ribosomal protein L20 [Clostridiales] 
gi|489628659|ref|WP_003533099.1|	MULTISPECIES: 50S ribosomal protein L35 [Clostridiales] 
gi|489628660|ref|WP_003533100.1|	translation initiation factor 3 [[Clostridium] leptum] 
gi|489628661|ref|WP_003533101.1|	helicase [[Clostridium] leptum] 
gi|489628663|ref|WP_003533103.1|	helicase [[Clostridium] leptum] 
gi|489628664|ref|WP_003533104.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628666|ref|WP_003533106.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628678|ref|WP_003533118.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628680|ref|WP_003533120.1|	MULTISPECIES: aminotransferase [Clostridiales] 
gi|489628683|ref|WP_003533123.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|489628686|ref|WP_003533126.1|	histidinol phosphate phosphatase [[Clostridium] leptum] 
gi|489628687|ref|WP_003533127.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628689|ref|WP_003533129.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628691|ref|WP_003533131.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628693|ref|WP_003533133.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628695|ref|WP_003533135.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628697|ref|WP_003533137.1|	ATPase [[Clostridium] leptum] 
gi|489628699|ref|WP_003533139.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489628700|ref|WP_003533140.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628701|ref|WP_003533141.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628702|ref|WP_003533142.1|	ATP synthase subunit A [[Clostridium] leptum] 
gi|489628703|ref|WP_003533143.1|	MULTISPECIES: V-type ATP synthase subunit B [Clostridiales] 
gi|489628704|ref|WP_003533144.1|	ATPase [[Clostridium] leptum] 
gi|489628705|ref|WP_003533145.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628707|ref|WP_003533147.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|489628709|ref|WP_003533149.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628711|ref|WP_003533151.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628713|ref|WP_003533153.1|	MULTISPECIES: acetate kinase [Clostridiales] 
gi|489628715|ref|WP_003533155.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628717|ref|WP_003533157.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628719|ref|WP_003533159.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628720|ref|WP_003533160.1|	uracil phosphoribosyltransferase [[Clostridium] leptum] 
gi|489628721|ref|WP_003533161.1|	MULTISPECIES: ribose 5-phosphate isomerase [Clostridiales] 
