gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494406569|ref|WP_007214581.1|	iron dicitrate transporter FecR [Bacteroides cellulosilyticus] 
gi|494406571|ref|WP_007214582.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroides] 
gi|494406574|ref|WP_007214583.1|	MULTISPECIES: chloramphenicol acetyltransferase [Bacteroides] 
gi|494406576|ref|WP_007214584.1|	thiol:disulfide interchange protein [Bacteroides cellulosilyticus] 
gi|494406578|ref|WP_007214585.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406580|ref|WP_007214586.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406583|ref|WP_007214587.1|	MULTISPECIES: uridine/cytidine kinase [Bacteroides] 
gi|494406586|ref|WP_007214588.1|	transglycosylase [Bacteroides cellulosilyticus] 
gi|494406588|ref|WP_007214589.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406590|ref|WP_007214590.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Bacteroides cellulosilyticus] 
gi|494406592|ref|WP_007214591.1|	MULTISPECIES: single-stranded DNA-binding protein [Bacteroides] 
gi|494406594|ref|WP_007214592.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406596|ref|WP_007214593.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406598|ref|WP_007214594.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406601|ref|WP_007214595.1|	metallophosphatase [Bacteroides cellulosilyticus] 
gi|494406603|ref|WP_007214596.1|	starch-binding protein [Bacteroides cellulosilyticus] 
gi|494406605|ref|WP_007214597.1|	collagen-binding protein [Bacteroides cellulosilyticus] 
gi|494406608|ref|WP_007214598.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406610|ref|WP_007214599.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406612|ref|WP_007214600.1|	metallophosphatase [Bacteroides cellulosilyticus] 
gi|494406614|ref|WP_007214601.1|	RNA polymerase subunit sigma-70 [Bacteroides cellulosilyticus] 
gi|494406616|ref|WP_007214602.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406618|ref|WP_007214603.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406620|ref|WP_007214604.1|	MULTISPECIES: nitrogen-fixing protein NifU [Bacteroides] 
gi|494406622|ref|WP_007214605.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406624|ref|WP_007214606.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406626|ref|WP_007214607.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406628|ref|WP_007214608.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494406630|ref|WP_007214609.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406633|ref|WP_007214610.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406635|ref|WP_007214611.1|	MULTISPECIES: 2-dehydro-3-deoxygluconokinase [Bacteroides] 
gi|494406638|ref|WP_007214612.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406640|ref|WP_007214613.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406642|ref|WP_007214614.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406644|ref|WP_007214615.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406646|ref|WP_007214616.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494406649|ref|WP_007214617.1|	thiouridylase [Bacteroides cellulosilyticus] 
gi|494406651|ref|WP_007214618.1|	O-acetylhomoserine aminocarboxypropyltransferase [Bacteroides cellulosilyticus] 
gi|494406653|ref|WP_007214619.1|	peptidase S41 [Bacteroides cellulosilyticus] 
gi|494406655|ref|WP_007214620.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406657|ref|WP_007214621.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406660|ref|WP_007214622.1|	MULTISPECIES: hemolysin [Bacteroides] 
gi|494406662|ref|WP_007214623.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406664|ref|WP_007214624.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406667|ref|WP_007214625.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406669|ref|WP_007214626.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406671|ref|WP_007214627.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406673|ref|WP_007214628.1|	MULTISPECIES: integrase [Bacteroides] 
gi|494406675|ref|WP_007214629.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406677|ref|WP_007214630.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406679|ref|WP_007214631.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406681|ref|WP_007214632.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406683|ref|WP_007214633.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406685|ref|WP_007214634.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406687|ref|WP_007214635.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494406689|ref|WP_007214636.1|	alpha-L-arabinofuranosidase [Bacteroides cellulosilyticus] 
gi|494406691|ref|WP_007214637.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406693|ref|WP_007214638.1|	chemotaxis protein CheY [Bacteroides cellulosilyticus] 
gi|494406695|ref|WP_007214639.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406697|ref|WP_007214640.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406699|ref|WP_007214641.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406702|ref|WP_007214642.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406704|ref|WP_007214643.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406706|ref|WP_007214644.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406708|ref|WP_007214645.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494406710|ref|WP_007214646.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406712|ref|WP_007214647.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406714|ref|WP_007214648.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406716|ref|WP_007214649.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406719|ref|WP_007214650.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406722|ref|WP_007214651.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406724|ref|WP_007214652.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494406726|ref|WP_007214653.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406728|ref|WP_007214654.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406730|ref|WP_007214655.1|	chondroitinase [Bacteroides cellulosilyticus] 
gi|494406732|ref|WP_007214656.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406734|ref|WP_007214657.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406736|ref|WP_007214658.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406739|ref|WP_007214659.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406741|ref|WP_007214660.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406743|ref|WP_007214661.1|	hisitidine kinase [Bacteroides cellulosilyticus] 
gi|494406746|ref|WP_007214662.1|	glycosyl hydrolase [Bacteroides cellulosilyticus] 
gi|494406749|ref|WP_007214663.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406752|ref|WP_007214664.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Bacteroides cellulosilyticus] 
gi|494406754|ref|WP_007214665.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406756|ref|WP_007214666.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406758|ref|WP_007214667.1|	aldolase [Bacteroides cellulosilyticus] 
gi|494406760|ref|WP_007214668.1|	dihydroxyacetone kinase [Bacteroides cellulosilyticus] 
gi|494406764|ref|WP_007214669.1|	MULTISPECIES: glycerone kinase [Bacteroides] 
gi|494406766|ref|WP_007214670.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406769|ref|WP_007214671.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406771|ref|WP_007214672.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406773|ref|WP_007214673.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406775|ref|WP_007214674.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406777|ref|WP_007214675.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406780|ref|WP_007214676.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406782|ref|WP_007214677.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406784|ref|WP_007214678.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406786|ref|WP_007214679.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494406788|ref|WP_007214680.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494406790|ref|WP_007214681.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406792|ref|WP_007214682.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406794|ref|WP_007214683.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406796|ref|WP_007214684.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406798|ref|WP_007214685.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494406801|ref|WP_007214686.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494406803|ref|WP_007214687.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406805|ref|WP_007214688.1|	aminoacyl-histidine dipeptidase [Bacteroides cellulosilyticus] 
gi|494406807|ref|WP_007214689.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406809|ref|WP_007214690.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406811|ref|WP_007214691.1|	endonuclease [Bacteroides cellulosilyticus] 
gi|494406813|ref|WP_007214692.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406815|ref|WP_007214693.1|	hemolysin D [Bacteroides cellulosilyticus] 
gi|494406817|ref|WP_007214694.1|	multidrug transporter AcrB [Bacteroides cellulosilyticus] 
gi|494406819|ref|WP_007214695.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406821|ref|WP_007214696.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|494406823|ref|WP_007214697.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|494406825|ref|WP_007214698.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406827|ref|WP_007214699.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406830|ref|WP_007214700.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494406832|ref|WP_007214701.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406834|ref|WP_007214702.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406836|ref|WP_007214703.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406839|ref|WP_007214704.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406841|ref|WP_007214705.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406843|ref|WP_007214706.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406845|ref|WP_007214707.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406847|ref|WP_007214708.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406849|ref|WP_007214709.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406851|ref|WP_007214710.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406853|ref|WP_007214711.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|494406855|ref|WP_007214712.1|	heat-shock protein Hsp90 [Bacteroides cellulosilyticus] 
gi|494406859|ref|WP_007214713.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406861|ref|WP_007214714.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406863|ref|WP_007214715.1|	MULTISPECIES: phospholipid phosphatase [Bacteroides] 
gi|494406865|ref|WP_007214716.1|	sulfatase [Bacteroides cellulosilyticus] 
gi|494406867|ref|WP_007214717.1|	MULTISPECIES: transaldolase [Bacteroides] 
gi|494406869|ref|WP_007214718.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406871|ref|WP_007214719.1|	MULTISPECIES: heterodisulfide reductase subunit F [Bacteroides] 
gi|494406873|ref|WP_007214720.1|	hydrogenase subunit beta [Bacteroides cellulosilyticus] 
gi|494406875|ref|WP_007214721.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406877|ref|WP_007214722.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406879|ref|WP_007214723.1|	disulfide reductase [Bacteroides cellulosilyticus] 
gi|494406881|ref|WP_007214724.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406883|ref|WP_007214725.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406885|ref|WP_007214726.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406887|ref|WP_007214727.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406889|ref|WP_007214728.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406891|ref|WP_007214729.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406893|ref|WP_007214730.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406895|ref|WP_007214731.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406897|ref|WP_007214732.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406899|ref|WP_007214733.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406901|ref|WP_007214734.1|	molybdenum ABC transporter ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494406903|ref|WP_007214735.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406905|ref|WP_007214736.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494406907|ref|WP_007214737.1|	carbohydrate-binding protein [Bacteroides cellulosilyticus] 
gi|494406909|ref|WP_007214738.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494406911|ref|WP_007214739.1|	carbohydrate-binding protein [Bacteroides cellulosilyticus] 
gi|494406913|ref|WP_007214740.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406915|ref|WP_007214741.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406917|ref|WP_007214742.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406919|ref|WP_007214743.1|	pullulanase [Bacteroides cellulosilyticus] 
gi|494406921|ref|WP_007214744.1|	MULTISPECIES: Holliday junction resolvase [Bacteroides] 
gi|494406923|ref|WP_007214745.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406926|ref|WP_007214746.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406928|ref|WP_007214747.1|	MULTISPECIES: cell envelope biogenesis protein TonB [Bacteroides] 
gi|494406930|ref|WP_007214748.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406932|ref|WP_007214749.1|	phenylalanyl-tRNA synthetase subunit alpha [Bacteroides cellulosilyticus] 
gi|494406934|ref|WP_007214750.1|	major facilitator transporter [Bacteroides cellulosilyticus] 
gi|494406936|ref|WP_007214751.1|	endonuclease III [Bacteroides cellulosilyticus] 
gi|494406937|ref|WP_007214752.1|	phosphoglycerate kinase [Bacteroides cellulosilyticus] 
gi|494406939|ref|WP_007214753.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406941|ref|WP_007214754.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494406943|ref|WP_007214755.1|	glutaminase [Bacteroides cellulosilyticus] 
gi|494406945|ref|WP_007214756.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406947|ref|WP_007214757.1|	aminopeptidase [Bacteroides cellulosilyticus] 
gi|494406949|ref|WP_007214758.1|	MULTISPECIES: septum formation protein Maf [Bacteroides] 
gi|494406951|ref|WP_007214759.1|	MULTISPECIES: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase [Bacteroides] 
gi|494406953|ref|WP_007214760.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406955|ref|WP_007214761.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494406957|ref|WP_007214762.1|	MULTISPECIES: NAD(P)H nitroreductase [Bacteroides] 
gi|494406959|ref|WP_007214763.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494406961|ref|WP_007214764.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406963|ref|WP_007214765.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406965|ref|WP_007214766.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406967|ref|WP_007214767.1|	toxin RelE [Bacteroides cellulosilyticus] 
gi|494406970|ref|WP_007214768.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroides] 
gi|494406972|ref|WP_007214769.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406974|ref|WP_007214770.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406976|ref|WP_007214771.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406978|ref|WP_007214772.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406980|ref|WP_007214773.1|	alpha-amylase [Bacteroides cellulosilyticus] 
gi|494406982|ref|WP_007214774.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406984|ref|WP_007214775.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406986|ref|WP_007214776.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406988|ref|WP_007214777.1|	carbohydrate-binding protein SusD [Bacteroides cellulosilyticus] 
gi|494406990|ref|WP_007214778.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494406992|ref|WP_007214779.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406994|ref|WP_007214780.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494406996|ref|WP_007214781.1|	ATPase AAA [Bacteroides cellulosilyticus] 
gi|494406998|ref|WP_007214782.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494407000|ref|WP_007214783.1|	arabinogalactan endo-1,4-beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494407002|ref|WP_007214784.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407004|ref|WP_007214785.1|	starch-binding protein [Bacteroides cellulosilyticus] 
gi|494407007|ref|WP_007214786.1|	collagen-binding protein [Bacteroides cellulosilyticus] 
gi|494407009|ref|WP_007214787.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494407012|ref|WP_007214788.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407014|ref|WP_007214789.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407016|ref|WP_007214790.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407018|ref|WP_007214791.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494407020|ref|WP_007214792.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494407022|ref|WP_007214793.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407024|ref|WP_007214794.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407026|ref|WP_007214795.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407028|ref|WP_007214796.1|	LacI family transcription regulator [Bacteroides cellulosilyticus] 
gi|494407031|ref|WP_007214797.1|	major facilitator transporter [Bacteroides cellulosilyticus] 
gi|494407033|ref|WP_007214798.1|	maltose phosphorylase [Bacteroides cellulosilyticus] 
gi|494407035|ref|WP_007214799.1|	hemolysin D [Bacteroides cellulosilyticus] 
gi|494407037|ref|WP_007214800.1|	multidrug transporter AcrB [Bacteroides cellulosilyticus] 
gi|494407039|ref|WP_007214801.1|	transporter [Bacteroides cellulosilyticus] 
gi|494407041|ref|WP_007214802.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407043|ref|WP_007214803.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407045|ref|WP_007214804.1|	oxaloacetate decarboxylase [Bacteroides cellulosilyticus] 
gi|494407047|ref|WP_007214805.1|	MULTISPECIES: oxaloacetate decarboxylase [Bacteroides] 
gi|494407049|ref|WP_007214806.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407051|ref|WP_007214807.1|	peptide chain release factor 3 [Bacteroides cellulosilyticus] 
gi|494407053|ref|WP_007214808.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Bacteroides] 
gi|494407055|ref|WP_007214809.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407057|ref|WP_007214810.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407060|ref|WP_007214811.1|	phosphoribosylformylglycinamidine synthase [Bacteroides cellulosilyticus] 
gi|494407063|ref|WP_007214812.1|	sensor histidine kinase [Bacteroides cellulosilyticus] 
gi|494407065|ref|WP_007214813.1|	chromate transporter [Bacteroides cellulosilyticus] 
gi|494407067|ref|WP_007214814.1|	MULTISPECIES: chromate transporter [Bacteroides] 
gi|494407070|ref|WP_007214815.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407072|ref|WP_007214816.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494407075|ref|WP_007214817.1|	MULTISPECIES: excinuclease ABC subunit A [Bacteroides] 
gi|494407077|ref|WP_007214818.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407078|ref|WP_007214819.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494407080|ref|WP_007214820.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407082|ref|WP_007214821.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407084|ref|WP_007214822.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407086|ref|WP_007214823.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407088|ref|WP_007214824.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407091|ref|WP_007214825.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407093|ref|WP_007214826.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407095|ref|WP_007214827.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407097|ref|WP_007214828.1|	ribokinase [Bacteroides cellulosilyticus] 
gi|494407099|ref|WP_007214829.1|	sensor histidine kinase [Bacteroides cellulosilyticus] 
gi|494407101|ref|WP_007214830.1|	alpha-galactosidase [Bacteroides cellulosilyticus] 
gi|494407103|ref|WP_007214831.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407105|ref|WP_007214832.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407109|ref|WP_007214833.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407111|ref|WP_007214834.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407113|ref|WP_007214835.1|	MULTISPECIES: 2-dehydro-3-deoxygluconokinase [Bacteroides] 
gi|494407114|ref|WP_007214836.1|	major facilitator transporter [Bacteroides cellulosilyticus] 
gi|494407116|ref|WP_007214837.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407118|ref|WP_007214838.1|	MULTISPECIES: aldose 1-epimerase [Bacteroides] 
gi|494407120|ref|WP_007214839.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407122|ref|WP_007214840.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407124|ref|WP_007214841.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407126|ref|WP_007214842.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494407128|ref|WP_007214843.1|	glycan metabolism protein RagB [Bacteroides cellulosilyticus] 
gi|494407130|ref|WP_007214844.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407132|ref|WP_007214845.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407134|ref|WP_007214846.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407136|ref|WP_007214847.1|	serine protease [Bacteroides cellulosilyticus] 
gi|494407138|ref|WP_007214848.1|	aminopeptidase [Bacteroides cellulosilyticus] 
gi|494407140|ref|WP_007214849.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494407142|ref|WP_007214850.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494407144|ref|WP_007214851.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407146|ref|WP_007214852.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407148|ref|WP_007214853.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407150|ref|WP_007214854.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407152|ref|WP_007214855.1|	electron transfer flavoprotein subunit beta [Bacteroides cellulosilyticus] 
gi|494407154|ref|WP_007214856.1|	MULTISPECIES: electron transfer flavoprotein subunit alpha [Bacteroides] 
gi|494407156|ref|WP_007214857.1|	MULTISPECIES: acyl-CoA dehydrogenase [Bacteroides] 
gi|494407158|ref|WP_007214858.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407160|ref|WP_007214859.1|	MULTISPECIES: molecular chaperone DnaJ [Bacteroides] 
gi|494407162|ref|WP_007214860.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407164|ref|WP_007214861.1|	threonine aldolase [Bacteroides cellulosilyticus] 
gi|494407166|ref|WP_007214862.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407168|ref|WP_007214863.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407170|ref|WP_007214864.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|491933363|ref|WP_005679636.1|	MULTISPECIES: molecular chaperone GroES [Bacteroides] 
gi|494407175|ref|WP_007214865.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407177|ref|WP_007214866.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407179|ref|WP_007214867.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494407181|ref|WP_007214868.1|	histidyl-tRNA synthase [Bacteroides cellulosilyticus] 
gi|494407183|ref|WP_007214869.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407185|ref|WP_007214870.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407187|ref|WP_007214871.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407188|ref|WP_007214872.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494407190|ref|WP_007214873.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494407193|ref|WP_007214874.1|	antibiotic biosynthesis monooxygenase [Bacteroides cellulosilyticus] 
gi|494407195|ref|WP_007214875.1|	glyoxalase [Bacteroides cellulosilyticus] 
gi|494407197|ref|WP_007214876.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494407199|ref|WP_007214877.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
