gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|490423077|ref|WP_004295298.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|492430225|ref|WP_005841723.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491866450|ref|WP_005641955.1|	MULTISPECIES: membrane protein [Bacteroidales] 
gi|492409992|ref|WP_005835699.1|	MULTISPECIES: cyclic nucleotide-binding protein [Bacteroides] 
gi|492409991|ref|WP_005835698.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495112993|ref|WP_007837813.1|	hypothetical protein [Bacteroides dorei] 
gi|492409987|ref|WP_005835694.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495112994|ref|WP_007837814.1|	CAAX protease [Bacteroides dorei] 
gi|495112996|ref|WP_007837816.1|	mobilization protein [Bacteroides dorei] 
gi|495112998|ref|WP_007837818.1|	hypothetical protein [Bacteroides dorei] 
gi|495113000|ref|WP_007837820.1|	hypothetical protein [Bacteroides dorei] 
gi|495113002|ref|WP_007837822.1|	hypothetical protein [Bacteroides dorei] 
gi|495113003|ref|WP_007837823.1|	hypothetical protein [Bacteroides dorei] 
gi|491866448|ref|WP_005641953.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490423071|ref|WP_004295292.1|	MULTISPECIES: aldo/keto reductase [Bacteroidales] 
gi|492409973|ref|WP_005835680.1|	MULTISPECIES: alpha/beta hydrolase [Bacteroides] 
gi|490423069|ref|WP_004295290.1|	MULTISPECIES: flavodoxin [Bacteroidales] 
gi|490423068|ref|WP_004295289.1|	MULTISPECIES: integrase [Bacteroidales] 
gi|495113007|ref|WP_007837827.1|	transposase [Bacteroides dorei] 
gi|491866445|ref|WP_005641950.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491866444|ref|WP_005641949.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113011|ref|WP_007837831.1|	hypothetical protein [Bacteroides dorei] 
gi|490423066|ref|WP_004295287.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113013|ref|WP_007837833.1|	hypothetical protein [Bacteroides dorei] 
gi|495113014|ref|WP_007837834.1|	hypothetical protein [Bacteroides dorei] 
gi|495113015|ref|WP_007837835.1|	antibiotic resistance protein MarC [Bacteroides dorei] 
gi|490423063|ref|WP_004295284.1|	MULTISPECIES: ferritin [Bacteroidales] 
gi|490423062|ref|WP_004295283.1|	MULTISPECIES: fructose-bisphosphate aldolase [Bacteroidales] 
gi|490423061|ref|WP_004295282.1|	MULTISPECIES: phosphoglyceromutase [Bacteroidales] 
gi|490423060|ref|WP_004295281.1|	MULTISPECIES: heat-shock protein [Bacteroidales] 
gi|491866437|ref|WP_005641942.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroidales] 
gi|490423058|ref|WP_004295279.1|	MULTISPECIES: 6-phosphofructokinase [Bacteroidales] 
gi|492409955|ref|WP_005835662.1|	MULTISPECIES: sodium:proton antiporter [Bacteroides] 
gi|490423056|ref|WP_004295277.1|	MULTISPECIES: alpha-glucan phosphorylase [Bacteroidales] 
gi|490423055|ref|WP_004295276.1|	MULTISPECIES: arginase [Bacteroidales] 
gi|492409952|ref|WP_005835659.1|	MULTISPECIES: methylglyoxal synthase [Bacteroides] 
gi|490423053|ref|WP_004295274.1|	MULTISPECIES: exopolyphosphatase [Bacteroidales] 
gi|494837377|ref|WP_007563477.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491866433|ref|WP_005641938.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491866432|ref|WP_005641937.1|	MULTISPECIES: DDE endonuclease [Bacteroidales] 
gi|490423049|ref|WP_004295270.1|	MULTISPECIES: DNA-binding protein [Bacteroidales] 
gi|495113019|ref|WP_007837839.1|	hypothetical protein [Bacteroides dorei] 
gi|494837381|ref|WP_007563481.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113021|ref|WP_007837841.1|	hypothetical protein [Bacteroides dorei] 
gi|495113030|ref|WP_007837850.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113032|ref|WP_007837852.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113038|ref|WP_007837858.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113040|ref|WP_007837860.1|	MULTISPECIES: beta-lactamase [Bacteroides] 
gi|495113042|ref|WP_007837862.1|	MULTISPECIES: amidase [Bacteroides] 
gi|495113043|ref|WP_007837863.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495113044|ref|WP_007837864.1|	50S rRNA methyltransferase [Bacteroides dorei] 
gi|495113045|ref|WP_007837865.1|	hypothetical protein [Bacteroides dorei] 
gi|495113046|ref|WP_007837866.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113047|ref|WP_007837867.1|	MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase [Bacteroides] 
gi|495113048|ref|WP_007837868.1|	MULTISPECIES: nucleoside-diphosphate-sugar pyrophosphorylase [Bacteroides] 
gi|495113050|ref|WP_007837870.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113051|ref|WP_007837871.1|	MULTISPECIES: CDP-alcohol phosphatidyltransferase [Bacteroides] 
gi|495113053|ref|WP_007837873.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113055|ref|WP_007837875.1|	MULTISPECIES: haloacid dehalogenase [Bacteroides] 
gi|495113056|ref|WP_007837876.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|495113057|ref|WP_007837877.1|	MULTISPECIES: ribokinase [Bacteroides] 
gi|495113058|ref|WP_007837878.1|	inositol-3-phosphate synthase [Bacteroides dorei] 
gi|495113059|ref|WP_007837879.1|	ATPase AAA [Bacteroides dorei] 
gi|495113060|ref|WP_007837880.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113066|ref|WP_007837886.1|	hypothetical protein [Bacteroides dorei] 
gi|495113068|ref|WP_007837888.1|	MULTISPECIES: preprotein translocase subunit SecG [Bacteroides] 
gi|495113070|ref|WP_007837890.1|	MULTISPECIES: exodeoxyribonuclease III [Bacteroides] 
gi|495113074|ref|WP_007837894.1|	hypothetical protein [Bacteroides dorei] 
gi|495113075|ref|WP_007837895.1|	hypothetical protein [Bacteroides dorei] 
gi|495113084|ref|WP_007837904.1|	pirin [Bacteroides dorei] 
gi|495113091|ref|WP_007837911.1|	hypothetical protein [Bacteroides dorei] 
gi|495113093|ref|WP_007837913.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113094|ref|WP_007837914.1|	MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Bacteroides] 
gi|495113095|ref|WP_007837915.1|	hypothetical protein [Bacteroides dorei] 
gi|495113096|ref|WP_007837916.1|	DNA repair protein RecF [Bacteroides dorei] 
gi|495113097|ref|WP_007837917.1|	hypothetical protein [Bacteroides dorei] 
gi|495113098|ref|WP_007837918.1|	MULTISPECIES: 5-formyltetrahydrofolate cyclo-ligase [Bacteroides] 
gi|495113099|ref|WP_007837919.1|	MULTISPECIES: peptidase S41 [Bacteroides] 
gi|492440035|ref|WP_005844718.1|	MULTISPECIES: CMP deaminase [Bacteroidales] 
gi|495113100|ref|WP_007837920.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113102|ref|WP_007837922.1|	peptidase M3 [Bacteroides dorei] 
gi|495113103|ref|WP_007837923.1|	MULTISPECIES: Crp/Fnr family transcriptional regulator [Bacteroides] 
gi|492440043|ref|WP_005844726.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113104|ref|WP_007837924.1|	MULTISPECIES: thiamine biosynthesis protein ApbE [Bacteroides] 
gi|495113105|ref|WP_007837925.1|	membrane protein [Bacteroides dorei] 
gi|495113106|ref|WP_007837926.1|	hypothetical protein [Bacteroides dorei] 
gi|495113107|ref|WP_007837927.1|	hypothetical protein [Bacteroides dorei] 
gi|495113108|ref|WP_007837928.1|	hypothetical protein [Bacteroides dorei] 
gi|495113109|ref|WP_007837929.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|495113113|ref|WP_007837933.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113114|ref|WP_007837934.1|	MULTISPECIES: DEAD/DEAH box helicase [Bacteroides] 
gi|495113115|ref|WP_007837935.1|	hypothetical protein [Bacteroides dorei] 
gi|495113116|ref|WP_007837936.1|	MULTISPECIES: enolase [Bacteroides] 
gi|495113117|ref|WP_007837937.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113118|ref|WP_007837938.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113119|ref|WP_007837939.1|	hypothetical protein [Bacteroides dorei] 
gi|495113120|ref|WP_007837940.1|	alpha-rhamnosidase [Bacteroides dorei] 
gi|495113121|ref|WP_007837941.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113122|ref|WP_007837942.1|	pectin lyase [Bacteroides dorei] 
gi|495113124|ref|WP_007837944.1|	MULTISPECIES: alpha-rhamnosidase [Bacteroides] 
gi|495113127|ref|WP_007837947.1|	hypothetical protein [Bacteroides dorei] 
gi|495113129|ref|WP_007837949.1|	mannose-1-phosphate guanylyltransferase [Bacteroides dorei] 
gi|495113131|ref|WP_007837951.1|	GDP-4-keto-6-deoxy-D-mannose-3 5-epimerase-4-reductase [Bacteroides dorei] 
gi|495113132|ref|WP_007837952.1|	MULTISPECIES: GDP-mannose 4,6-dehydratase [Bacteroidales] 
gi|495113133|ref|WP_007837953.1|	hypothetical protein [Bacteroides dorei] 
gi|495113134|ref|WP_007837954.1|	hypothetical protein [Bacteroides dorei] 
gi|495113135|ref|WP_007837955.1|	hypothetical protein [Bacteroides dorei] 
gi|495113136|ref|WP_007837956.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495113137|ref|WP_007837957.1|	glycosyltransferase family 28 [Bacteroides dorei] 
gi|495113138|ref|WP_007837958.1|	hypothetical protein [Bacteroides dorei] 
gi|495113139|ref|WP_007837959.1|	acetyltransferase [Bacteroides dorei] 
gi|495113141|ref|WP_007837961.1|	hypothetical protein [Bacteroides dorei] 
gi|495113143|ref|WP_007837963.1|	hypothetical protein [Bacteroides dorei] 
gi|495113151|ref|WP_007837971.1|	hypothetical protein [Bacteroides dorei] 
gi|495113153|ref|WP_007837973.1|	hypothetical protein [Bacteroides dorei] 
gi|495113155|ref|WP_007837975.1|	hypothetical protein [Bacteroides dorei] 
gi|495113157|ref|WP_007837977.1|	hypothetical protein [Bacteroides dorei] 
gi|495113164|ref|WP_007837984.1|	hypothetical protein [Bacteroides dorei] 
gi|495113166|ref|WP_007837986.1|	transcriptional regulator [Bacteroides dorei] 
gi|495113168|ref|WP_007837988.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113169|ref|WP_007837989.1|	hypothetical protein [Bacteroides dorei] 
gi|492438818|ref|WP_005843735.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113170|ref|WP_007837990.1|	DNA-binding protein [Bacteroides dorei] 
gi|495113171|ref|WP_007837991.1|	hypothetical protein [Bacteroides dorei] 
gi|495113172|ref|WP_007837992.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|495113174|ref|WP_007837994.1|	tyrosine protein kinase [Bacteroides dorei] 
gi|495113179|ref|WP_007837999.1|	sugar transporter [Bacteroides dorei] 
gi|495113180|ref|WP_007838000.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495113182|ref|WP_007838002.1|	integrase [Bacteroides dorei] 
gi|495113184|ref|WP_007838004.1|	hypothetical protein [Bacteroides dorei] 
gi|495113186|ref|WP_007838006.1|	hypothetical protein [Bacteroides dorei] 
gi|495113187|ref|WP_007838007.1|	hypothetical protein [Bacteroides dorei] 
gi|495113188|ref|WP_007838008.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113189|ref|WP_007838009.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113190|ref|WP_007838010.1|	membrane protein [Bacteroides dorei] 
gi|495113191|ref|WP_007838011.1|	MULTISPECIES: integrase [Bacteroides] 
gi|495113192|ref|WP_007838012.1|	hypothetical protein [Bacteroides dorei] 
gi|495113193|ref|WP_007838013.1|	hypothetical protein [Bacteroides dorei] 
gi|495113194|ref|WP_007838014.1|	beta-galactosidase [Bacteroides dorei] 
gi|495113195|ref|WP_007838015.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113197|ref|WP_007838017.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492438863|ref|WP_005843762.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495113199|ref|WP_007838019.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113200|ref|WP_007838020.1|	collagen-binding protein [Bacteroides dorei] 
gi|495113201|ref|WP_007838021.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495113202|ref|WP_007838022.1|	MULTISPECIES: TonB-linked outer membrane protein [Bacteroides] 
gi|495113203|ref|WP_007838023.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113204|ref|WP_007838024.1|	beta-galactosidase [Bacteroides dorei] 
gi|495113205|ref|WP_007838025.1|	beta-glycosidase [Bacteroides dorei] 
gi|495113206|ref|WP_007838026.1|	DNA-binding protein [Bacteroides dorei] 
gi|495113207|ref|WP_007838027.1|	MULTISPECIES: 9-O-acetylesterase [Bacteroides] 
gi|495113208|ref|WP_007838028.1|	hypothetical protein [Bacteroides dorei] 
gi|495113209|ref|WP_007838029.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113215|ref|WP_007838035.1|	MULTISPECIES: choloylglycine hydrolase [Bacteroides] 
gi|495113216|ref|WP_007838036.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113217|ref|WP_007838037.1|	MULTISPECIES: sugar transferase [Bacteroides] 
gi|495113219|ref|WP_007838039.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|495113221|ref|WP_007838041.1|	MULTISPECIES: glycosyltransferase family 1 [Bacteroides] 
gi|495113223|ref|WP_007838043.1|	hypothetical protein [Bacteroides dorei] 
gi|495113225|ref|WP_007838045.1|	hypothetical protein [Bacteroides dorei] 
gi|495113227|ref|WP_007838047.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113229|ref|WP_007838049.1|	glycosyltransferase [Bacteroides dorei] 
gi|495113231|ref|WP_007838051.1|	hypothetical protein [Bacteroides dorei] 
gi|495113233|ref|WP_007838053.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113235|ref|WP_007838055.1|	MULTISPECIES: beta-glycosyltransferase [Bacteroides] 
gi|495113237|ref|WP_007838057.1|	glycosyltransferase family 1 [Bacteroides dorei] 
gi|495113239|ref|WP_007838059.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113241|ref|WP_007838061.1|	MULTISPECIES: capsular polysaccharide biosynthesis protein [Bacteroides] 
gi|495113243|ref|WP_007838063.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113245|ref|WP_007838065.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113247|ref|WP_007838067.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113248|ref|WP_007838068.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113253|ref|WP_007838073.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113255|ref|WP_007838075.1|	MULTISPECIES: glycosyltransferase [Bacteroides] 
gi|495113256|ref|WP_007838076.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113258|ref|WP_007838078.1|	hypothetical protein [Bacteroides dorei] 
gi|495113259|ref|WP_007838079.1|	hypothetical protein [Bacteroides dorei] 
gi|495113262|ref|WP_007838082.1|	hypothetical protein [Bacteroides dorei] 
gi|495113263|ref|WP_007838083.1|	MULTISPECIES: glycosyltransferase family 1 [Bacteroidales] 
gi|495113265|ref|WP_007838085.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113267|ref|WP_007838087.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495113269|ref|WP_007838089.1|	MULTISPECIES: 4Fe-4S ferredoxin [Bacteroidales] 
gi|495113271|ref|WP_007838091.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113273|ref|WP_007838093.1|	ABC transporter permease [Bacteroides dorei] 
gi|495113278|ref|WP_007838098.1|	hypothetical protein [Bacteroides dorei] 
gi|495113281|ref|WP_007838101.1|	hypothetical protein [Bacteroides dorei] 
gi|495113283|ref|WP_007838103.1|	chromosome partitioning protein ParA [Bacteroides dorei] 
gi|495113285|ref|WP_007838105.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113286|ref|WP_007838106.1|	ABC transporter ATP-binding protein [Bacteroides dorei] 
gi|495113287|ref|WP_007838107.1|	hypothetical protein [Bacteroides dorei] 
gi|495113288|ref|WP_007838108.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113289|ref|WP_007838109.1|	MULTISPECIES: coenzyme PQQ synthesis protein [Bacteroides] 
gi|495113290|ref|WP_007838110.1|	hypothetical protein [Bacteroides dorei] 
gi|495113291|ref|WP_007838111.1|	hypothetical protein [Bacteroides dorei] 
gi|495113292|ref|WP_007838112.1|	MULTISPECIES: radical SAM protein [Bacteroides] 
gi|495113293|ref|WP_007838113.1|	radical SAM protein [Bacteroides dorei] 
gi|495113294|ref|WP_007838114.1|	hypothetical protein [Bacteroides dorei] 
gi|495113295|ref|WP_007838115.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113296|ref|WP_007838116.1|	pyridoxal phosphate-dependent aminotransferase [Bacteroides dorei] 
gi|495113297|ref|WP_007838117.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113299|ref|WP_007838119.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113301|ref|WP_007838121.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113303|ref|WP_007838123.1|	transcriptional regulator [Bacteroides dorei] 
gi|495113305|ref|WP_007838125.1|	hypothetical protein [Bacteroides dorei] 
gi|495113307|ref|WP_007838127.1|	MULTISPECIES: integrase [Bacteroides] 
gi|495113308|ref|WP_007838128.1|	magnesium transporter [Bacteroides dorei] 
gi|492449240|ref|WP_005848066.1|	MULTISPECIES: AsnC family transcriptional regulator [Bacteroides] 
gi|495113311|ref|WP_007838131.1|	hypothetical protein [Bacteroides dorei] 
gi|495113313|ref|WP_007838133.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495113316|ref|WP_007838136.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113318|ref|WP_007838138.1|	MULTISPECIES: inorganic phosphate transporter [Bacteroides] 
gi|495113319|ref|WP_007838139.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113320|ref|WP_007838140.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|495113321|ref|WP_007838141.1|	hypothetical protein [Bacteroides dorei] 
gi|495113322|ref|WP_007838142.1|	O-acetylhomoserine aminocarboxypropyltransferase [Bacteroides dorei] 
gi|495113324|ref|WP_007838144.1|	lactate permease [Bacteroides dorei] 
gi|495113327|ref|WP_007838147.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113329|ref|WP_007838149.1|	hypothetical protein [Bacteroides dorei] 
gi|495113332|ref|WP_007838152.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492438937|ref|WP_005843810.1|	MULTISPECIES: histone H1 [Bacteroides] 
gi|495113340|ref|WP_007838160.1|	sensor histidine kinase [Bacteroides dorei] 
gi|495113341|ref|WP_007838161.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495113342|ref|WP_007838162.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495113344|ref|WP_007838164.1|	hypothetical protein [Bacteroides dorei] 
gi|495113346|ref|WP_007838166.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495113348|ref|WP_007838168.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495113350|ref|WP_007838170.1|	MULTISPECIES: AMP-binding protein [Bacteroides] 
gi|495113355|ref|WP_007838175.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|492438969|ref|WP_005843829.1|	MULTISPECIES: riboflavin synthase subunit alpha [Bacteroidales] 
gi|495113356|ref|WP_007838176.1|	ribonuclease BN [Bacteroides dorei] 
gi|495113357|ref|WP_007838177.1|	hypothetical protein [Bacteroides dorei] 
gi|495113358|ref|WP_007838178.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113359|ref|WP_007838179.1|	MULTISPECIES: molecular chaperone DnaJ [Bacteroides] 
gi|495113360|ref|WP_007838180.1|	sensor histidine kinase [Bacteroides dorei] 
gi|495113361|ref|WP_007838181.1|	MULTISPECIES: 2' 3'-cyclic nucleotide 2'-phosphodiesterase [Bacteroides] 
gi|495113363|ref|WP_007838183.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113365|ref|WP_007838185.1|	TonB-denpendent receptor [Bacteroides dorei] 
gi|495113366|ref|WP_007838186.1|	hypothetical protein [Bacteroides dorei] 
gi|495113367|ref|WP_007838187.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113368|ref|WP_007838188.1|	hypothetical protein [Bacteroides dorei] 
gi|495113369|ref|WP_007838189.1|	hydrolase [Bacteroides dorei] 
gi|495113370|ref|WP_007838190.1|	MULTISPECIES: polygalacturonase [Bacteroides] 
gi|495113371|ref|WP_007838191.1|	hypothetical protein [Bacteroides dorei] 
gi|495113373|ref|WP_007838193.1|	sensor histidine kinase [Bacteroides dorei] 
gi|495113374|ref|WP_007838194.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495113375|ref|WP_007838195.1|	membrane protein [Bacteroides dorei] 
gi|495113376|ref|WP_007838196.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113377|ref|WP_007838197.1|	MULTISPECIES: type I deoxyribonuclease HsdR [Bacteroides] 
gi|492435848|ref|WP_005843258.1|	MULTISPECIES: RNA polymerase sigma factor rpoD [Bacteroidales] 
gi|495113378|ref|WP_007838198.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113381|ref|WP_007838201.1|	clostripain [Bacteroides dorei] 
gi|495113382|ref|WP_007838202.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113385|ref|WP_007838205.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113387|ref|WP_007838207.1|	MULTISPECIES: potassium transporter CPA [Bacteroides] 
gi|495113388|ref|WP_007838208.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|495113390|ref|WP_007838210.1|	MULTISPECIES: phosphatase [Bacteroides] 
gi|495113393|ref|WP_007838213.1|	MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase [Bacteroides] 
gi|495113396|ref|WP_007838216.1|	major facilitator transporter [Bacteroides dorei] 
gi|495113403|ref|WP_007838223.1|	MULTISPECIES: heme ABC transporter ATP-binding protein [Bacteroides] 
gi|495113405|ref|WP_007838225.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|495113407|ref|WP_007838227.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113408|ref|WP_007838228.1|	hypothetical protein [Bacteroides dorei] 
gi|495113409|ref|WP_007838229.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113410|ref|WP_007838230.1|	MULTISPECIES: restriction endonuclease subunit M [Bacteroides] 
gi|495113412|ref|WP_007838232.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113413|ref|WP_007838233.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|495113414|ref|WP_007838234.1|	DNA-binding protein [Bacteroides dorei] 
gi|495113415|ref|WP_007838235.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113416|ref|WP_007838236.1|	hypothetical protein [Bacteroides dorei] 
gi|495113417|ref|WP_007838237.1|	hypothetical protein [Bacteroides dorei] 
gi|495113419|ref|WP_007838239.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113421|ref|WP_007838241.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113423|ref|WP_007838243.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|495113425|ref|WP_007838245.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113427|ref|WP_007838247.1|	hypothetical protein [Bacteroides dorei] 
gi|495113429|ref|WP_007838249.1|	hypothetical protein [Bacteroides dorei] 
gi|495113430|ref|WP_007838250.1|	MULTISPECIES: 30S ribosomal protein S16 [Bacteroides] 
gi|495113431|ref|WP_007838251.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113432|ref|WP_007838252.1|	MULTISPECIES: ferritin [Bacteroides] 
gi|495113433|ref|WP_007838253.1|	MULTISPECIES: beta-xylanase [Bacteroides] 
gi|495113434|ref|WP_007838254.1|	MULTISPECIES: peptide transporter [Bacteroides] 
gi|495113435|ref|WP_007838255.1|	hypothetical protein [Bacteroides dorei] 
gi|495113436|ref|WP_007838256.1|	MULTISPECIES: phosphoesterase [Bacteroides] 
gi|495113437|ref|WP_007838257.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113438|ref|WP_007838258.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113439|ref|WP_007838259.1|	MULTISPECIES: DeoR family transcriptional regulator [Bacteroides] 
gi|492435943|ref|WP_005843316.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|495113441|ref|WP_007838261.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113442|ref|WP_007838262.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113443|ref|WP_007838263.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113444|ref|WP_007838264.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113445|ref|WP_007838265.1|	MULTISPECIES: GNAT family acetyltransferase [Bacteroides] 
gi|495113448|ref|WP_007838268.1|	hypothetical protein [Bacteroides dorei] 
gi|495113456|ref|WP_007838276.1|	PadR family transcriptional regulator [Bacteroides dorei] 
gi|495113459|ref|WP_007838279.1|	MULTISPECIES: PspC family transcriptional regulator [Bacteroides] 
gi|495113460|ref|WP_007838280.1|	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Bacteroides] 
gi|495113462|ref|WP_007838282.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113465|ref|WP_007838285.1|	cytochrome C biogenesis protein [Bacteroides dorei] 
gi|495113467|ref|WP_007838287.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492435979|ref|WP_005843339.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495113470|ref|WP_007838290.1|	peptidase M75 [Bacteroides dorei] 
gi|495113471|ref|WP_007838291.1|	hypothetical protein [Bacteroides dorei] 
gi|495113472|ref|WP_007838292.1|	hypothetical protein [Bacteroides dorei] 
gi|495113474|ref|WP_007838294.1|	MULTISPECIES: peptidase S54 [Bacteroides] 
gi|495113476|ref|WP_007838296.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroides] 
gi|495113477|ref|WP_007838297.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroidales] 
gi|495113479|ref|WP_007838299.1|	alpha-amylase [Bacteroides dorei] 
gi|495113481|ref|WP_007838301.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
