gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989584|ref|WP_007715604.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494989586|ref|WP_007715606.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989589|ref|WP_007715609.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494989591|ref|WP_007715611.1|	C4-dicarboxylate ABC transporter [[Clostridium] asparagiforme] 
gi|494989593|ref|WP_007715613.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989595|ref|WP_007715615.1|	MerR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989598|ref|WP_007715618.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989600|ref|WP_007715620.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494989604|ref|WP_007715624.1|	protease [[Clostridium] asparagiforme] 
gi|494989608|ref|WP_007715628.1|	carbamate kinase [[Clostridium] asparagiforme] 
gi|494989609|ref|WP_007715629.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989610|ref|WP_007715630.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989611|ref|WP_007715631.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989612|ref|WP_007715632.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989613|ref|WP_007715633.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989620|ref|WP_007715640.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989622|ref|WP_007715642.1|	DNA-binding protein [[Clostridium] asparagiforme] 
gi|494989626|ref|WP_007715646.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989629|ref|WP_007715649.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989631|ref|WP_007715651.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989633|ref|WP_007715653.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989634|ref|WP_007715654.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989636|ref|WP_007715656.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989638|ref|WP_007715658.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989640|ref|WP_007715660.1|	GMP synthase [[Clostridium] asparagiforme] 
gi|494989642|ref|WP_007715662.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989644|ref|WP_007715664.1|	glycerophosphoryl diester phosphodiesterase [[Clostridium] asparagiforme] 
gi|494989647|ref|WP_007715667.1|	NAD(FAD)-dependent dehydrogenase [[Clostridium] asparagiforme] 
gi|494989650|ref|WP_007715670.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Clostridium] asparagiforme] 
gi|494989653|ref|WP_007715673.1|	FAD-dependent oxidoreductase [[Clostridium] asparagiforme] 
gi|494989654|ref|WP_007715674.1|	acetyltransferase [[Clostridium] asparagiforme] 
gi|494989656|ref|WP_007715676.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989658|ref|WP_007715678.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989660|ref|WP_007715680.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989661|ref|WP_007715681.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989663|ref|WP_007715683.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989665|ref|WP_007715685.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989668|ref|WP_007715688.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989670|ref|WP_007715690.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989671|ref|WP_007715691.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989673|ref|WP_007715693.1|	peptide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494989675|ref|WP_007715695.1|	amino acid ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989678|ref|WP_007715698.1|	ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494989681|ref|WP_007715701.1|	methenyltetrahydrofolate cyclohydrolase [[Clostridium] asparagiforme] 
gi|494989684|ref|WP_007715704.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989687|ref|WP_007715707.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989689|ref|WP_007715709.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989695|ref|WP_007715715.1|	exonuclease SbcD [[Clostridium] asparagiforme] 
gi|494989698|ref|WP_007715718.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989725|ref|WP_007715745.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989728|ref|WP_007715748.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989731|ref|WP_007715751.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989734|ref|WP_007715754.1|	flotillin [[Clostridium] asparagiforme] 
gi|494989735|ref|WP_007715755.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989737|ref|WP_007715757.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989739|ref|WP_007715759.1|	MULTISPECIES: phosphoesterase [Clostridiales] 
gi|494989740|ref|WP_007715760.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989742|ref|WP_007715762.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|494989744|ref|WP_007715764.1|	anti-sigma regulatory factor [[Clostridium] asparagiforme] 
gi|494989745|ref|WP_007715765.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989747|ref|WP_007715767.1|	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
gi|494989749|ref|WP_007715769.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494989751|ref|WP_007715771.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|494989752|ref|WP_007715772.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989754|ref|WP_007715774.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989757|ref|WP_007715777.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989759|ref|WP_007715779.1|	isoaspartyl dipeptidase [[Clostridium] asparagiforme] 
gi|494989761|ref|WP_007715781.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494989762|ref|WP_007715782.1|	sodium:proton antiporter [[Clostridium] asparagiforme] 
gi|494989764|ref|WP_007715784.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989766|ref|WP_007715786.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989768|ref|WP_007715788.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989770|ref|WP_007715790.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989772|ref|WP_007715792.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989773|ref|WP_007715793.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989774|ref|WP_007715794.1|	alpha/beta hydrolase [[Clostridium] asparagiforme] 
gi|494989776|ref|WP_007715796.1|	ribokinase [[Clostridium] asparagiforme] 
gi|494989777|ref|WP_007715797.1|	ferredoxin [[Clostridium] asparagiforme] 
gi|494989779|ref|WP_007715799.1|	hydrogenase [[Clostridium] asparagiforme] 
gi|494989781|ref|WP_007715801.1|	hydrogenase [[Clostridium] asparagiforme] 
gi|494989782|ref|WP_007715802.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989783|ref|WP_007715803.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989784|ref|WP_007715804.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989785|ref|WP_007715805.1|	sugar ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989786|ref|WP_007715806.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989787|ref|WP_007715807.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989788|ref|WP_007715808.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989789|ref|WP_007715809.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989791|ref|WP_007715811.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989793|ref|WP_007715813.1|	PhoB family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989796|ref|WP_007715816.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989798|ref|WP_007715818.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989800|ref|WP_007715820.1|	metallo-beta-lactamase [[Clostridium] asparagiforme] 
gi|494989802|ref|WP_007715822.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989803|ref|WP_007715823.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989806|ref|WP_007715826.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989809|ref|WP_007715829.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989812|ref|WP_007715832.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989814|ref|WP_007715834.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989816|ref|WP_007715836.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989819|ref|WP_007715839.1|	peptide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494989820|ref|WP_007715840.1|	MULTISPECIES: peptide ABC transporter ATPase [Clostridiales] 
gi|494989823|ref|WP_007715843.1|	MULTISPECIES: diguanylate cyclase [Clostridiales] 
gi|494989826|ref|WP_007715846.1|	glutathione ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989828|ref|WP_007715848.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989832|ref|WP_007715852.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989838|ref|WP_007715858.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989842|ref|WP_007715862.1|	tryptophanase [[Clostridium] asparagiforme] 
gi|494989845|ref|WP_007715865.1|	peptidase [[Clostridium] asparagiforme] 
gi|494989848|ref|WP_007715868.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989851|ref|WP_007715871.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989854|ref|WP_007715874.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989856|ref|WP_007715876.1|	cytosine deaminase [[Clostridium] asparagiforme] 
gi|494989860|ref|WP_007715880.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494989862|ref|WP_007715882.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989864|ref|WP_007715884.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989866|ref|WP_007715886.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989869|ref|WP_007715889.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989870|ref|WP_007715890.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989872|ref|WP_007715892.1|	MULTISPECIES: (2Fe-2S)-binding protein [Clostridiales] 
gi|494989873|ref|WP_007715893.1|	carbon monoxide dehydrogenase [[Clostridium] asparagiforme] 
gi|494989875|ref|WP_007715895.1|	phosphohydrolase [[Clostridium] asparagiforme] 
gi|494989876|ref|WP_007715896.1|	pyridine nucleotide-disulfide oxidoreductase [[Clostridium] asparagiforme] 
gi|494989877|ref|WP_007715897.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989878|ref|WP_007715898.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989879|ref|WP_007715899.1|	MULTISPECIES: carbon monoxide dehydrogenase [Clostridiales] 
gi|494989880|ref|WP_007715900.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989891|ref|WP_007715911.1|	isopentenyl-diphosphate delta-isomerase [[Clostridium] asparagiforme] 
gi|494989894|ref|WP_007715914.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989896|ref|WP_007715916.1|	phenolic acid decarboxylase subunit B [[Clostridium] asparagiforme] 
gi|494989898|ref|WP_007715918.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989900|ref|WP_007715920.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989901|ref|WP_007715921.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989903|ref|WP_007715923.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989905|ref|WP_007715925.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989906|ref|WP_007715926.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989907|ref|WP_007715927.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|494989908|ref|WP_007715928.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989910|ref|WP_007715930.1|	MULTISPECIES: serine/threonine phosphatase [Clostridiales] 
gi|494989914|ref|WP_007715934.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494989923|ref|WP_007715943.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989924|ref|WP_007715944.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989925|ref|WP_007715945.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989927|ref|WP_007715947.1|	nitrate ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989929|ref|WP_007715949.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494989930|ref|WP_007715950.1|	altronate hydrolase [[Clostridium] asparagiforme] 
gi|494989931|ref|WP_007715951.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989932|ref|WP_007715952.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989933|ref|WP_007715953.1|	mandelate racemase [[Clostridium] asparagiforme] 
gi|494989934|ref|WP_007715954.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989935|ref|WP_007715955.1|	cation transporter [[Clostridium] asparagiforme] 
gi|494989937|ref|WP_007715957.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989939|ref|WP_007715959.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989940|ref|WP_007715960.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989941|ref|WP_007715961.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989942|ref|WP_007715962.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989943|ref|WP_007715963.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989944|ref|WP_007715964.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494989949|ref|WP_007715969.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989951|ref|WP_007715971.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989952|ref|WP_007715972.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989953|ref|WP_007715973.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989955|ref|WP_007715975.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989957|ref|WP_007715977.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989959|ref|WP_007715979.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989961|ref|WP_007715981.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989963|ref|WP_007715983.1|	N-acetylneuraminate lyase [[Clostridium] asparagiforme] 
gi|494989965|ref|WP_007715985.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989967|ref|WP_007715987.1|	peptide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494989969|ref|WP_007715989.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|494989971|ref|WP_007715991.1|	peptide ABC transporter permease [[Clostridium] asparagiforme] 
gi|494989973|ref|WP_007715993.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989974|ref|WP_007715994.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989975|ref|WP_007715995.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989976|ref|WP_007715996.1|	MULTISPECIES: RpiR family transcriptional regulator [Clostridiales] 
gi|494989977|ref|WP_007715997.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494989978|ref|WP_007715998.1|	ROK family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989980|ref|WP_007716000.1|	N-acetylmannosamine-6-phosphate 2-epimerase [[Clostridium] asparagiforme] 
gi|494989982|ref|WP_007716002.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989984|ref|WP_007716004.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989986|ref|WP_007716006.1|	MULTISPECIES: phenylacetic acid degradation protein [Clostridiales] 
gi|494989987|ref|WP_007716007.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989990|ref|WP_007716010.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989993|ref|WP_007716013.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989996|ref|WP_007716016.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989999|ref|WP_007716019.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990003|ref|WP_007716023.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990007|ref|WP_007716027.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990009|ref|WP_007716029.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990011|ref|WP_007716031.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990013|ref|WP_007716033.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990014|ref|WP_007716034.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990016|ref|WP_007716036.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990018|ref|WP_007716038.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990021|ref|WP_007716041.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990023|ref|WP_007716043.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990030|ref|WP_007716050.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990032|ref|WP_007716052.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990035|ref|WP_007716055.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990037|ref|WP_007716057.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990039|ref|WP_007716059.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990041|ref|WP_007716061.1|	holin [[Clostridium] asparagiforme] 
gi|494990043|ref|WP_007716063.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990046|ref|WP_007716066.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990047|ref|WP_007716067.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990048|ref|WP_007716068.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990051|ref|WP_007716071.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990053|ref|WP_007716073.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990055|ref|WP_007716075.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990057|ref|WP_007716077.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990067|ref|WP_007716087.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990068|ref|WP_007716088.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990070|ref|WP_007716090.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990072|ref|WP_007716092.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990076|ref|WP_007716096.1|	tail protein [[Clostridium] asparagiforme] 
gi|494990077|ref|WP_007716097.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990078|ref|WP_007716098.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990079|ref|WP_007716099.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990080|ref|WP_007716100.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990081|ref|WP_007716101.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990082|ref|WP_007716102.1|	phage scaffold protein [[Clostridium] asparagiforme] 
gi|494990083|ref|WP_007716103.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990086|ref|WP_007716106.1|	phage portal protein [[Clostridium] asparagiforme] 
gi|494990089|ref|WP_007716109.1|	terminase [[Clostridium] asparagiforme] 
gi|494990092|ref|WP_007716112.1|	terminase [[Clostridium] asparagiforme] 
gi|494990095|ref|WP_007716115.1|	DNA methylase [[Clostridium] asparagiforme] 
gi|494990098|ref|WP_007716118.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990110|ref|WP_007716130.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990113|ref|WP_007716133.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990115|ref|WP_007716135.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990119|ref|WP_007716139.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990123|ref|WP_007716143.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990124|ref|WP_007716144.1|	DEAD/DEAH box helicase [[Clostridium] asparagiforme] 
gi|494990125|ref|WP_007716145.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990130|ref|WP_007716150.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990131|ref|WP_007716151.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990132|ref|WP_007716152.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990133|ref|WP_007716153.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990135|ref|WP_007716155.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990139|ref|WP_007716159.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990140|ref|WP_007716160.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990141|ref|WP_007716161.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990147|ref|WP_007716167.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990148|ref|WP_007716168.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990153|ref|WP_007716173.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990155|ref|WP_007716175.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990158|ref|WP_007716178.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990164|ref|WP_007716184.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990166|ref|WP_007716186.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990167|ref|WP_007716187.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990169|ref|WP_007716189.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990171|ref|WP_007716191.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990173|ref|WP_007716193.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990174|ref|WP_007716194.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990181|ref|WP_007716201.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990183|ref|WP_007716203.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990185|ref|WP_007716205.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990187|ref|WP_007716207.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990188|ref|WP_007716208.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494990189|ref|WP_007716209.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990191|ref|WP_007716211.1|	GNAT family acetyltransferase [[Clostridium] asparagiforme] 
gi|494990196|ref|WP_007716216.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990203|ref|WP_007716223.1|	MULTISPECIES: amino acid-binding protein [Clostridiales] 
gi|494990204|ref|WP_007716224.1|	phenylacetate-CoA ligase [[Clostridium] asparagiforme] 
gi|494990205|ref|WP_007716225.1|	indolepyruvate oxidoreductase [[Clostridium] asparagiforme] 
gi|494990207|ref|WP_007716227.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990208|ref|WP_007716228.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990209|ref|WP_007716229.1|	phenylacetate-CoA ligase [[Clostridium] asparagiforme] 
gi|494990210|ref|WP_007716230.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990217|ref|WP_007716237.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990218|ref|WP_007716238.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990219|ref|WP_007716239.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990220|ref|WP_007716240.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990224|ref|WP_007716244.1|	sugar aldolase [[Clostridium] asparagiforme] 
gi|494990235|ref|WP_007716255.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990237|ref|WP_007716257.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990238|ref|WP_007716258.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990239|ref|WP_007716259.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990240|ref|WP_007716260.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494990241|ref|WP_007716261.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|494990243|ref|WP_007716263.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990245|ref|WP_007716265.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990247|ref|WP_007716267.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990249|ref|WP_007716269.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990251|ref|WP_007716271.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990254|ref|WP_007716274.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990255|ref|WP_007716275.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990256|ref|WP_007716276.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990257|ref|WP_007716277.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990260|ref|WP_007716280.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|494990261|ref|WP_007716281.1|	TRAP transporter [[Clostridium] asparagiforme] 
gi|494990262|ref|WP_007716282.1|	MULTISPECIES: TRAP transporter [Clostridiales] 
gi|494990263|ref|WP_007716283.1|	MULTISPECIES: C4-dicarboxylate ABC transporter [Clostridiales] 
gi|494990264|ref|WP_007716284.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990265|ref|WP_007716285.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494990266|ref|WP_007716286.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990276|ref|WP_007716296.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990277|ref|WP_007716297.1|	stage II sporulation protein SpoIID [[Clostridium] asparagiforme] 
gi|494990283|ref|WP_007716303.1|	carboxypeptidase [[Clostridium] asparagiforme] 
gi|494990286|ref|WP_007716306.1|	MULTISPECIES: tricarboxylic transport TctC [Clostridiales] 
gi|494990289|ref|WP_007716309.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990291|ref|WP_007716311.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990293|ref|WP_007716313.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990295|ref|WP_007716315.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990297|ref|WP_007716317.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990299|ref|WP_007716319.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
