gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493903101|ref|WP_006848830.1|	MULTISPECIES: 30S ribosomal protein S3 [Prevotella] 
gi|493903102|ref|WP_006848831.1|	MULTISPECIES: 50S ribosomal protein L22 [Prevotella] 
gi|493903103|ref|WP_006848832.1|	MULTISPECIES: 30S ribosomal protein S19 [Prevotella] 
gi|493903104|ref|WP_006848833.1|	50S ribosomal protein L2 [Prevotella copri] 
gi|493903105|ref|WP_006848834.1|	MULTISPECIES: 50S ribosomal protein L23 [Prevotella] 
gi|493903106|ref|WP_006848835.1|	50S ribosomal protein L4 [Prevotella copri] 
gi|493903107|ref|WP_006848836.1|	50S ribosomal protein L3 [Prevotella copri] 
gi|493326414|ref|WP_006283658.1|	MULTISPECIES: 30S ribosomal protein S10 [Prevotella] 
gi|493903108|ref|WP_006848837.1|	elongation factor G [Prevotella copri] 
gi|493903109|ref|WP_006848838.1|	MULTISPECIES: 30S ribosomal protein S7 [Prevotella] 
gi|493903110|ref|WP_006848839.1|	MULTISPECIES: 30S ribosomal protein S12 [Prevotella] 
gi|493903111|ref|WP_006848840.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903112|ref|WP_006848841.1|	DNA-directed RNA polymerase subunit beta' [Prevotella copri] 
gi|493903113|ref|WP_006848842.1|	DNA-directed RNA polymerase subunit beta [Prevotella copri] 
gi|493903114|ref|WP_006848843.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Prevotella] 
gi|493903115|ref|WP_006848844.1|	50S ribosomal protein L10 [Prevotella copri] 
gi|493903116|ref|WP_006848845.1|	50S ribosomal protein L1 [Prevotella copri] 
gi|493903117|ref|WP_006848846.1|	MULTISPECIES: 50S ribosomal protein L11 [Prevotella] 
gi|493903118|ref|WP_006848847.1|	MULTISPECIES: transcription antitermination protein NusG [Prevotella] 
gi|493903119|ref|WP_006848848.1|	preprotein translocase subunit SecE [Prevotella copri] 
gi|493903120|ref|WP_006848849.1|	elongation factor Tu [Prevotella copri] 
gi|493903121|ref|WP_006848850.1|	RNA polymerase subunit sigma-54 [Prevotella copri] 
gi|493903122|ref|WP_006848851.1|	tyrosine recombinase [Prevotella copri] 
gi|493903123|ref|WP_006848852.1|	MULTISPECIES: 30S ribosomal protein S21 [Prevotella] 
gi|493903124|ref|WP_006848853.1|	peptidase M24 [Prevotella copri] 
gi|493903125|ref|WP_006848854.1|	malate dehydrogenase [Prevotella copri] 
gi|493903126|ref|WP_006848855.1|	hypothetical protein [Prevotella copri] 
gi|493903127|ref|WP_006848856.1|	cystathionine beta-lyase [Prevotella copri] 
gi|493903128|ref|WP_006848857.1|	diguanylate cyclase [Prevotella copri] 
gi|493903129|ref|WP_006848858.1|	3-deoxy-D-manno-octulosonic acid transferase [Prevotella copri] 
gi|493903130|ref|WP_006848859.1|	glutamyl-tRNA synthetase [Prevotella copri] 
gi|493903131|ref|WP_006848860.1|	hydrolase [Prevotella copri] 
gi|493903132|ref|WP_006848861.1|	membrane protein [Prevotella copri] 
gi|493903133|ref|WP_006848862.1|	primosomal protein N' [Prevotella copri] 
gi|493903134|ref|WP_006848863.1|	membrane protein [Prevotella copri] 
gi|493903135|ref|WP_006848864.1|	gliding motility protein GldN [Prevotella copri] 
gi|493903136|ref|WP_006848865.1|	GldM family protein [Prevotella copri] 
gi|493903137|ref|WP_006848866.1|	gliding motility protein GldL [Prevotella copri] 
gi|493903138|ref|WP_006848867.1|	hypothetical protein [Prevotella copri] 
gi|493903139|ref|WP_006848868.1|	membrane protein [Prevotella copri] 
gi|493903140|ref|WP_006848869.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903141|ref|WP_006848870.1|	hypothetical protein [Prevotella copri] 
gi|493903142|ref|WP_006848871.1|	hypothetical protein partial [Prevotella copri] 
gi|493903143|ref|WP_006848872.1|	hypothetical protein [Prevotella copri] 
gi|493903144|ref|WP_006848873.1|	putative type I restriction modification DNA specificity domain protein [Prevotella copri] 
gi|493903145|ref|WP_006848874.1|	hypothetical protein [Prevotella copri] 
gi|493903146|ref|WP_006848875.1|	transposase [Prevotella copri] 
gi|493903147|ref|WP_006848876.1|	transposase [Prevotella copri] 
gi|493903148|ref|WP_006848877.1|	hypothetical protein [Prevotella copri] 
gi|493903149|ref|WP_006848878.1|	hypothetical protein [Prevotella copri] 
gi|493903150|ref|WP_006848879.1|	hypothetical protein [Prevotella copri] 
gi|493903151|ref|WP_006848880.1|	spore coat protein [Prevotella copri] 
gi|493903152|ref|WP_006848881.1|	hypothetical protein [Prevotella copri] 
gi|493903153|ref|WP_006848882.1|	hypothetical protein [Prevotella copri] 
gi|493903154|ref|WP_006848883.1|	toxin Bro [Prevotella copri] 
gi|493903155|ref|WP_006848884.1|	ATPase [Prevotella copri] 
gi|493903156|ref|WP_006848885.1|	acetyl-CoA hydrolase [Prevotella copri] 
gi|493903157|ref|WP_006848886.1|	methylase [Prevotella copri] 
gi|493903158|ref|WP_006848887.1|	putative toxin-antitoxin system antitoxin component [Prevotella copri] 
gi|493903159|ref|WP_006848888.1|	nucleotidyltransferase [Prevotella copri] 
gi|493903160|ref|WP_006848889.1|	putative formate dehydrogenase alpha subunit [Prevotella copri] 
gi|493903161|ref|WP_006848890.1|	cysteinyl-tRNA synthetase [Prevotella copri] 
gi|493903162|ref|WP_006848891.1|	metallophosphoesterase [Prevotella copri] 
gi|493903163|ref|WP_006848892.1|	hypothetical protein [Prevotella copri] 
gi|493903164|ref|WP_006848893.1|	DNA mismatch repair protein MutS [Prevotella copri] 
gi|493903165|ref|WP_006848894.1|	prolipoprotein diacylglyceryl transferase [Prevotella copri] 
gi|493903167|ref|WP_006848895.1|	GTP-binding protein YchF [Prevotella copri] 
gi|493903168|ref|WP_006848896.1|	DNA-damage-inducible protein D [Prevotella copri] 
gi|493903169|ref|WP_006848897.1|	hypothetical protein [Prevotella copri] 
gi|493903170|ref|WP_006848898.1|	hypothetical protein [Prevotella copri] 
gi|493903171|ref|WP_006848899.1|	MULTISPECIES: sugar transport protein 8 [Prevotella] 
gi|493903172|ref|WP_006848900.1|	helicase [Prevotella copri] 
gi|493903173|ref|WP_006848901.1|	hypothetical protein [Prevotella copri] 
gi|493903174|ref|WP_006848902.1|	hypothetical protein [Prevotella copri] 
gi|493903175|ref|WP_006848903.1|	superoxide reductase [Prevotella copri] 
gi|493903176|ref|WP_006848904.1|	rubredoxin [Prevotella copri] 
gi|493903177|ref|WP_006848905.1|	hypothetical protein [Prevotella copri] 
gi|493903178|ref|WP_006848906.1|	DNA polymerase I [Prevotella copri] 
gi|493903179|ref|WP_006848907.1|	octaprenyl-diphosphate synthase [Prevotella copri] 
gi|493903180|ref|WP_006848908.1|	deoxyribose-phosphate aldolase [Prevotella copri] 
gi|493903181|ref|WP_006848909.1|	pyrophosphatase [Prevotella copri] 
gi|493903182|ref|WP_006848910.1|	D-tyrosyl-tRNA(Tyr) deacylase [Prevotella copri] 
gi|493903183|ref|WP_006848911.1|	hypothetical protein [Prevotella copri] 
gi|493903184|ref|WP_006848912.1|	excinuclease ABC subunit C [Prevotella copri] 
gi|493903185|ref|WP_006848913.1|	adenine phosphoribosyltransferase [Prevotella copri] 
gi|493903186|ref|WP_006848914.1|	hypothetical protein [Prevotella copri] 
gi|493903187|ref|WP_006848915.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Prevotella copri] 
gi|493903188|ref|WP_006848916.1|	fumarate reductase [Prevotella copri] 
gi|493903189|ref|WP_006848917.1|	succinate dehydrogenase [Prevotella copri] 
gi|493903190|ref|WP_006848918.1|	succinate dehydrogenase [Prevotella copri] 
gi|493903191|ref|WP_006848919.1|	hypothetical protein [Prevotella copri] 
gi|493903192|ref|WP_006848920.1|	hypothetical protein partial [Prevotella copri] 
gi|493903193|ref|WP_006848921.1|	hypothetical protein partial [Prevotella copri] 
gi|493903194|ref|WP_006848922.1|	hypothetical protein [Prevotella copri] 
gi|493903196|ref|WP_006848923.1|	putative para-nitrobenzyl esterase [Prevotella copri] 
gi|493903197|ref|WP_006848924.1|	hypothetical protein [Prevotella copri] 
gi|493903198|ref|WP_006848925.1|	cephalosporin-C deacetylase [Prevotella copri] 
gi|493903199|ref|WP_006848926.1|	hypothetical protein [Prevotella copri] 
gi|493903200|ref|WP_006848927.1|	DNA topoisomerase IV subunit B [Prevotella copri] 
gi|493903201|ref|WP_006848928.1|	peptidase S41 [Prevotella copri] 
gi|493903202|ref|WP_006848929.1|	sodium transporter [Prevotella copri] 
gi|493903203|ref|WP_006848930.1|	hypothetical protein [Prevotella copri] 
gi|493903204|ref|WP_006848931.1|	Holliday junction DNA helicase RuvB [Prevotella copri] 
gi|493903205|ref|WP_006848932.1|	MULTISPECIES: phosphopantetheine adenylyltransferase [Prevotella] 
gi|493903206|ref|WP_006848933.1|	MULTISPECIES: rRNA maturation factor [Prevotella] 
gi|493903207|ref|WP_006848934.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903208|ref|WP_006848935.1|	tRNA-dihydrouridine synthase B [Prevotella copri] 
gi|493903209|ref|WP_006848936.1|	DNA processing protein DprA [Prevotella copri] 
gi|493903210|ref|WP_006848937.1|	hypothetical protein [Prevotella copri] 
gi|493903211|ref|WP_006848938.1|	thioesterase [Prevotella copri] 
gi|493903212|ref|WP_006848939.1|	V-type ATP synthase subunit F [Prevotella copri] 
gi|493903213|ref|WP_006848940.1|	MULTISPECIES: dihydrodipicolinate reductase [Prevotella] 
gi|493903214|ref|WP_006848941.1|	signal peptidase [Prevotella copri] 
gi|493903215|ref|WP_006848942.1|	hypothetical protein [Prevotella copri] 
gi|493903216|ref|WP_006848943.1|	hypothetical protein [Prevotella copri] 
gi|493903217|ref|WP_006848944.1|	hypothetical protein [Prevotella copri] 
gi|493903218|ref|WP_006848945.1|	hypothetical protein [Prevotella copri] 
gi|493903219|ref|WP_006848946.1|	hypothetical protein [Prevotella copri] 
gi|493903220|ref|WP_006848947.1|	hypothetical protein [Prevotella copri] 
gi|493903221|ref|WP_006848948.1|	zinc protease [Prevotella copri] 
gi|493903222|ref|WP_006848949.1|	fructokinase [Prevotella copri] 
gi|493903223|ref|WP_006848950.1|	flavodoxin [Prevotella copri] 
gi|493903224|ref|WP_006848951.1|	ATPase [Prevotella copri] 
gi|493903225|ref|WP_006848952.1|	hypothetical protein [Prevotella copri] 
gi|493903226|ref|WP_006848953.1|	zinc finger protein 677 [Prevotella copri] 
gi|493903227|ref|WP_006848954.1|	hypothetical protein [Prevotella copri] 
gi|493903228|ref|WP_006848955.1|	conserved hypothetical membrane related protein [Prevotella copri] 
gi|493903229|ref|WP_006848956.1|	putative Ser/Thr protein kinase KinX [Prevotella copri] 
gi|493903230|ref|WP_006848957.1|	hypothetical protein [Prevotella copri] 
gi|493903232|ref|WP_006848958.1|	hypothetical protein [Prevotella copri] 
gi|493903233|ref|WP_006848959.1|	ATPase [Prevotella copri] 
gi|493903234|ref|WP_006848960.1|	ISPg3 transposase partial [Prevotella copri] 
gi|493903235|ref|WP_006848961.1|	ATPase [Prevotella copri] 
gi|493903236|ref|WP_006848962.1|	hypothetical protein [Prevotella copri] 
gi|493903237|ref|WP_006848963.1|	decarboxylase [Prevotella copri] 
gi|493903238|ref|WP_006848964.1|	hypothetical protein [Prevotella copri] 
gi|493903239|ref|WP_006848965.1|	hypothetical protein [Prevotella copri] 
gi|493903240|ref|WP_006848966.1|	hypothetical protein [Prevotella copri] 
gi|493903241|ref|WP_006848967.1|	hypothetical protein [Prevotella copri] 
gi|493903242|ref|WP_006848968.1|	cell surface protein [Prevotella copri] 
gi|493903243|ref|WP_006848969.1|	ATP-binding protein [Prevotella copri] 
gi|493903244|ref|WP_006848970.1|	hypothetical protein [Prevotella copri] 
gi|493903245|ref|WP_006848971.1|	DEAD/DEAH box helicase [Prevotella copri] 
gi|493903246|ref|WP_006848972.1|	putative thiol:disulfide interchange protein [Prevotella copri] 
gi|493903247|ref|WP_006848973.1|	hypothetical protein [Prevotella copri] 
gi|493903248|ref|WP_006848974.1|	transposase [Prevotella copri] 
gi|493903249|ref|WP_006848975.1|	hypothetical protein [Prevotella copri] 
gi|493903250|ref|WP_006848976.1|	transposase [Prevotella copri] 
gi|493903251|ref|WP_006848977.1|	hypothetical protein [Prevotella copri] 
gi|493903252|ref|WP_006848978.1|	phospholipase patatin family [Prevotella copri] 
gi|493903253|ref|WP_006848979.1|	multidrug transporter MatE [Prevotella copri] 
gi|493903254|ref|WP_006848980.1|	transcriptional regulator PobR [Prevotella copri] 
gi|493903255|ref|WP_006848981.1|	ATPase AAA [Prevotella copri] 
gi|493903256|ref|WP_006848982.1|	transposase [Prevotella copri] 
gi|493903257|ref|WP_006848983.1|	hypothetical protein [Prevotella copri] 
gi|493903258|ref|WP_006848984.1|	hypothetical protein [Prevotella copri] 
gi|493903259|ref|WP_006848985.1|	hypothetical protein [Prevotella copri] 
gi|493903260|ref|WP_006848986.1|	transcription-repair-coupling factor [Prevotella copri] 
gi|493903261|ref|WP_006848987.1|	prophage protein [Prevotella copri] 
gi|493903262|ref|WP_006848988.1|	transposase [Prevotella copri] 
gi|493903263|ref|WP_006848989.1|	transposase [Prevotella copri] 
gi|493903264|ref|WP_006848990.1|	transposase IS4 family partial [Prevotella copri] 
gi|493903265|ref|WP_006848991.1|	hypothetical protein [Prevotella copri] 
gi|493903266|ref|WP_006848992.1|	Na(+)-translocating NADH-quinone reductase subunit A [Prevotella copri] 
gi|493903267|ref|WP_006848993.1|	Na(+)-translocating NADH-quinone reductase subunit B [Prevotella copri] 
gi|493903268|ref|WP_006848994.1|	Na(+)-translocating NADH-quinone reductase subunit C [Prevotella copri] 
gi|493903269|ref|WP_006848995.1|	Na(+)-translocating NADH-quinone reductase subunit D [Prevotella copri] 
gi|493903270|ref|WP_006848996.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit E [Prevotella] 
gi|493903271|ref|WP_006848997.1|	Na(+)-translocating NADH-quinone reductase subunit F [Prevotella copri] 
gi|493903272|ref|WP_006848998.1|	hypothetical protein [Prevotella copri] 
gi|493903273|ref|WP_006848999.1|	hypothetical protein [Prevotella copri] 
gi|493903274|ref|WP_006849000.1|	hypothetical protein partial [Prevotella copri] 
gi|493903275|ref|WP_006849001.1|	fructose-1,6-bisphosphatase [Prevotella copri] 
gi|493903276|ref|WP_006849002.1|	hypothetical protein [Prevotella copri] 
gi|493903277|ref|WP_006849003.1|	UDP-galactose-4-epimerase [Prevotella copri] 
gi|493903278|ref|WP_006849004.1|	hypothetical protein [Prevotella copri] 
gi|493903279|ref|WP_006849005.1|	peptidoglycan-binding protein [Prevotella copri] 
gi|493903280|ref|WP_006849006.1|	RNA polymerase sigma factor [Prevotella copri] 
gi|493903281|ref|WP_006849007.1|	hypothetical protein [Prevotella copri] 
gi|493903283|ref|WP_006849008.1|	hypothetical protein [Prevotella copri] 
gi|493903284|ref|WP_006849009.1|	aspartyl-tRNA synthetase [Prevotella copri] 
gi|493903285|ref|WP_006849010.1|	hypothetical protein [Prevotella copri] 
gi|493903286|ref|WP_006849011.1|	hypothetical protein [Prevotella copri] 
gi|493903287|ref|WP_006849012.1|	carbohydrate kinase [Prevotella copri] 
gi|493903288|ref|WP_006849013.1|	hypothetical protein [Prevotella copri] 
gi|493903289|ref|WP_006849014.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903290|ref|WP_006849015.1|	aminodeoxychorismate lyase [Prevotella copri] 
gi|493903291|ref|WP_006849016.1|	GMP reductase 1 [Prevotella copri] 
gi|493903292|ref|WP_006849017.1|	phosphoglycolate phosphatase [Prevotella copri] 
gi|493903293|ref|WP_006849018.1|	response regulator receiver domain protein [Prevotella copri] 
gi|493903294|ref|WP_006849019.1|	phosphatidylinositol-4-phosphate 5-kinase [Prevotella copri] 
gi|493903295|ref|WP_006849020.1|	putative EbgC protein [Prevotella copri] 
gi|493903296|ref|WP_006849021.1|	1,4-alpha-glucan branching protein [Prevotella copri] 
gi|493903297|ref|WP_006849022.1|	hypothetical protein [Prevotella copri] 
gi|493903298|ref|WP_006849023.1|	hypothetical protein [Prevotella copri] 
gi|493903299|ref|WP_006849024.1|	helicase [Prevotella copri] 
gi|493903300|ref|WP_006849025.1|	MFS transporter [Prevotella copri] 
gi|493903301|ref|WP_006849026.1|	3-phosphoglycerate dehydrogenase [Prevotella copri] 
gi|493903302|ref|WP_006849027.1|	HTH domain of SpoOJ/ParA/ParB/RepB family protein [Prevotella copri] 
gi|493903303|ref|WP_006849028.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903304|ref|WP_006849029.1|	excinuclease ABC subunit B [Prevotella copri] 
gi|493903305|ref|WP_006849030.1|	membrane protein [Prevotella copri] 
gi|493903306|ref|WP_006849031.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903307|ref|WP_006849032.1|	MULTISPECIES: putative lipoprotein [Prevotella] 
gi|493903308|ref|WP_006849033.1|	30S ribosomal protein S16 [Prevotella copri] 
gi|493903309|ref|WP_006849034.1|	hypothetical protein [Prevotella copri] 
gi|493903310|ref|WP_006849035.1|	hypothetical protein [Prevotella copri] 
gi|493903311|ref|WP_006849036.1|	MULTISPECIES: nitrogen-fixing protein NifU [Prevotella] 
gi|493903312|ref|WP_006849037.1|	hypothetical protein [Prevotella copri] 
gi|493903313|ref|WP_006849038.1|	MULTISPECIES: single-stranded DNA-binding protein [Prevotella] 
gi|493903314|ref|WP_006849039.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Prevotella copri] 
gi|493903315|ref|WP_006849040.1|	haloacid dehalogenase [Prevotella copri] 
gi|493903316|ref|WP_006849041.1|	methionine aminopeptidase [Prevotella copri] 
gi|493903317|ref|WP_006849042.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Prevotella] 
gi|493903318|ref|WP_006849043.1|	competence protein [Prevotella copri] 
gi|493903319|ref|WP_006849044.1|	MULTISPECIES: 50S ribosomal protein L28 [Prevotella] 
gi|493903320|ref|WP_006849045.1|	MULTISPECIES: 50S ribosomal protein L33 [Prevotella] 
gi|493903321|ref|WP_006849046.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903322|ref|WP_006849047.1|	DNA-binding protein [Prevotella copri] 
gi|493903323|ref|WP_006849048.1|	abortive infection bacteriophage resistance protein [Prevotella copri] 
gi|493903324|ref|WP_006849049.1|	hypothetical protein [Prevotella copri] 
gi|493903325|ref|WP_006849050.1|	membrane protein [Prevotella copri] 
gi|493903326|ref|WP_006849051.1|	hypothetical protein [Prevotella copri] 
gi|493903327|ref|WP_006849052.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Prevotella copri] 
gi|493903328|ref|WP_006849053.1|	hypothetical protein [Prevotella copri] 
gi|493903329|ref|WP_006849054.1|	hypothetical protein [Prevotella copri] 
gi|493903330|ref|WP_006849055.1|	hypothetical protein [Prevotella copri] 
gi|493903331|ref|WP_006849056.1|	exodeoxyribonuclease III [Prevotella copri] 
gi|493903332|ref|WP_006849057.1|	MULTISPECIES: GTP cyclohydrolase [Prevotella] 
gi|493903333|ref|WP_006849058.1|	cell division protein [Prevotella copri] 
gi|493903334|ref|WP_006849059.1|	hypothetical protein [Prevotella copri] 
gi|493903335|ref|WP_006849060.1|	triosephosphate isomerase [Prevotella copri] 
gi|493903336|ref|WP_006849061.1|	hypothetical protein [Prevotella copri] 
gi|493903337|ref|WP_006849062.1|	tRNA nucleotidyltransferase [Prevotella copri] 
gi|493903339|ref|WP_006849063.1|	multidrug transporter [Prevotella copri] 
gi|493903340|ref|WP_006849064.1|	multidrug transporter AcrB [Prevotella copri] 
gi|493903341|ref|WP_006849065.1|	multidrug transporter [Prevotella copri] 
gi|493903342|ref|WP_006849066.1|	UDP-N-acetylglucosamine acyltransferase [Prevotella copri] 
gi|493903343|ref|WP_006849067.1|	cell division protein FtsX [Prevotella copri] 
gi|493903344|ref|WP_006849068.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493903345|ref|WP_006849069.1|	UDP pyrophosphate phosphatase [Prevotella copri] 
gi|493903346|ref|WP_006849070.1|	tRNA pseudouridine synthase B [Prevotella copri] 
gi|493903347|ref|WP_006849071.1|	MULTISPECIES: S-adenosylmethionine tRNA ribosyltransferase [Prevotella] 
gi|493903348|ref|WP_006849072.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Prevotella copri] 
gi|493903349|ref|WP_006849073.1|	transcriptional regulator AraC family [Prevotella copri] 
gi|493903350|ref|WP_006849074.1|	hypothetical protein [Prevotella copri] 
gi|493903351|ref|WP_006849075.1|	hypothetical protein [Prevotella copri] 
gi|493903352|ref|WP_006849076.1|	hypothetical protein [Prevotella copri] 
gi|493903353|ref|WP_006849077.1|	hypothetical protein [Prevotella copri] 
gi|493903354|ref|WP_006849078.1|	hypothetical protein [Prevotella copri] 
gi|493903355|ref|WP_006849079.1|	hypothetical protein [Prevotella copri] 
gi|493903356|ref|WP_006849080.1|	hypothetical protein partial [Prevotella copri] 
gi|493903357|ref|WP_006849081.1|	30S ribosomal protein S15 [Prevotella copri] 
gi|493903358|ref|WP_006849082.1|	GTP-binding protein TypA [Prevotella copri] 
gi|493903359|ref|WP_006849083.1|	transporter [Prevotella copri] 
gi|493903360|ref|WP_006849084.1|	S-ribosylhomocysteinase [Prevotella copri] 
gi|493903361|ref|WP_006849085.1|	5'-nucleosidase [Prevotella copri] 
gi|493903362|ref|WP_006849086.1|	hypothetical protein [Prevotella copri] 
gi|493903363|ref|WP_006849087.1|	GDP-mannose 46-dehydratase [Prevotella copri] 
gi|493903364|ref|WP_006849088.1|	transposase ISNCY family [Prevotella copri] 
gi|493903365|ref|WP_006849089.1|	abortive infection bacteriophage resistance protein [Prevotella copri] 
gi|493903366|ref|WP_006849090.1|	abortive infection bacteriophage resistance protein [Prevotella copri] 
gi|493903367|ref|WP_006849091.1|	hypothetical protein [Prevotella copri] 
gi|493903368|ref|WP_006849092.1|	transposase [Prevotella copri] 
gi|493903369|ref|WP_006849093.1|	hypothetical protein [Prevotella copri] 
gi|493903370|ref|WP_006849094.1|	hypothetical protein [Prevotella copri] 
gi|493903371|ref|WP_006849095.1|	hypothetical protein [Prevotella copri] 
gi|493903372|ref|WP_006849096.1|	hypothetical protein [Prevotella copri] 
gi|493903373|ref|WP_006849097.1|	ATP synthase B chain [Prevotella copri] 
gi|493903374|ref|WP_006849098.1|	putative ABC transporter system integral membrane protein [Prevotella copri] 
gi|493903375|ref|WP_006849099.1|	hypothetical protein [Prevotella copri] 
gi|493903376|ref|WP_006849100.1|	hypothetical protein [Prevotella copri] 
gi|493903377|ref|WP_006849101.1|	hypothetical protein [Prevotella copri] 
gi|493903378|ref|WP_006849102.1|	hypothetical protein [Prevotella copri] 
gi|493903379|ref|WP_006849103.1|	hypothetical protein [Prevotella copri] 
gi|493903380|ref|WP_006849104.1|	hypothetical protein [Prevotella copri] 
gi|493903381|ref|WP_006849105.1|	hypothetical protein [Prevotella copri] 
gi|493903382|ref|WP_006849106.1|	spore coat protein [Prevotella copri] 
gi|493903383|ref|WP_006849107.1|	hypothetical protein [Prevotella copri] 
gi|493903384|ref|WP_006849108.1|	hypothetical protein [Prevotella copri] 
gi|493903385|ref|WP_006849109.1|	toxin Bro [Prevotella copri] 
gi|493903387|ref|WP_006849110.1|	hypothetical protein [Prevotella copri] 
gi|493903388|ref|WP_006849111.1|	DEAD/DEAH box helicase [Prevotella copri] 
gi|493903389|ref|WP_006849112.1|	membrane protein [Prevotella copri] 
gi|493903390|ref|WP_006849113.1|	queuine tRNA-ribosyltransferase [Prevotella copri] 
gi|493903391|ref|WP_006849114.1|	Lon protease [Prevotella copri] 
gi|493903392|ref|WP_006849115.1|	hypothetical protein [Prevotella copri] 
gi|493903393|ref|WP_006849116.1|	methyltransferase [Prevotella copri] 
gi|493903394|ref|WP_006849117.1|	diacylglycerol kinase [Prevotella copri] 
gi|493903395|ref|WP_006849118.1|	2-amino-3-ketobutyrate CoA ligase [Prevotella copri] 
gi|493902273|ref|WP_006848029.1|	hypothetical protein [Prevotella copri] 
gi|493903396|ref|WP_006849119.1|	hypothetical protein [Prevotella copri] 
gi|493903397|ref|WP_006849120.1|	hypothetical protein [Prevotella copri] 
gi|493903398|ref|WP_006849121.1|	putative esterase [Prevotella copri] 
gi|493903399|ref|WP_006849122.1|	hypothetical protein [Prevotella copri] 
gi|493903400|ref|WP_006849123.1|	putative outer membrane protein [Prevotella copri] 
gi|493903401|ref|WP_006849124.1|	chromophore lyase [Prevotella copri] 
gi|493903402|ref|WP_006849125.1|	acetyl xylan esterase [Prevotella copri] 
gi|493903403|ref|WP_006849126.1|	putative secreted arabinase [Prevotella copri] 
gi|493903404|ref|WP_006849127.1|	hypothetical protein [Prevotella copri] 
gi|493903405|ref|WP_006849128.1|	xylosidase [Prevotella copri] 
gi|493903406|ref|WP_006849129.1|	ATPase AAA [Prevotella copri] 
gi|493903407|ref|WP_006849130.1|	glycosyl hydrolase family 3 [Prevotella copri] 
gi|493903408|ref|WP_006849131.1|	ATPase AAA [Prevotella copri] 
gi|493903409|ref|WP_006849132.1|	ATPase AAA [Prevotella copri] 
gi|493903410|ref|WP_006849133.1|	hypothetical protein [Prevotella copri] 
gi|493903411|ref|WP_006849134.1|	sugar-binding protein [Prevotella copri] 
gi|493903412|ref|WP_006849135.1|	endo-1,4-beta-xylanase XynD protein [Prevotella copri] 
gi|493903413|ref|WP_006849136.1|	glycoside hydrolase [Prevotella copri] 
gi|493903414|ref|WP_006849137.1|	glycoside hydrolase [Prevotella copri] 
gi|493903415|ref|WP_006849138.1|	PorT protein [Prevotella copri] 
gi|493903416|ref|WP_006849139.1|	4Fe-4S ferredoxin [Prevotella copri] 
gi|493903417|ref|WP_006849140.1|	hypothetical protein [Prevotella copri] 
gi|493903418|ref|WP_006849141.1|	phosphate-binding protein [Prevotella copri] 
gi|493903419|ref|WP_006849142.1|	cell envelope biogenesis protein TonB [Prevotella copri] 
gi|493903420|ref|WP_006849143.1|	hypothetical protein [Prevotella copri] 
gi|493903421|ref|WP_006849144.1|	biopolymer transport protein ExbD/TolR family protein [Prevotella copri] 
gi|493903422|ref|WP_006849145.1|	flagellar motor protein MotA [Prevotella copri] 
gi|493903423|ref|WP_006849146.1|	aspartate aminotransferase [Prevotella copri] 
gi|493903424|ref|WP_006849147.1|	3,4-dihydroxy-2-butanone 4-phosphate synthase [Prevotella copri] 
gi|493903425|ref|WP_006849148.1|	membrane protein [Prevotella copri] 
gi|493903426|ref|WP_006849149.1|	hypothetical protein [Prevotella copri] 
gi|493903427|ref|WP_006849150.1|	hypothetical protein [Prevotella copri] 
gi|493903428|ref|WP_006849151.1|	AraC family transcriptional regulator [Prevotella copri] 
gi|493903429|ref|WP_006849152.1|	DNA polymerase IV [Prevotella copri] 
gi|493903430|ref|WP_006849153.1|	hypothetical protein [Prevotella copri] 
gi|493903431|ref|WP_006849154.1|	fructan beta-(2,6)-fructosidase [Prevotella copri] 
gi|493903432|ref|WP_006849155.1|	fructan beta-(2,6)-fructosidase [Prevotella copri] 
gi|493903433|ref|WP_006849156.1|	ATPase AAA [Prevotella copri] 
gi|493903434|ref|WP_006849157.1|	putative DNA-binding response regulator/sensor histidine kinase [Prevotella copri] 
gi|493903435|ref|WP_006849158.1|	TonB-dependent receptor [Prevotella copri] 
gi|493903436|ref|WP_006849159.1|	membrane protein [Prevotella copri] 
gi|493903437|ref|WP_006849160.1|	2,6-beta-D-fructofuranosidase [Prevotella copri] 
gi|493903438|ref|WP_006849161.1|	major facilitator transporter [Prevotella copri] 
gi|493903439|ref|WP_006849162.1|	2-dehydro-3-deoxygluconokinase [Prevotella copri] 
