gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491893490|ref|WP_005657081.1|	membrane protein [Bacteroides stercoris] 
gi|491893494|ref|WP_005657083.1|	protoporphyrin IX magnesium chelatase [Bacteroides stercoris] 
gi|491893497|ref|WP_005657085.1|	TonB-dependent receptor HmuR [Bacteroides stercoris] 
gi|491893500|ref|WP_005657087.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893503|ref|WP_005657089.1|	glutamate dehydrogenase [Bacteroides stercoris] 
gi|491893507|ref|WP_005657091.1|	phosphoenolpyruvate synthase [Bacteroides stercoris] 
gi|491893510|ref|WP_005657093.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893512|ref|WP_005657095.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893515|ref|WP_005657097.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893518|ref|WP_005657099.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893521|ref|WP_005657101.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893523|ref|WP_005657102.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893526|ref|WP_005657104.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893528|ref|WP_005657105.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893531|ref|WP_005657107.1|	metallophosphatase [Bacteroides stercoris] 
gi|491893534|ref|WP_005657109.1|	1,4-dihydroxy-2-naphthoate prenyltransferase [Bacteroides stercoris] 
gi|491893537|ref|WP_005657111.1|	dTDP-glucose 4,6-dehydratase [Bacteroides stercoris] 
gi|491893541|ref|WP_005657113.1|	glucose-1-phosphate thymidylyltransferase [Bacteroides stercoris] 
gi|491893543|ref|WP_005657114.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893546|ref|WP_005657116.1|	MULTISPECIES: phosphoesterase [Bacteroides] 
gi|491893549|ref|WP_005657118.1|	MULTISPECIES: polyphosphate kinase [Bacteroides] 
gi|491893552|ref|WP_005657120.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893554|ref|WP_005657121.1|	MULTISPECIES: tRNA nucleotidyltransferase [Bacteroides] 
gi|491893557|ref|WP_005657123.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893560|ref|WP_005657125.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893563|ref|WP_005657127.1|	membrane protein [Bacteroides stercoris] 
gi|491893566|ref|WP_005657129.1|	membrane protein [Bacteroides stercoris] 
gi|491893569|ref|WP_005657131.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491893572|ref|WP_005657133.1|	glycosyl transferase family 2 [Bacteroides stercoris] 
gi|491893788|ref|WP_005657135.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides stercoris] 
gi|491893789|ref|WP_005657136.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893792|ref|WP_005657139.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893795|ref|WP_005657141.1|	RND transporter MFP subunit [Bacteroides stercoris] 
gi|491893797|ref|WP_005657143.1|	multidrug transporter AcrB [Bacteroides stercoris] 
gi|491893799|ref|WP_005657145.1|	transporter [Bacteroides stercoris] 
gi|491893801|ref|WP_005657147.1|	rRNA cytosine-C5-methyltransferase [Bacteroides stercoris] 
gi|491893803|ref|WP_005657149.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893804|ref|WP_005657150.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|491893806|ref|WP_005657152.1|	membrane protein [Bacteroides stercoris] 
gi|491893808|ref|WP_005657154.1|	cardiolipin synthetase [Bacteroides stercoris] 
gi|491893811|ref|WP_005657157.1|	thymidylate synthase [Bacteroides stercoris] 
gi|491893812|ref|WP_005657158.1|	MULTISPECIES: diacylglycerol kinase [Bacteroides] 
gi|491893814|ref|WP_005657160.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491893815|ref|WP_005657161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893819|ref|WP_005657165.1|	GNAT family acetyltransferase [Bacteroides stercoris] 
gi|491893822|ref|WP_005657168.1|	MULTISPECIES: biopolymer transporter ExbD [Bacteroides] 
gi|491893824|ref|WP_005657170.1|	MULTISPECIES: biopolymer transporter ExbD [Bacteroides] 
gi|491893826|ref|WP_005657172.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491893827|ref|WP_005657173.1|	MULTISPECIES: flagellar motor protein MotA [Bacteroides] 
gi|491893828|ref|WP_005657174.1|	TatD family hydrolase [Bacteroides stercoris] 
gi|491893829|ref|WP_005657175.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893830|ref|WP_005657176.1|	isoprenyl synthetase [Bacteroides stercoris] 
gi|491893831|ref|WP_005657177.1|	MULTISPECIES: cell envelope biogenesis protein TonB [Bacteroides] 
gi|491893832|ref|WP_005657178.1|	MULTISPECIES: cytidylate kinase [Bacteroides] 
gi|491893834|ref|WP_005657180.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Bacteroides stercoris] 
gi|491893836|ref|WP_005657182.1|	MULTISPECIES: 6-phosphofructokinase [Bacteroides] 
gi|491893838|ref|WP_005657184.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|491893840|ref|WP_005657186.1|	NADH:flavin oxidoreductase [Bacteroides stercoris] 
gi|491893842|ref|WP_005657188.1|	3-oxo-5-alpha-steroid 4-dehydrogenase [Bacteroides stercoris] 
gi|491893844|ref|WP_005657190.1|	MULTISPECIES: citrate synthase [Bacteroides] 
gi|491893846|ref|WP_005657192.1|	isocitrate dehydrogenase [Bacteroides stercoris] 
gi|491893847|ref|WP_005657193.1|	aconitate hydratase [Bacteroides stercoris] 
gi|491893849|ref|WP_005657195.1|	helicase [Bacteroides stercoris] 
gi|491893851|ref|WP_005657197.1|	ketol-acid reductoisomerase [Bacteroides stercoris] 
gi|491893853|ref|WP_005657199.1|	acyl-ACP thioesterase [Bacteroides stercoris] 
gi|491893855|ref|WP_005657201.1|	MULTISPECIES: acetohydroxyacid synthase small subunit [Bacteroides] 
gi|491893856|ref|WP_005657202.1|	acetolactate synthase [Bacteroides stercoris] 
gi|491893858|ref|WP_005657204.1|	dihydroxy-acid dehydratase [Bacteroides stercoris] 
gi|491893860|ref|WP_005657206.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|491893861|ref|WP_005657207.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491893863|ref|WP_005657209.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893865|ref|WP_005657211.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491893867|ref|WP_005657213.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893869|ref|WP_005657215.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893870|ref|WP_005657216.1|	MULTISPECIES: chorismate synthase [Bacteroides] 
gi|491893873|ref|WP_005657219.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893876|ref|WP_005657222.1|	DNA topoisomerase III [Bacteroides stercoris] 
gi|491893878|ref|WP_005657224.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893880|ref|WP_005657226.1|	heparinase [Bacteroides stercoris] 
gi|491893882|ref|WP_005657228.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893884|ref|WP_005657230.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893886|ref|WP_005657232.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491893887|ref|WP_005657233.1|	membrane protein [Bacteroides stercoris] 
gi|491893889|ref|WP_005657235.1|	heparinase [Bacteroides stercoris] 
gi|491893891|ref|WP_005657237.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893894|ref|WP_005657240.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893897|ref|WP_005657243.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893899|ref|WP_005657245.1|	heparinase [Bacteroides stercoris] 
gi|491893901|ref|WP_005657247.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491893903|ref|WP_005657249.1|	heparinase [Bacteroides stercoris] 
gi|491893906|ref|WP_005657252.1|	TonB-dependent receptor [Bacteroides stercoris] 
gi|491893907|ref|WP_005657253.1|	membrane protein [Bacteroides stercoris] 
gi|491893910|ref|WP_005657256.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893911|ref|WP_005657257.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491893912|ref|WP_005657258.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893914|ref|WP_005657260.1|	helicase [Bacteroides stercoris] 
gi|491893916|ref|WP_005657262.1|	heparinase [Bacteroides stercoris] 
gi|491893917|ref|WP_005657263.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893919|ref|WP_005657265.1|	alpha-L-fucosidase [Bacteroides stercoris] 
gi|491893920|ref|WP_005657266.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893922|ref|WP_005657268.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893924|ref|WP_005657270.1|	glucuronyl hydrolase [Bacteroides stercoris] 
gi|491893926|ref|WP_005657272.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893928|ref|WP_005657274.1|	MULTISPECIES: methylmalonyl-CoA mutase [Bacteroides] 
gi|491893930|ref|WP_005657276.1|	methylmalonyl-CoA mutase [Bacteroides stercoris] 
gi|491893932|ref|WP_005657278.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893933|ref|WP_005657279.1|	MULTISPECIES: transporter [Bacteroides] 
gi|491893935|ref|WP_005657281.1|	cytidylate kinase [Bacteroides stercoris] 
gi|491893937|ref|WP_005657283.1|	heparinase [Bacteroides stercoris] 
gi|491893938|ref|WP_005657284.1|	glucuronyl hydrolase [Bacteroides stercoris] 
gi|491893940|ref|WP_005657286.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893942|ref|WP_005657288.1|	membrane protein [Bacteroides stercoris] 
gi|491893944|ref|WP_005657290.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491893945|ref|WP_005657291.1|	cupin [Bacteroides stercoris] 
gi|491893947|ref|WP_005657293.1|	aldose 1-epimerase [Bacteroides stercoris] 
gi|491893948|ref|WP_005657294.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491893950|ref|WP_005657296.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893951|ref|WP_005657297.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893952|ref|WP_005657298.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893954|ref|WP_005657300.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|491893955|ref|WP_005657301.1|	lysyl-tRNA synthetase [Bacteroides stercoris] 
gi|491893958|ref|WP_005657304.1|	glycerol-3-phosphate dehydrogenase [Bacteroides stercoris] 
gi|491893960|ref|WP_005657306.1|	glucose-6-phosphate isomerase [Bacteroides stercoris] 
gi|491893961|ref|WP_005657307.1|	beta-phosphoglucomutase [Bacteroides stercoris] 
gi|491893963|ref|WP_005657309.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893964|ref|WP_005657310.1|	MULTISPECIES: asparagine synthase [Bacteroides] 
gi|491893966|ref|WP_005657312.1|	uracil-DNA glycosylase [Bacteroides stercoris] 
gi|491893968|ref|WP_005657313.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893969|ref|WP_005657314.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893970|ref|WP_005657315.1|	phosphohydrolase [Bacteroides stercoris] 
gi|491893971|ref|WP_005657316.1|	dolichyl-phosphate-mannose-protein mannosyltransferase [Bacteroides stercoris] 
gi|491893973|ref|WP_005657318.1|	polysaccharide biosynthesis protein GtrA [Bacteroides stercoris] 
gi|491893974|ref|WP_005657319.1|	glycosyl hydrolase [Bacteroides stercoris] 
gi|491893976|ref|WP_005657321.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893977|ref|WP_005657322.1|	transporter [Bacteroides stercoris] 
gi|491893979|ref|WP_005657324.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides stercoris] 
gi|491893980|ref|WP_005657325.1|	MULTISPECIES: mammalian cell entry protein [Bacteroides] 
gi|491893982|ref|WP_005657327.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893983|ref|WP_005657328.1|	MULTISPECIES: chromosomal replication initiation protein [Bacteroides] 
gi|491893985|ref|WP_005657330.1|	oxidoreductase [Bacteroides stercoris] 
gi|491893986|ref|WP_005657331.1|	MULTISPECIES: ribonucleoside-diphosphate reductase [Bacteroides] 
gi|491893987|ref|WP_005657332.1|	4-alpha-glucanotransferase [Bacteroides stercoris] 
gi|491893989|ref|WP_005657334.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893991|ref|WP_005657336.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893992|ref|WP_005657337.1|	hypothetical protein [Bacteroides stercoris] 
gi|491893994|ref|WP_005657339.1|	MULTISPECIES: dienelactone hydrolase [Bacteroides] 
gi|491893996|ref|WP_005657341.1|	MULTISPECIES: methylglyoxal synthase [Bacteroides] 
gi|491893998|ref|WP_005657343.1|	glycosyl transferase family 2 [Bacteroides stercoris] 
gi|491894000|ref|WP_005657345.1|	acetyltransferase [Bacteroides stercoris] 
gi|491894002|ref|WP_005657347.1|	Fe-S oxidoreductase [Bacteroides stercoris] 
gi|491894004|ref|WP_005657349.1|	long-chain fatty acid--CoA ligase [Bacteroides stercoris] 
gi|491894006|ref|WP_005657351.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894008|ref|WP_005657353.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894009|ref|WP_005657354.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894011|ref|WP_005657356.1|	MULTISPECIES: 50S ribosomal protein L9 [Bacteroides] 
gi|490415940|ref|WP_004288442.1|	MULTISPECIES: 30S ribosomal protein S18 [Bacteroides] 
gi|491894012|ref|WP_005657357.1|	MULTISPECIES: 30S ribosomal protein S6 [Bacteroides] 
gi|491894013|ref|WP_005657358.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894014|ref|WP_005657359.1|	MarR family transcriptional regulator [Bacteroides stercoris] 
gi|491894015|ref|WP_005657360.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894016|ref|WP_005657361.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491894017|ref|WP_005657362.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|491894018|ref|WP_005657363.1|	elongation factor G [Bacteroides stercoris] 
gi|491894019|ref|WP_005657364.1|	methylated-DNA--protein-cysteine methyltransferase [Bacteroides stercoris] 
gi|491894020|ref|WP_005657365.1|	glucosamine-6-phosphate deaminase [Bacteroides stercoris] 
gi|491894022|ref|WP_005657367.1|	flavodoxin [Bacteroides stercoris] 
gi|491894023|ref|WP_005657368.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894025|ref|WP_005657370.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894026|ref|WP_005657371.1|	MFS transporter [Bacteroides stercoris] 
gi|491894027|ref|WP_005657372.1|	peptidase S9 [Bacteroides stercoris] 
gi|491894029|ref|WP_005657374.1|	lipoyl synthase [Bacteroides stercoris] 
gi|491894030|ref|WP_005657375.1|	membrane protein [Bacteroides stercoris] 
gi|491894032|ref|WP_005657377.1|	S-adenosylmethionine-dependent methyltransferase [Bacteroides stercoris] 
gi|491894034|ref|WP_005657379.1|	MULTISPECIES: enoyl-ACP reductase [Bacteroides] 
gi|491894036|ref|WP_005657381.1|	glycoside hydrolase [Bacteroides stercoris] 
gi|491894039|ref|WP_005657384.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894041|ref|WP_005657386.1|	glycoside hydrolase [Bacteroides stercoris] 
gi|491894043|ref|WP_005657388.1|	phosphoglycolate phosphatase [Bacteroides stercoris] 
gi|491894045|ref|WP_005657390.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894048|ref|WP_005657393.1|	pectate lyase [Bacteroides stercoris] 
gi|491894050|ref|WP_005657395.1|	pectate lyase [Bacteroides stercoris] 
gi|491894051|ref|WP_005657396.1|	pectate lyase [Bacteroides stercoris] 
gi|491894054|ref|WP_005657399.1|	pectinesterase [Bacteroides stercoris] 
gi|491894056|ref|WP_005657401.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894058|ref|WP_005657403.1|	membrane protein [Bacteroides stercoris] 
gi|491894060|ref|WP_005657405.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491894062|ref|WP_005657407.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894063|ref|WP_005657408.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491894065|ref|WP_005657410.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894067|ref|WP_005657412.1|	helicase [Bacteroides stercoris] 
gi|491894069|ref|WP_005657414.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491894071|ref|WP_005657416.1|	glycan metabolism protein RagB [Bacteroides stercoris] 
gi|491894074|ref|WP_005657419.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491894075|ref|WP_005657420.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894077|ref|WP_005657422.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491894079|ref|WP_005657424.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894081|ref|WP_005657426.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894083|ref|WP_005657428.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894085|ref|WP_005657430.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894087|ref|WP_005657432.1|	pectinesterase [Bacteroides stercoris] 
gi|491894089|ref|WP_005657434.1|	cupin [Bacteroides stercoris] 
gi|491894091|ref|WP_005657436.1|	pectinesterase [Bacteroides stercoris] 
gi|491894094|ref|WP_005657439.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894096|ref|WP_005657441.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894098|ref|WP_005657443.1|	phosphohydrolase MutT [Bacteroides stercoris] 
gi|491894099|ref|WP_005657444.1|	MULTISPECIES: 5-keto-4-deoxyuronate isomerase [Bacteroides] 
gi|491894101|ref|WP_005657446.1|	major facilitator transporter [Bacteroides stercoris] 
gi|491894103|ref|WP_005657448.1|	DNA helicase [Bacteroides stercoris] 
gi|491894106|ref|WP_005657451.1|	preprotein translocase [Bacteroides stercoris] 
gi|491894109|ref|WP_005657454.1|	preprotein translocase [Bacteroides stercoris] 
gi|491894112|ref|WP_005657457.1|	alanine racemase [Bacteroides stercoris] 
gi|491894115|ref|WP_005657460.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894118|ref|WP_005657462.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894120|ref|WP_005657464.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894123|ref|WP_005657467.1|	1-deoxy-D-xylulose-5-phosphate synthase [Bacteroides stercoris] 
gi|491894125|ref|WP_005657469.1|	MULTISPECIES: potassium transporter TrkA [Bacteroides] 
gi|491894127|ref|WP_005657471.1|	potassium transporter [Bacteroides stercoris] 
gi|491894129|ref|WP_005657473.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894131|ref|WP_005657475.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894133|ref|WP_005657477.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit A [Bacteroides] 
gi|491894135|ref|WP_005657479.1|	MULTISPECIES: NADH dehydrogenase subunit B [Bacteroides] 
gi|491894138|ref|WP_005657482.1|	NADH-quinone oxidoreductase subunit C [Bacteroides stercoris] 
gi|491894140|ref|WP_005657484.1|	NADH:ubiquinone oxidoreductase subunit H [Bacteroides stercoris] 
gi|491894142|ref|WP_005657486.1|	NADH dehydrogenase subunit I [Bacteroides stercoris] 
gi|491894143|ref|WP_005657487.1|	MULTISPECIES: NADH dehydrogenase subunit J [Bacteroides] 
gi|490416633|ref|WP_004289123.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit K [Bacteroides] 
gi|491894146|ref|WP_005657490.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894148|ref|WP_005657492.1|	NADH dehydrogenase subunit L [Bacteroides stercoris] 
gi|491894150|ref|WP_005657494.1|	MULTISPECIES: NADH dehydrogenase subunit M [Bacteroides] 
gi|491894151|ref|WP_005657495.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit N [Bacteroides] 
gi|491894153|ref|WP_005657497.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491894154|ref|WP_005657498.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894156|ref|WP_005657500.1|	mannonate dehydratase [Bacteroides stercoris] 
gi|491894157|ref|WP_005657501.1|	dioxygenase [Bacteroides stercoris] 
gi|491894158|ref|WP_005657502.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491894160|ref|WP_005657504.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491894162|ref|WP_005657506.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894163|ref|WP_005657507.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894165|ref|WP_005657509.1|	diguanylate cyclase [Bacteroides stercoris] 
gi|491894166|ref|WP_005657510.1|	TonB-denpendent receptor [Bacteroides stercoris] 
gi|491894167|ref|WP_005657511.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894169|ref|WP_005657513.1|	membrane protein [Bacteroides stercoris] 
gi|491894170|ref|WP_005657514.1|	ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491894172|ref|WP_005657516.1|	ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491894174|ref|WP_005657518.1|	membrane protein [Bacteroides stercoris] 
gi|491894175|ref|WP_005657519.1|	MULTISPECIES: protein kinase [Bacteroides] 
gi|491894177|ref|WP_005657521.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894178|ref|WP_005657522.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894180|ref|WP_005657524.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894181|ref|WP_005657525.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894183|ref|WP_005657527.1|	MULTISPECIES: aminoacyl-histidine dipeptidase [Bacteroides] 
gi|491894184|ref|WP_005657528.1|	acyltransferase [Bacteroides stercoris] 
gi|491894186|ref|WP_005657530.1|	dolichol-P-glucose synthetase [Bacteroides stercoris] 
gi|491894187|ref|WP_005657531.1|	MULTISPECIES: 16S rRNA methyltransferase [Bacteroides] 
gi|491894189|ref|WP_005657533.1|	MULTISPECIES: magnesium transporter [Bacteroides] 
gi|491894190|ref|WP_005657534.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894192|ref|WP_005657536.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894194|ref|WP_005657538.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894196|ref|WP_005657540.1|	MULTISPECIES: cell division protein FtsH [Bacteroides] 
gi|491894198|ref|WP_005657542.1|	phosphatidate cytidylyltransferase [Bacteroides stercoris] 
gi|491894200|ref|WP_005657544.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894201|ref|WP_005657545.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894204|ref|WP_005657548.1|	lipid-A-disaccharide synthase [Bacteroides stercoris] 
gi|491894206|ref|WP_005657550.1|	stationary phase survival protein SurE [Bacteroides stercoris] 
gi|491894208|ref|WP_005657552.1|	membrane protein [Bacteroides stercoris] 
gi|491894210|ref|WP_005657554.1|	MULTISPECIES: chromosome partitioning protein ParA [Bacteroides] 
gi|491894212|ref|WP_005657556.1|	chromosome partitioning protein ParB [Bacteroides stercoris] 
gi|491894213|ref|WP_005657557.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894215|ref|WP_005657559.1|	MULTISPECIES: lytic transglycosylase [Bacteroides] 
gi|491894217|ref|WP_005657561.1|	MULTISPECIES: GTP pyrophosphokinase [Bacteroides] 
gi|491894220|ref|WP_005657564.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491894222|ref|WP_005657566.1|	peptidase M23 [Bacteroides stercoris] 
gi|491894224|ref|WP_005657568.1|	alanyl-tRNA synthetase [Bacteroides stercoris] 
gi|491894227|ref|WP_005657571.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894229|ref|WP_005657573.1|	MULTISPECIES: ATP-dependent endonuclease [Bacteroides] 
gi|491894231|ref|WP_005657575.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894233|ref|WP_005657577.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894235|ref|WP_005657579.1|	MULTISPECIES: methyltransferase [Bacteroides] 
gi|491894237|ref|WP_005657581.1|	MULTISPECIES: cardiolipin synthetase [Bacteroides] 
gi|491894239|ref|WP_005657583.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894241|ref|WP_005657585.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894243|ref|WP_005657587.1|	membrane protein [Bacteroides stercoris] 
gi|491894245|ref|WP_005657588.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894247|ref|WP_005657589.1|	3-dehydroquinate synthase [Bacteroides stercoris] 
gi|491894250|ref|WP_005657591.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894254|ref|WP_005657594.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894258|ref|WP_005657596.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894261|ref|WP_005657598.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894264|ref|WP_005657600.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894267|ref|WP_005657602.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894270|ref|WP_005657604.1|	molecular chaperone DnaJ [Bacteroides stercoris] 
gi|491894272|ref|WP_005657605.1|	peptidase S41 [Bacteroides stercoris] 
gi|491894275|ref|WP_005657607.1|	membrane protein [Bacteroides stercoris] 
gi|491894279|ref|WP_005657609.1|	transporter [Bacteroides stercoris] 
gi|491894282|ref|WP_005657611.1|	para-aminobenzoate synthase [Bacteroides stercoris] 
gi|491894285|ref|WP_005657613.1|	4-amino-4-deoxychorismate lyase [Bacteroides stercoris] 
gi|491894288|ref|WP_005657615.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Bacteroides stercoris] 
gi|491894290|ref|WP_005657616.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894294|ref|WP_005657619.1|	membrane protein [Bacteroides stercoris] 
gi|491894297|ref|WP_005657621.1|	ATP/GTP hydrolase [Bacteroides stercoris] 
gi|491894303|ref|WP_005657624.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491894307|ref|WP_005657627.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894310|ref|WP_005657629.1|	MULTISPECIES: thioredoxin [Bacteroides] 
gi|491894312|ref|WP_005657630.1|	DNA polymerase III subunit alpha [Bacteroides stercoris] 
gi|491894315|ref|WP_005657632.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894317|ref|WP_005657633.1|	phosphatidylserine decarboxylase [Bacteroides stercoris] 
gi|491894319|ref|WP_005657635.1|	CDP-diacylglycerol--serine O-phosphatidyltransferase [Bacteroides stercoris] 
gi|491894322|ref|WP_005657637.1|	MULTISPECIES: 3',5'-cyclic-nucleotide phosphodiesterase [Bacteroides] 
gi|491894324|ref|WP_005657638.1|	CMP deaminase [Bacteroides stercoris] 
gi|490421475|ref|WP_004293731.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894327|ref|WP_005657640.1|	hypothetical protein [Bacteroides stercoris] 
gi|491894330|ref|WP_005657642.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491894333|ref|WP_005657644.1|	hypothetical protein [Bacteroides stercoris] 
