gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938621|ref|WP_004800457.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938622|ref|WP_004800458.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938623|ref|WP_004800459.1|	CRISPR-associated protein Cas2 [[Eubacterium] dolichum] 
gi|490938624|ref|WP_004800460.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938625|ref|WP_004800461.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938626|ref|WP_004800462.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938627|ref|WP_004800463.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938628|ref|WP_004800464.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938629|ref|WP_004800465.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938630|ref|WP_004800466.1|	sulfate permease [[Eubacterium] dolichum] 
gi|490938631|ref|WP_004800467.1|	peptidase U32 [[Eubacterium] dolichum] 
gi|490938632|ref|WP_004800468.1|	MULTISPECIES: protease [Firmicutes] 
gi|490938633|ref|WP_004800469.1|	sortase [[Eubacterium] dolichum] 
gi|490938634|ref|WP_004800470.1|	stage V sporulation protein E [[Eubacterium] dolichum] 
gi|490938635|ref|WP_004800471.1|	UDP-diphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [[Eubacterium] dolichum] 
gi|490938636|ref|WP_004800472.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [[Eubacterium] dolichum] 
gi|490938637|ref|WP_004800473.1|	MULTISPECIES: cell division protein FtsQ [Firmicutes] 
gi|490938638|ref|WP_004800474.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938639|ref|WP_004800475.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938640|ref|WP_004800476.1|	transporter [[Eubacterium] dolichum] 
gi|490938641|ref|WP_004800477.1|	aconitate hydratase [[Eubacterium] dolichum] 
gi|490938642|ref|WP_004800478.1|	citrate synthase [[Eubacterium] dolichum] 
gi|490938643|ref|WP_004800479.1|	isocitrate dehydrogenase [[Eubacterium] dolichum] 
gi|490938644|ref|WP_004800480.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938645|ref|WP_004800481.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938646|ref|WP_004800482.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938647|ref|WP_004800483.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938648|ref|WP_004800484.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490938649|ref|WP_004800485.1|	MULTISPECIES: HrcA family transcriptional regulator [Firmicutes] 
gi|490938650|ref|WP_004800486.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938651|ref|WP_004800487.1|	molecular chaperone DnaK [[Eubacterium] dolichum] 
gi|490938652|ref|WP_004800488.1|	molecular chaperone DnaJ [[Eubacterium] dolichum] 
gi|490938653|ref|WP_004800489.1|	tRNA nucleotidyltransferase [[Eubacterium] dolichum] 
gi|490938654|ref|WP_004800490.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938655|ref|WP_004800491.1|	manganese catalase [[Eubacterium] dolichum] 
gi|490938656|ref|WP_004800492.1|	ATP-dependent Clp protease ATP-binding protein [[Eubacterium] dolichum] 
gi|490938657|ref|WP_004800493.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938658|ref|WP_004800494.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938659|ref|WP_004800495.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|490938660|ref|WP_004800496.1|	phosphoglycolate phosphatase [[Eubacterium] dolichum] 
gi|490938661|ref|WP_004800497.1|	purine nucleoside phosphorylase [[Eubacterium] dolichum] 
gi|490938662|ref|WP_004800498.1|	phosphopentomutase [[Eubacterium] dolichum] 
gi|490938663|ref|WP_004800499.1|	helicase [[Eubacterium] dolichum] 
gi|490938664|ref|WP_004800500.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938665|ref|WP_004800501.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938666|ref|WP_004800502.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938667|ref|WP_004800503.1|	V-type sodium ATP synthase subunit I [[Eubacterium] dolichum] 
gi|490938668|ref|WP_004800504.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938669|ref|WP_004800505.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938670|ref|WP_004800506.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938671|ref|WP_004800507.1|	ATP synthase subunit A [[Eubacterium] dolichum] 
gi|490938672|ref|WP_004800508.1|	V-type ATP synthase subunit B [[Eubacterium] dolichum] 
gi|490938673|ref|WP_004800509.1|	ATPase [[Eubacterium] dolichum] 
gi|490938674|ref|WP_004800510.1|	GNAT family acetyltransferase [[Eubacterium] dolichum] 
gi|490938675|ref|WP_004800511.1|	glutamine synthetase [[Eubacterium] dolichum] 
gi|490938676|ref|WP_004800512.1|	MULTISPECIES: rubrerythrin [Firmicutes] 
gi|490938677|ref|WP_004800513.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938678|ref|WP_004800514.1|	MULTISPECIES: potassium transporter Trk [Firmicutes] 
gi|490938679|ref|WP_004800515.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938680|ref|WP_004800516.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490938681|ref|WP_004800517.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938682|ref|WP_004800518.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938683|ref|WP_004800519.1|	GTP-binding protein [[Eubacterium] dolichum] 
gi|490938684|ref|WP_004800520.1|	polysaccharide deacetylase [[Eubacterium] dolichum] 
gi|490938685|ref|WP_004800521.1|	esterase [[Eubacterium] dolichum] 
gi|490938686|ref|WP_004800522.1|	AraC family transcriptional regulator [[Eubacterium] dolichum] 
gi|490938687|ref|WP_004800523.1|	NADH oxidase [[Eubacterium] dolichum] 
gi|490938688|ref|WP_004800524.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938689|ref|WP_004800525.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938690|ref|WP_004800526.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938691|ref|WP_004800527.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938692|ref|WP_004800528.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938693|ref|WP_004800529.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938694|ref|WP_004800530.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938695|ref|WP_004800531.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [[Eubacterium] dolichum] 
gi|490938696|ref|WP_004800532.1|	MULTISPECIES: D-alanine--D-alanine ligase [Firmicutes] 
gi|490938697|ref|WP_004800533.1|	MULTISPECIES: alanine racemase [Firmicutes] 
gi|490938698|ref|WP_004800534.1|	amino acid permease [[Eubacterium] dolichum] 
gi|490938699|ref|WP_004800535.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938700|ref|WP_004800536.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938701|ref|WP_004800537.1|	MULTISPECIES: conjugal transfer protein [Firmicutes] 
gi|490938702|ref|WP_004800538.1|	MULTISPECIES: resolvase [Firmicutes] 
gi|490938703|ref|WP_004800539.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938704|ref|WP_004800540.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938705|ref|WP_004800541.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938706|ref|WP_004800542.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938707|ref|WP_004800543.1|	MULTISPECIES: SuhB inositol monophosphatase (extragenic suppressor protein) [Firmicutes] 
gi|490938708|ref|WP_004800544.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938709|ref|WP_004800545.1|	glycosyltransferase [[Eubacterium] dolichum] 
gi|490938710|ref|WP_004800546.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938711|ref|WP_004800547.1|	glycosyltransferase family 1 [[Eubacterium] dolichum] 
gi|490938712|ref|WP_004800548.1|	3'-5' exoribonuclease [[Eubacterium] dolichum] 
gi|490938713|ref|WP_004800549.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938714|ref|WP_004800550.1|	DNA glycosylase [[Eubacterium] dolichum] 
gi|490938715|ref|WP_004800551.1|	GNAT family acetyltransferase [[Eubacterium] dolichum] 
gi|490938716|ref|WP_004800552.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938717|ref|WP_004800553.1|	bacitracin ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938718|ref|WP_004800554.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938719|ref|WP_004800555.1|	MULTISPECIES: histidine kinase [Firmicutes] 
gi|490938720|ref|WP_004800556.1|	translation initiation factor IF-3 [[Eubacterium] dolichum] 
gi|490938721|ref|WP_004800557.1|	MULTISPECIES: 50S ribosomal protein L35 [Firmicutes] 
gi|490938722|ref|WP_004800558.1|	MULTISPECIES: 50S ribosomal protein L20 [Firmicutes] 
gi|490938723|ref|WP_004800559.1|	asparagine synthase [[Eubacterium] dolichum] 
gi|490938724|ref|WP_004800560.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938725|ref|WP_004800561.1|	guanylate kinase [[Eubacterium] dolichum] 
gi|490938726|ref|WP_004800562.1|	glutamate dehydrogenase [[Eubacterium] dolichum] 
gi|490938727|ref|WP_004800563.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938728|ref|WP_004800564.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938729|ref|WP_004800565.1|	amidase [[Eubacterium] dolichum] 
gi|490938730|ref|WP_004800566.1|	MULTISPECIES: nicotinate phosphoribosyltransferase [Firmicutes] 
gi|490938731|ref|WP_004800567.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938732|ref|WP_004800568.1|	carboxylesterase [[Eubacterium] dolichum] 
gi|490938733|ref|WP_004800569.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938734|ref|WP_004800570.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938735|ref|WP_004800571.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938736|ref|WP_004800572.1|	methionine ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938737|ref|WP_004800573.1|	ABC transporter permease [[Eubacterium] dolichum] 
gi|490938738|ref|WP_004800574.1|	MULTISPECIES: ABC transporter substrate-binding protein [Firmicutes] 
gi|490938739|ref|WP_004800575.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938740|ref|WP_004800576.1|	NAD-dependent deacetylase [[Eubacterium] dolichum] 
gi|490938741|ref|WP_004800577.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938742|ref|WP_004800578.1|	3-methyladenine DNA glycosylase [[Eubacterium] dolichum] 
gi|490938743|ref|WP_004800579.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938744|ref|WP_004800580.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938745|ref|WP_004800581.1|	multidrug transporter MatE [[Eubacterium] dolichum] 
gi|490938746|ref|WP_004800582.1|	glycerol kinase [[Eubacterium] dolichum] 
gi|490938747|ref|WP_004800583.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938748|ref|WP_004800584.1|	FMN-binding protein [[Eubacterium] dolichum] 
gi|490938749|ref|WP_004800585.1|	phosphotransferase [[Eubacterium] dolichum] 
gi|490938750|ref|WP_004800586.1|	nucleoside-triphosphate diphosphatase [[Eubacterium] dolichum] 
gi|490938751|ref|WP_004800587.1|	MULTISPECIES: RNA methyltransferase [Firmicutes] 
gi|490938752|ref|WP_004800588.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938753|ref|WP_004800589.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938754|ref|WP_004800590.1|	transporter [[Eubacterium] dolichum] 
gi|490938755|ref|WP_004800591.1|	endoribonuclease [[Eubacterium] dolichum] 
gi|490938756|ref|WP_004800592.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938757|ref|WP_004800593.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938758|ref|WP_004800594.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938759|ref|WP_004800595.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938760|ref|WP_004800596.1|	formate acetyltransferase [[Eubacterium] dolichum] 
gi|490938761|ref|WP_004800597.1|	pyruvate formate lyase-activating protein [[Eubacterium] dolichum] 
gi|490938762|ref|WP_004800598.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938763|ref|WP_004800599.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938764|ref|WP_004800600.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938765|ref|WP_004800601.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938766|ref|WP_004800602.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938767|ref|WP_004800603.1|	PTS glucose transporter subunit IIABC [[Eubacterium] dolichum] 
gi|490938768|ref|WP_004800604.1|	6-phospho-alpha-glucosidase [[Eubacterium] dolichum] 
gi|490938769|ref|WP_004800605.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938770|ref|WP_004800606.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938771|ref|WP_004800607.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938772|ref|WP_004800608.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938773|ref|WP_004800609.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938774|ref|WP_004800610.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938775|ref|WP_004800611.1|	ABC transporter permease [[Eubacterium] dolichum] 
gi|490938776|ref|WP_004800612.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938777|ref|WP_004800613.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938778|ref|WP_004800614.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938779|ref|WP_004800615.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938780|ref|WP_004800616.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938781|ref|WP_004800617.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938782|ref|WP_004800618.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938783|ref|WP_004800619.1|	MULTISPECIES: peptidase [Firmicutes] 
gi|490938784|ref|WP_004800620.1|	sigma-54 modulation protein [[Eubacterium] dolichum] 
gi|490938785|ref|WP_004800621.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938786|ref|WP_004800622.1|	MULTISPECIES: trigger factor [Firmicutes] 
gi|490938787|ref|WP_004800623.1|	MULTISPECIES: Lon protease [Firmicutes] 
gi|490938788|ref|WP_004800624.1|	MULTISPECIES: GTP-binding protein YsxC [Firmicutes] 
gi|490938789|ref|WP_004800625.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938790|ref|WP_004800626.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938791|ref|WP_004800627.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938792|ref|WP_004800628.1|	valyl-tRNA synthase [[Eubacterium] dolichum] 
gi|490938793|ref|WP_004800629.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938794|ref|WP_004800630.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938795|ref|WP_004800631.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938796|ref|WP_004800632.1|	transposase [[Eubacterium] dolichum] 
gi|490938797|ref|WP_004800633.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938798|ref|WP_004800634.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938799|ref|WP_004800635.1|	xanthine phosphoribosyltransferase [[Eubacterium] dolichum] 
gi|490938800|ref|WP_004800636.1|	transporter [[Eubacterium] dolichum] 
gi|490938801|ref|WP_004800637.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938802|ref|WP_004800638.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938803|ref|WP_004800639.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938804|ref|WP_004800640.1|	penicillin-binding protein [[Eubacterium] dolichum] 
gi|490938805|ref|WP_004800641.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938806|ref|WP_004800642.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937566|ref|WP_004799403.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938807|ref|WP_004800643.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936462|ref|WP_004798299.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936464|ref|WP_004798301.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936461|ref|WP_004798298.1|	hydrolase [[Eubacterium] dolichum] 
gi|490938808|ref|WP_004800644.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938809|ref|WP_004800645.1|	aldo/keto reductase [[Eubacterium] dolichum] 
gi|490938810|ref|WP_004800646.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938811|ref|WP_004800647.1|	iron transporter FeoB [[Eubacterium] dolichum] 
gi|490938812|ref|WP_004800648.1|	MULTISPECIES: hydrolase [Firmicutes] 
gi|490938813|ref|WP_004800649.1|	3-ketoacyl-CoA thiolase [[Eubacterium] dolichum] 
gi|490938814|ref|WP_004800650.1|	MULTISPECIES: acyl-CoA dehydrogenase [Firmicutes] 
gi|490938815|ref|WP_004800651.1|	electron transfer flavoprotein subunit beta [[Eubacterium] dolichum] 
gi|490938816|ref|WP_004800652.1|	electron transfer flavoprotein subunit alpha [[Eubacterium] dolichum] 
gi|490938817|ref|WP_004800653.1|	3-hydroxybutyryl-CoA dehydrogenase [[Eubacterium] dolichum] 
gi|490938818|ref|WP_004800654.1|	enoyl-CoA hydratase [[Eubacterium] dolichum] 
gi|490938819|ref|WP_004800655.1|	CoA transferase [[Eubacterium] dolichum] 
gi|490938820|ref|WP_004800656.1|	MULTISPECIES: amino acid lyase [Firmicutes] 
gi|490938821|ref|WP_004800657.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938822|ref|WP_004800658.1|	MFS transporter [[Eubacterium] dolichum] 
gi|490938823|ref|WP_004800659.1|	nitroreductase [[Eubacterium] dolichum] 
gi|490938824|ref|WP_004800660.1|	MULTISPECIES: GntR family transcriptional regulator [Firmicutes] 
gi|490938825|ref|WP_004800661.1|	MULTISPECIES: ABC transporter ATP-binding protein [Firmicutes] 
gi|490938826|ref|WP_004800662.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938827|ref|WP_004800663.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938828|ref|WP_004800664.1|	MULTISPECIES: PhoB family transcriptional regulator [Firmicutes] 
gi|490938829|ref|WP_004800665.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938830|ref|WP_004800666.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938831|ref|WP_004800667.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938832|ref|WP_004800668.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938833|ref|WP_004800669.1|	ankyrin [[Eubacterium] dolichum] 
gi|490938834|ref|WP_004800670.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938835|ref|WP_004800671.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938837|ref|WP_004800673.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938839|ref|WP_004800675.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938840|ref|WP_004800676.1|	MULTISPECIES: electron transporter RnfC [Firmicutes] 
gi|490938842|ref|WP_004800678.1|	NADH:quinone oxidoreductase [[Eubacterium] dolichum] 
gi|490938843|ref|WP_004800679.1|	electron transporter RnfG [[Eubacterium] dolichum] 
gi|490938845|ref|WP_004800681.1|	MULTISPECIES: electron transporter RnfE [Firmicutes] 
gi|490938847|ref|WP_004800682.1|	MULTISPECIES: electron transport complex RsxE subunit [Firmicutes] 
gi|490938848|ref|WP_004800683.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938849|ref|WP_004800684.1|	electron transporter RnfB [[Eubacterium] dolichum] 
gi|490938850|ref|WP_004800685.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938851|ref|WP_004800686.1|	PTS N-acetylgalactosameine transporter subunit IIB [[Eubacterium] dolichum] 
gi|490938852|ref|WP_004800687.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490938853|ref|WP_004800688.1|	MULTISPECIES: PTS N-acetylgalactosamine transporter subunit IIB [Firmicutes] 
gi|490938854|ref|WP_004800689.1|	PTS sucrose transporter subunit IIBC [[Eubacterium] dolichum] 
gi|490938855|ref|WP_004800690.1|	PTS N-acetylgalactosamine transporter subunit IID [[Eubacterium] dolichum] 
gi|490938856|ref|WP_004800691.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938857|ref|WP_004800692.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938858|ref|WP_004800693.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938859|ref|WP_004800694.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938860|ref|WP_004800695.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938861|ref|WP_004800696.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938862|ref|WP_004800697.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938863|ref|WP_004800698.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938864|ref|WP_004800699.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938865|ref|WP_004800700.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938866|ref|WP_004800701.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938867|ref|WP_004800702.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938868|ref|WP_004800703.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938869|ref|WP_004800704.1|	MULTISPECIES: N-acetylmuramic acid-6-phosphate etherase [Firmicutes] 
gi|490938870|ref|WP_004800705.1|	oxidoreductase [[Eubacterium] dolichum] 
gi|490938871|ref|WP_004800706.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938872|ref|WP_004800707.1|	cation diffusion facilitator family transporter [[Eubacterium] dolichum] 
gi|490938873|ref|WP_004800708.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938874|ref|WP_004800709.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Firmicutes] 
gi|490938875|ref|WP_004800710.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938876|ref|WP_004800711.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938877|ref|WP_004800712.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938878|ref|WP_004800713.1|	transposase [[Eubacterium] dolichum] 
gi|490937566|ref|WP_004799403.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938879|ref|WP_004800714.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938880|ref|WP_004800715.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938881|ref|WP_004800716.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938882|ref|WP_004800717.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937279|ref|WP_004799116.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490938883|ref|WP_004800718.1|	transposase [[Eubacterium] dolichum] 
gi|490938884|ref|WP_004800719.1|	short-chain dehydrogenase [[Eubacterium] dolichum] 
gi|490938885|ref|WP_004800720.1|	cytidylate kinase [[Eubacterium] dolichum] 
gi|490938886|ref|WP_004800721.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [[Eubacterium] dolichum] 
gi|490938887|ref|WP_004800722.1|	protein-(glutamine-N5) methyltransferase [[Eubacterium] dolichum] 
gi|490938888|ref|WP_004800723.1|	peptide chain release factor 1 [[Eubacterium] dolichum] 
gi|490938889|ref|WP_004800724.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938890|ref|WP_004800725.1|	cell division protein Fic [[Eubacterium] dolichum] 
gi|490938891|ref|WP_004800726.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938892|ref|WP_004800727.1|	thymidine kinase [[Eubacterium] dolichum] 
gi|490938893|ref|WP_004800728.1|	MULTISPECIES: 50S ribosomal protein L31 [Firmicutes] 
gi|490938894|ref|WP_004800729.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938895|ref|WP_004800730.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938896|ref|WP_004800731.1|	GntR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936834|ref|WP_004798671.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490938897|ref|WP_004800732.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938898|ref|WP_004800733.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938899|ref|WP_004800734.1|	methionyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490938900|ref|WP_004800735.1|	histidinol phosphatase [[Eubacterium] dolichum] 
gi|490938901|ref|WP_004800736.1|	K+-dependent Na+/Ca+ exchanger [[Eubacterium] dolichum] 
gi|490938902|ref|WP_004800737.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938903|ref|WP_004800738.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938904|ref|WP_004800739.1|	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [[Eubacterium] dolichum] 
gi|490938905|ref|WP_004800740.1|	MULTISPECIES: MerR family transcriptional regulator [Firmicutes] 
gi|490938906|ref|WP_004800741.1|	MULTISPECIES: ABC transporter ATP-binding protein [Firmicutes] 
gi|490938907|ref|WP_004800742.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490938908|ref|WP_004800743.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938909|ref|WP_004800744.1|	DNA-binding protein [[Eubacterium] dolichum] 
gi|490938910|ref|WP_004800745.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938911|ref|WP_004800746.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938912|ref|WP_004800747.1|	triosephosphate isomerase [[Eubacterium] dolichum] 
gi|490938913|ref|WP_004800748.1|	MULTISPECIES: phosphoglycerate kinase [Firmicutes] 
gi|490938914|ref|WP_004800749.1|	inosine 5'-monophosphate dehydrogenase [[Eubacterium] dolichum] 
gi|490938915|ref|WP_004800750.1|	DNA-binding protein [[Eubacterium] dolichum] 
gi|490938916|ref|WP_004800751.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938917|ref|WP_004800752.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938918|ref|WP_004800753.1|	MULTISPECIES: glycogen synthase [Firmicutes] 
gi|490938919|ref|WP_004800754.1|	glucose-1-phosphate adenylyltransferase [[Eubacterium] dolichum] 
gi|490938920|ref|WP_004800755.1|	glucose-1-phosphate adenylyltransferase [[Eubacterium] dolichum] 
gi|490938921|ref|WP_004800756.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938922|ref|WP_004800757.1|	MULTISPECIES: ABC transporter permease [Firmicutes] 
