gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488629838|ref|WP_002566527.1|	lactoylglutathione lyase [[Clostridium] bolteae] 
gi|488629839|ref|WP_002566528.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097306|ref|WP_007038110.1|	mandelate racemase [[Clostridium] bolteae] 
gi|488629841|ref|WP_002566530.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629842|ref|WP_002566531.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629843|ref|WP_002566532.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629844|ref|WP_002566533.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097307|ref|WP_007038111.1|	peptidase S8 [[Clostridium] bolteae] 
gi|494097308|ref|WP_007038112.1|	adenine deaminase [[Clostridium] bolteae] 
gi|494097309|ref|WP_007038113.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629847|ref|WP_002566536.1|	MULTISPECIES: HAD family hydrolase [Clostridiales] 
gi|494097310|ref|WP_007038114.1|	preprotein translocase subunit YidC [[Clostridium] bolteae] 
gi|488629849|ref|WP_002566538.1|	queuine tRNA-ribosyltransferase [[Clostridium] bolteae] 
gi|488629850|ref|WP_002566539.1|	radical SAM protein [[Clostridium] bolteae] 
gi|494097311|ref|WP_007038115.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097312|ref|WP_007038116.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628041|ref|WP_002564741.1|	dihydrodipicolinate reductase [[Clostridium] bolteae] 
gi|494097313|ref|WP_007038117.1|	MerR family transcriptional regulator [[Clostridium] bolteae] 
gi|488628043|ref|WP_002564743.1|	potassium transporter TrkA [[Clostridium] bolteae] 
gi|494097314|ref|WP_007038118.1|	potassium transporter TrkH [[Clostridium] bolteae] 
gi|488628045|ref|WP_002564745.1|	ABC transporter [[Clostridium] bolteae] 
gi|488628046|ref|WP_002564746.1|	ABC transporter [[Clostridium] bolteae] 
gi|488628047|ref|WP_002564747.1|	zinc ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494097315|ref|WP_007038119.1|	HAD family hydrolase [[Clostridium] bolteae] 
gi|494097316|ref|WP_007038120.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097317|ref|WP_007038121.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097318|ref|WP_007038122.1|	membrane protein [[Clostridium] bolteae] 
gi|494097319|ref|WP_007038123.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097320|ref|WP_007038124.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097321|ref|WP_007038125.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097322|ref|WP_007038126.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097323|ref|WP_007038127.1|	homocysteine methyltransferase [[Clostridium] bolteae] 
gi|488628054|ref|WP_002564754.1|	amino acid lyase [[Clostridium] bolteae] 
gi|488628055|ref|WP_002564755.1|	vitamin B12 dependent methionine synthase activation subunit [[Clostridium] bolteae] 
gi|488628056|ref|WP_002564756.1|	5,10-methylenetetrahydrofolate reductase [[Clostridium] bolteae] 
gi|488628057|ref|WP_002564757.1|	glycosyl transferase family 35 [[Clostridium] bolteae] 
gi|494097324|ref|WP_007038128.1|	isoleucyl-tRNA synthase [[Clostridium] bolteae] 
gi|494097325|ref|WP_007038129.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628059|ref|WP_002564759.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494097326|ref|WP_007038130.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097327|ref|WP_007038131.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628060|ref|WP_002564760.1|	nicotinate phosphoribosyltransferase [[Clostridium] bolteae] 
gi|488628061|ref|WP_002564761.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628062|ref|WP_002564762.1|	galactokinase [[Clostridium] bolteae] 
gi|494097328|ref|WP_007038132.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097329|ref|WP_007038133.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628065|ref|WP_002564765.1|	dihydroxyacetone kinase [[Clostridium] bolteae] 
gi|494097330|ref|WP_007038134.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097331|ref|WP_007038135.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628066|ref|WP_002564766.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628067|ref|WP_002564767.1|	heat shock protein Hsp90 [[Clostridium] bolteae] 
gi|488628068|ref|WP_002564768.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097332|ref|WP_007038136.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097333|ref|WP_007038137.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097334|ref|WP_007038138.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097335|ref|WP_007038139.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628071|ref|WP_002564771.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097336|ref|WP_007038140.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097337|ref|WP_007038141.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|488628074|ref|WP_002564774.1|	spermine/spermidine acetyltransferase [[Clostridium] bolteae] 
gi|488628075|ref|WP_002564775.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097338|ref|WP_007038142.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097339|ref|WP_007038143.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628076|ref|WP_002564776.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628077|ref|WP_002564777.1|	RNA polymerase sigma70 factor [[Clostridium] bolteae] 
gi|488628078|ref|WP_002564778.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097340|ref|WP_007038144.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628080|ref|WP_002564780.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097341|ref|WP_007038145.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628081|ref|WP_002564781.1|	glutamate synthase subunit beta [[Clostridium] bolteae] 
gi|488628082|ref|WP_002564782.1|	glutamate synthase [[Clostridium] bolteae] 
gi|494097342|ref|WP_007038146.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628084|ref|WP_002564784.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494097343|ref|WP_007038147.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628085|ref|WP_002564785.1|	MULTISPECIES: RNA polymerase sigma70 factor [Clostridiales] 
gi|494097344|ref|WP_007038148.1|	diacylglycerol kinase [[Clostridium] bolteae] 
gi|488628087|ref|WP_002564787.1|	adenine glycosylase [[Clostridium] bolteae] 
gi|488628088|ref|WP_002564788.1|	biotin--acetyl-CoA-carboxylase ligase [[Clostridium] bolteae] 
gi|488628089|ref|WP_002564789.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494097345|ref|WP_007038149.1|	ornithine carbamoyltransferase [[Clostridium] bolteae] 
gi|488628091|ref|WP_002564791.1|	patatin [[Clostridium] bolteae] 
gi|488628092|ref|WP_002564792.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488628093|ref|WP_002564793.1|	rRNA methyltransferase [[Clostridium] bolteae] 
gi|488628094|ref|WP_002564794.1|	NAD synthetase [[Clostridium] bolteae] 
gi|488628095|ref|WP_002564795.1|	MULTISPECIES: thiamine biosynthesis protein ThiF [Clostridiales] 
gi|488628096|ref|WP_002564796.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494097346|ref|WP_007038150.1|	Rrf2 family transcriptional regulator [[Clostridium] bolteae] 
gi|488628098|ref|WP_002564798.1|	MULTISPECIES: desulfoferrodoxin [Clostridiales] 
gi|494097347|ref|WP_007038151.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097348|ref|WP_007038152.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097349|ref|WP_007038153.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628099|ref|WP_002564799.1|	MULTISPECIES: stage V sporulation protein AF [Clostridiales] 
gi|494097350|ref|WP_007038154.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097351|ref|WP_007038155.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628101|ref|WP_002564801.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097352|ref|WP_007038156.1|	ABC transporter [[Clostridium] bolteae] 
gi|494097353|ref|WP_007038157.1|	ABC transporter [[Clostridium] bolteae] 
gi|488628104|ref|WP_002564804.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488628105|ref|WP_002564805.1|	branched-chain amino acid ABC transporter permease [[Clostridium] bolteae] 
gi|494097354|ref|WP_007038158.1|	branched-chain amino acid transporter [[Clostridium] bolteae] 
gi|488628107|ref|WP_002564807.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|488628108|ref|WP_002564808.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488628109|ref|WP_002564809.1|	alanine racemase [[Clostridium] bolteae] 
gi|488628110|ref|WP_002564810.1|	hydratase [[Clostridium] bolteae] 
gi|494097355|ref|WP_007038159.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628111|ref|WP_002564811.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628112|ref|WP_002564812.1|	hydratase [[Clostridium] bolteae] 
gi|494097356|ref|WP_007038160.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097357|ref|WP_007038161.1|	coenzyme PQQ synthesis protein [[Clostridium] bolteae] 
gi|488628114|ref|WP_002564814.1|	peptide transporter [[Clostridium] bolteae] 
gi|494097358|ref|WP_007038162.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097359|ref|WP_007038163.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628115|ref|WP_002564815.1|	oxidoreductase [[Clostridium] bolteae] 
gi|488628116|ref|WP_002564816.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097360|ref|WP_007038164.1|	cytochrome C oxidase subunit IV [[Clostridium] bolteae] 
gi|494097361|ref|WP_007038165.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097362|ref|WP_007038166.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097363|ref|WP_007038167.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628118|ref|WP_002564818.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|488628119|ref|WP_002564819.1|	small GTP-binding protein domain protein [[Clostridium] bolteae] 
gi|494097364|ref|WP_007038168.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097365|ref|WP_007038169.1|	cation diffusion facilitator family transporter [[Clostridium] bolteae] 
gi|494097366|ref|WP_007038170.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628122|ref|WP_002564822.1|	cytochrome C2 [[Clostridium] bolteae] 
gi|494097367|ref|WP_007038171.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097368|ref|WP_007038172.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097369|ref|WP_007038173.1|	glycoside hydrolase [[Clostridium] bolteae] 
gi|488628126|ref|WP_002564826.1|	multidrug transporter MatE [[Clostridium] bolteae] 
gi|488628127|ref|WP_002564827.1|	MarR family transcriptional regulator [[Clostridium] bolteae] 
gi|494097370|ref|WP_007038174.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097371|ref|WP_007038175.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628129|ref|WP_002564829.1|	heat-shock protein Hsp90 [[Clostridium] bolteae] 
gi|494097372|ref|WP_007038176.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628130|ref|WP_002564830.1|	TetR family transcriptional regulator [[Clostridium] bolteae] 
gi|488628131|ref|WP_002564831.1|	PhnP protein [[Clostridium] bolteae] 
gi|488628132|ref|WP_002564832.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628133|ref|WP_002564833.1|	beta-aspartyl peptidase [[Clostridium] bolteae] 
gi|494097373|ref|WP_007038177.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628134|ref|WP_002564834.1|	glycosyl hydrolase [[Clostridium] bolteae] 
gi|488628135|ref|WP_002564835.1|	membrane protein [[Clostridium] bolteae] 
gi|494097374|ref|WP_007038178.1|	C4-dicarboxylate ABC transporter permease [[Clostridium] bolteae] 
gi|494097375|ref|WP_007038179.1|	C4-dicarboxylate ABC transporter [[Clostridium] bolteae] 
gi|488628138|ref|WP_002564838.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|488628139|ref|WP_002564839.1|	rhamnulose-1-phosphate aldolase [[Clostridium] bolteae] 
gi|488628140|ref|WP_002564840.1|	rhamnose isomerase [[Clostridium] bolteae] 
gi|488628141|ref|WP_002564841.1|	L-rhamnose mutarotase [[Clostridium] bolteae] 
gi|494097376|ref|WP_007038180.1|	rhamnulokinase [[Clostridium] bolteae] 
gi|494097377|ref|WP_007038181.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628143|ref|WP_002564843.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494097378|ref|WP_007038182.1|	glycerate dehydrogenase [[Clostridium] bolteae] 
gi|488628145|ref|WP_002564845.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628146|ref|WP_002564846.1|	3-isopropylmalate dehydrogenase [[Clostridium] bolteae] 
gi|488628147|ref|WP_002564847.1|	membrane protein [[Clostridium] bolteae] 
gi|494097379|ref|WP_007038183.1|	citrate lyase subunit alpha [[Clostridium] bolteae] 
gi|488628149|ref|WP_002564849.1|	citrate lyase [[Clostridium] bolteae] 
gi|488628150|ref|WP_002564850.1|	MULTISPECIES: citrate lyase subunit gamma [Clostridiales] 
gi|494097380|ref|WP_007038184.1|	dihydrodipicolinate synthetase [[Clostridium] bolteae] 
gi|488628153|ref|WP_002564853.1|	L(+)-tartrate dehydratase subunit beta [[Clostridium] bolteae] 
gi|494097381|ref|WP_007038185.1|	tartrate dehydratase subunit alpha [[Clostridium] bolteae] 
gi|488628155|ref|WP_002564855.1|	hydrolyase tartrate beta subunit/fumarate domain-containing protein Fe-S type [[Clostridium] bolteae] 
gi|488628156|ref|WP_002564856.1|	MULTISPECIES: tartrate dehydratase subunit alpha [Clostridiales] 
gi|488628157|ref|WP_002564857.1|	C4-dicarboxylate ABC transporter permease [[Clostridium] bolteae] 
gi|488628158|ref|WP_002564858.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488628159|ref|WP_002564859.1|	DctP family TRAP transporter solute receptor [[Clostridium] bolteae] 
gi|488628160|ref|WP_002564860.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097382|ref|WP_007038186.1|	diguanylate phosphodiesterase [[Clostridium] bolteae] 
gi|494097383|ref|WP_007038187.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097384|ref|WP_007038188.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628163|ref|WP_002564863.1|	potassium transporter [[Clostridium] bolteae] 
gi|494097385|ref|WP_007038189.1|	LacI family transcriptional regulator [[Clostridium] bolteae] 
gi|494097386|ref|WP_007038190.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628165|ref|WP_002564865.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628166|ref|WP_002564866.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628167|ref|WP_002564867.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488641644|ref|WP_002578300.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628169|ref|WP_002564869.1|	peptidase [[Clostridium] bolteae] 
gi|488628170|ref|WP_002564870.1|	MULTISPECIES: ribose ABC transporter ATP-binding protein [Clostridiales] 
gi|488628171|ref|WP_002564871.1|	sugar ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494097387|ref|WP_007038191.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628172|ref|WP_002564872.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628173|ref|WP_002564873.1|	phenolic acid decarboxylase subunit B [[Clostridium] bolteae] 
gi|488628174|ref|WP_002564874.1|	3,4-dihydroxybenzoate decarboxylase [[Clostridium] bolteae] 
gi|494097388|ref|WP_007038192.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097389|ref|WP_007038193.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628176|ref|WP_002564876.1|	cyclase [[Clostridium] bolteae] 
gi|494097390|ref|WP_007038194.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628178|ref|WP_002564878.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628179|ref|WP_002564879.1|	alkaline phosphatase [[Clostridium] bolteae] 
gi|488628180|ref|WP_002564880.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628181|ref|WP_002564881.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097391|ref|WP_007038195.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628182|ref|WP_002564882.1|	MULTISPECIES: N-carbamoylsarcosine amidase [Clostridiales] 
gi|494097392|ref|WP_007038196.1|	dihydropyrimidinase [[Clostridium] bolteae] 
gi|494097393|ref|WP_007038197.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097394|ref|WP_007038198.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628185|ref|WP_002564885.1|	TRAP transporter [[Clostridium] bolteae] 
gi|488628186|ref|WP_002564886.1|	C4-dicarboxylate ABC transporter permease [[Clostridium] bolteae] 
gi|488628187|ref|WP_002564887.1|	MULTISPECIES: membrane protein [Lachnoclostridium] 
gi|494097395|ref|WP_007038199.1|	sodium:dicarboxylate symporter [[Clostridium] bolteae] 
gi|488628189|ref|WP_002564889.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628190|ref|WP_002564890.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097396|ref|WP_007038200.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628191|ref|WP_002564891.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494097397|ref|WP_007038201.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628193|ref|WP_002564893.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628194|ref|WP_002564894.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628195|ref|WP_002564895.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097399|ref|WP_007038202.1|	histidine kinase [[Clostridium] bolteae] 
gi|488628197|ref|WP_002564897.1|	histidine kinase [[Clostridium] bolteae] 
gi|488628198|ref|WP_002564898.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628199|ref|WP_002564899.1|	xanthine dehydrogenase subunit A [[Clostridium] bolteae] 
gi|488628200|ref|WP_002564900.1|	molybdopterin dehydrogenase [[Clostridium] bolteae] 
gi|488628201|ref|WP_002564901.1|	MULTISPECIES: xanthine dehydrogenase [Clostridiales] 
gi|488628202|ref|WP_002564902.1|	MULTISPECIES: uracil permease [Clostridiales] 
gi|494097400|ref|WP_007038203.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628203|ref|WP_002564903.1|	glucose-1-phosphate adenylyltransferase [[Clostridium] bolteae] 
gi|488628204|ref|WP_002564904.1|	glucose-1-phosphate adenylyltransferase [[Clostridium] bolteae] 
gi|488628205|ref|WP_002564905.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628206|ref|WP_002564906.1|	metallophosphoesterase [[Clostridium] bolteae] 
gi|488628207|ref|WP_002564907.1|	cyclic nucleotide-binding protein [[Clostridium] bolteae] 
gi|494097401|ref|WP_007038204.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097402|ref|WP_007038205.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628208|ref|WP_002564908.1|	membrane protein [[Clostridium] bolteae] 
gi|494097403|ref|WP_007038206.1|	structural protein/integral membrane protein [[Clostridium] bolteae] 
gi|494097404|ref|WP_007038207.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628211|ref|WP_002564911.1|	MATE efflux family protein [[Clostridium] bolteae] 
gi|488628212|ref|WP_002564912.1|	transcriptional regulator TetR family protein [[Clostridium] bolteae] 
gi|494097405|ref|WP_007038208.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628213|ref|WP_002564913.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097406|ref|WP_007038209.1|	diguanylate cyclase [[Clostridium] bolteae] 
gi|488628215|ref|WP_002564915.1|	2-hydroxyglutaryl-CoA dehydratase [[Clostridium] bolteae] 
gi|488628216|ref|WP_002564916.1|	2-hydroxyglutaryl-CoA dehydratase [[Clostridium] bolteae] 
gi|494097407|ref|WP_007038210.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097408|ref|WP_007038211.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097409|ref|WP_007038212.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628219|ref|WP_002564919.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097410|ref|WP_007038213.1|	metallophosphoesterase [[Clostridium] bolteae] 
gi|494097411|ref|WP_007038214.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097412|ref|WP_007038215.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097413|ref|WP_007038216.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628223|ref|WP_002564923.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097414|ref|WP_007038217.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628225|ref|WP_002564925.1|	galactokinase [[Clostridium] bolteae] 
gi|488628226|ref|WP_002564926.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488628227|ref|WP_002564927.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097415|ref|WP_007038218.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097416|ref|WP_007038219.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628229|ref|WP_002564929.1|	mandelate racemase/muconate lactonizing protein [[Clostridium] bolteae] 
gi|494097417|ref|WP_007038220.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628231|ref|WP_002564931.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|488628232|ref|WP_002564932.1|	MULTISPECIES: anion transporter [Clostridiales] 
gi|494097418|ref|WP_007038221.1|	sodium:glutamate symporter [[Clostridium] bolteae] 
gi|488628234|ref|WP_002564934.1|	hydroxyacid dehydrogenase [[Clostridium] bolteae] 
gi|494097419|ref|WP_007038222.1|	dimethylmenaquinone methyltransferase [[Clostridium] bolteae] 
gi|494097420|ref|WP_007038223.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097421|ref|WP_007038224.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097422|ref|WP_007038225.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097423|ref|WP_007038226.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097424|ref|WP_007038227.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097425|ref|WP_007038228.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097426|ref|WP_007038229.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097427|ref|WP_007038230.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097428|ref|WP_007038231.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097429|ref|WP_007038232.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628240|ref|WP_002564940.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097430|ref|WP_007038233.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628242|ref|WP_002564942.1|	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [[Clostridium] bolteae] 
gi|488628243|ref|WP_002564943.1|	MFS transporter [[Clostridium] bolteae] 
gi|494097431|ref|WP_007038234.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097432|ref|WP_007038235.1|	tungsten formylmethanofuran dehydrogenase subunit G [[Clostridium] bolteae] 
gi|488628246|ref|WP_002564946.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097433|ref|WP_007038236.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097434|ref|WP_007038237.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628247|ref|WP_002564947.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628248|ref|WP_002564948.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488628249|ref|WP_002564949.1|	MULTISPECIES: response regulator SirA [Clostridiales] 
gi|494097435|ref|WP_007038238.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628251|ref|WP_002564951.1|	ABC transporter [[Clostridium] bolteae] 
gi|494097436|ref|WP_007038239.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|494097437|ref|WP_007038240.1|	spermidine/putrescine ABC transporter permease [[Clostridium] bolteae] 
gi|488628254|ref|WP_002564954.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628255|ref|WP_002564955.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488628256|ref|WP_002564956.1|	sulfurtransferase [[Clostridium] bolteae] 
gi|488628257|ref|WP_002564957.1|	aminoglycoside phosphotransferase [[Clostridium] bolteae] 
gi|488628258|ref|WP_002564958.1|	glycosyl transferase [[Clostridium] bolteae] 
gi|494097438|ref|WP_007038241.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628260|ref|WP_002564960.1|	sulfurtransferase [[Clostridium] bolteae] 
gi|494097439|ref|WP_007038242.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628261|ref|WP_002564961.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097440|ref|WP_007038243.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628263|ref|WP_002564963.1|	pyruvate ferredoxin oxidoreductase beta subunit [[Clostridium] bolteae] 
gi|488628264|ref|WP_002564964.1|	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha [[Clostridium] bolteae] 
gi|494097441|ref|WP_007038244.1|	2-oxoacid:acceptor oxidoreductase subunit delta [[Clostridium] bolteae] 
gi|488628266|ref|WP_002564966.1|	pyruvate/2-ketoisovalerate family 2-oxoacid:acceptor oxidoreductase gamma subunit [[Clostridium] bolteae] 
gi|488628267|ref|WP_002564967.1|	2-dehydropantoate 2-reductase [[Clostridium] bolteae] 
gi|488628268|ref|WP_002564968.1|	nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase [[Clostridium] bolteae] 
gi|494097442|ref|WP_007038245.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097443|ref|WP_007038246.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628270|ref|WP_002564970.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628271|ref|WP_002564971.1|	membrane protein [[Clostridium] bolteae] 
gi|494097444|ref|WP_007038247.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097445|ref|WP_007038248.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494097446|ref|WP_007038249.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628274|ref|WP_002564974.1|	glycine dehydrogenase subunit 1 [[Clostridium] bolteae] 
gi|488628275|ref|WP_002564975.1|	glycine dehydrogenase subunit 2 [[Clostridium] bolteae] 
gi|488628276|ref|WP_002564976.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628277|ref|WP_002564977.1|	malate dehydrogenase [[Clostridium] bolteae] 
gi|494097447|ref|WP_007038250.1|	aspartate ammonia-lyase [[Clostridium] bolteae] 
gi|488628279|ref|WP_002564979.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|488628280|ref|WP_002564980.1|	fructose-bisphosphate aldolase [[Clostridium] bolteae] 
