gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489889356|ref|WP_003792806.1|	cell division protein DivIVA [Actinomyces odontolyticus] 
gi|489889357|ref|WP_003792807.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889358|ref|WP_003792808.1|	50S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489889359|ref|WP_003792809.1|	phosphatidate cytidylyltransferase [Actinomyces odontolyticus] 
gi|489889360|ref|WP_003792810.1|	ribosome recycling factor [Actinomyces odontolyticus] 
gi|489889362|ref|WP_003792812.1|	uridylate kinase [Actinomyces odontolyticus] 
gi|489889363|ref|WP_003792813.1|	elongation factor Ts [Actinomyces odontolyticus] 
gi|489889364|ref|WP_003792814.1|	30S ribosomal protein S2 [Actinomyces odontolyticus] 
gi|489889365|ref|WP_003792815.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889366|ref|WP_003792816.1|	peptidase M23 [Actinomyces odontolyticus] 
gi|489889367|ref|WP_003792817.1|	tyrosine recombinase XerC [Actinomyces odontolyticus] 
gi|489889368|ref|WP_003792818.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889369|ref|WP_003792819.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889370|ref|WP_003792820.1|	choloylglycine hydrolase [Actinomyces odontolyticus] 
gi|489889372|ref|WP_003792822.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889373|ref|WP_003792823.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889374|ref|WP_003792824.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889375|ref|WP_003792825.1|	50S ribosomal protein L19 [Actinomyces odontolyticus] 
gi|489889376|ref|WP_003792826.1|	tRNA (guanine-N1)-methyltransferase [Actinomyces odontolyticus] 
gi|489889377|ref|WP_003792827.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889378|ref|WP_003792828.1|	MULTISPECIES: hypothetical protein [Actinobacteria] 
gi|489889379|ref|WP_003792829.1|	30S ribosomal protein S16 [Actinomyces odontolyticus] 
gi|489889380|ref|WP_003792830.1|	amidohydrolase [Actinomyces odontolyticus] 
gi|489889381|ref|WP_003792831.1|	signal recognition particle [Actinomyces odontolyticus] 
gi|489889382|ref|WP_003792832.1|	cell division protein FtsY [Actinomyces odontolyticus] 
gi|489889383|ref|WP_003792833.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889384|ref|WP_003792834.1|	RNA polymerase sigma 70 [Actinomyces odontolyticus] 
gi|489889385|ref|WP_003792835.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889386|ref|WP_003792836.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889387|ref|WP_003792837.1|	protein kinase [Actinomyces odontolyticus] 
gi|489889388|ref|WP_003792838.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Actinomyces odontolyticus] 
gi|489889389|ref|WP_003792839.1|	pyrophosphate--fructose-6-phosphate 1-phosphotransferase [Actinomyces odontolyticus] 
gi|489889391|ref|WP_003792841.1|	glycerol acyltransferase [Actinomyces odontolyticus] 
gi|489889392|ref|WP_003792842.1|	exonuclease [Actinomyces odontolyticus] 
gi|489889393|ref|WP_003792843.1|	anthranilate phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489889394|ref|WP_003792844.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889395|ref|WP_003792845.1|	peptidyl-prolyl cis-trans isomerase [Actinomyces odontolyticus] 
gi|489889396|ref|WP_003792846.1|	MULTISPECIES: hypothetical protein [Actinobacteria] 
gi|489889397|ref|WP_003792847.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889399|ref|WP_003792849.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889400|ref|WP_003792850.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889401|ref|WP_003792851.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889402|ref|WP_003792852.1|	dihydroorotate dehydrogenase [Actinomyces odontolyticus] 
gi|489889403|ref|WP_003792853.1|	rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489889404|ref|WP_003792854.1|	HAD family hydrolase [Actinomyces odontolyticus] 
gi|489889405|ref|WP_003792855.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889406|ref|WP_003792856.1|	transporter [Actinomyces odontolyticus] 
gi|489889407|ref|WP_003792857.1|	transporter [Actinomyces odontolyticus] 
gi|489889408|ref|WP_003792858.1|	UDP-galactopyranose mutase [Actinomyces odontolyticus] 
gi|489889409|ref|WP_003792859.1|	LytTR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889410|ref|WP_003792860.1|	beta-carotene 15,15-monooxygenase [Actinomyces odontolyticus] 
gi|489889411|ref|WP_003792861.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489889413|ref|WP_003792863.1|	glycosyltransferase [Actinomyces odontolyticus] 
gi|489889414|ref|WP_003792864.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889415|ref|WP_003792865.1|	beta-glucosidase [Actinomyces odontolyticus] 
gi|489889416|ref|WP_003792866.1|	haloacid dehalogenase [Actinomyces odontolyticus] 
gi|489889417|ref|WP_003792867.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489889418|ref|WP_003792868.1|	PTS sugar transporter subunit IIB [Actinomyces odontolyticus] 
gi|489889419|ref|WP_003792869.1|	PTS sugar transporter [Actinomyces odontolyticus] 
gi|489889420|ref|WP_003792870.1|	4-alpha-glucanotransferase [Actinomyces odontolyticus] 
gi|489889421|ref|WP_003792871.1|	PTS sugar transporter subunit IIBC [Actinomyces odontolyticus] 
gi|489889422|ref|WP_003792872.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889423|ref|WP_003792873.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889424|ref|WP_003792874.1|	carboxylate-amine ligase [Actinomyces odontolyticus] 
gi|489889425|ref|WP_003792875.1|	methylmalonyl-CoA carboxyltransferase [Actinomyces odontolyticus] 
gi|489889426|ref|WP_003792876.1|	ACP S-malonyltransferase [Actinomyces odontolyticus] 
gi|489889427|ref|WP_003792877.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889428|ref|WP_003792878.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889430|ref|WP_003792880.1|	oligoribonuclease [Actinomyces odontolyticus] 
gi|489889431|ref|WP_003792881.1|	threonine dehydratase [Actinomyces odontolyticus] 
gi|489889432|ref|WP_003792882.1|	MULTISPECIES: transcriptional regulator [Actinomyces] 
gi|489889433|ref|WP_003792883.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889434|ref|WP_003792884.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Actinomyces odontolyticus] 
gi|489889435|ref|WP_003792885.1|	methylenetetrahydrofolate reductase [Actinomyces odontolyticus] 
gi|489889436|ref|WP_003792886.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889437|ref|WP_003792887.1|	potassium transporter [Actinomyces odontolyticus] 
gi|489889439|ref|WP_003792889.1|	MULTISPECIES: 50S ribosomal protein L32 [Actinobacteria] 
gi|489889440|ref|WP_003792890.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889441|ref|WP_003792891.1|	cysteine synthase [Actinomyces odontolyticus] 
gi|489889442|ref|WP_003792892.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889443|ref|WP_003792893.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889444|ref|WP_003792894.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889446|ref|WP_003792896.1|	leucyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889447|ref|WP_003792897.1|	diadenosine tetraphosphate hydrolase [Actinomyces odontolyticus] 
gi|489889448|ref|WP_003792898.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889449|ref|WP_003792899.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889450|ref|WP_003792900.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889451|ref|WP_003792901.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889452|ref|WP_003792902.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889453|ref|WP_003792903.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889454|ref|WP_003792904.1|	peroxiredoxin [Actinomyces odontolyticus] 
gi|489889455|ref|WP_003792905.1|	thiouridylase [Actinomyces odontolyticus] 
gi|489889456|ref|WP_003792906.1|	aminotransferase [Actinomyces odontolyticus] 
gi|489889457|ref|WP_003792907.1|	electron transporter [Actinomyces odontolyticus] 
gi|489889458|ref|WP_003792908.1|	electron transfer flavoprotein subunit beta [Actinomyces odontolyticus] 
gi|489889459|ref|WP_003792909.1|	glycogen debranching protein [Actinomyces odontolyticus] 
gi|489889460|ref|WP_003792910.1|	tryptophanyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889462|ref|WP_003792912.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889463|ref|WP_003792913.1|	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase [Actinomyces odontolyticus] 
gi|489889464|ref|WP_003792914.1|	1,4-alpha-glucan branching protein [Actinomyces odontolyticus] 
gi|489889465|ref|WP_003792915.1|	cation transporter [Actinomyces odontolyticus] 
gi|489889466|ref|WP_003792916.1|	thioredoxin [Actinomyces odontolyticus] 
gi|489889467|ref|WP_003792917.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889468|ref|WP_003792918.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889469|ref|WP_003792919.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889470|ref|WP_003792920.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889471|ref|WP_003792921.1|	N-acetylglucosamine-6-phosphate deacetylase [Actinomyces odontolyticus] 
gi|489889472|ref|WP_003792922.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889473|ref|WP_003792923.1|	endonuclease [Actinomyces odontolyticus] 
gi|489889474|ref|WP_003792924.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889476|ref|WP_003792926.1|	F0F1 ATP synthase subunit epsilon [Actinomyces odontolyticus] 
gi|489889477|ref|WP_003792927.1|	MULTISPECIES: ATP synthase subunit beta [Actinomyces] 
gi|489889478|ref|WP_003792928.1|	F0F1 ATP synthase subunit gamma [Actinomyces odontolyticus] 
gi|489889479|ref|WP_003792929.1|	F0F1 ATP synthase subunit alpha [Actinomyces odontolyticus] 
gi|489889480|ref|WP_003792930.1|	ATP synthase F1 subunit delta [Actinomyces odontolyticus] 
gi|489889481|ref|WP_003792931.1|	F0F1 ATP synthase subunit B [Actinomyces odontolyticus] 
gi|489889482|ref|WP_003792932.1|	MULTISPECIES: ATP synthase F0 subunit C [Actinobacteria] 
gi|489889483|ref|WP_003792933.1|	F0F1 ATP synthase subunit A [Actinomyces odontolyticus] 
gi|489889484|ref|WP_003792934.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889485|ref|WP_003792935.1|	UDP-N-acetylmuramyl pentapeptide phosphotransferase [Actinomyces odontolyticus] 
gi|489889486|ref|WP_003792936.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889487|ref|WP_003792937.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489889488|ref|WP_003792938.1|	peptide chain release factor 1 [Actinomyces odontolyticus] 
gi|489889489|ref|WP_003792939.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889490|ref|WP_003792940.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889491|ref|WP_003792941.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889492|ref|WP_003792942.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889493|ref|WP_003792943.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889494|ref|WP_003792944.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889495|ref|WP_003792945.1|	homoserine kinase [Actinomyces odontolyticus] 
gi|489889497|ref|WP_003792947.1|	homoserine dehydrogenase [Actinomyces odontolyticus] 
gi|489889498|ref|WP_003792948.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889499|ref|WP_003792949.1|	formate acetyltransferase [Actinomyces odontolyticus] 
gi|489889500|ref|WP_003792950.1|	MULTISPECIES: formate acetyltransferase [Actinomyces] 
gi|489889501|ref|WP_003792951.1|	MULTISPECIES: pyruvate formate lyase-activating protein [Actinomyces] 
gi|489889502|ref|WP_003792952.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889503|ref|WP_003792953.1|	maltose O-acetyltransferase [Actinomyces odontolyticus] 
gi|489889504|ref|WP_003792954.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489889505|ref|WP_003792955.1|	adenine deaminase [Actinomyces odontolyticus] 
gi|489889506|ref|WP_003792956.1|	aminopeptidase [Actinomyces odontolyticus] 
gi|489889507|ref|WP_003792957.1|	aldose-1-epimerase [Actinomyces odontolyticus] 
gi|489889508|ref|WP_003792958.1|	16S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489889509|ref|WP_003792959.1|	molecular chaperone DnaJ [Actinomyces odontolyticus] 
gi|489889510|ref|WP_003792960.1|	HrcA family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889511|ref|WP_003792961.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889512|ref|WP_003792962.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889513|ref|WP_003792963.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889514|ref|WP_003792964.1|	coproporphyrinogen III oxidase [Actinomyces odontolyticus] 
gi|489889515|ref|WP_003792965.1|	tRNA (guanine-N(7)-)-methyltransferase [Actinomyces odontolyticus] 
gi|489889516|ref|WP_003792966.1|	elongation factor 4 [Actinomyces odontolyticus] 
gi|489889517|ref|WP_003792967.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889519|ref|WP_003792969.1|	growth inhibitor PemK [Actinomyces odontolyticus] 
gi|489889520|ref|WP_003792970.1|	30S ribosomal protein S20 [Actinomyces odontolyticus] 
gi|489889521|ref|WP_003792971.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889522|ref|WP_003792972.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889523|ref|WP_003792973.1|	DNA polymerase III subunit delta [Actinomyces odontolyticus] 
gi|489889524|ref|WP_003792974.1|	competence protein [Actinomyces odontolyticus] 
gi|489889525|ref|WP_003792975.1|	competence protein ComEA [Actinomyces odontolyticus] 
gi|489889526|ref|WP_003792976.1|	ATPase [Actinomyces odontolyticus] 
gi|489889527|ref|WP_003792977.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889528|ref|WP_003792978.1|	sodium:proton antiporter [Actinomyces odontolyticus] 
gi|489889529|ref|WP_003792979.1|	pectate lyase [Actinomyces odontolyticus] 
gi|489889530|ref|WP_003792980.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889531|ref|WP_003792981.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889532|ref|WP_003792982.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889533|ref|WP_003792983.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889534|ref|WP_003792984.1|	acetylornithine deacetylase [Actinomyces odontolyticus] 
gi|489889535|ref|WP_003792985.1|	valyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889537|ref|WP_003792987.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889538|ref|WP_003792988.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889539|ref|WP_003792989.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889540|ref|WP_003792990.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889541|ref|WP_003792991.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889542|ref|WP_003792992.1|	peptide ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889543|ref|WP_003792993.1|	peptidoglycan-binding protein [Actinomyces odontolyticus] 
gi|489889544|ref|WP_003792994.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889545|ref|WP_003792995.1|	sodium:solute symporter [Actinomyces odontolyticus] 
gi|489889546|ref|WP_003792996.1|	beta-galactosidase [Actinomyces odontolyticus] 
gi|489889547|ref|WP_003792997.1|	LacI family transcription regulator [Actinomyces odontolyticus] 
gi|489889548|ref|WP_003792998.1|	chorismate mutase [Actinomyces odontolyticus] 
gi|489889549|ref|WP_003792999.1|	ATP-dependent protease [Actinomyces odontolyticus] 
gi|489889550|ref|WP_003793000.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889551|ref|WP_003793001.1|	ATP-dependent Clp protease proteolytic subunit [Actinomyces odontolyticus] 
gi|489889552|ref|WP_003793002.1|	ATP-dependent Clp protease ClpP [Actinomyces odontolyticus] 
gi|489889554|ref|WP_003793004.1|	trigger factor [Actinomyces odontolyticus] 
gi|489889555|ref|WP_003793005.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889556|ref|WP_003793006.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889557|ref|WP_003793007.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889558|ref|WP_003793008.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889559|ref|WP_003793009.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889560|ref|WP_003793010.1|	zinc-binding dehydrogenase [Actinomyces odontolyticus] 
gi|489889561|ref|WP_003793011.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889562|ref|WP_003793012.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889563|ref|WP_003793013.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889564|ref|WP_003793014.1|	glutathione synthetase [Actinomyces odontolyticus] 
gi|489889565|ref|WP_003793015.1|	D-alanine--D-alanine ligase [Actinomyces odontolyticus] 
gi|489889566|ref|WP_003793016.1|	glycerol-3-phosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489889567|ref|WP_003793017.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889568|ref|WP_003793018.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889569|ref|WP_003793019.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889570|ref|WP_003793020.1|	diacylglycerol kinase [Actinomyces odontolyticus] 
gi|489889571|ref|WP_003793021.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Actinomyces odontolyticus] 
gi|489889572|ref|WP_003793022.1|	isopropylmalate isomerase [Actinomyces odontolyticus] 
gi|489889573|ref|WP_003793023.1|	isopropylmalate isomerase [Actinomyces odontolyticus] 
gi|489889574|ref|WP_003793024.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889575|ref|WP_003793025.1|	MULTISPECIES: IclR family transcriptional regulator [Actinomyces] 
gi|489889576|ref|WP_003793026.1|	alpha-1,6-glucosidase [Actinomyces odontolyticus] 
gi|489889577|ref|WP_003793027.1|	glutamyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889578|ref|WP_003793028.1|	aspartate aminotransferase [Actinomyces odontolyticus] 
gi|489889579|ref|WP_003793029.1|	purine nucleoside phosphorylase [Actinomyces odontolyticus] 
gi|489889580|ref|WP_003793030.1|	allantoin permease [Actinomyces odontolyticus] 
gi|489889581|ref|WP_003793031.1|	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Actinomyces odontolyticus] 
gi|489889582|ref|WP_003793032.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889583|ref|WP_003793033.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889584|ref|WP_003793034.1|	DEAD/DEAH box helicase [Actinomyces odontolyticus] 
gi|489889585|ref|WP_003793035.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889586|ref|WP_003793036.1|	NADPH dehydrogenase [Actinomyces odontolyticus] 
gi|489889587|ref|WP_003793037.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889588|ref|WP_003793038.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889589|ref|WP_003793039.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889590|ref|WP_003793040.1|	pyridoxal phosphate biosynthesis protein [Actinomyces odontolyticus] 
gi|489889591|ref|WP_003793041.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889592|ref|WP_003793042.1|	lipoate-protein ligase A [Actinomyces odontolyticus] 
gi|489889593|ref|WP_003793043.1|	dihydroxy-acid dehydratase [Actinomyces odontolyticus] 
gi|489889594|ref|WP_003793044.1|	methionine synthase [Actinomyces odontolyticus] 
gi|489889595|ref|WP_003793045.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889596|ref|WP_003793046.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889597|ref|WP_003793047.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889598|ref|WP_003793048.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889599|ref|WP_003793049.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489889600|ref|WP_003793050.1|	mannose-6-phosphate isomerase [Actinomyces odontolyticus] 
gi|489889601|ref|WP_003793051.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889602|ref|WP_003793052.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889603|ref|WP_003793053.1|	branched-chain amino acid aminotransferase [Actinomyces odontolyticus] 
gi|489889604|ref|WP_003793054.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889605|ref|WP_003793055.1|	beta-carotene 15,15-monooxygenase [Actinomyces odontolyticus] 
gi|489889607|ref|WP_003793057.1|	S-ribosylhomocysteinase [Actinomyces odontolyticus] 
gi|489889609|ref|WP_003793059.1|	DNA primase [Actinomyces odontolyticus] 
gi|489889611|ref|WP_003793061.1|	deoxyguanosinetriphosphate triphosphohydrolase [Actinomyces odontolyticus] 
gi|489889613|ref|WP_003793063.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889615|ref|WP_003793065.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889617|ref|WP_003793067.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889619|ref|WP_003793069.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489889621|ref|WP_003793071.1|	UDP-glucose 6-dehydrogenase [Actinomyces odontolyticus] 
gi|489889623|ref|WP_003793073.1|	phosphotransferase [Actinomyces odontolyticus] 
gi|489889625|ref|WP_003793075.1|	phosphotransferase [Actinomyces odontolyticus] 
gi|489889627|ref|WP_003793077.1|	protein-tyrosine-phosphatase [Actinomyces odontolyticus] 
gi|489889628|ref|WP_003793078.1|	glycosyltransferase family 1 [Actinomyces odontolyticus] 
gi|489889630|ref|WP_003793080.1|	glycosyltransferase [Actinomyces odontolyticus] 
gi|489889633|ref|WP_003793083.1|	glycosyltransferase family 28 [Actinomyces odontolyticus] 
gi|489889634|ref|WP_003793084.1|	PTS mannose transporter subunit IIABC [Actinomyces odontolyticus] 
gi|489889637|ref|WP_003793087.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889640|ref|WP_003793090.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889641|ref|WP_003793091.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889643|ref|WP_003793093.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889644|ref|WP_003793094.1|	DNA replication and repair protein RecF [Actinomyces odontolyticus] 
gi|489889646|ref|WP_003793096.1|	3-dehydroquinate dehydratase [Actinomyces odontolyticus] 
gi|489889648|ref|WP_003793098.1|	hydrolase [Actinomyces odontolyticus] 
gi|489889651|ref|WP_003793101.1|	glycine-tRNA synthetase subunit beta [Actinomyces odontolyticus] 
gi|489889653|ref|WP_003793103.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889655|ref|WP_003793105.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889657|ref|WP_003793107.1|	GntR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889659|ref|WP_003793109.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889661|ref|WP_003793111.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489889663|ref|WP_003793113.1|	maltose ABC transporter permease [Actinomyces odontolyticus] 
gi|489889665|ref|WP_003793115.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889668|ref|WP_003793118.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889670|ref|WP_003793120.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889672|ref|WP_003793122.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889673|ref|WP_003793123.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889675|ref|WP_003793125.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889677|ref|WP_003793127.1|	peptide ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889679|ref|WP_003793129.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889682|ref|WP_003793132.1|	UDP pyrophosphate synthase [Actinomyces odontolyticus] 
gi|489889683|ref|WP_003793133.1|	DNA repair protein RecO [Actinomyces odontolyticus] 
gi|489889685|ref|WP_003793135.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889687|ref|WP_003793137.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889690|ref|WP_003793140.1|	2-isopropylmalate synthase [Actinomyces odontolyticus] 
gi|489889691|ref|WP_003793141.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889693|ref|WP_003793143.1|	lactate permease [Actinomyces odontolyticus] 
gi|489889695|ref|WP_003793145.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889696|ref|WP_003793146.1|	Fe-S osidoreductase [Actinomyces odontolyticus] 
gi|489889699|ref|WP_003793149.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889701|ref|WP_003793151.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889702|ref|WP_003793152.1|	excinuclease ABC subunit A [Actinomyces odontolyticus] 
gi|489889706|ref|WP_003793156.1|	GTP-binding protein [Actinomyces odontolyticus] 
gi|489889707|ref|WP_003793157.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889709|ref|WP_003793159.1|	heat-shock protein [Actinomyces odontolyticus] 
gi|489889713|ref|WP_003793163.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889715|ref|WP_003793165.1|	helicase [Actinomyces odontolyticus] 
gi|489889717|ref|WP_003793167.1|	antitoxin PHD [Actinomyces odontolyticus] 
gi|489889719|ref|WP_003793169.1|	mercuric reductase [Actinomyces odontolyticus] 
gi|489889721|ref|WP_003793171.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489889723|ref|WP_003793173.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889724|ref|WP_003793174.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889726|ref|WP_003793176.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889728|ref|WP_003793178.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889730|ref|WP_003793180.1|	toxin [Actinomyces odontolyticus] 
gi|489889732|ref|WP_003793182.1|	toxin-antitoxin system protein [Actinomyces odontolyticus] 
gi|489889733|ref|WP_003793183.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489889735|ref|WP_003793185.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489889736|ref|WP_003793186.1|	diaminopimelate decarboxylase [Actinomyces odontolyticus] 
gi|489889739|ref|WP_003793189.1|	arginyl-tRNA synthetase [Actinomyces odontolyticus] 
