gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991182|ref|WP_004852915.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991183|ref|WP_004852916.1|	MULTISPECIES: triosephosphate isomerase [Coprococcus] 
gi|490991185|ref|WP_004852918.1|	phosphoglycerate kinase [Coprococcus eutactus] 
gi|490991188|ref|WP_004852921.1|	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase [Clostridiales] 
gi|490991190|ref|WP_004852923.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991191|ref|WP_004852924.1|	thiouridylase [Coprococcus eutactus] 
gi|490991192|ref|WP_004852925.1|	cysteine desulfurase [Coprococcus eutactus] 
gi|490991194|ref|WP_004852927.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490991199|ref|WP_004852932.1|	MULTISPECIES: electron transfer flavoprotein subunit alpha [Coprococcus] 
gi|490991200|ref|WP_004852933.1|	electron transfer flavoprotein subunit beta [Coprococcus eutactus] 
gi|490991201|ref|WP_004852934.1|	MULTISPECIES: acyl-CoA dehydrogenase [Coprococcus] 
gi|490991203|ref|WP_004852936.1|	3-hydroxybutyryl-CoA dehydrogenase [Coprococcus eutactus] 
gi|490991207|ref|WP_004852940.1|	MULTISPECIES: enoyl-CoA hydratase [Coprococcus] 
gi|490991208|ref|WP_004852941.1|	acetyl-CoA acetyltransferase [Coprococcus eutactus] 
gi|490991209|ref|WP_004852942.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991211|ref|WP_004852944.1|	rod shape-determining protein Mbl [Coprococcus eutactus] 
gi|490991213|ref|WP_004852946.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991215|ref|WP_004852948.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991217|ref|WP_004852950.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991218|ref|WP_004852951.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991219|ref|WP_004852952.1|	diacylglycerol kinase [Coprococcus eutactus] 
gi|490991220|ref|WP_004852953.1|	thymidylate synthase [Coprococcus eutactus] 
gi|490991221|ref|WP_004852954.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991222|ref|WP_004852955.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991223|ref|WP_004852956.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991224|ref|WP_004852957.1|	MULTISPECIES: inorganic pyrophosphatase [Coprococcus] 
gi|490991226|ref|WP_004852959.1|	carbamoyl phosphate synthase large subunit [Coprococcus eutactus] 
gi|490991227|ref|WP_004852960.1|	MULTISPECIES: carbamoyl phosphate synthase [Coprococcus] 
gi|490991228|ref|WP_004852961.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991229|ref|WP_004852962.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991230|ref|WP_004852963.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991231|ref|WP_004852964.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991232|ref|WP_004852965.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Coprococcus eutactus] 
gi|490991234|ref|WP_004852967.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991236|ref|WP_004852969.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991237|ref|WP_004852970.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991240|ref|WP_004852973.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991242|ref|WP_004852975.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991244|ref|WP_004852977.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991245|ref|WP_004852978.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991246|ref|WP_004852979.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991247|ref|WP_004852980.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991248|ref|WP_004852981.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991250|ref|WP_004852983.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991251|ref|WP_004852984.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991252|ref|WP_004852985.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991254|ref|WP_004852987.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991255|ref|WP_004852988.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991256|ref|WP_004852989.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991258|ref|WP_004852991.1|	argininosuccinate lyase [Coprococcus eutactus] 
gi|490991260|ref|WP_004852993.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991265|ref|WP_004852998.1|	MULTISPECIES: RNA polymerase sigma 70 [Coprococcus] 
gi|490991267|ref|WP_004853000.1|	peptide chain release factor 3 [Coprococcus eutactus] 
gi|490991268|ref|WP_004853001.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991269|ref|WP_004853002.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991271|ref|WP_004853004.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991273|ref|WP_004853006.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991275|ref|WP_004853008.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991277|ref|WP_004853010.1|	MULTISPECIES: sodium:alanine symporter [Coprococcus] 
gi|490991279|ref|WP_004853012.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991281|ref|WP_004853014.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991283|ref|WP_004853016.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991285|ref|WP_004853018.1|	6-pyruvoyl tetrahydrobiopterin synthase [Coprococcus eutactus] 
gi|490991286|ref|WP_004853019.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991287|ref|WP_004853020.1|	glycosyl transferase [Coprococcus eutactus] 
gi|490991289|ref|WP_004853022.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991291|ref|WP_004853024.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991292|ref|WP_004853025.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991293|ref|WP_004853026.1|	aminotransferase [Coprococcus eutactus] 
gi|490991294|ref|WP_004853027.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991296|ref|WP_004853029.1|	MULTISPECIES: amino acid ABC transporter substrate-binding protein [Coprococcus] 
gi|490991298|ref|WP_004853031.1|	MULTISPECIES: polar amino acid ABC transporter permease [Coprococcus] 
gi|490991299|ref|WP_004853032.1|	MULTISPECIES: ABC transporter [Coprococcus] 
gi|490991301|ref|WP_004853034.1|	carbamoyl phosphate synthase large subunit [Coprococcus eutactus] 
gi|490991303|ref|WP_004853036.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991306|ref|WP_004853039.1|	MULTISPECIES: alpha/beta hydrolase [Coprococcus] 
gi|490991308|ref|WP_004853041.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991310|ref|WP_004853043.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991312|ref|WP_004853045.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991314|ref|WP_004853047.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991315|ref|WP_004853048.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991317|ref|WP_004853050.1|	transporter [Coprococcus eutactus] 
gi|490991319|ref|WP_004853052.1|	sodium:proton antiporter [Coprococcus eutactus] 
gi|490991321|ref|WP_004853054.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991322|ref|WP_004853055.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991324|ref|WP_004853057.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991326|ref|WP_004853059.1|	MULTISPECIES: beta-lactamase [Coprococcus] 
gi|490991328|ref|WP_004853061.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987983|ref|WP_004849716.1|	MULTISPECIES: transposase [Clostridiales] 
gi|490991339|ref|WP_004853072.1|	50S ribosomal protein L7ae [Coprococcus eutactus] 
gi|490991341|ref|WP_004853074.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991342|ref|WP_004853075.1|	transcription elongation factor NusA [Coprococcus eutactus] 
gi|490991344|ref|WP_004853077.1|	ribosome maturation protein RimP [Coprococcus eutactus] 
gi|490991346|ref|WP_004853079.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991347|ref|WP_004853080.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991349|ref|WP_004853082.1|	peptidoglycan-binding protein [Coprococcus eutactus] 
gi|490991351|ref|WP_004853084.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991354|ref|WP_004853087.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991356|ref|WP_004853089.1|	DNA polymerase III subunit alpha [Coprococcus eutactus] 
gi|490991357|ref|WP_004853090.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Coprococcus eutactus] 
gi|490991358|ref|WP_004853091.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991359|ref|WP_004853092.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Coprococcus eutactus] 
gi|490991361|ref|WP_004853094.1|	MULTISPECIES: CDP-diglyceride synthetase [Coprococcus] 
gi|490991363|ref|WP_004853096.1|	MULTISPECIES: UDP pyrophosphate synthase [Coprococcus] 
gi|490991365|ref|WP_004853098.1|	ribosome recycling factor [Coprococcus eutactus] 
gi|490991367|ref|WP_004853100.1|	MULTISPECIES: uridylate kinase [Coprococcus] 
gi|490991368|ref|WP_004853101.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991370|ref|WP_004853103.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991371|ref|WP_004853104.1|	HAD family hydrolase [Coprococcus eutactus] 
gi|490991373|ref|WP_004853106.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991375|ref|WP_004853108.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991377|ref|WP_004853110.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991380|ref|WP_004853113.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991379|ref|WP_004853112.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991382|ref|WP_004853115.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991384|ref|WP_004853117.1|	MULTISPECIES: ribulose-phosphate 3-epimerase [Coprococcus] 
gi|490991387|ref|WP_004853120.1|	MULTISPECIES: GTPase A [Coprococcus] 
gi|490991389|ref|WP_004853122.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991390|ref|WP_004853123.1|	MULTISPECIES: protein serine/threonine phosphatase [Coprococcus] 
gi|490991393|ref|WP_004853126.1|	MULTISPECIES: 23S rRNA methyltransferase [Coprococcus] 
gi|490991396|ref|WP_004853129.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991398|ref|WP_004853131.1|	methionyl-tRNA formyltransferase [Coprococcus eutactus] 
gi|490991400|ref|WP_004853133.1|	MULTISPECIES: peptide deformylase [Coprococcus] 
gi|490991403|ref|WP_004853136.1|	primosomal protein N' [Coprococcus eutactus] 
gi|490991405|ref|WP_004853138.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991406|ref|WP_004853139.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991408|ref|WP_004853141.1|	guanylate kinase [Coprococcus eutactus] 
gi|490991410|ref|WP_004853143.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991412|ref|WP_004853145.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991415|ref|WP_004853148.1|	fibronectin-binding protein [Coprococcus eutactus] 
gi|490991416|ref|WP_004853149.1|	MULTISPECIES: glycogen synthase [Coprococcus] 
gi|490991418|ref|WP_004853151.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991420|ref|WP_004853153.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991422|ref|WP_004853155.1|	MULTISPECIES: preprotein translocase SecA [Coprococcus] 
gi|490991424|ref|WP_004853157.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991425|ref|WP_004853158.1|	ATPase AAA [Coprococcus eutactus] 
gi|490991427|ref|WP_004853160.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991430|ref|WP_004853163.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991431|ref|WP_004853164.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991434|ref|WP_004853167.1|	histidinol-phosphate aminotransferase [Coprococcus eutactus] 
gi|490991436|ref|WP_004853169.1|	MULTISPECIES: peptide chain release factor 1 [Coprococcus] 
gi|490991438|ref|WP_004853171.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991441|ref|WP_004853174.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991443|ref|WP_004853176.1|	MULTISPECIES: 50S ribosomal protein L31 [Coprococcus] 
gi|490991445|ref|WP_004853178.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991446|ref|WP_004853179.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991449|ref|WP_004853182.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991450|ref|WP_004853183.1|	MULTISPECIES: GTP-binding protein EngB [Coprococcus] 
gi|490991453|ref|WP_004853186.1|	Lon protease [Coprococcus eutactus] 
gi|490991454|ref|WP_004853187.1|	ATP-dependent protease [Coprococcus eutactus] 
gi|490991457|ref|WP_004853190.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991458|ref|WP_004853191.1|	ATP-dependent Clp protease proteolytic subunit [Coprococcus eutactus] 
gi|490991459|ref|WP_004853192.1|	MULTISPECIES: trigger factor [Coprococcus] 
gi|490991460|ref|WP_004853193.1|	MULTISPECIES: spore protein [Coprococcus] 
gi|490991462|ref|WP_004853195.1|	MULTISPECIES: butyrate kinase [Coprococcus] 
gi|490991464|ref|WP_004853197.1|	phosphate butyryltransferase [Coprococcus eutactus] 
gi|490991465|ref|WP_004853198.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991467|ref|WP_004853200.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991468|ref|WP_004853201.1|	MULTISPECIES: S-ribosylhomocysteinase [Coprococcus] 
gi|490991470|ref|WP_004853203.1|	MULTISPECIES: S-adenosylhomocysteine nucleosidase [Coprococcus] 
gi|490991472|ref|WP_004853205.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991474|ref|WP_004853207.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991476|ref|WP_004853209.1|	magnesium chelatase [Coprococcus eutactus] 
gi|490991477|ref|WP_004853210.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991479|ref|WP_004853212.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991481|ref|WP_004853214.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991482|ref|WP_004853215.1|	DNA methylase [Coprococcus eutactus] 
gi|490991485|ref|WP_004853218.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490991487|ref|WP_004853220.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991490|ref|WP_004853223.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991491|ref|WP_004853224.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991494|ref|WP_004853227.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991496|ref|WP_004853229.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991499|ref|WP_004853232.1|	uracil permease [Coprococcus eutactus] 
gi|490991500|ref|WP_004853233.1|	aldehyde oxidase [Coprococcus eutactus] 
gi|490991502|ref|WP_004853235.1|	MULTISPECIES: (2Fe-2S)-binding protein [Coprococcus] 
gi|490991504|ref|WP_004853237.1|	FAD-binding subunit of xanthine dehydrogenase dehydrogenase [Coprococcus eutactus] 
gi|490991506|ref|WP_004853239.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991508|ref|WP_004853241.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991510|ref|WP_004853243.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991511|ref|WP_004853244.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991512|ref|WP_004853245.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991514|ref|WP_004853247.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991516|ref|WP_004853249.1|	RNA polymerase sigma 70 [Coprococcus eutactus] 
gi|490991517|ref|WP_004853250.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991520|ref|WP_004853253.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991523|ref|WP_004853256.1|	MULTISPECIES: hisitidine kinase [Coprococcus] 
gi|490991524|ref|WP_004853257.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991526|ref|WP_004853259.1|	acyl carrier protein [Coprococcus eutactus] 
gi|490991528|ref|WP_004853261.1|	acyl-CoA thioester hydrolase [Coprococcus eutactus] 
gi|490991529|ref|WP_004853262.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991531|ref|WP_004853264.1|	alpha-N-arabinofuranosidase [Coprococcus eutactus] 
gi|490991534|ref|WP_004853267.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490991535|ref|WP_004853268.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991537|ref|WP_004853270.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991539|ref|WP_004853272.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991538|ref|WP_004853271.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991543|ref|WP_004853276.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991541|ref|WP_004853274.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991551|ref|WP_004853284.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991552|ref|WP_004853285.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991554|ref|WP_004853287.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991556|ref|WP_004853289.1|	membrane protein [Coprococcus eutactus] 
gi|490991558|ref|WP_004853291.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991561|ref|WP_004853294.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991562|ref|WP_004853295.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991565|ref|WP_004853298.1|	MULTISPECIES: ABC transporter ATP-binding protein [Coprococcus] 
gi|490991567|ref|WP_004853300.1|	ABC transporter permease [Coprococcus eutactus] 
gi|490991568|ref|WP_004853301.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991571|ref|WP_004853304.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991572|ref|WP_004853305.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991575|ref|WP_004853308.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991578|ref|WP_004853311.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991579|ref|WP_004853312.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991582|ref|WP_004853315.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991585|ref|WP_004853318.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991586|ref|WP_004853319.1|	sugar:sodium symporter [Coprococcus eutactus] 
gi|490991588|ref|WP_004853321.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991589|ref|WP_004853322.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991590|ref|WP_004853323.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991592|ref|WP_004853325.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Coprococcus] 
gi|490991595|ref|WP_004853328.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Coprococcus] 
gi|490991596|ref|WP_004853329.1|	septation protein spoVG [Coprococcus eutactus] 
gi|490991598|ref|WP_004853331.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991599|ref|WP_004853332.1|	MULTISPECIES: UDP-N-acetylglucosamine diphosphorylase [Coprococcus] 
gi|490991602|ref|WP_004853335.1|	peptidyl-tRNA hydrolase [Coprococcus eutactus] 
gi|490991603|ref|WP_004853336.1|	transcription-repair coupling factor [Coprococcus eutactus] 
gi|490991606|ref|WP_004853339.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991609|ref|WP_004853342.1|	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase [Coprococcus] 
gi|490991611|ref|WP_004853344.1|	MULTISPECIES: ribonucleoside-triphosphate reductase activating protein [Coprococcus] 
gi|490991612|ref|WP_004853345.1|	ribonucleoside triphosphate reductase [Coprococcus eutactus] 
gi|490991614|ref|WP_004853347.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991617|ref|WP_004853350.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991618|ref|WP_004853351.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991621|ref|WP_004853354.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991623|ref|WP_004853356.1|	MULTISPECIES: transcription elongation factor GreA [Coprococcus] 
gi|490991626|ref|WP_004853359.1|	lysyl-tRNA synthetase [Coprococcus eutactus] 
gi|490991627|ref|WP_004853360.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991628|ref|WP_004853361.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991631|ref|WP_004853364.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|490991633|ref|WP_004853366.1|	MULTISPECIES: PhoB family transcriptional regulator [Clostridiales] 
gi|490991635|ref|WP_004853368.1|	histidine kinase [Coprococcus eutactus] 
gi|490991636|ref|WP_004853369.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991639|ref|WP_004853372.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|490991642|ref|WP_004853375.1|	macrolide ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490991645|ref|WP_004853378.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991643|ref|WP_004853376.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991647|ref|WP_004853380.1|	peptidase S11 [Coprococcus eutactus] 
gi|490991649|ref|WP_004853382.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490991651|ref|WP_004853384.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490991653|ref|WP_004853386.1|	integrase [Coprococcus eutactus] 
gi|490991654|ref|WP_004853387.1|	methionyl-tRNA synthetase [Coprococcus eutactus] 
gi|490991656|ref|WP_004853389.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991658|ref|WP_004853391.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991659|ref|WP_004853392.1|	lantibiotic ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490991665|ref|WP_004853398.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|490991668|ref|WP_004853401.1|	bacteriocin ABC transporter permease [Coprococcus eutactus] 
gi|490991669|ref|WP_004853402.1|	multidrug ABC transporter [Coprococcus eutactus] 
gi|490991672|ref|WP_004853405.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991674|ref|WP_004853407.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991676|ref|WP_004853409.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490991678|ref|WP_004853411.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991681|ref|WP_004853414.1|	ABC transporter [Coprococcus eutactus] 
gi|490991684|ref|WP_004853417.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991685|ref|WP_004853418.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490991687|ref|WP_004853420.1|	beta-galactosidase [Coprococcus eutactus] 
gi|490991689|ref|WP_004853422.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991690|ref|WP_004853423.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991692|ref|WP_004853425.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490991694|ref|WP_004853427.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991697|ref|WP_004853430.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991698|ref|WP_004853431.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991703|ref|WP_004853436.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991700|ref|WP_004853433.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490991704|ref|WP_004853437.1|	hypothetical protein [Coprococcus eutactus] 
gi|489961754|ref|WP_003865061.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|490991707|ref|WP_004853440.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490991708|ref|WP_004853441.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991710|ref|WP_004853443.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490991711|ref|WP_004853444.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991714|ref|WP_004853447.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991715|ref|WP_004853448.1|	ATPase [Coprococcus eutactus] 
gi|490991717|ref|WP_004853450.1|	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [Coprococcus eutactus] 
gi|490991719|ref|WP_004853452.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490991721|ref|WP_004853454.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991724|ref|WP_004853457.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991726|ref|WP_004853459.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991728|ref|WP_004853461.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991730|ref|WP_004853463.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991734|ref|WP_004853467.1|	MULTISPECIES: MarR family transcriptional regulator [Lachnospiraceae] 
gi|490991736|ref|WP_004853469.1|	radical SAM protein [Coprococcus eutactus] 
gi|490991737|ref|WP_004853470.1|	radical SAM protein [Coprococcus eutactus] 
gi|490991740|ref|WP_004853473.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991741|ref|WP_004853474.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991743|ref|WP_004853476.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991745|ref|WP_004853478.1|	nitroreductase [Coprococcus eutactus] 
gi|490991754|ref|WP_004853487.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987752|ref|WP_004849485.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988579|ref|WP_004850312.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987309|ref|WP_004849042.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987311|ref|WP_004849044.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987313|ref|WP_004849046.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987324|ref|WP_004849057.1|	hydrolase [Coprococcus eutactus] 
gi|490991756|ref|WP_004853489.1|	MULTISPECIES: XRE family transcriptional regulator [Coprococcus] 
gi|490991758|ref|WP_004853491.1|	phosphatidylinositol kinase [Coprococcus eutactus] 
gi|490991760|ref|WP_004853493.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991762|ref|WP_004853495.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991765|ref|WP_004853498.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991767|ref|WP_004853500.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490991769|ref|WP_004853502.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991771|ref|WP_004853504.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991772|ref|WP_004853505.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991774|ref|WP_004853507.1|	hypothetical protein [Coprococcus eutactus] 
gi|490991777|ref|WP_004853510.1|	hypothetical protein [Coprococcus eutactus] 
