gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490748164|ref|WP_004610472.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748165|ref|WP_004610473.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748166|ref|WP_004610474.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748167|ref|WP_004610475.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748168|ref|WP_004610476.1|	transposase [[Clostridium] spiroforme] 
gi|490748169|ref|WP_004610477.1|	acyl-CoA thioester hydrolase [[Clostridium] spiroforme] 
gi|490748170|ref|WP_004610478.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748171|ref|WP_004610479.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748172|ref|WP_004610480.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748173|ref|WP_004610481.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748174|ref|WP_004610482.1|	membrane protein [[Clostridium] spiroforme] 
gi|490748175|ref|WP_004610483.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748176|ref|WP_004610484.1|	potassium transporter Trk [[Clostridium] spiroforme] 
gi|490748177|ref|WP_004610485.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748178|ref|WP_004610486.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748179|ref|WP_004610487.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748180|ref|WP_004610488.1|	stage V sporulation protein AC [[Clostridium] spiroforme] 
gi|490748181|ref|WP_004610489.1|	stage V sporulation protein AD [[Clostridium] spiroforme] 
gi|490748182|ref|WP_004610490.1|	stage V sporulation protein AEB [[Clostridium] spiroforme] 
gi|490748183|ref|WP_004610491.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748184|ref|WP_004610492.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748185|ref|WP_004610493.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748186|ref|WP_004610494.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748187|ref|WP_004610495.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748188|ref|WP_004610496.1|	segregation and condensation protein B [[Clostridium] spiroforme] 
gi|490748189|ref|WP_004610497.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748190|ref|WP_004610498.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748191|ref|WP_004610499.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748192|ref|WP_004610500.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748193|ref|WP_004610501.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748194|ref|WP_004610502.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748195|ref|WP_004610503.1|	ferredoxin [[Clostridium] spiroforme] 
gi|490748196|ref|WP_004610504.1|	NADH dehydrogenase [[Clostridium] spiroforme] 
gi|490748197|ref|WP_004610505.1|	ferredoxin [[Clostridium] spiroforme] 
gi|490748198|ref|WP_004610506.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748199|ref|WP_004610507.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748200|ref|WP_004610508.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748201|ref|WP_004610509.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748202|ref|WP_004610510.1|	anti-sigma regulatory factor [[Clostridium] spiroforme] 
gi|490748203|ref|WP_004610511.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748204|ref|WP_004610512.1|	NADH dehydrogenase [[Clostridium] spiroforme] 
gi|490748205|ref|WP_004610513.1|	phosphohydrolase [[Clostridium] spiroforme] 
gi|490748206|ref|WP_004610514.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748207|ref|WP_004610515.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748208|ref|WP_004610516.1|	NADPH-dependent butanol dehydrogenase [[Clostridium] spiroforme] 
gi|490748209|ref|WP_004610517.1|	phosphoglycerate mutase [[Clostridium] spiroforme] 
gi|490748210|ref|WP_004610518.1|	UDP pyrophosphate phosphatase [[Clostridium] spiroforme] 
gi|490748211|ref|WP_004610519.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748212|ref|WP_004610520.1|	transposase [[Clostridium] spiroforme] 
gi|490748213|ref|WP_004610521.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746464|ref|WP_004608772.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748214|ref|WP_004610522.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748215|ref|WP_004610523.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748216|ref|WP_004610524.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748217|ref|WP_004610525.1|	excisionase [[Clostridium] spiroforme] 
gi|490748218|ref|WP_004610526.1|	replication initiation protein [[Clostridium] spiroforme] 
gi|490748219|ref|WP_004610527.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748220|ref|WP_004610528.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748221|ref|WP_004610529.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748222|ref|WP_004610530.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748223|ref|WP_004610531.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748224|ref|WP_004610532.1|	bacitracin ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748225|ref|WP_004610533.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748226|ref|WP_004610534.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748227|ref|WP_004610535.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748228|ref|WP_004610536.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748229|ref|WP_004610537.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748230|ref|WP_004610538.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748231|ref|WP_004610539.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490748232|ref|WP_004610540.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748233|ref|WP_004610541.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748234|ref|WP_004610542.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490748235|ref|WP_004610543.1|	GntR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748236|ref|WP_004610544.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748237|ref|WP_004610545.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748238|ref|WP_004610546.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490748239|ref|WP_004610547.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748240|ref|WP_004610548.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748241|ref|WP_004610549.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748242|ref|WP_004610550.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748243|ref|WP_004610551.1|	RNA polymerase subunit sigma-24 [[Clostridium] spiroforme] 
gi|490748244|ref|WP_004610552.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748245|ref|WP_004610553.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748246|ref|WP_004610554.1|	adenylosuccinate synthetase [[Clostridium] spiroforme] 
gi|490748247|ref|WP_004610555.1|	GMP synthase [[Clostridium] spiroforme] 
gi|490748248|ref|WP_004610556.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748249|ref|WP_004610557.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748250|ref|WP_004610558.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748251|ref|WP_004610559.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748252|ref|WP_004610560.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748253|ref|WP_004610561.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747739|ref|WP_004610047.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747741|ref|WP_004610049.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747742|ref|WP_004610050.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748254|ref|WP_004610562.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490748255|ref|WP_004610563.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|488270285|ref|WP_002341493.1|	MULTISPECIES: excisionase [Firmicutes] 
gi|490748256|ref|WP_004610564.1|	conjugative transposon replication initiation factor [[Clostridium] spiroforme] 
gi|490748257|ref|WP_004610565.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490748258|ref|WP_004610566.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748259|ref|WP_004610567.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748260|ref|WP_004610568.1|	GNAT family acetyltraansferase [[Clostridium] spiroforme] 
gi|490748261|ref|WP_004610569.1|	MerR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748262|ref|WP_004610570.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748263|ref|WP_004610571.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748264|ref|WP_004610572.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748265|ref|WP_004610573.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748266|ref|WP_004610574.1|	3-phosphoglycerate dehydrogenase [[Clostridium] spiroforme] 
gi|490748267|ref|WP_004610575.1|	MFS transporter [[Clostridium] spiroforme] 
gi|490748268|ref|WP_004610576.1|	histidinol phosphate phosphatase [[Clostridium] spiroforme] 
gi|490748269|ref|WP_004610577.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748270|ref|WP_004610578.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748271|ref|WP_004610579.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748272|ref|WP_004610580.1|	tryptophanyl-tRNA synthase [[Clostridium] spiroforme] 
gi|490748273|ref|WP_004610581.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748274|ref|WP_004610582.1|	chromosome condensation protein CrcB [[Clostridium] spiroforme] 
gi|490748275|ref|WP_004610583.1|	amidophosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490748276|ref|WP_004610584.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748277|ref|WP_004610585.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748278|ref|WP_004610586.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746350|ref|WP_004608658.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748279|ref|WP_004610587.1|	sulfate permease [[Clostridium] spiroforme] 
gi|490748280|ref|WP_004610588.1|	4Fe-4S ferredoxin [[Clostridium] spiroforme] 
gi|490748281|ref|WP_004610589.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748282|ref|WP_004610590.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748283|ref|WP_004610591.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748284|ref|WP_004610592.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748285|ref|WP_004610593.1|	5'-nucleotidase [[Clostridium] spiroforme] 
gi|490748286|ref|WP_004610594.1|	3-methyladenine DNA glycosylase [[Clostridium] spiroforme] 
gi|490748287|ref|WP_004610595.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748288|ref|WP_004610596.1|	heme ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748289|ref|WP_004610597.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748290|ref|WP_004610598.1|	D-Ala-D-Ala carboxypeptidase [[Clostridium] spiroforme] 
gi|490748291|ref|WP_004610599.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748292|ref|WP_004610600.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748293|ref|WP_004610601.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748294|ref|WP_004610602.1|	cobalamin biosynthesis protein CobW [[Clostridium] spiroforme] 
gi|490748295|ref|WP_004610603.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748296|ref|WP_004610604.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748297|ref|WP_004610605.1|	3-hydroxyacyl-ACP dehydratase [[Clostridium] spiroforme] 
gi|490748298|ref|WP_004610606.1|	3-oxoacyl-ACP synthase [[Clostridium] spiroforme] 
gi|490748299|ref|WP_004610607.1|	3-ketoacyl-ACP reductase [[Clostridium] spiroforme] 
gi|490748300|ref|WP_004610608.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748301|ref|WP_004610609.1|	2-nitropropane dioxygenase [[Clostridium] spiroforme] 
gi|490748302|ref|WP_004610610.1|	2-nitropropane dioxygenase [[Clostridium] spiroforme] 
gi|490748303|ref|WP_004610611.1|	3-oxoacyl-ACP synthase [[Clostridium] spiroforme] 
gi|490748304|ref|WP_004610612.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490748305|ref|WP_004610613.1|	acetyl-CoA carboxylase [[Clostridium] spiroforme] 
gi|490748306|ref|WP_004610614.1|	acetyl-CoA carboxylase subunit beta [[Clostridium] spiroforme] 
gi|490748307|ref|WP_004610615.1|	acetyl-CoA carboxylase biotin carboxylase subunit [[Clostridium] spiroforme] 
gi|490748308|ref|WP_004610616.1|	acetyl-CoA carboxylase [[Clostridium] spiroforme] 
gi|490748309|ref|WP_004610617.1|	acyl carrier protein [[Clostridium] spiroforme] 
gi|490748310|ref|WP_004610618.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748311|ref|WP_004610619.1|	acetyltransferase [[Clostridium] spiroforme] 
gi|490748312|ref|WP_004610620.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748313|ref|WP_004610621.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748314|ref|WP_004610622.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748315|ref|WP_004610623.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748316|ref|WP_004610624.1|	murein hydrolase transporter LrgA [[Clostridium] spiroforme] 
gi|490748317|ref|WP_004610625.1|	membrane protein [[Clostridium] spiroforme] 
gi|490748318|ref|WP_004610626.1|	glyceraldehyde-3-phosphate dehydrogenase [[Clostridium] spiroforme] 
gi|490746408|ref|WP_004608716.1|	transposase [[Clostridium] spiroforme] 
gi|490748319|ref|WP_004610627.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748320|ref|WP_004610628.1|	ATP-dependent Clp protease proteolytic subunit [[Clostridium] spiroforme] 
gi|490748321|ref|WP_004610629.1|	MerR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748322|ref|WP_004610630.1|	NADH-dependent butanol dehydrogenase [[Clostridium] spiroforme] 
gi|490748323|ref|WP_004610631.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748324|ref|WP_004610632.1|	DNA-directed RNA polymerase [[Clostridium] spiroforme] 
gi|490748325|ref|WP_004610633.1|	arginyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490748326|ref|WP_004610634.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748327|ref|WP_004610635.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748328|ref|WP_004610636.1|	penicillin-binding protein [[Clostridium] spiroforme] 
gi|490748329|ref|WP_004610637.1|	phosphohydrolase [[Clostridium] spiroforme] 
gi|490748330|ref|WP_004610638.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748331|ref|WP_004610639.1|	isocitrate dehydrogenase [[Clostridium] spiroforme] 
gi|490748332|ref|WP_004610640.1|	aconitate hydratase [[Clostridium] spiroforme] 
gi|490748333|ref|WP_004610641.1|	peptidase M42 [[Clostridium] spiroforme] 
gi|490748334|ref|WP_004610642.1|	peptide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748335|ref|WP_004610643.1|	peptide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748336|ref|WP_004610644.1|	peptide ABC transporter permease [[Clostridium] spiroforme] 
gi|490748337|ref|WP_004610645.1|	glutathione ABC transporter permease [[Clostridium] spiroforme] 
gi|490748338|ref|WP_004610646.1|	ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490748339|ref|WP_004610647.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748340|ref|WP_004610648.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490748341|ref|WP_004610649.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748342|ref|WP_004610650.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748343|ref|WP_004610651.1|	transporter [[Clostridium] spiroforme] 
gi|490748344|ref|WP_004610652.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748345|ref|WP_004610653.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748346|ref|WP_004610654.1|	holin [[Clostridium] spiroforme] 
gi|490746633|ref|WP_004608941.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746634|ref|WP_004608942.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748347|ref|WP_004610655.1|	glutamine synthetase [[Clostridium] spiroforme] 
gi|490748348|ref|WP_004610656.1|	phosphodiesterase [[Clostridium] spiroforme] 
gi|490748349|ref|WP_004610657.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748350|ref|WP_004610658.1|	glutaredoxin [[Clostridium] spiroforme] 
gi|490748351|ref|WP_004610659.1|	peptidylprolyl isomerase [[Clostridium] spiroforme] 
gi|490748352|ref|WP_004610660.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748353|ref|WP_004610661.1|	50S rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490748354|ref|WP_004610662.1|	beta-lactamase [[Clostridium] spiroforme] 
gi|490748355|ref|WP_004610663.1|	50S ribosomal protein L31 [[Clostridium] spiroforme] 
gi|490748356|ref|WP_004610664.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748357|ref|WP_004610665.1|	PTS glucose transporter subunit IIA [[Clostridium] spiroforme] 
gi|490748358|ref|WP_004610666.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747194|ref|WP_004609502.1|	PTS mannose transporter subunit IID [[Clostridium] spiroforme] 
gi|490747193|ref|WP_004609501.1|	PTS alpha-glucoside transporter subunit IIBC [[Clostridium] spiroforme] 
gi|490748359|ref|WP_004610667.1|	PTS mannose transporter subunit IIAB [[Clostridium] spiroforme] 
gi|490748360|ref|WP_004610668.1|	integrase [[Clostridium] spiroforme] 
gi|490748361|ref|WP_004610669.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748362|ref|WP_004610670.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748363|ref|WP_004610671.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748364|ref|WP_004610672.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490748365|ref|WP_004610673.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748366|ref|WP_004610674.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748367|ref|WP_004610675.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490748368|ref|WP_004610676.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748369|ref|WP_004610677.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748370|ref|WP_004610678.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748371|ref|WP_004610679.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748372|ref|WP_004610680.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748373|ref|WP_004610681.1|	SAM-dependent methyltransferase [[Clostridium] spiroforme] 
gi|490748374|ref|WP_004610682.1|	acyltransferase [[Clostridium] spiroforme] 
gi|490748375|ref|WP_004610683.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748376|ref|WP_004610684.1|	rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490748377|ref|WP_004610685.1|	fructose-bisphosphate aldolase [[Clostridium] spiroforme] 
gi|490748378|ref|WP_004610686.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Clostridium] spiroforme] 
gi|490748379|ref|WP_004610687.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748380|ref|WP_004610688.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748381|ref|WP_004610689.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748382|ref|WP_004610690.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748383|ref|WP_004610691.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490748384|ref|WP_004610692.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490748385|ref|WP_004610693.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748386|ref|WP_004610694.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748387|ref|WP_004610695.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748388|ref|WP_004610696.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748389|ref|WP_004610697.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [[Clostridium] spiroforme] 
gi|490748390|ref|WP_004610698.1|	tRNA-dihydrouridine synthase [[Clostridium] spiroforme] 
gi|490748391|ref|WP_004610699.1|	heat shock protein Hsp33 [[Clostridium] spiroforme] 
gi|490748392|ref|WP_004610700.1|	zinc metalloprotease [[Clostridium] spiroforme] 
gi|490748393|ref|WP_004610701.1|	hypoxanthine phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490748394|ref|WP_004610702.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748395|ref|WP_004610703.1|	stage II sporulation protein E [[Clostridium] spiroforme] 
gi|490748396|ref|WP_004610704.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748397|ref|WP_004610705.1|	protein-(glutamine-N5) methyltransferase [[Clostridium] spiroforme] 
gi|490748398|ref|WP_004610706.1|	peptide chain release factor 1 [[Clostridium] spiroforme] 
gi|490748399|ref|WP_004610707.1|	thymidine kinase [[Clostridium] spiroforme] 
gi|490748400|ref|WP_004610708.1|	DNA helicase [[Clostridium] spiroforme] 
gi|490748401|ref|WP_004610709.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748402|ref|WP_004610710.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748403|ref|WP_004610711.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748404|ref|WP_004610712.1|	chromosome partitioning protein ParB [[Clostridium] spiroforme] 
gi|490748405|ref|WP_004610713.1|	sporulation initiation inhibitor Soj [[Clostridium] spiroforme] 
gi|490748406|ref|WP_004610714.1|	phosphatidylserine decarboxylase [[Clostridium] spiroforme] 
gi|490748407|ref|WP_004610715.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748408|ref|WP_004610716.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748409|ref|WP_004610717.1|	ribonucleoside-triphosphate reductase activating protein [[Clostridium] spiroforme] 
gi|490748410|ref|WP_004610718.1|	ribonucleoside triphosphate reductase [[Clostridium] spiroforme] 
gi|490748411|ref|WP_004610719.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748412|ref|WP_004610720.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748413|ref|WP_004610721.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748414|ref|WP_004610722.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748415|ref|WP_004610723.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [[Clostridium] spiroforme] 
gi|490748416|ref|WP_004610724.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748417|ref|WP_004610725.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490748418|ref|WP_004610726.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748419|ref|WP_004610727.1|	MerR family transcripitonal regulator [[Clostridium] spiroforme] 
gi|490748420|ref|WP_004610728.1|	chromosome partitioning protein ParB [[Clostridium] spiroforme] 
gi|490748421|ref|WP_004610729.1|	16S rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490748422|ref|WP_004610730.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [[Clostridium] spiroforme] 
gi|490748423|ref|WP_004610731.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748424|ref|WP_004610732.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748425|ref|WP_004610733.1|	hydrolase TatD [[Clostridium] spiroforme] 
gi|490748426|ref|WP_004610734.1|	ribose-phosphate pyrophosphokinase [[Clostridium] spiroforme] 
gi|490748427|ref|WP_004610735.1|	N-acetylglucosamine-1-phosphate uridyltransferase [[Clostridium] spiroforme] 
gi|490748428|ref|WP_004610736.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [[Clostridium] spiroforme] 
gi|490748429|ref|WP_004610737.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748430|ref|WP_004610738.1|	dimethyladenosine transferase [[Clostridium] spiroforme] 
gi|490748431|ref|WP_004610739.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748432|ref|WP_004610740.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748433|ref|WP_004610741.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748434|ref|WP_004610742.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748435|ref|WP_004610743.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748436|ref|WP_004610744.1|	thioredoxin reductase [[Clostridium] spiroforme] 
gi|490748437|ref|WP_004610745.1|	pyruvate formate-lyase [[Clostridium] spiroforme] 
gi|490748438|ref|WP_004610746.1|	radical SAM protein [[Clostridium] spiroforme] 
gi|490748439|ref|WP_004610747.1|	DeoR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490748440|ref|WP_004610748.1|	N-acetylmannosamine-6-phosphate 2-epimerase [[Clostridium] spiroforme] 
gi|490748441|ref|WP_004610749.1|	flavodoxin [[Clostridium] spiroforme] 
gi|490748442|ref|WP_004610750.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748443|ref|WP_004610751.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748444|ref|WP_004610752.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748445|ref|WP_004610753.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748446|ref|WP_004610754.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748447|ref|WP_004610755.1|	excinuclease ABC subunit A [[Clostridium] spiroforme] 
gi|490748448|ref|WP_004610756.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748449|ref|WP_004610757.1|	excinuclease ABC subunit B [[Clostridium] spiroforme] 
gi|490748450|ref|WP_004610758.1|	membrane protein [[Clostridium] spiroforme] 
gi|490748451|ref|WP_004610759.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748452|ref|WP_004610760.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748453|ref|WP_004610761.1|	cysteine ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490748454|ref|WP_004610762.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490748455|ref|WP_004610763.1|	peptidase [[Clostridium] spiroforme] 
gi|490748456|ref|WP_004610764.1|	hypothetical protein [[Clostridium] spiroforme] 
