gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490971165|ref|WP_004832960.1|	MFS transporter [Parvimonas micra] 
gi|490971166|ref|WP_004832961.1|	radical SAM protein [Parvimonas micra] 
gi|490971168|ref|WP_004832963.1|	rod shape-determining protein Mbl [Parvimonas micra] 
gi|490971169|ref|WP_004832964.1|	homoserine dehydrogenase [Parvimonas micra] 
gi|490971170|ref|WP_004832965.1|	hypothetical protein [Parvimonas micra] 
gi|490971172|ref|WP_004832967.1|	hypothetical protein [Parvimonas micra] 
gi|490971173|ref|WP_004832968.1|	transporter [Parvimonas micra] 
gi|490971175|ref|WP_004832970.1|	hypothetical protein [Parvimonas micra] 
gi|490971176|ref|WP_004832971.1|	nitroreductase [Parvimonas micra] 
gi|490971178|ref|WP_004832973.1|	hypothetical protein [Parvimonas micra] 
gi|490971179|ref|WP_004832974.1|	AraC family transcriptional regulator [Parvimonas micra] 
gi|490971180|ref|WP_004832975.1|	hypothetical protein [Parvimonas micra] 
gi|490971182|ref|WP_004832977.1|	hypothetical protein [Parvimonas micra] 
gi|490971185|ref|WP_004832980.1|	peptide chain release factor 2 [Parvimonas micra] 
gi|490971187|ref|WP_004832982.1|	hypothetical protein [Parvimonas micra] 
gi|490971188|ref|WP_004832983.1|	hypothetical protein [Parvimonas micra] 
gi|490971189|ref|WP_004832984.1|	hypothetical protein [Parvimonas micra] 
gi|490971190|ref|WP_004832985.1|	hypothetical protein [Parvimonas micra] 
gi|490971192|ref|WP_004832987.1|	hypothetical protein [Parvimonas micra] 
gi|490971193|ref|WP_004832988.1|	molecular chaperone DnaJ [Parvimonas micra] 
gi|490971195|ref|WP_004832990.1|	hypothetical protein [Parvimonas micra] 
gi|490971196|ref|WP_004832991.1|	hypothetical protein [Parvimonas micra] 
gi|490971198|ref|WP_004832993.1|	dihydropteroate synthase [Parvimonas micra] 
gi|490971199|ref|WP_004832994.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Parvimonas micra] 
gi|490971200|ref|WP_004832995.1|	purine nucleoside phosphorylase [Parvimonas micra] 
gi|490971202|ref|WP_004832996.1|	deoxyribose-phosphate aldolase [Parvimonas micra] 
gi|490971203|ref|WP_004832997.1|	peptide methionine sulfoxide reductase MsrB [Parvimonas micra] 
gi|490971204|ref|WP_004832998.1|	alanine glycine permease [Parvimonas micra] 
gi|490971205|ref|WP_004832999.1|	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase [Parvimonas micra] 
gi|490971206|ref|WP_004833000.1|	membrane protein [Parvimonas micra] 
gi|490971207|ref|WP_004833001.1|	hypothetical protein [Parvimonas micra] 
gi|490971208|ref|WP_004833002.1|	Holliday junction resolvase [Parvimonas micra] 
gi|490971209|ref|WP_004833003.1|	hypothetical protein [Parvimonas micra] 
gi|490971210|ref|WP_004833004.1|	Holliday junction DNA helicase RuvB [Parvimonas micra] 
gi|490971211|ref|WP_004833005.1|	S-adenosylmethionine tRNA ribosyltransferase [Parvimonas micra] 
gi|490971212|ref|WP_004833006.1|	queuine tRNA-ribosyltransferase [Parvimonas micra] 
gi|490971213|ref|WP_004833007.1|	membrane protein [Parvimonas micra] 
gi|490971214|ref|WP_004833008.1|	ABC transporter [Parvimonas micra] 
gi|490971215|ref|WP_004833009.1|	ABC transporter [Parvimonas micra] 
gi|490971216|ref|WP_004833010.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971217|ref|WP_004833011.1|	histidine kinase [Parvimonas micra] 
gi|490971218|ref|WP_004833012.1|	LuxR family transcriptional regulator [Parvimonas micra] 
gi|490971219|ref|WP_004833013.1|	hypothetical protein [Parvimonas micra] 
gi|490971220|ref|WP_004833014.1|	sodium:dicarboxylate symporter [Parvimonas micra] 
gi|490971221|ref|WP_004833015.1|	hypothetical protein [Parvimonas micra] 
gi|490971222|ref|WP_004833016.1|	transcription antitermination protein NusB [Parvimonas micra] 
gi|490971223|ref|WP_004833017.1|	hypothetical protein [Parvimonas micra] 
gi|490971224|ref|WP_004833018.1|	exodeoxyribonuclease VII [Parvimonas micra] 
gi|490971225|ref|WP_004833019.1|	exodeoxyribonuclease VII [Parvimonas micra] 
gi|490971226|ref|WP_004833020.1|	hypothetical protein [Parvimonas micra] 
gi|490971227|ref|WP_004833021.1|	50S rRNA methyltransferase [Parvimonas micra] 
gi|490971228|ref|WP_004833022.1|	arginine repressor [Parvimonas micra] 
gi|490971229|ref|WP_004833023.1|	hypothetical protein [Parvimonas micra] 
gi|490971230|ref|WP_004833024.1|	DNA mistmatch repair protein MutT [Parvimonas micra] 
gi|490971231|ref|WP_004833025.1|	peptidase M50 [Parvimonas micra] 
gi|490971232|ref|WP_004833026.1|	hypothetical protein [Parvimonas micra] 
gi|490971233|ref|WP_004833027.1|	segregation and condensation protein B [Parvimonas micra] 
gi|490971234|ref|WP_004833028.1|	ribosomal large subunit pseudouridine synthase B [Parvimonas micra] 
gi|490971235|ref|WP_004833029.1|	hypothetical protein [Parvimonas micra] 
gi|490971236|ref|WP_004833030.1|	rRNA methyltransferase [Parvimonas micra] 
gi|490971237|ref|WP_004833031.1|	hypothetical protein [Parvimonas micra] 
gi|490971238|ref|WP_004833032.1|	hypothetical protein [Parvimonas micra] 
gi|490971239|ref|WP_004833033.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490971240|ref|WP_004833034.1|	hypothetical protein [Parvimonas micra] 
gi|490971241|ref|WP_004833035.1|	alkyl sulfatase [Parvimonas micra] 
gi|490971242|ref|WP_004833036.1|	hypothetical protein [Parvimonas micra] 
gi|490971243|ref|WP_004833037.1|	GTPase YlqF [Parvimonas micra] 
gi|490971244|ref|WP_004833038.1|	ribonuclease HII [Parvimonas micra] 
gi|490971245|ref|WP_004833039.1|	hypothetical protein [Parvimonas micra] 
gi|490971246|ref|WP_004833040.1|	molybdenum cofactor biosynthesis protein B [Parvimonas micra] 
gi|490971247|ref|WP_004833041.1|	Fis family transcriptional regulator [Parvimonas micra] 
gi|490971248|ref|WP_004833042.1|	hypothetical protein [Parvimonas micra] 
gi|490971249|ref|WP_004833043.1|	phosphohydrolase [Parvimonas micra] 
gi|490971250|ref|WP_004833044.1|	methylated-DNA--protein-cysteine methyltransferase [Parvimonas micra] 
gi|490971251|ref|WP_004833045.1|	hypothetical protein [Parvimonas micra] 
gi|490971252|ref|WP_004833046.1|	amidohydrolase [Parvimonas micra] 
gi|490971253|ref|WP_004833047.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490971254|ref|WP_004833048.1|	hypothetical protein [Parvimonas micra] 
gi|490971255|ref|WP_004833049.1|	hypothetical protein [Parvimonas micra] 
gi|490971256|ref|WP_004833050.1|	hypothetical protein [Parvimonas micra] 
gi|490971257|ref|WP_004833051.1|	hypothetical protein [Parvimonas micra] 
gi|490971258|ref|WP_004833052.1|	hypothetical protein [Parvimonas micra] 
gi|490971259|ref|WP_004833053.1|	hypothetical protein [Parvimonas micra] 
gi|490971260|ref|WP_004833054.1|	hypothetical protein [Parvimonas micra] 
gi|490971261|ref|WP_004833055.1|	hypothetical protein [Parvimonas micra] 
gi|490971262|ref|WP_004833056.1|	hypothetical protein [Parvimonas micra] 
gi|490971263|ref|WP_004833057.1|	hypothetical protein [Parvimonas micra] 
gi|490971264|ref|WP_004833058.1|	hypothetical protein [Parvimonas micra] 
gi|490971265|ref|WP_004833059.1|	hypothetical protein [Parvimonas micra] 
gi|490971266|ref|WP_004833060.1|	hypothetical protein [Parvimonas micra] 
gi|490971267|ref|WP_004833061.1|	hypothetical protein [Parvimonas micra] 
gi|490971268|ref|WP_004833062.1|	glycerophosphodiester phosphodiesterase [Parvimonas micra] 
gi|490971269|ref|WP_004833063.1|	hypothetical protein [Parvimonas micra] 
gi|490971270|ref|WP_004833064.1|	cysteinyl-tRNA synthetase [Parvimonas micra] 
gi|490971271|ref|WP_004833065.1|	RNA methyltransferase [Parvimonas micra] 
gi|490971272|ref|WP_004833066.1|	hypothetical protein [Parvimonas micra] 
gi|490971273|ref|WP_004833067.1|	CMP deaminase [Parvimonas micra] 
gi|490971274|ref|WP_004833068.1|	asparagine synthase [Parvimonas micra] 
gi|490971275|ref|WP_004833069.1|	hypothetical protein [Parvimonas micra] 
gi|490971276|ref|WP_004833070.1|	ABC transporter permease [Parvimonas micra] 
gi|490971277|ref|WP_004833071.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971278|ref|WP_004833072.1|	excinuclease ABC subunit B [Parvimonas micra] 
gi|490971279|ref|WP_004833073.1|	UvrABC system subunit A [Parvimonas micra] 
gi|490971280|ref|WP_004833074.1|	hypothetical protein [Parvimonas micra] 
gi|490971281|ref|WP_004833075.1|	23S rRNA methyltransferase [Parvimonas micra] 
gi|490971282|ref|WP_004833076.1|	acyl-CoA dehydrogenase [Parvimonas micra] 
gi|490971283|ref|WP_004833077.1|	phosphonate ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971284|ref|WP_004833078.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Parvimonas micra] 
gi|490971285|ref|WP_004833079.1|	hypothetical protein [Parvimonas micra] 
gi|490971286|ref|WP_004833080.1|	HPr kinase [Parvimonas micra] 
gi|490971287|ref|WP_004833081.1|	PTS sugar transporter [Parvimonas micra] 
gi|490971288|ref|WP_004833082.1|	cell division protein FtsE [Parvimonas micra] 
gi|490971289|ref|WP_004833083.1|	ABC transporter permease [Parvimonas micra] 
gi|490971290|ref|WP_004833084.1|	peptidase M23 [Parvimonas micra] 
gi|490971291|ref|WP_004833085.1|	peptidase S41 [Parvimonas micra] 
gi|490971292|ref|WP_004833086.1|	serine/threonine protein kinase [Parvimonas micra] 
gi|490971293|ref|WP_004833087.1|	kinase [Parvimonas micra] 
gi|490971294|ref|WP_004833088.1|	hypothetical protein [Parvimonas micra] 
gi|490971295|ref|WP_004833089.1|	ribulose-phosphate 3-epimerase [Parvimonas micra] 
gi|490971296|ref|WP_004833090.1|	GTPase [Parvimonas micra] 
gi|490971297|ref|WP_004833091.1|	RNA-binding protein [Parvimonas micra] 
gi|490971298|ref|WP_004833092.1|	hypothetical protein [Parvimonas micra] 
gi|490971299|ref|WP_004833093.1|	hypothetical protein [Parvimonas micra] 
gi|490971300|ref|WP_004833094.1|	endoribonuclease [Parvimonas micra] 
gi|490971301|ref|WP_004833095.1|	D-alanine--poly(phosphoribitol) ligase [Parvimonas micra] 
gi|490971302|ref|WP_004833096.1|	D-alanine--poly(phosphoribitol) ligase [Parvimonas micra] 
gi|490971303|ref|WP_004833097.1|	alanyl transferase [Parvimonas micra] 
gi|490971304|ref|WP_004833098.1|	hypothetical protein [Parvimonas micra] 
gi|490971305|ref|WP_004833099.1|	hypothetical protein [Parvimonas micra] 
gi|490971306|ref|WP_004833100.1|	adenine phosphoribosyltransferase [Parvimonas micra] 
gi|490971307|ref|WP_004833101.1|	hypothetical protein [Parvimonas micra] 
gi|490971308|ref|WP_004833102.1|	cell division protein FtsL [Parvimonas micra] 
gi|490971309|ref|WP_004833103.1|	hypothetical protein [Parvimonas micra] 
gi|490971310|ref|WP_004833104.1|	hypoxanthine phosphoribosyltransferase [Parvimonas micra] 
gi|490971311|ref|WP_004833105.1|	cell division protein FtsH [Parvimonas micra] 
gi|490971312|ref|WP_004833106.1|	hypothetical protein [Parvimonas micra] 
gi|490971313|ref|WP_004833107.1|	8-oxoguanine DNA glycosylase [Parvimonas micra] 
gi|490971314|ref|WP_004833108.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Parvimonas] 
gi|490971315|ref|WP_004833109.1|	spermidine/putrescine ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971316|ref|WP_004833110.1|	ABC transporter permease [Parvimonas micra] 
gi|490971317|ref|WP_004833111.1|	spermidine/putrescine ABC transporter permease [Parvimonas micra] 
gi|490971318|ref|WP_004833112.1|	spermidine/putrescine ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971319|ref|WP_004833113.1|	aminopeptidase [Parvimonas micra] 
gi|490971320|ref|WP_004833114.1|	hypothetical protein [Parvimonas micra] 
gi|490971321|ref|WP_004833115.1|	peptidase C69 [Parvimonas micra] 
gi|490971322|ref|WP_004833116.1|	pyridoxal biosynthesis lyase [Parvimonas micra] 
gi|490971323|ref|WP_004833117.1|	thiamin pyrophosphokinase [Parvimonas micra] 
gi|490971324|ref|WP_004833118.1|	50S ribosomal protein L29 [Parvimonas micra] 
gi|490971325|ref|WP_004833119.1|	flavodoxin [Parvimonas micra] 
gi|490971326|ref|WP_004833120.1|	superoxide dismutase [Parvimonas micra] 
gi|490971327|ref|WP_004833121.1|	portal protein [Parvimonas micra] 
gi|490971328|ref|WP_004833122.1|	Trk system potassium transporter TrkH [Parvimonas micra] 
gi|490971329|ref|WP_004833123.1|	RNase H [Parvimonas micra] 
gi|490971330|ref|WP_004833124.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [Parvimonas micra] 
gi|490971331|ref|WP_004833125.1|	methyltransferase type 11 [Parvimonas micra] 
gi|490971332|ref|WP_004833126.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490971333|ref|WP_004833127.1|	competence protein ComEC [Parvimonas micra] 
gi|490971334|ref|WP_004833128.1|	DNA polymerase III subunit delta [Parvimonas micra] 
gi|490971335|ref|WP_004833129.1|	hypothetical protein [Parvimonas micra] 
gi|490971336|ref|WP_004833130.1|	cytosol aminopeptidase [Parvimonas micra] 
gi|490971337|ref|WP_004833131.1|	hypothetical protein [Parvimonas micra] 
gi|490971338|ref|WP_004833132.1|	50S ribosomal protein L10 [Parvimonas micra] 
gi|490971339|ref|WP_004833133.1|	50S ribosomal protein L7/L12 [Parvimonas micra] 
gi|490971340|ref|WP_004833134.1|	DNA mismatch repair protein MutT [Parvimonas micra] 
gi|490971341|ref|WP_004833135.1|	growth inhibitor PemK [Parvimonas micra] 
gi|490971342|ref|WP_004833136.1|	hypothetical protein [Parvimonas micra] 
gi|490971343|ref|WP_004833137.1|	hypothetical protein [Parvimonas micra] 
gi|490971344|ref|WP_004833138.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490971345|ref|WP_004833139.1|	antibiotic ABC transporter permease [Parvimonas micra] 
gi|490971346|ref|WP_004833140.1|	hypothetical protein [Parvimonas micra] 
gi|490971347|ref|WP_004833141.1|	hypothetical protein [Parvimonas micra] 
gi|490971348|ref|WP_004833142.1|	hypothetical protein [Parvimonas micra] 
gi|490971349|ref|WP_004833143.1|	GntR family transcriptional regulator [Parvimonas micra] 
gi|490971350|ref|WP_004833144.1|	hypothetical protein [Parvimonas micra] 
gi|490971351|ref|WP_004833145.1|	beta-aspartyl peptidase [Parvimonas micra] 
gi|490971352|ref|WP_004833146.1|	beta-aspartate methyltransferase [Parvimonas micra] 
gi|490971353|ref|WP_004833147.1|	glycine reductase [Parvimonas micra] 
gi|490971354|ref|WP_004833148.1|	hypothetical protein [Parvimonas micra] 
gi|490971355|ref|WP_004833149.1|	asparaginase [Parvimonas micra] 
gi|490971356|ref|WP_004833150.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971357|ref|WP_004833151.1|	pyruvate dehydrogenase E1 subunit alpha [Parvimonas micra] 
gi|490971358|ref|WP_004833152.1|	TPP-dependent acetoin dehydrogenase complex E1 protein subunit beta [Parvimonas micra] 
gi|490971359|ref|WP_004833153.1|	branched-chain alpha-keto acid dehydrogenase subunit E2 [Parvimonas micra] 
gi|490971360|ref|WP_004833154.1|	dihydrolipoyl dehydrogenase [Parvimonas micra] 
gi|490971361|ref|WP_004833155.1|	hypothetical protein [Parvimonas micra] 
gi|490971362|ref|WP_004833156.1|	acetyltransferase [Parvimonas micra] 
gi|490971363|ref|WP_004833157.1|	GTP-binding protein [Parvimonas micra] 
gi|490971364|ref|WP_004833158.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Parvimonas micra] 
gi|490971365|ref|WP_004833159.1|	helicase [Parvimonas micra] 
gi|490971366|ref|WP_004833160.1|	competence protein ComF [Parvimonas micra] 
gi|490971367|ref|WP_004833161.1|	phosphonate ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971368|ref|WP_004833162.1|	phosphonate ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971369|ref|WP_004833163.1|	phosphonate ABC transporter permease [Parvimonas micra] 
gi|490971370|ref|WP_004833164.1|	phosphonate ABC transporter permease [Parvimonas micra] 
gi|490971371|ref|WP_004833165.1|	5'-nucleotidase [Parvimonas micra] 
gi|490971372|ref|WP_004833166.1|	MULTISPECIES: exodeoxyribonuclease III [Parvimonas] 
gi|490971373|ref|WP_004833167.1|	phosphoglucomutase [Parvimonas micra] 
gi|490971374|ref|WP_004833168.1|	uracil phosphoribosyltransferase [Parvimonas micra] 
gi|490971375|ref|WP_004833169.1|	hypothetical protein [Parvimonas micra] 
gi|490971376|ref|WP_004833170.1|	hypothetical protein [Parvimonas micra] 
gi|490971377|ref|WP_004833171.1|	transketolase [Parvimonas micra] 
gi|490971378|ref|WP_004833172.1|	hypothetical protein [Parvimonas micra] 
gi|490971379|ref|WP_004833173.1|	CRISPR-associated protein Cas6 [Parvimonas micra] 
gi|490971380|ref|WP_004833174.1|	hypothetical protein [Parvimonas micra] 
gi|490971381|ref|WP_004833175.1|	hypothetical protein [Parvimonas micra] 
gi|490971382|ref|WP_004833176.1|	hypothetical protein [Parvimonas micra] 
gi|490971383|ref|WP_004833177.1|	CRISPR-associated protein Csm3 [Parvimonas micra] 
gi|490971384|ref|WP_004833178.1|	CRISPR-associated protein Csm4 [Parvimonas micra] 
gi|490971385|ref|WP_004833179.1|	hypothetical protein [Parvimonas micra] 
gi|490971386|ref|WP_004833180.1|	hypothetical protein [Parvimonas micra] 
gi|490971387|ref|WP_004833181.1|	hypothetical protein [Parvimonas micra] 
gi|490971388|ref|WP_004833182.1|	hypothetical protein [Parvimonas micra] 
gi|490971389|ref|WP_004833183.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490971390|ref|WP_004833184.1|	hypothetical protein [Parvimonas micra] 
gi|490971391|ref|WP_004833185.1|	hydrolase [Parvimonas micra] 
gi|490971392|ref|WP_004833186.1|	tRNA (guanine-N(7)-)-methyltransferase [Parvimonas micra] 
gi|490971393|ref|WP_004833187.1|	ribonucleotide-diphosphate reductase subunit alpha [Parvimonas micra] 
gi|490971394|ref|WP_004833188.1|	ribonucleotide-diphosphate reductase subunit beta [Parvimonas micra] 
gi|490971395|ref|WP_004833189.1|	hypothetical protein [Parvimonas micra] 
gi|490971396|ref|WP_004833190.1|	metal ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971397|ref|WP_004833191.1|	hypothetical protein [Parvimonas micra] 
gi|490971398|ref|WP_004833192.1|	MULTISPECIES: co-chaperonin GroES [Parvimonas] 
gi|490971399|ref|WP_004833193.1|	molecular chaperone GroEL [Parvimonas micra] 
gi|490971400|ref|WP_004833194.1|	hypothetical protein [Parvimonas micra] 
gi|490971401|ref|WP_004833195.1|	hypothetical protein [Parvimonas micra] 
gi|490971402|ref|WP_004833196.1|	phage tail protein [Parvimonas micra] 
gi|490971403|ref|WP_004833197.1|	hypothetical protein [Parvimonas micra] 
gi|490971404|ref|WP_004833198.1|	hypothetical protein [Parvimonas micra] 
gi|490971405|ref|WP_004833199.1|	diaminopropionate ammonia-lyase [Parvimonas micra] 
gi|490971406|ref|WP_004833200.1|	acyltransferase [Parvimonas micra] 
gi|490971407|ref|WP_004833201.1|	flavodoxin [Parvimonas micra] 
gi|490971408|ref|WP_004833202.1|	hypothetical protein [Parvimonas micra] 
gi|490971409|ref|WP_004833203.1|	cyclic nucleotide-binding protein [Parvimonas micra] 
gi|490971410|ref|WP_004833204.1|	REX family transcriptional regulator [Parvimonas micra] 
gi|490971411|ref|WP_004833205.1|	ligase [Parvimonas micra] 
gi|490971412|ref|WP_004833206.1|	thiamine ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971413|ref|WP_004833207.1|	glutamate dehydrogenase [Parvimonas micra] 
gi|490971414|ref|WP_004833208.1|	glutamine synthetase [Parvimonas micra] 
gi|490971415|ref|WP_004833209.1|	CTP synthetase [Parvimonas micra] 
gi|490971416|ref|WP_004833210.1|	hypothetical protein [Parvimonas micra] 
gi|490971417|ref|WP_004833211.1|	pantothenate kinase [Parvimonas micra] 
gi|490971418|ref|WP_004833212.1|	hypothetical protein [Parvimonas micra] 
gi|490971419|ref|WP_004833213.1|	flavocytochrome C [Parvimonas micra] 
gi|490971420|ref|WP_004833214.1|	hypothetical protein [Parvimonas micra] 
gi|490971421|ref|WP_004833215.1|	methyltransferase [Parvimonas micra] 
gi|490971422|ref|WP_004833216.1|	SAM-dependent methyltransferase [Parvimonas micra] 
gi|490971423|ref|WP_004833217.1|	uridine phosphorylase [Parvimonas micra] 
gi|490971424|ref|WP_004833218.1|	50S ribosomal protein L33 [Parvimonas micra] 
gi|490971425|ref|WP_004833219.1|	preprotein translocase subunit SecE [Parvimonas micra] 
gi|490971426|ref|WP_004833220.1|	antitermination factor NusG [Parvimonas micra] 
gi|490971427|ref|WP_004833221.1|	50S ribosomal protein L11 [Parvimonas micra] 
gi|490971428|ref|WP_004833222.1|	50S ribosomal protein L1 [Parvimonas micra] 
gi|490971429|ref|WP_004833223.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971430|ref|WP_004833224.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971431|ref|WP_004833225.1|	hypothetical protein [Parvimonas micra] 
gi|490971432|ref|WP_004833226.1|	hypothetical protein [Parvimonas micra] 
gi|490971433|ref|WP_004833227.1|	cobalt transporter [Parvimonas micra] 
gi|490971434|ref|WP_004833228.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971435|ref|WP_004833229.1|	hypothetical protein [Parvimonas micra] 
gi|490971436|ref|WP_004833230.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Parvimonas micra] 
gi|490971437|ref|WP_004833231.1|	ribose-phosphate pyrophosphokinase [Parvimonas micra] 
gi|490971438|ref|WP_004833232.1|	peptidyl-tRNA hydrolase [Parvimonas micra] 
gi|490971439|ref|WP_004833233.1|	transcription-repair coupling factor [Parvimonas micra] 
gi|490971440|ref|WP_004833234.1|	peptidylprolyl isomerase [Parvimonas micra] 
gi|490971441|ref|WP_004833235.1|	MULTISPECIES: transcriptional regulator [Parvimonas] 
gi|490971442|ref|WP_004833236.1|	30S ribosomal protein S2 [Parvimonas micra] 
gi|490971443|ref|WP_004833237.1|	elongation factor Ts [Parvimonas micra] 
gi|490971444|ref|WP_004833238.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490971445|ref|WP_004833239.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971446|ref|WP_004833240.1|	ABC transporter permease [Parvimonas micra] 
gi|490971447|ref|WP_004833241.1|	iron ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971448|ref|WP_004833242.1|	hypothetical protein [Parvimonas micra] 
gi|490971449|ref|WP_004833243.1|	hypothetical protein [Parvimonas micra] 
gi|490971450|ref|WP_004833244.1|	hypothetical protein [Parvimonas micra] 
gi|490971451|ref|WP_004833245.1|	NAD-dependent DNA ligase LigA [Parvimonas micra] 
gi|490971452|ref|WP_004833246.1|	50S ribosomal protein L28 [Parvimonas micra] 
gi|490971453|ref|WP_004833247.1|	hypothetical protein [Parvimonas micra] 
gi|490971454|ref|WP_004833248.1|	FAD-dependent oxidoreductase [Parvimonas micra] 
gi|490971455|ref|WP_004833249.1|	cytidylate kinase [Parvimonas micra] 
gi|490971456|ref|WP_004833250.1|	acyltransferase [Parvimonas micra] 
gi|490971457|ref|WP_004833251.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Parvimonas micra] 
gi|490971458|ref|WP_004833252.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490971459|ref|WP_004833253.1|	hypothetical protein [Parvimonas micra] 
gi|490971460|ref|WP_004833254.1|	dihydroxyacetone kinase [Parvimonas micra] 
gi|490971461|ref|WP_004833255.1|	ATP-binding protein [Parvimonas micra] 
gi|490971462|ref|WP_004833256.1|	hypothetical protein [Parvimonas micra] 
gi|490971463|ref|WP_004833257.1|	hypothetical protein [Parvimonas micra] 
gi|490971464|ref|WP_004833258.1|	hypothetical protein [Parvimonas micra] 
gi|490971465|ref|WP_004833259.1|	uridylate kinase [Parvimonas micra] 
gi|490971466|ref|WP_004833260.1|	ribosome recycling factor [Parvimonas micra] 
gi|490971467|ref|WP_004833261.1|	UDP pyrophosphate synthase [Parvimonas micra] 
gi|490971468|ref|WP_004833262.1|	phosphatidate cytidylyltransferase [Parvimonas micra] 
gi|490971469|ref|WP_004833263.1|	hypothetical protein [Parvimonas micra] 
gi|490971470|ref|WP_004833264.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Parvimonas micra] 
gi|490971471|ref|WP_004833265.1|	DNA polymerase III subunit alpha [Parvimonas micra] 
gi|490971472|ref|WP_004833266.1|	30S ribosomal protein S20 [Parvimonas micra] 
gi|490971473|ref|WP_004833267.1|	glycosyltransferase family 1 [Parvimonas micra] 
gi|490971474|ref|WP_004833268.1|	hypothetical protein [Parvimonas micra] 
gi|490971475|ref|WP_004833269.1|	hypothetical protein [Parvimonas micra] 
gi|490971476|ref|WP_004833270.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Parvimonas micra] 
gi|490971477|ref|WP_004833271.1|	methionine aminopeptidase [Parvimonas micra] 
gi|490971478|ref|WP_004833272.1|	cystathionine beta-lyase [Parvimonas micra] 
gi|490971479|ref|WP_004833273.1|	GTP pyrophosphokinase [Parvimonas micra] 
gi|490971480|ref|WP_004833274.1|	hypothetical protein [Parvimonas micra] 
gi|490971481|ref|WP_004833275.1|	alanine racemase [Parvimonas micra] 
gi|490971482|ref|WP_004833276.1|	rod shape-determining protein RodA [Parvimonas micra] 
gi|490971483|ref|WP_004833277.1|	histidine kinase [Parvimonas micra] 
gi|490971484|ref|WP_004833278.1|	hypothetical protein [Parvimonas micra] 
gi|490971485|ref|WP_004833279.1|	hypothetical protein [Parvimonas micra] 
gi|490971486|ref|WP_004833280.1|	hypothetical protein [Parvimonas micra] 
gi|490971487|ref|WP_004833281.1|	RNA-binding protein [Parvimonas micra] 
gi|490971488|ref|WP_004833282.1|	peptidyl-prolyl cis-trans isomerase [Parvimonas micra] 
gi|490971489|ref|WP_004833283.1|	hypothetical protein [Parvimonas micra] 
gi|490971490|ref|WP_004833284.1|	hypothetical protein [Parvimonas micra] 
gi|490971491|ref|WP_004833285.1|	preprotein translocase subunit SecG [Parvimonas micra] 
gi|490971492|ref|WP_004833286.1|	potassium transporter [Parvimonas micra] 
gi|490971493|ref|WP_004833287.1|	hypothetical protein [Parvimonas micra] 
gi|490971494|ref|WP_004833288.1|	hypothetical protein [Parvimonas micra] 
gi|490971495|ref|WP_004833289.1|	hypothetical protein [Parvimonas micra] 
gi|490971496|ref|WP_004833290.1|	6-phosphofructokinase [Parvimonas micra] 
gi|490971497|ref|WP_004833291.1|	pyruvate kinase [Parvimonas micra] 
gi|490971498|ref|WP_004833292.1|	glycosyl transferase [Parvimonas micra] 
gi|490971499|ref|WP_004833293.1|	glycosyltransferase [Parvimonas micra] 
gi|490971500|ref|WP_004833294.1|	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Parvimonas] 
gi|490971501|ref|WP_004833295.1|	ribitol-5-phosphate dehydrogenase [Parvimonas micra] 
gi|490971502|ref|WP_004833296.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Parvimonas micra] 
gi|490971503|ref|WP_004833297.1|	glycosyl transferase family 1 [Parvimonas micra] 
