gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497886|ref|WP_005355595.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497882|ref|WP_005355591.1|	excisionase [[Eubacterium] siraeum] 
gi|491497879|ref|WP_005355588.1|	cell division protein Fic [[Eubacterium] siraeum] 
gi|491497877|ref|WP_005355586.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497874|ref|WP_005355583.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497871|ref|WP_005355580.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497869|ref|WP_005355578.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492267|ref|WP_019662474.1|	cell division protein Fic [[Eubacterium] siraeum] 
gi|491497864|ref|WP_005355573.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497861|ref|WP_005355570.1|	TetR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491497860|ref|WP_005355569.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497858|ref|WP_005355567.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497857|ref|WP_005355566.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497856|ref|WP_005355565.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497854|ref|WP_005355563.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497851|ref|WP_005355560.1|	PadR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491497848|ref|WP_005355557.1|	3-phosphoglycerate dehydrogenase [[Eubacterium] siraeum] 
gi|491497839|ref|WP_005355548.1|	MFS transporter [[Eubacterium] siraeum] 
gi|491497512|ref|WP_005355222.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497509|ref|WP_005355219.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497506|ref|WP_005355216.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492271|ref|WP_019662478.1|	ferredoxin-NADP(+) reductase subunit alpha [[Eubacterium] siraeum] 
gi|491497500|ref|WP_005355210.1|	MULTISPECIES: dihydropyrimidine dehydrogenase subunit A [Clostridiales] 
gi|491497499|ref|WP_005355209.1|	phosphohydrolase [[Eubacterium] siraeum] 
gi|491497497|ref|WP_005355207.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497495|ref|WP_005355205.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497494|ref|WP_005355204.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497492|ref|WP_005355202.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492272|ref|WP_019662479.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497490|ref|WP_005355200.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492273|ref|WP_019662480.1|	glutamine amidotransferase [[Eubacterium] siraeum] 
gi|491497485|ref|WP_005355195.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497484|ref|WP_005355194.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655572|ref|WP_026347319.1|	aminotransferase [[Eubacterium] siraeum] 
gi|518492274|ref|WP_019662481.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497477|ref|WP_005355187.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497476|ref|WP_005355186.1|	sulfate permease [[Eubacterium] siraeum] 
gi|491497474|ref|WP_005355184.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497470|ref|WP_005355180.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497468|ref|WP_005355178.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Eubacterium] siraeum] 
gi|491497466|ref|WP_005355176.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497464|ref|WP_005355174.1|	MULTISPECIES: ribonuclease H [Clostridiales] 
gi|491497462|ref|WP_005355172.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497460|ref|WP_005355170.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497459|ref|WP_005355169.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497456|ref|WP_005355166.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497455|ref|WP_005355165.1|	teichoic acid ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|648655573|ref|WP_026347320.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497450|ref|WP_005355160.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497449|ref|WP_005355159.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497447|ref|WP_005355157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497445|ref|WP_005355155.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497444|ref|WP_005355154.1|	formate acetyltransferase [[Eubacterium] siraeum] 
gi|491497442|ref|WP_005355152.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497441|ref|WP_005355151.1|	phenylacetate-CoA ligase [[Eubacterium] siraeum] 
gi|491497438|ref|WP_005355148.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497427|ref|WP_005355137.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497426|ref|WP_005355136.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497425|ref|WP_005355135.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497424|ref|WP_005355134.1|	ATPase [[Eubacterium] siraeum] 
gi|491497423|ref|WP_005355133.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497422|ref|WP_005355132.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492279|ref|WP_019662486.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497420|ref|WP_005355130.1|	CTP synthetase [[Eubacterium] siraeum] 
gi|491497419|ref|WP_005355129.1|	polyphosphate kinase [[Eubacterium] siraeum] 
gi|491497413|ref|WP_005355123.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492280|ref|WP_019662487.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492281|ref|WP_019662488.1|	heat shock protein 90 [[Eubacterium] siraeum] 
gi|491497402|ref|WP_005355112.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497401|ref|WP_005355111.1|	transporter [[Eubacterium] siraeum] 
gi|491497400|ref|WP_005355110.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499532|ref|WP_005357230.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499529|ref|WP_005357227.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499526|ref|WP_005357224.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499518|ref|WP_005357216.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499515|ref|WP_005357213.1|	indolepyruvate oxidoreductase [[Eubacterium] siraeum] 
gi|518492283|ref|WP_019662490.1|	agmatine deiminase [[Eubacterium] siraeum] 
gi|648655574|ref|WP_026347321.1|	carbon-nitrogen hydrolase [[Eubacterium] siraeum] 
gi|491499505|ref|WP_005357203.1|	nicotinamide mononucleotide transporter [[Eubacterium] siraeum] 
gi|491499502|ref|WP_005357200.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494882|ref|WP_005352602.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491494878|ref|WP_005352598.1|	sodium:proton antiporter [[Eubacterium] siraeum] 
gi|491494873|ref|WP_005352593.1|	MerR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491494871|ref|WP_005352591.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494868|ref|WP_005352588.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494862|ref|WP_005352582.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494860|ref|WP_005352580.1|	acetate kinase [[Eubacterium] siraeum] 
gi|648655575|ref|WP_026347322.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655576|ref|WP_026347323.1|	AraC family transcriptional regulator [[Eubacterium] siraeum] 
gi|491494848|ref|WP_005352568.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494845|ref|WP_005352565.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494841|ref|WP_005352561.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494837|ref|WP_005352557.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494835|ref|WP_005352555.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492288|ref|WP_019662495.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494831|ref|WP_005352551.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494829|ref|WP_005352549.1|	leucyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494824|ref|WP_005352544.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494822|ref|WP_005352542.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494820|ref|WP_005352540.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494818|ref|WP_005352538.1|	50S rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491494816|ref|WP_005352536.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655577|ref|WP_026347324.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494813|ref|WP_005352533.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494811|ref|WP_005352531.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492290|ref|WP_019662497.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494809|ref|WP_005352529.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494806|ref|WP_005352526.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494804|ref|WP_005352524.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494801|ref|WP_005352521.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494800|ref|WP_005352520.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494799|ref|WP_005352519.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|518492291|ref|WP_019662498.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494797|ref|WP_005352517.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494796|ref|WP_005352516.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494795|ref|WP_005352515.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492293|ref|WP_019662500.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494784|ref|WP_005352505.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494783|ref|WP_005352504.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494782|ref|WP_005352503.1|	O-acetylhomoserine aminocarboxypropyltransferase [[Eubacterium] siraeum] 
gi|491494781|ref|WP_005352502.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655578|ref|WP_026347325.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494776|ref|WP_005352497.1|	MULTISPECIES: glutamate synthase [Clostridiales] 
gi|491494773|ref|WP_005352494.1|	4Fe-4S ferredoxin [[Eubacterium] siraeum] 
gi|491494770|ref|WP_005352491.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Eubacterium] siraeum] 
gi|491494767|ref|WP_005352488.1|	glutamate synthase [[Eubacterium] siraeum] 
gi|491494765|ref|WP_005352486.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494758|ref|WP_005352479.1|	NADPH-dependent butanol dehydrogenase [[Eubacterium] siraeum] 
gi|491494753|ref|WP_005352474.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492296|ref|WP_019662503.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494733|ref|WP_005352454.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494725|ref|WP_005352446.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494712|ref|WP_005352433.1|	MULTISPECIES: phospho-2-dehydro-3-deoxyheptonate aldolase [Clostridiales] 
gi|491494707|ref|WP_005352428.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494704|ref|WP_005352425.1|	valyl-tRNA synthase [[Eubacterium] siraeum] 
gi|491494702|ref|WP_005352423.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494696|ref|WP_005352417.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494694|ref|WP_005352415.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494691|ref|WP_005352412.1|	MULTISPECIES: disulfide oxidoreductase [Clostridiales] 
gi|491494684|ref|WP_005352405.1|	aspartyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494681|ref|WP_005352402.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [[Eubacterium] siraeum] 
gi|491494678|ref|WP_005352399.1|	glutamyl-tRNA(Gln) amidotransferase [[Eubacterium] siraeum] 
gi|491494677|ref|WP_005352398.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494664|ref|WP_005352385.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|518492298|ref|WP_019662505.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494661|ref|WP_005352382.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494658|ref|WP_005352379.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494657|ref|WP_005352378.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494654|ref|WP_005352375.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655579|ref|WP_026347326.1|	peptide ABC transporter ATPase [[Eubacterium] siraeum] 
gi|491494647|ref|WP_005352368.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494646|ref|WP_005352367.1|	glycosyl transferase family 1 [[Eubacterium] siraeum] 
gi|505332479|ref|WP_015519581.1|	MULTISPECIES: thiW protein [Clostridiales] 
gi|491496125|ref|WP_005353840.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496127|ref|WP_005353842.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491496129|ref|WP_005353844.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496131|ref|WP_005353846.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491496133|ref|WP_005353848.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496136|ref|WP_005353851.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496138|ref|WP_005353853.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496142|ref|WP_005353857.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496145|ref|WP_005353860.1|	phenylacetic acid degradation protein [[Eubacterium] siraeum] 
gi|491496148|ref|WP_005353863.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496150|ref|WP_005353865.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655580|ref|WP_026347327.1|	N,N'-diacetylchitobiose phosphorylase [[Eubacterium] siraeum] 
gi|491496156|ref|WP_005353871.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496158|ref|WP_005353873.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496160|ref|WP_005353875.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496170|ref|WP_005353885.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492299|ref|WP_019662506.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496177|ref|WP_005353892.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492300|ref|WP_019662507.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496181|ref|WP_005353896.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496188|ref|WP_005353903.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496191|ref|WP_005353906.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496193|ref|WP_005353908.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496197|ref|WP_005353912.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496201|ref|WP_005353916.1|	acetaldehyde dehydrogenase [[Eubacterium] siraeum] 
gi|648655581|ref|WP_026347328.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491495906|ref|WP_005353623.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499202|ref|WP_005356902.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499203|ref|WP_005356903.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491499205|ref|WP_005356905.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499209|ref|WP_005356909.1|	MULTISPECIES: elongation factor G [Clostridiales] 
gi|648655582|ref|WP_026347329.1|	membrane protein [[Eubacterium] siraeum] 
gi|491499215|ref|WP_005356915.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499218|ref|WP_005356918.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499220|ref|WP_005356920.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491499228|ref|WP_005356928.1|	transporter [[Eubacterium] siraeum] 
gi|491499231|ref|WP_005356931.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499234|ref|WP_005356934.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499236|ref|WP_005356936.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492306|ref|WP_019662513.1|	peptidase M29 aminopeptidase II [[Eubacterium] siraeum] 
gi|491499241|ref|WP_005356941.1|	hydroxylamine reductase [[Eubacterium] siraeum] 
gi|491499244|ref|WP_005356944.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499246|ref|WP_005356946.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499249|ref|WP_005356949.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499251|ref|WP_005356951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499260|ref|WP_005356959.1|	ferredoxin [[Eubacterium] siraeum] 
gi|491499262|ref|WP_005356961.1|	MULTISPECIES: electron transport complex RsxE subunit [Clostridiales] 
gi|491499268|ref|WP_005356967.1|	electron transporter RsxE [[Eubacterium] siraeum] 
gi|491499270|ref|WP_005356969.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499277|ref|WP_005356976.1|	NADH:ubiquinone oxidoreductase [[Eubacterium] siraeum] 
gi|491499278|ref|WP_005356977.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499282|ref|WP_005356981.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499283|ref|WP_005356982.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499286|ref|WP_005356985.1|	acetolactate synthase [[Eubacterium] siraeum] 
gi|491499289|ref|WP_005356988.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|491499290|ref|WP_005356989.1|	MULTISPECIES: ketol-acid reductoisomerase [Clostridiales] 
gi|648655583|ref|WP_026347330.1|	peptidase [[Eubacterium] siraeum] 
gi|491499294|ref|WP_005356993.1|	GTP-binding protein [[Eubacterium] siraeum] 
gi|491499295|ref|WP_005356994.1|	23S rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491499296|ref|WP_005356995.1|	3-dehydroquinate synthase [[Eubacterium] siraeum] 
gi|491499297|ref|WP_005356996.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|505330970|ref|WP_015518072.1|	MULTISPECIES: Predicted transcriptional regulators [Clostridiales] 
gi|648655584|ref|WP_026347331.1|	HD family phosphohydrolase [[Eubacterium] siraeum] 
gi|491499311|ref|WP_005357010.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499313|ref|WP_005357012.1|	MULTISPECIES: RNA-binding protein [Clostridiales] 
gi|491499314|ref|WP_005357013.1|	MULTISPECIES: 30S ribosomal protein S16 [Clostridiales] 
gi|491499316|ref|WP_005357015.1|	signal recognition particle protein Srp54 [[Eubacterium] siraeum] 
gi|491499318|ref|WP_005357017.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492310|ref|WP_019662517.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499325|ref|WP_005357024.1|	beta-glucosidase [[Eubacterium] siraeum] 
gi|491499328|ref|WP_005357027.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499331|ref|WP_005357030.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499334|ref|WP_005357033.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499342|ref|WP_005357041.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499336|ref|WP_005357035.1|	AraC family transcriptional regulator [[Eubacterium] siraeum] 
gi|491499344|ref|WP_005357043.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499346|ref|WP_005357045.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499362|ref|WP_005357061.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499367|ref|WP_005357066.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499372|ref|WP_005357071.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492312|ref|WP_019662519.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499375|ref|WP_005357074.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499377|ref|WP_005357076.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499379|ref|WP_005357078.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499381|ref|WP_005357080.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499383|ref|WP_005357082.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492316|ref|WP_019662523.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499390|ref|WP_005357089.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492317|ref|WP_019662524.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492318|ref|WP_019662525.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499398|ref|WP_005357097.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499401|ref|WP_005357100.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499403|ref|WP_005357102.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492320|ref|WP_019662527.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655585|ref|WP_026347332.1|	recombinase XerC [[Eubacterium] siraeum] 
gi|491499416|ref|WP_005357114.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499418|ref|WP_005357116.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499420|ref|WP_005357118.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499421|ref|WP_005357119.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499423|ref|WP_005357121.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499426|ref|WP_005357124.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499428|ref|WP_005357126.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499429|ref|WP_005357127.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499432|ref|WP_005357130.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491499434|ref|WP_005357132.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499437|ref|WP_005357135.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499438|ref|WP_005357136.1|	lysyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491499440|ref|WP_005357138.1|	MULTISPECIES: transcription elongation factor GreA [Clostridiales] 
gi|491499441|ref|WP_005357139.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499442|ref|WP_005357140.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499443|ref|WP_005357141.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499444|ref|WP_005357142.1|	MULTISPECIES: cell division protein FtsE [Clostridiales] 
gi|491499446|ref|WP_005357144.1|	CdaR family transcriptional regulator [[Eubacterium] siraeum] 
gi|518492324|ref|WP_019662531.1|	methionyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491499449|ref|WP_005357147.1|	5,10-methylenetetrahydrofolate reductase [[Eubacterium] siraeum] 
gi|491499450|ref|WP_005357148.1|	MULTISPECIES: methionine synthase [Clostridiales] 
gi|491499453|ref|WP_005357151.1|	homocysteine methyltransferase [[Eubacterium] siraeum] 
gi|491499455|ref|WP_005357153.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499456|ref|WP_005357154.1|	PhoB family transcriptional regulator [[Eubacterium] siraeum] 
gi|491499457|ref|WP_005357155.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499458|ref|WP_005357156.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491499459|ref|WP_005357157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492327|ref|WP_019662534.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492328|ref|WP_019662535.1|	zinc transporter [[Eubacterium] siraeum] 
gi|491499463|ref|WP_005357161.1|	propanediol utilization phosphotransacylase [[Eubacterium] siraeum] 
gi|491499465|ref|WP_005357163.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499470|ref|WP_005357168.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499477|ref|WP_005357175.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492330|ref|WP_019662537.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494632|ref|WP_005352353.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494631|ref|WP_005352352.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494629|ref|WP_005352350.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494628|ref|WP_005352349.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494626|ref|WP_005352347.1|	methyltransferase [[Eubacterium] siraeum] 
gi|648655586|ref|WP_026347333.1|	radical SAM protein [[Eubacterium] siraeum] 
gi|491494615|ref|WP_005352336.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492332|ref|WP_019662539.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494612|ref|WP_005352333.1|	NUDIX hydrolase [[Eubacterium] siraeum] 
gi|491494610|ref|WP_005352331.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494604|ref|WP_005352325.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494603|ref|WP_005352324.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494601|ref|WP_005352322.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655587|ref|WP_026347334.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494598|ref|WP_005352319.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|648655588|ref|WP_026347335.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|518492333|ref|WP_019662540.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655589|ref|WP_026347336.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491494590|ref|WP_005352311.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491494587|ref|WP_005352309.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494584|ref|WP_005352306.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494583|ref|WP_005352305.1|	phenylalanyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494579|ref|WP_005352301.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit alpha [Clostridiales] 
gi|491495989|ref|WP_005353705.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495987|ref|WP_005353703.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497937|ref|WP_005355645.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492339|ref|WP_019662546.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497955|ref|WP_005355663.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492340|ref|WP_019662547.1|	alpha-galactosidase [[Eubacterium] siraeum] 
