gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552943|ref|WP_006506522.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552944|ref|WP_006506523.1|	recombinase [Catenibacterium mitsuokai] 
gi|493552945|ref|WP_006506524.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552946|ref|WP_006506525.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552947|ref|WP_006506526.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552948|ref|WP_006506527.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552949|ref|WP_006506528.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552950|ref|WP_006506529.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493552951|ref|WP_006506530.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552952|ref|WP_006506531.1|	TonB-dependent receptor [Catenibacterium mitsuokai] 
gi|493552953|ref|WP_006506532.1|	plasmid stablization protein ParB [Catenibacterium mitsuokai] 
gi|493552954|ref|WP_006506533.1|	chromosome partitioning protein ParA [Catenibacterium mitsuokai] 
gi|493552955|ref|WP_006506534.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552956|ref|WP_006506535.1|	23S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493552957|ref|WP_006506536.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552958|ref|WP_006506537.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493552959|ref|WP_006506538.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552960|ref|WP_006506539.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552961|ref|WP_006506540.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552962|ref|WP_006506541.1|	ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493552963|ref|WP_006506542.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493552964|ref|WP_006506543.1|	peptide ABC transporter substrate-binding protein [Catenibacterium mitsuokai] 
gi|493552965|ref|WP_006506544.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552966|ref|WP_006506545.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552967|ref|WP_006506546.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552968|ref|WP_006506547.1|	N-acetyltransferase [Catenibacterium mitsuokai] 
gi|493552969|ref|WP_006506548.1|	glutamate racemase [Catenibacterium mitsuokai] 
gi|493552970|ref|WP_006506549.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552971|ref|WP_006506550.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552972|ref|WP_006506551.1|	S1 RNA-binding protein [Catenibacterium mitsuokai] 
gi|493552973|ref|WP_006506552.1|	maltodextrin glucosidase [Catenibacterium mitsuokai] 
gi|493552974|ref|WP_006506553.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552975|ref|WP_006506554.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552976|ref|WP_006506555.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552977|ref|WP_006506556.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552978|ref|WP_006506557.1|	DNA repair protein [Catenibacterium mitsuokai] 
gi|493552979|ref|WP_006506558.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552980|ref|WP_006506559.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552981|ref|WP_006506560.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552982|ref|WP_006506561.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552983|ref|WP_006506562.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552984|ref|WP_006506563.1|	exonuclease SbcD [Catenibacterium mitsuokai] 
gi|493552985|ref|WP_006506564.1|	addiction module toxin RelE [Catenibacterium mitsuokai] 
gi|493552986|ref|WP_006506565.1|	toxin-antitoxin system protein [Catenibacterium mitsuokai] 
gi|493552987|ref|WP_006506566.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552988|ref|WP_006506567.1|	acetyltransferase [Catenibacterium mitsuokai] 
gi|493552989|ref|WP_006506568.1|	toxin RelE [Catenibacterium mitsuokai] 
gi|493552990|ref|WP_006506569.1|	prevent-host-death protein [Catenibacterium mitsuokai] 
gi|493552991|ref|WP_006506570.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552992|ref|WP_006506571.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493552993|ref|WP_006506572.1|	AsnC family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493552994|ref|WP_006506573.1|	abortive phage infection protein [Catenibacterium mitsuokai] 
gi|493552995|ref|WP_006506574.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552996|ref|WP_006506575.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552997|ref|WP_006506576.1|	FMN reductase [Catenibacterium mitsuokai] 
gi|493552998|ref|WP_006506577.1|	DNA-damage-inducible protein J [Catenibacterium mitsuokai] 
gi|493552999|ref|WP_006506578.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553000|ref|WP_006506579.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493553001|ref|WP_006506580.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553002|ref|WP_006506581.1|	sodium:dicarboxylate symporter [Catenibacterium mitsuokai] 
gi|493553003|ref|WP_006506582.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553004|ref|WP_006506583.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553005|ref|WP_006506584.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553006|ref|WP_006506585.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553007|ref|WP_006506586.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553008|ref|WP_006506587.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553009|ref|WP_006506588.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553010|ref|WP_006506589.1|	sulfate permease [Catenibacterium mitsuokai] 
gi|493553011|ref|WP_006506590.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553012|ref|WP_006506591.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553014|ref|WP_006506593.1|	phosphoglycerate mutase [Catenibacterium mitsuokai] 
gi|493553013|ref|WP_006506592.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493553015|ref|WP_006506594.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553016|ref|WP_006506595.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553017|ref|WP_006506596.1|	ABC transporter [Catenibacterium mitsuokai] 
gi|493553018|ref|WP_006506597.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553019|ref|WP_006506598.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553020|ref|WP_006506599.1|	GNAT family acetyltransferase [Catenibacterium mitsuokai] 
gi|493553021|ref|WP_006506600.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553022|ref|WP_006506601.1|	23S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493553023|ref|WP_006506602.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553024|ref|WP_006506603.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Catenibacterium mitsuokai] 
gi|493553025|ref|WP_006506604.1|	aspartyl-tRNA amidotransferase [Catenibacterium mitsuokai] 
gi|493553026|ref|WP_006506605.1|	MULTISPECIES: aspartyl-tRNA amidotransferase [Catenibacterium] 
gi|493553027|ref|WP_006506606.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553028|ref|WP_006506607.1|	DNA ligase LigA [Catenibacterium mitsuokai] 
gi|493553029|ref|WP_006506608.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553030|ref|WP_006506609.1|	dihydroorotate dehydrogenase [Catenibacterium mitsuokai] 
gi|493553031|ref|WP_006506610.1|	dihydroorotate dehydrogenase [Catenibacterium mitsuokai] 
gi|493553032|ref|WP_006506611.1|	dihydroorotase [Catenibacterium mitsuokai] 
gi|493553033|ref|WP_006506612.1|	phosphopantetheine adenylyltransferase [Catenibacterium mitsuokai] 
gi|493553034|ref|WP_006506613.1|	rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493553035|ref|WP_006506614.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553036|ref|WP_006506615.1|	stage V sporulation protein E [Catenibacterium mitsuokai] 
gi|493553037|ref|WP_006506616.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553038|ref|WP_006506617.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553039|ref|WP_006506618.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553040|ref|WP_006506619.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553041|ref|WP_006506620.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553042|ref|WP_006506621.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553043|ref|WP_006506622.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553044|ref|WP_006506623.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553045|ref|WP_006506624.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553046|ref|WP_006506625.1|	heme ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493553047|ref|WP_006506626.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493553048|ref|WP_006506627.1|	branched-chain amino acid ABC transporter permease [Catenibacterium mitsuokai] 
gi|493553049|ref|WP_006506628.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553050|ref|WP_006506629.1|	zinc protease [Catenibacterium mitsuokai] 
gi|493553051|ref|WP_006506630.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553052|ref|WP_006506631.1|	transketolase [Catenibacterium mitsuokai] 
gi|493553053|ref|WP_006506632.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493553054|ref|WP_006506633.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553055|ref|WP_006506634.1|	glycerol-3-phosphate acyltransferase [Catenibacterium mitsuokai] 
gi|493553056|ref|WP_006506635.1|	DNA topoisomerase IV subunit B [Catenibacterium mitsuokai] 
gi|493553057|ref|WP_006506636.1|	DNA gyrase subunit A [Catenibacterium mitsuokai] 
gi|493553059|ref|WP_006506637.1|	GTPase [Catenibacterium mitsuokai] 
gi|493553060|ref|WP_006506638.1|	RNA-binding protein [Catenibacterium mitsuokai] 
gi|493553061|ref|WP_006506639.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553062|ref|WP_006506640.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553063|ref|WP_006506641.1|	SAM-dependent methyltransferase [Catenibacterium mitsuokai] 
gi|493553064|ref|WP_006506642.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553065|ref|WP_006506643.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553066|ref|WP_006506644.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493553067|ref|WP_006506645.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553068|ref|WP_006506646.1|	MULTISPECIES: PTS lactose transporter subunit IIB [Catenibacterium] 
gi|493553069|ref|WP_006506647.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553070|ref|WP_006506648.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553071|ref|WP_006506649.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553072|ref|WP_006506650.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553073|ref|WP_006506651.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553074|ref|WP_006506652.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553075|ref|WP_006506653.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553076|ref|WP_006506654.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553077|ref|WP_006506655.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553078|ref|WP_006506656.1|	phosphopentomutase [Catenibacterium mitsuokai] 
gi|493553079|ref|WP_006506657.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553080|ref|WP_006506658.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553081|ref|WP_006506659.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553082|ref|WP_006506660.1|	rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493553083|ref|WP_006506661.1|	1-deoxy-D-xylulose-5-phosphate synthase [Catenibacterium mitsuokai] 
gi|493553084|ref|WP_006506662.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553085|ref|WP_006506663.1|	exodeoxyribonuclease VII [Catenibacterium mitsuokai] 
gi|493553086|ref|WP_006506664.1|	exodeoxyribonuclease VII [Catenibacterium mitsuokai] 
gi|493553087|ref|WP_006506665.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553088|ref|WP_006506666.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553089|ref|WP_006506667.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553090|ref|WP_006506668.1|	elongation factor P [Catenibacterium mitsuokai] 
gi|493553091|ref|WP_006506669.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553092|ref|WP_006506670.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553093|ref|WP_006506671.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553094|ref|WP_006506672.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553095|ref|WP_006506673.1|	competence protein ComGC [Catenibacterium mitsuokai] 
gi|493553096|ref|WP_006506674.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553097|ref|WP_006506675.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553098|ref|WP_006506676.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553099|ref|WP_006506677.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553100|ref|WP_006506678.1|	MULTISPECIES: 50S ribosomal protein L33 [Catenibacterium] 
gi|493553101|ref|WP_006506679.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553102|ref|WP_006506680.1|	GTP-binding protein LepA [Catenibacterium mitsuokai] 
gi|493553103|ref|WP_006506681.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553104|ref|WP_006506682.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553105|ref|WP_006506683.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553106|ref|WP_006506684.1|	thioredoxin [Catenibacterium mitsuokai] 
gi|493553107|ref|WP_006506685.1|	tRNA (guanine-N(7)-)-methyltransferase [Catenibacterium mitsuokai] 
gi|493553108|ref|WP_006506686.1|	RNA pseudouridine synthase [Catenibacterium mitsuokai] 
gi|493553109|ref|WP_006506687.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553110|ref|WP_006506688.1|	aldose 1-epimerase [Catenibacterium mitsuokai] 
gi|493553111|ref|WP_006506689.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553112|ref|WP_006506690.1|	ribosome-binding factor A [Catenibacterium mitsuokai] 
gi|493553113|ref|WP_006506691.1|	translation initiation factor IF-2 [Catenibacterium mitsuokai] 
gi|493553114|ref|WP_006506692.1|	50S ribosomal protein L7ae [Catenibacterium mitsuokai] 
gi|493553115|ref|WP_006506693.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553116|ref|WP_006506694.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553117|ref|WP_006506695.1|	ribosome maturation protein RimP [Catenibacterium mitsuokai] 
gi|493553119|ref|WP_006506696.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553120|ref|WP_006506697.1|	CRISPR-associated protein Cas1 [Catenibacterium mitsuokai] 
gi|493553121|ref|WP_006506698.1|	CRISPR-associated protein Cas2 [Catenibacterium mitsuokai] 
gi|493553122|ref|WP_006506699.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553123|ref|WP_006506700.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553124|ref|WP_006506701.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553125|ref|WP_006506702.1|	transporter [Catenibacterium mitsuokai] 
gi|493553126|ref|WP_006506703.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553127|ref|WP_006506704.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553128|ref|WP_006506705.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553129|ref|WP_006506706.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553130|ref|WP_006506707.1|	ATPase AAA [Catenibacterium mitsuokai] 
gi|493553131|ref|WP_006506708.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493553132|ref|WP_006506709.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553133|ref|WP_006506710.1|	PTS mannnose transporter subunit IID [Catenibacterium mitsuokai] 
gi|493553134|ref|WP_006506711.1|	PTS sugar transporter [Catenibacterium mitsuokai] 
gi|493553135|ref|WP_006506712.1|	PTS sorbose transporter subunit IIB [Catenibacterium mitsuokai] 
gi|493553136|ref|WP_006506713.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553137|ref|WP_006506714.1|	sugar kinase [Catenibacterium mitsuokai] 
gi|493553138|ref|WP_006506715.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553139|ref|WP_006506716.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493553140|ref|WP_006506717.1|	beta-glucosidase [Catenibacterium mitsuokai] 
gi|493553141|ref|WP_006506718.1|	ATPase AAA [Catenibacterium mitsuokai] 
gi|493553142|ref|WP_006506719.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553143|ref|WP_006506720.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553144|ref|WP_006506721.1|	histidine kinase [Catenibacterium mitsuokai] 
gi|493553145|ref|WP_006506722.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553146|ref|WP_006506723.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553147|ref|WP_006506724.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553148|ref|WP_006506725.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553149|ref|WP_006506726.1|	nucleotide pyrophosphohydrolase [Catenibacterium mitsuokai] 
gi|493553150|ref|WP_006506727.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553151|ref|WP_006506728.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553152|ref|WP_006506729.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553153|ref|WP_006506730.1|	nucleotide pyrophosphohydrolase [Catenibacterium mitsuokai] 
gi|493553154|ref|WP_006506731.1|	ATP-binding protein [Catenibacterium mitsuokai] 
gi|493553155|ref|WP_006506732.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553156|ref|WP_006506733.1|	alpha-mannosidase [Catenibacterium mitsuokai] 
gi|493553157|ref|WP_006506734.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553158|ref|WP_006506735.1|	PTS fructose transporter subunit IIB [Catenibacterium mitsuokai] 
gi|493553159|ref|WP_006506736.1|	PTS mannose transporter subunit IIAB [Catenibacterium mitsuokai] 
gi|493553160|ref|WP_006506737.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553161|ref|WP_006506738.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553162|ref|WP_006506739.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553163|ref|WP_006506740.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553164|ref|WP_006506741.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553165|ref|WP_006506742.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553166|ref|WP_006506743.1|	GNAT family acetyltransferase [Catenibacterium mitsuokai] 
gi|493553167|ref|WP_006506744.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553168|ref|WP_006506745.1|	ADP-ribose pyrophosphatase [Catenibacterium mitsuokai] 
gi|493553169|ref|WP_006506746.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553170|ref|WP_006506747.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553171|ref|WP_006506748.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553172|ref|WP_006506749.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553173|ref|WP_006506750.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553174|ref|WP_006506751.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553175|ref|WP_006506752.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553176|ref|WP_006506753.1|	phosphoglyceromutase [Catenibacterium mitsuokai] 
gi|493553177|ref|WP_006506754.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553178|ref|WP_006506755.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553179|ref|WP_006506756.1|	cell division protein FtsE [Catenibacterium mitsuokai] 
gi|493553180|ref|WP_006506757.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493553181|ref|WP_006506758.1|	peptide chain release factor 2 [Catenibacterium mitsuokai] 
gi|493553182|ref|WP_006506759.1|	preprotein translocase subunit SecA [Catenibacterium mitsuokai] 
gi|493553183|ref|WP_006506760.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553184|ref|WP_006506761.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553185|ref|WP_006506762.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553186|ref|WP_006506763.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553187|ref|WP_006506764.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553188|ref|WP_006506765.1|	asparagine synthase [Catenibacterium mitsuokai] 
gi|493553189|ref|WP_006506766.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553190|ref|WP_006506767.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553191|ref|WP_006506768.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553192|ref|WP_006506769.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553193|ref|WP_006506770.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553194|ref|WP_006506771.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493553195|ref|WP_006506772.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553196|ref|WP_006506773.1|	MULTISPECIES: ArsR family transcriptional regulator [Catenibacterium] 
gi|493553197|ref|WP_006506774.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493553198|ref|WP_006506775.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553199|ref|WP_006506776.1|	oxidoreductase [Catenibacterium mitsuokai] 
gi|493553200|ref|WP_006506777.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553201|ref|WP_006506778.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553202|ref|WP_006506779.1|	GntR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493553203|ref|WP_006506780.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553204|ref|WP_006506781.1|	glutamate synthase [Catenibacterium mitsuokai] 
gi|493553205|ref|WP_006506782.1|	MULTISPECIES: glutamate synthase subunit beta [Catenibacterium] 
gi|493553206|ref|WP_006506783.1|	helicase SNF2 [Catenibacterium mitsuokai] 
gi|493553207|ref|WP_006506784.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553208|ref|WP_006506785.1|	triacylglycerol lipase [Catenibacterium mitsuokai] 
gi|493553209|ref|WP_006506786.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553210|ref|WP_006506787.1|	dihydrodipicolinate reductase [Catenibacterium mitsuokai] 
gi|493553211|ref|WP_006506788.1|	1,4-alpha-glucan branching protein [Catenibacterium mitsuokai] 
gi|493553212|ref|WP_006506789.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553213|ref|WP_006506790.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553214|ref|WP_006506791.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553215|ref|WP_006506792.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553216|ref|WP_006506793.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553217|ref|WP_006506794.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553218|ref|WP_006506795.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553219|ref|WP_006506796.1|	hydroxyethylthiazole kinase [Catenibacterium mitsuokai] 
gi|493553220|ref|WP_006506797.1|	thiamine-phosphate pyrophosphorylase [Catenibacterium mitsuokai] 
gi|493553221|ref|WP_006506798.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553223|ref|WP_006506799.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553224|ref|WP_006506800.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553225|ref|WP_006506801.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553226|ref|WP_006506802.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553227|ref|WP_006506803.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553228|ref|WP_006506804.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550776|ref|WP_006504444.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553229|ref|WP_006506805.1|	galactokinase [Catenibacterium mitsuokai] 
gi|493553230|ref|WP_006506806.1|	aldose 1-epimerase [Catenibacterium mitsuokai] 
gi|493553231|ref|WP_006506807.1|	galactose-1-phosphate uridylyltransferase [Catenibacterium mitsuokai] 
gi|493553232|ref|WP_006506808.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493553233|ref|WP_006506809.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553234|ref|WP_006506810.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493553235|ref|WP_006506811.1|	divalent cation transporter [Catenibacterium mitsuokai] 
gi|493553236|ref|WP_006506812.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553237|ref|WP_006506813.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553238|ref|WP_006506814.1|	methionine aminopeptidase [Catenibacterium mitsuokai] 
gi|493553239|ref|WP_006506815.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553240|ref|WP_006506816.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553241|ref|WP_006506817.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553243|ref|WP_006506819.1|	ATPase [Catenibacterium mitsuokai] 
gi|493553244|ref|WP_006506820.1|	V-type ATP synthase subunit B [Catenibacterium mitsuokai] 
gi|493553245|ref|WP_006506821.1|	ATP synthase subunit A [Catenibacterium mitsuokai] 
gi|493553246|ref|WP_006506822.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553247|ref|WP_006506823.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493553248|ref|WP_006506824.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493553250|ref|WP_006506825.1|	hypothetical protein [Catenibacterium mitsuokai] 
