gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932023|ref|WP_006876579.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|493932024|ref|WP_006876580.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932025|ref|WP_006876581.1|	ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493932026|ref|WP_006876582.1|	ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493932027|ref|WP_006876583.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Clostridiales] 
gi|493932028|ref|WP_006876584.1|	MULTISPECIES: 50S ribosomal protein L10 [Clostridiales] 
gi|493932029|ref|WP_006876585.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932031|ref|WP_006876586.1|	50S ribosomal protein L1 [Anaerotruncus colihominis] 
gi|493932032|ref|WP_006876587.1|	MULTISPECIES: 50S ribosomal protein L11 [Clostridiales] 
gi|493932033|ref|WP_006876588.1|	antitermination factor NusG [Anaerotruncus colihominis] 
gi|493932034|ref|WP_006876589.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932035|ref|WP_006876590.1|	MULTISPECIES: 50S ribosomal protein L33 [Clostridiales] 
gi|493932036|ref|WP_006876591.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932037|ref|WP_006876592.1|	transporter [Anaerotruncus colihominis] 
gi|493932038|ref|WP_006876593.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932039|ref|WP_006876594.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932040|ref|WP_006876595.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932041|ref|WP_006876596.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932042|ref|WP_006876597.1|	MULTISPECIES: arginyl-tRNA synthetase [Clostridiales] 
gi|493932043|ref|WP_006876598.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932044|ref|WP_006876599.1|	MULTISPECIES: flavin reductase [Clostridiales] 
gi|493932045|ref|WP_006876600.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932046|ref|WP_006876601.1|	methylated-DNA--protein-cysteine methyltransferase [Anaerotruncus colihominis] 
gi|493932047|ref|WP_006876602.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932048|ref|WP_006876603.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932049|ref|WP_006876604.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Clostridiales] 
gi|493932050|ref|WP_006876605.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932051|ref|WP_006876606.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Clostridiales] 
gi|493932052|ref|WP_006876607.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Anaerotruncus colihominis] 
gi|493932053|ref|WP_006876608.1|	pyruvate phosphate dikinase [Anaerotruncus colihominis] 
gi|493932054|ref|WP_006876609.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932055|ref|WP_006876610.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932056|ref|WP_006876611.1|	formate--tetrahydrofolate ligase [Anaerotruncus colihominis] 
gi|493932057|ref|WP_006876612.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932058|ref|WP_006876613.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932059|ref|WP_006876614.1|	ribose 5-phosphate isomerase [Anaerotruncus colihominis] 
gi|493932060|ref|WP_006876615.1|	MULTISPECIES: uracil phosphoribosyltransferase [Clostridiales] 
gi|493932061|ref|WP_006876616.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932062|ref|WP_006876617.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932063|ref|WP_006876618.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932064|ref|WP_006876619.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932065|ref|WP_006876620.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932066|ref|WP_006876621.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932067|ref|WP_006876622.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932068|ref|WP_006876623.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932070|ref|WP_006876624.1|	MULTISPECIES: thiamine biosynthesis protein ThiI [Clostridiales] 
gi|493932071|ref|WP_006876625.1|	cysteine desulfurase [Anaerotruncus colihominis] 
gi|493932072|ref|WP_006876626.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932073|ref|WP_006876627.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932074|ref|WP_006876628.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932075|ref|WP_006876629.1|	MULTISPECIES: peptidylprolyl isomerase [Clostridiales] 
gi|493932076|ref|WP_006876630.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932077|ref|WP_006876631.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932078|ref|WP_006876632.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932079|ref|WP_006876633.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932080|ref|WP_006876634.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932081|ref|WP_006876635.1|	multidrug ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493932082|ref|WP_006876636.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493932083|ref|WP_006876637.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932085|ref|WP_006876638.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932087|ref|WP_006876639.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|493932088|ref|WP_006876640.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932089|ref|WP_006876641.1|	MULTISPECIES: heme ABC transporter ATP-binding protein [Clostridiales] 
gi|493932090|ref|WP_006876642.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932091|ref|WP_006876643.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932092|ref|WP_006876644.1|	LacI family transcriptional regulator [Anaerotruncus colihominis] 
gi|493932093|ref|WP_006876645.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932094|ref|WP_006876646.1|	ABC transporter permease [Anaerotruncus colihominis] 
gi|493932095|ref|WP_006876647.1|	MULTISPECIES: D-ribose transporter ATP binding protein [Clostridiales] 
gi|493932096|ref|WP_006876648.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932097|ref|WP_006876649.1|	histidine kinase [Anaerotruncus colihominis] 
gi|493932098|ref|WP_006876650.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932100|ref|WP_006876651.1|	MULTISPECIES: phosphoheptose isomerase [Clostridiales] 
gi|493932101|ref|WP_006876652.1|	ROK family transcriptional regulator [Anaerotruncus colihominis] 
gi|493932102|ref|WP_006876653.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932103|ref|WP_006876654.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932104|ref|WP_006876655.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932105|ref|WP_006876656.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932106|ref|WP_006876657.1|	glucokinase [Anaerotruncus colihominis] 
gi|493932107|ref|WP_006876658.1|	mannose-6-phosphate isomerase [Anaerotruncus colihominis] 
gi|493932108|ref|WP_006876659.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932109|ref|WP_006876660.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932111|ref|WP_006876661.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932112|ref|WP_006876662.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932113|ref|WP_006876663.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932114|ref|WP_006876664.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932115|ref|WP_006876665.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932116|ref|WP_006876666.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932117|ref|WP_006876667.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932118|ref|WP_006876668.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932120|ref|WP_006876669.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932121|ref|WP_006876670.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932122|ref|WP_006876671.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932123|ref|WP_006876672.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932124|ref|WP_006876673.1|	MULTISPECIES: sugar phosphate isomerase [Clostridiales] 
gi|493932125|ref|WP_006876674.1|	triosephosphate isomerase [Anaerotruncus colihominis] 
gi|493932126|ref|WP_006876675.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932127|ref|WP_006876676.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932128|ref|WP_006876677.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932129|ref|WP_006876678.1|	Dak phosphatase [Anaerotruncus colihominis] 
gi|493932130|ref|WP_006876679.1|	MULTISPECIES: dihydroxyacetone kinase subunit K [Clostridiales] 
gi|493932131|ref|WP_006876680.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932132|ref|WP_006876681.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932133|ref|WP_006876682.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932134|ref|WP_006876683.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932135|ref|WP_006876684.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932136|ref|WP_006876685.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932137|ref|WP_006876686.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932138|ref|WP_006876687.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932139|ref|WP_006876688.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932140|ref|WP_006876689.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932141|ref|WP_006876690.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932142|ref|WP_006876691.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932143|ref|WP_006876692.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932144|ref|WP_006876693.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932145|ref|WP_006876694.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932146|ref|WP_006876695.1|	MULTISPECIES: 30S ribosomal protein S9 [Clostridiales] 
gi|493932147|ref|WP_006876696.1|	50S ribosomal protein L13 [Anaerotruncus colihominis] 
gi|493932148|ref|WP_006876697.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932149|ref|WP_006876698.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932150|ref|WP_006876699.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932151|ref|WP_006876700.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932152|ref|WP_006876701.1|	SAM-dependent methyltransferase [Anaerotruncus colihominis] 
gi|493932153|ref|WP_006876702.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932154|ref|WP_006876703.1|	aspartyl-tRNA synthase [Anaerotruncus colihominis] 
gi|493932155|ref|WP_006876704.1|	histidyl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493932156|ref|WP_006876705.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932157|ref|WP_006876706.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932158|ref|WP_006876707.1|	methylglyoxal synthase [Anaerotruncus colihominis] 
gi|493932159|ref|WP_006876708.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932160|ref|WP_006876709.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932161|ref|WP_006876710.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932162|ref|WP_006876711.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932163|ref|WP_006876712.1|	MULTISPECIES: rod shape-determining protein Mbl [Clostridiales] 
gi|493932164|ref|WP_006876713.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932165|ref|WP_006876714.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932167|ref|WP_006876715.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932168|ref|WP_006876716.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932169|ref|WP_006876717.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Anaerotruncus colihominis] 
gi|493932170|ref|WP_006876718.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932171|ref|WP_006876719.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932172|ref|WP_006876720.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932173|ref|WP_006876721.1|	alpha-glucan phosphorylase [Anaerotruncus colihominis] 
gi|493932174|ref|WP_006876722.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932175|ref|WP_006876723.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932176|ref|WP_006876724.1|	peptide ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493932177|ref|WP_006876725.1|	MULTISPECIES: 4Fe-4S ferredoxin [Clostridiales] 
gi|493932178|ref|WP_006876726.1|	membrane protein [Anaerotruncus colihominis] 
gi|493932179|ref|WP_006876727.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932180|ref|WP_006876728.1|	ribonucleoside-triphosphate reductase activating protein [Anaerotruncus colihominis] 
gi|493932181|ref|WP_006876729.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932182|ref|WP_006876730.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932184|ref|WP_006876731.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932185|ref|WP_006876732.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932186|ref|WP_006876733.1|	ribonucleoside triphosphate reductase [Anaerotruncus colihominis] 
gi|493932187|ref|WP_006876734.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932188|ref|WP_006876735.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932189|ref|WP_006876736.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932190|ref|WP_006876737.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932191|ref|WP_006876738.1|	MULTISPECIES: peptidase [Clostridiales] 
gi|493932192|ref|WP_006876739.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932193|ref|WP_006876740.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932195|ref|WP_006876741.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932196|ref|WP_006876742.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932197|ref|WP_006876743.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932198|ref|WP_006876744.1|	MULTISPECIES: glutamate synthase [Clostridiales] 
gi|493932199|ref|WP_006876745.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932200|ref|WP_006876746.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932201|ref|WP_006876747.1|	integrase [Anaerotruncus colihominis] 
gi|493932203|ref|WP_006876748.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493932204|ref|WP_006876749.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932205|ref|WP_006876750.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932206|ref|WP_006876751.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932207|ref|WP_006876752.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932208|ref|WP_006876753.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932209|ref|WP_006876754.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932210|ref|WP_006876755.1|	aankyrin [Anaerotruncus colihominis] 
gi|493932211|ref|WP_006876756.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932212|ref|WP_006876757.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932213|ref|WP_006876758.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488640276|ref|WP_002576934.1|	MULTISPECIES: cytochrome D ubiquinol oxidase subunit II [Firmicutes] 
gi|493932214|ref|WP_006876759.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932215|ref|WP_006876760.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932216|ref|WP_006876761.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932218|ref|WP_006876762.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932219|ref|WP_006876763.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932220|ref|WP_006876764.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932221|ref|WP_006876765.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932223|ref|WP_006876766.1|	CoA-disulfide reductase [Anaerotruncus colihominis] 
gi|493932224|ref|WP_006876767.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932225|ref|WP_006876768.1|	MULTISPECIES: thiol-disulfide isomerase [Clostridiales] 
gi|493932226|ref|WP_006876769.1|	MULTISPECIES: Crp/Fnr family transcriptional regulator [Clostridiales] 
gi|493932227|ref|WP_006876770.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932229|ref|WP_006876771.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932230|ref|WP_006876772.1|	aldo/keto reductase [Anaerotruncus colihominis] 
gi|493932231|ref|WP_006876773.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932232|ref|WP_006876774.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932233|ref|WP_006876775.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932234|ref|WP_006876776.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932235|ref|WP_006876777.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932236|ref|WP_006876778.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932237|ref|WP_006876779.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932239|ref|WP_006876780.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932240|ref|WP_006876781.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932241|ref|WP_006876782.1|	MULTISPECIES: dihydrodipicolinate synthase [Clostridiales] 
gi|493932243|ref|WP_006876783.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932244|ref|WP_006876784.1|	ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493932245|ref|WP_006876785.1|	ABC transporter permease [Anaerotruncus colihominis] 
gi|493932247|ref|WP_006876786.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|493932248|ref|WP_006876787.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493932250|ref|WP_006876788.1|	amino acid ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493932251|ref|WP_006876789.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932252|ref|WP_006876790.1|	electron transfer flavoprotein subunit beta [Anaerotruncus colihominis] 
gi|493932253|ref|WP_006876791.1|	electron transfer flavoprotein subunit alpha [Anaerotruncus colihominis] 
gi|493932254|ref|WP_006876792.1|	2-hydroxy-acid oxidase [Anaerotruncus colihominis] 
gi|493932255|ref|WP_006876793.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932256|ref|WP_006876794.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932257|ref|WP_006876795.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932258|ref|WP_006876796.1|	NAD synthetase [Anaerotruncus colihominis] 
gi|493932259|ref|WP_006876797.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932260|ref|WP_006876798.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932261|ref|WP_006876799.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932262|ref|WP_006876800.1|	cytosine/purines uracil thiamine allantoin permease [Anaerotruncus colihominis] 
gi|493932263|ref|WP_006876801.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932265|ref|WP_006876802.1|	ROK family transcriptional regulator [Anaerotruncus colihominis] 
gi|493932266|ref|WP_006876803.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932267|ref|WP_006876804.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932268|ref|WP_006876805.1|	D-ribose transporter ATP binding protein [Anaerotruncus colihominis] 
gi|493932269|ref|WP_006876806.1|	ribose ABC transporter permease [Anaerotruncus colihominis] 
gi|493932270|ref|WP_006876807.1|	sugar ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493932271|ref|WP_006876808.1|	sorbitol dehydrogenase [Anaerotruncus colihominis] 
gi|493932273|ref|WP_006876809.1|	xylulokinase [Anaerotruncus colihominis] 
gi|493932274|ref|WP_006876810.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932275|ref|WP_006876811.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932276|ref|WP_006876812.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932277|ref|WP_006876813.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932278|ref|WP_006876814.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932279|ref|WP_006876815.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932280|ref|WP_006876816.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932281|ref|WP_006876817.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932282|ref|WP_006876818.1|	transketolase [Anaerotruncus colihominis] 
gi|493932283|ref|WP_006876819.1|	transketolase [Anaerotruncus colihominis] 
gi|493932285|ref|WP_006876820.1|	ferredoxin [Anaerotruncus colihominis] 
gi|493932286|ref|WP_006876821.1|	NADH dehydrogenase [Anaerotruncus colihominis] 
gi|493932287|ref|WP_006876822.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|493932288|ref|WP_006876823.1|	histidine kinase [Anaerotruncus colihominis] 
gi|493932289|ref|WP_006876824.1|	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
gi|493932290|ref|WP_006876825.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932291|ref|WP_006876826.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932292|ref|WP_006876827.1|	ornithine cyclodeaminase [Anaerotruncus colihominis] 
gi|493932293|ref|WP_006876828.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|493932294|ref|WP_006876829.1|	spermidine/putrescine ABC transporter [Anaerotruncus colihominis] 
gi|493932295|ref|WP_006876830.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932296|ref|WP_006876831.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932297|ref|WP_006876832.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932298|ref|WP_006876833.1|	amino acid lyase [Anaerotruncus colihominis] 
gi|493932299|ref|WP_006876834.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932300|ref|WP_006876835.1|	MULTISPECIES: phosphohydrolase [Clostridiales] 
gi|493932301|ref|WP_006876836.1|	methylated-DNA--protein-cysteine methyltransferase [Anaerotruncus colihominis] 
gi|493932302|ref|WP_006876837.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932303|ref|WP_006876838.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932304|ref|WP_006876839.1|	SAM-dependent methyltransferase [Anaerotruncus colihominis] 
gi|493932305|ref|WP_006876840.1|	ArsC family transcriptional regulator [Anaerotruncus colihominis] 
gi|493932306|ref|WP_006876841.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932307|ref|WP_006876842.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932308|ref|WP_006876843.1|	MULTISPECIES: ArsC family transcriptional regulator [Clostridiales] 
gi|493932309|ref|WP_006876844.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932310|ref|WP_006876845.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932312|ref|WP_006876846.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932313|ref|WP_006876847.1|	flavin reductase [Anaerotruncus colihominis] 
gi|493932314|ref|WP_006876848.1|	cytosine deaminase [Anaerotruncus colihominis] 
gi|493932315|ref|WP_006876849.1|	cytosine permease [Anaerotruncus colihominis] 
gi|493932316|ref|WP_006876850.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932317|ref|WP_006876851.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932318|ref|WP_006876852.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932319|ref|WP_006876853.1|	NADH-dependent butanol dehydrogenase [Anaerotruncus colihominis] 
gi|493932321|ref|WP_006876854.1|	MULTISPECIES: Trk system potassium transporter TrkH [Clostridiales] 
gi|493932322|ref|WP_006876855.1|	MULTISPECIES: potassium transporter TrkA [Clostridiales] 
gi|493932323|ref|WP_006876856.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932324|ref|WP_006876857.1|	diaminopimelate aminotransferase [Anaerotruncus colihominis] 
gi|493932325|ref|WP_006876858.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932326|ref|WP_006876859.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932327|ref|WP_006876860.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932328|ref|WP_006876861.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932329|ref|WP_006876862.1|	MULTISPECIES: citrate synthase [Clostridiales] 
gi|493932330|ref|WP_006876863.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932331|ref|WP_006876864.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932332|ref|WP_006876865.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932333|ref|WP_006876866.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932334|ref|WP_006876867.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932335|ref|WP_006876868.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932336|ref|WP_006876869.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932337|ref|WP_006876870.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932338|ref|WP_006876871.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932339|ref|WP_006876872.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932341|ref|WP_006876873.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932342|ref|WP_006876874.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493932343|ref|WP_006876875.1|	MULTISPECIES: gamma-glutamyl phosphate reductase [Clostridiales] 
gi|493932344|ref|WP_006876876.1|	gamma-glutamyl kinase [Anaerotruncus colihominis] 
gi|493932345|ref|WP_006876877.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932346|ref|WP_006876878.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932347|ref|WP_006876879.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932348|ref|WP_006876880.1|	MULTISPECIES: polyribonucleotide nucleotidyltransferase [Clostridiales] 
gi|493932349|ref|WP_006876881.1|	MULTISPECIES: 30S ribosomal protein S15 [Clostridiales] 
gi|493932350|ref|WP_006876882.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493932351|ref|WP_006876883.1|	hypothetical protein [Anaerotruncus colihominis] 
