gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395802|ref|WP_008120502.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395803|ref|WP_008120503.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395806|ref|WP_008120506.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|495395808|ref|WP_008120508.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395810|ref|WP_008120510.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395812|ref|WP_008120512.1|	serine recombinase [[Bacteroides] pectinophilus] 
gi|495395814|ref|WP_008120514.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395815|ref|WP_008120515.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395817|ref|WP_008120517.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395876|ref|WP_008120576.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395878|ref|WP_008120578.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|490155554|ref|WP_004054229.1|	MULTISPECIES: 30S ribosomal protein S21 [Bacteria] 
gi|495395903|ref|WP_008120603.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395905|ref|WP_008120605.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395907|ref|WP_008120607.1|	MULTISPECIES: phosphate starvation protein PhoH [Bacteria] 
gi|495395908|ref|WP_008120608.1|	MULTISPECIES: rRNA maturation factor [Bacteria] 
gi|495395910|ref|WP_008120610.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395911|ref|WP_008120611.1|	cytidine deaminase [[Bacteroides] pectinophilus] 
gi|495395913|ref|WP_008120613.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395914|ref|WP_008120614.1|	purine nucleoside phosphorylase [[Bacteroides] pectinophilus] 
gi|495395923|ref|WP_008120623.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395925|ref|WP_008120625.1|	DNA polymerase I [[Bacteroides] pectinophilus] 
gi|495395927|ref|WP_008120627.1|	dephospho-CoA kinase [[Bacteroides] pectinophilus] 
gi|495395928|ref|WP_008120628.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395930|ref|WP_008120630.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495395931|ref|WP_008120631.1|	MULTISPECIES: multidrug transporter [Clostridiales] 
gi|495395932|ref|WP_008120632.1|	mobilization protein [[Bacteroides] pectinophilus] 
gi|495395933|ref|WP_008120633.1|	relaxase [[Bacteroides] pectinophilus] 
gi|495395934|ref|WP_008120634.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|493913515|ref|WP_006858865.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495395936|ref|WP_008120636.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395938|ref|WP_008120638.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395940|ref|WP_008120640.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395942|ref|WP_008120642.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395945|ref|WP_008120645.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|495395946|ref|WP_008120646.1|	MULTISPECIES: electron transporter RnfA [Clostridiales] 
gi|495395947|ref|WP_008120647.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395948|ref|WP_008120648.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395950|ref|WP_008120650.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495395953|ref|WP_008120653.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|493914292|ref|WP_006859616.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495395955|ref|WP_008120655.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395957|ref|WP_008120657.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395960|ref|WP_008120660.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395961|ref|WP_008120661.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395962|ref|WP_008120662.1|	helicase [[Bacteroides] pectinophilus] 
gi|495395963|ref|WP_008120663.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395964|ref|WP_008120664.1|	sortase [[Bacteroides] pectinophilus] 
gi|495395965|ref|WP_008120665.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395966|ref|WP_008120666.1|	septation protein spoVG [[Bacteroides] pectinophilus] 
gi|495395967|ref|WP_008120667.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395968|ref|WP_008120668.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395969|ref|WP_008120669.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395970|ref|WP_008120670.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395971|ref|WP_008120671.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395973|ref|WP_008120673.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395975|ref|WP_008120675.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395977|ref|WP_008120677.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395979|ref|WP_008120679.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395982|ref|WP_008120682.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395983|ref|WP_008120683.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395984|ref|WP_008120684.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395985|ref|WP_008120685.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395986|ref|WP_008120686.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395987|ref|WP_008120687.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395988|ref|WP_008120688.1|	integrase [[Bacteroides] pectinophilus] 
gi|495395990|ref|WP_008120690.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395991|ref|WP_008120691.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395994|ref|WP_008120694.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395995|ref|WP_008120695.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395997|ref|WP_008120697.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395998|ref|WP_008120698.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395999|ref|WP_008120699.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396000|ref|WP_008120700.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396001|ref|WP_008120701.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396002|ref|WP_008120702.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396004|ref|WP_008120704.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396010|ref|WP_008120710.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396011|ref|WP_008120711.1|	LexA family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495396012|ref|WP_008120712.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396013|ref|WP_008120713.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396014|ref|WP_008120714.1|	DNA-binding protein [[Bacteroides] pectinophilus] 
gi|495396015|ref|WP_008120715.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396016|ref|WP_008120716.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396017|ref|WP_008120717.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396018|ref|WP_008120718.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396019|ref|WP_008120719.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396020|ref|WP_008120720.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396021|ref|WP_008120721.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396022|ref|WP_008120722.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396023|ref|WP_008120723.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396024|ref|WP_008120724.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396025|ref|WP_008120725.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396027|ref|WP_008120727.1|	transposase [[Bacteroides] pectinophilus] 
gi|495396031|ref|WP_008120731.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396029|ref|WP_008120729.1|	protein tyrosine phosphatase [[Bacteroides] pectinophilus] 
gi|495396032|ref|WP_008120732.1|	MULTISPECIES: pyridine nucleotide-disulfide oxidoreductase [Bacteria] 
gi|495396035|ref|WP_008120735.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396036|ref|WP_008120736.1|	glycoside hydrolase [[Bacteroides] pectinophilus] 
gi|495396038|ref|WP_008120738.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396040|ref|WP_008120740.1|	aspartyl/glutamyl-tRNA amidotransferase subunit C [[Bacteroides] pectinophilus] 
gi|495396042|ref|WP_008120742.1|	glutamyl-tRNA(Gln) amidotransferase [[Bacteroides] pectinophilus] 
gi|495396044|ref|WP_008120744.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [[Bacteroides] pectinophilus] 
gi|495396046|ref|WP_008120746.1|	prolipoprotein diacylglyceryl transferase [[Bacteroides] pectinophilus] 
gi|495396048|ref|WP_008120748.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396050|ref|WP_008120750.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396052|ref|WP_008120752.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396053|ref|WP_008120753.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396055|ref|WP_008120755.1|	large conductance mechanosensitive channel protein MscL [[Bacteroides] pectinophilus] 
gi|495396057|ref|WP_008120757.1|	MULTISPECIES: hydrolase [Bacteria] 
gi|495396059|ref|WP_008120759.1|	MULTISPECIES: TrpR YerC/YecD [Bacteria] 
gi|495396061|ref|WP_008120761.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396063|ref|WP_008120763.1|	MULTISPECIES: phage-shock protein [Bacteria] 
gi|495396064|ref|WP_008120764.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396066|ref|WP_008120766.1|	MULTISPECIES: ATP-dependent DNA helicase PcrA [Bacteria] 
gi|495396068|ref|WP_008120768.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396070|ref|WP_008120770.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396073|ref|WP_008120773.1|	RNA methyltransferase [[Bacteroides] pectinophilus] 
gi|495396074|ref|WP_008120774.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396077|ref|WP_008120777.1|	ABC transporter permease [[Bacteroides] pectinophilus] 
gi|493912882|ref|WP_006858253.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|495396083|ref|WP_008120783.1|	histidine kinase [[Bacteroides] pectinophilus] 
gi|495396086|ref|WP_008120786.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396088|ref|WP_008120788.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|493912879|ref|WP_006858250.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493912878|ref|WP_006858249.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495396092|ref|WP_008120792.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396094|ref|WP_008120794.1|	primase [[Bacteroides] pectinophilus] 
gi|495396096|ref|WP_008120796.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396099|ref|WP_008120799.1|	recombinase [[Bacteroides] pectinophilus] 
gi|495396104|ref|WP_008120804.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495396106|ref|WP_008120806.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396108|ref|WP_008120808.1|	serine recombinase [[Bacteroides] pectinophilus] 
gi|495396110|ref|WP_008120810.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396112|ref|WP_008120812.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396114|ref|WP_008120814.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396116|ref|WP_008120816.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495395873|ref|WP_008120573.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495392500|ref|WP_008117201.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396132|ref|WP_008120832.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495396134|ref|WP_008120834.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495396136|ref|WP_008120836.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396138|ref|WP_008120838.1|	carboxynorspermidine decarboxylase [[Bacteroides] pectinophilus] 
gi|495396140|ref|WP_008120840.1|	saccharopine dehydrogenase [[Bacteroides] pectinophilus] 
gi|495396142|ref|WP_008120842.1|	spermidine synthase [[Bacteroides] pectinophilus] 
gi|495396143|ref|WP_008120843.1|	MULTISPECIES: arginine decarboxylase [Bacteria] 
gi|495396145|ref|WP_008120845.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396148|ref|WP_008120848.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396151|ref|WP_008120851.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396154|ref|WP_008120854.1|	MULTISPECIES: sporulation protein [Bacteria] 
gi|495396156|ref|WP_008120856.1|	PTS sugar transporter subunit IID [[Bacteroides] pectinophilus] 
gi|495396157|ref|WP_008120857.1|	DeoR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495396160|ref|WP_008120860.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396163|ref|WP_008120863.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396164|ref|WP_008120864.1|	2-hydroxyacid dehydrogenase [[Bacteroides] pectinophilus] 
gi|495396166|ref|WP_008120866.1|	MULTISPECIES: glucose-6-phosphate isomerase [Bacteria] 
gi|495396167|ref|WP_008120867.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396169|ref|WP_008120869.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396171|ref|WP_008120871.1|	MULTISPECIES: hydratase [Bacteria] 
gi|495396173|ref|WP_008120873.1|	histidine triad (HIT) protein [[Bacteroides] pectinophilus] 
gi|495396175|ref|WP_008120875.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396176|ref|WP_008120876.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396178|ref|WP_008120878.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396180|ref|WP_008120880.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396182|ref|WP_008120882.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396183|ref|WP_008120883.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396186|ref|WP_008120886.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396188|ref|WP_008120888.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396189|ref|WP_008120889.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396191|ref|WP_008120891.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396194|ref|WP_008120894.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396196|ref|WP_008120896.1|	pilus biosynthesis protein [[Bacteroides] pectinophilus] 
gi|495396198|ref|WP_008120898.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396200|ref|WP_008120900.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396202|ref|WP_008120902.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396203|ref|WP_008120903.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396205|ref|WP_008120905.1|	restriction endonuclease [[Bacteroides] pectinophilus] 
gi|495396206|ref|WP_008120906.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396208|ref|WP_008120908.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394296|ref|WP_008118996.1|	transposase [[Bacteroides] pectinophilus] 
gi|495396209|ref|WP_008120909.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396210|ref|WP_008120910.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396211|ref|WP_008120911.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396212|ref|WP_008120912.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396213|ref|WP_008120913.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396214|ref|WP_008120914.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396215|ref|WP_008120915.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396216|ref|WP_008120916.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396217|ref|WP_008120917.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396218|ref|WP_008120918.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396219|ref|WP_008120919.1|	nucleoside recognition protein [[Bacteroides] pectinophilus] 
gi|495396220|ref|WP_008120920.1|	MULTISPECIES: spore maturation protein [Bacteria] 
gi|495396221|ref|WP_008120921.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396222|ref|WP_008120922.1|	GTPase [[Bacteroides] pectinophilus] 
gi|495396224|ref|WP_008120924.1|	MULTISPECIES: cobalamin biosynthesis protein CobW [Bacteria] 
gi|495396226|ref|WP_008120926.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396228|ref|WP_008120928.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396229|ref|WP_008120929.1|	nuclease SbcCD subunit D [[Bacteroides] pectinophilus] 
gi|495396231|ref|WP_008120931.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396233|ref|WP_008120933.1|	multidrug ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495396234|ref|WP_008120934.1|	MULTISPECIES: ABC transporter [Bacteria] 
gi|495396236|ref|WP_008120936.1|	glutamine synthetase [[Bacteroides] pectinophilus] 
gi|495396238|ref|WP_008120938.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396240|ref|WP_008120940.1|	fructose-bisphosphate aldolase [[Bacteroides] pectinophilus] 
gi|495396241|ref|WP_008120941.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396243|ref|WP_008120943.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396244|ref|WP_008120944.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396246|ref|WP_008120946.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396250|ref|WP_008120950.1|	phosphoglucosamine mutase [[Bacteroides] pectinophilus] 
gi|495396252|ref|WP_008120952.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396254|ref|WP_008120954.1|	MULTISPECIES: carbon-nitrogen family hydrolase [Bacteria] 
gi|495396256|ref|WP_008120956.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396258|ref|WP_008120958.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396260|ref|WP_008120960.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396262|ref|WP_008120962.1|	MULTISPECIES: GntR family transcriptional regulator [Bacteria] 
gi|495396264|ref|WP_008120964.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [[Bacteroides] pectinophilus] 
gi|495396266|ref|WP_008120966.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396267|ref|WP_008120967.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396269|ref|WP_008120969.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396270|ref|WP_008120970.1|	citrate synthase [[Bacteroides] pectinophilus] 
gi|495396272|ref|WP_008120972.1|	phosphoesterase [[Bacteroides] pectinophilus] 
gi|495396274|ref|WP_008120974.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396277|ref|WP_008120977.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396279|ref|WP_008120979.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396281|ref|WP_008120981.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396283|ref|WP_008120983.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396285|ref|WP_008120985.1|	glycerol kinase [[Bacteroides] pectinophilus] 
gi|495396286|ref|WP_008120986.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396288|ref|WP_008120988.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396291|ref|WP_008120991.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396293|ref|WP_008120993.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396295|ref|WP_008120995.1|	Fur family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495396297|ref|WP_008120997.1|	MULTISPECIES: branched-chain amino acid aminotransferase [Bacteria] 
gi|495396298|ref|WP_008120998.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396300|ref|WP_008121000.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396302|ref|WP_008121002.1|	NADPH-dependent FMN reductase [[Bacteroides] pectinophilus] 
gi|495396303|ref|WP_008121003.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396306|ref|WP_008121006.1|	cell dividion protein FtsZ [[Bacteroides] pectinophilus] 
gi|495396309|ref|WP_008121009.1|	molecular chaperone [[Bacteroides] pectinophilus] 
gi|495396311|ref|WP_008121011.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396312|ref|WP_008121012.1|	MULTISPECIES: DNA-binding protein [Bacteria] 
gi|495396314|ref|WP_008121014.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396317|ref|WP_008121017.1|	MULTISPECIES: chemotaxis protein CheY [Bacteria] 
gi|495396320|ref|WP_008121020.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396321|ref|WP_008121021.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396324|ref|WP_008121024.1|	MULTISPECIES: tRNA (guanine-N(7)-)-methyltransferase [Bacteria] 
gi|495396326|ref|WP_008121026.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396327|ref|WP_008121027.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396329|ref|WP_008121029.1|	MULTISPECIES: sugar transporter [Bacteria] 
gi|495396332|ref|WP_008121032.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495396334|ref|WP_008121034.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495396336|ref|WP_008121036.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396338|ref|WP_008121038.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396339|ref|WP_008121039.1|	MULTISPECIES: 6-phosphofructokinase [Bacteria] 
gi|495396341|ref|WP_008121041.1|	transketolase [[Bacteroides] pectinophilus] 
gi|495396343|ref|WP_008121043.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396346|ref|WP_008121046.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396348|ref|WP_008121048.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396349|ref|WP_008121049.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396351|ref|WP_008121051.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396353|ref|WP_008121053.1|	MULTISPECIES: recombinase RecR [Bacteria] 
gi|495396355|ref|WP_008121055.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396357|ref|WP_008121057.1|	DNA polymerase III subunit gamma/tau [[Bacteroides] pectinophilus] 
gi|495396359|ref|WP_008121059.1|	6-phosphofructokinase [[Bacteroides] pectinophilus] 
gi|495396362|ref|WP_008121062.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396364|ref|WP_008121064.1|	N-acetylmuramoyl-L-alanine amidase [[Bacteroides] pectinophilus] 
gi|495396366|ref|WP_008121066.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396368|ref|WP_008121068.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396370|ref|WP_008121070.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396371|ref|WP_008121071.1|	ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495396373|ref|WP_008121073.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396374|ref|WP_008121074.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396376|ref|WP_008121076.1|	transporter [[Bacteroides] pectinophilus] 
gi|495396377|ref|WP_008121077.1|	capsular polysaccharide phosphotransferase [[Bacteroides] pectinophilus] 
gi|495396379|ref|WP_008121079.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396382|ref|WP_008121082.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396384|ref|WP_008121084.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396386|ref|WP_008121086.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396388|ref|WP_008121088.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396390|ref|WP_008121090.1|	glycosyltransferase family 1 [[Bacteroides] pectinophilus] 
gi|495396391|ref|WP_008121091.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396393|ref|WP_008121093.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495396395|ref|WP_008121095.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495396398|ref|WP_008121098.1|	glycosyltransferase family 1 [[Bacteroides] pectinophilus] 
gi|495396399|ref|WP_008121099.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396402|ref|WP_008121102.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396404|ref|WP_008121104.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396406|ref|WP_008121106.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396408|ref|WP_008121108.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396410|ref|WP_008121110.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396411|ref|WP_008121111.1|	adenosine deaminase [[Bacteroides] pectinophilus] 
gi|495396414|ref|WP_008121114.1|	flavodoxin [[Bacteroides] pectinophilus] 
gi|495396416|ref|WP_008121116.1|	3-isopropylmalate dehydratase large subunit [[Bacteroides] pectinophilus] 
gi|495396417|ref|WP_008121117.1|	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Bacteria] 
gi|495396419|ref|WP_008121119.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396420|ref|WP_008121120.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396423|ref|WP_008121123.1|	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Bacteria] 
gi|495396424|ref|WP_008121124.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396425|ref|WP_008121125.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396427|ref|WP_008121127.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495396429|ref|WP_008121129.1|	MULTISPECIES: 16S rRNA methyltransferase [Bacteria] 
